device_id,user_id,device_type,platform,app_version,last_active_at,trusted
D0000092,U002662,Android,星购App,5.9.1,2025-11-09 04:25:25,1
D0000093,U002478,Windows,星购App,web,2025-06-09 06:49:14,1
D0000094,U003301,iOS,星购App,5.9.1,2026-06-27 17:46:04,1
D0000095,U002276,Android,星购App,6.0.0,2025-02-16 23:01:49,1
D0000096,U003139,Windows,微信小程序,6.0.0,2025-10-04 21:29:05,1
D0000097,U001925,iOS,星购App,5.8.0,2025-07-12 01:38:29,1
D0000098,U000095,iOS,星购App,web,2026-01-16 19:30:41,1
D0000099,U002909,Android,微信小程序,6.0.0,2025-07-23 05:23:57,1
D0000100,U004636,Android,网页,web,2025-01-07 06:13:59,1
D0000101,U001117,Android,微信小程序,5.9.1,2025-03-23 20:24:36,1
D0000102,U004396,Android,星购App,web,2026-06-08 03:34:10,1
D0000103,U002300,Android,星购App,6.0.0,2026-05-07 08:24:08,1
D0000104,U000862,iOS,星购App,6.0.0,2026-05-10 20:17:58,1
D0000105,U001869,Android,星购App,5.9.1,2025-04-26 07:57:58,1
D0000106,U003706,Android,星购App,5.9.1,2025-06-16 10:48:23,1
D0000107,U000012,iOS,星购App,5.9.1,2026-03-03 22:59:07,1
D0000108,U003588,Windows,微信小程序,5.8.0,2025-12-21 19:50:05,1
D0000109,U003892,Android,星购App,6.0.0,2025-01-29 08:03:25,1
D0000110,U000851,iOS,微信小程序,6.0.0,2025-04-09 19:05:28,1
D0000111,U001570,Android,网页,5.8.0,2026-07-20 21:27:09,1
D0000112,U002906,Android,网页,5.9.1,2025-06-10 15:33:01,1
D0000113,U001778,iOS,星购App,6.0.0,2025-08-22 09:24:26,1
D0000114,U000467,iOS,星购App,web,2026-03-08 20:13:09,1
D0000115,U004963,iOS,星购App,5.8.0,2026-06-07 19:46:32,1
D0000116,U002741,Android,星购App,5.9.1,2026-01-23 21:29:24,1
D0000117,U001102,Android,星购App,5.9.1,2025-02-14 18:51:39,1
D0000118,U001854,iOS,微信小程序,6.0.0,2025-12-19 04:59:39,1
D0000119,U002190,Android,微信小程序,6.0.0,2026-01-19 02:42:25,1
D0000120,U004292,Android,星购App,6.0.0,2026-06-04 07:32:51,1
D0000121,U002641,Windows,星购App,6.0.0,2025-08-27 18:13:48,1
D0000122,U001843,iOS,网页,5.9.1,2026-01-17 05:16:28,1
D0000123,U003577,iOS,微信小程序,5.8.0,2025-06-25 12:02:49,1
D0000124,U002099,iOS,微信小程序,6.0.0,2025-06-23 17:37:46,1
D0000125,U001347,Windows,网页,5.9.1,2025-08-31 10:12:00,1
D0000126,U003377,iOS,星购App,web,2026-03-30 06:52:52,1
D0000127,U000236,Android,星购App,6.0.0,2025-07-12 13:18:28,1
D0000128,U000367,iOS,星购App,6.0.0,2026-05-14 15:29:23,1
D0000129,U002930,Android,星购App,5.8.0,2025-06-16 16:03:25,1
D0000130,U002146,Android,网页,5.9.1,2025-01-12 18:51:38,1
D0000131,U000692,iOS,微信小程序,6.0.0,2026-04-07 08:30:05,1
D0000132,U004507,iOS,星购App,5.8.0,2025-11-15 10:43:07,1
D0000133,U003457,Android,星购App,5.8.0,2025-10-06 13:26:55,1
D0000134,U000049,Android,星购App,6.0.0,2025-07-17 06:04:30,1
D0000135,U003080,iOS,微信小程序,5.9.1,2025-09-24 05:56:56,1
D0000136,U001308,Android,星购App,6.0.0,2025-08-19 02:38:14,1
D0000137,U004071,Android,微信小程序,5.9.1,2025-11-02 13:28:42,1
D0000138,U001436,Windows,网页,5.8.0,2025-05-03 08:53:28,1
D0000139,U003504,Windows,微信小程序,5.9.1,2025-09-13 12:55:08,1
D0000140,U004424,macOS,星购App,5.8.0,2025-01-21 22:44:20,1
D0000141,U004964,macOS,星购App,5.8.0,2025-11-10 01:46:53,1
D0000142,U000769,Windows,微信小程序,5.9.1,2026-03-17 14:39:16,1
D0000143,U002419,Windows,网页,6.0.0,2025-01-20 21:05:59,1
D0000144,U004281,iOS,星购App,5.8.0,2026-02-19 10:41:03,1
D0000145,U001465,Android,星购App,web,2025-07-05 08:07:24,1
D0000146,U003433,Android,星购App,5.9.1,2025-12-20 03:53:06,1
D0000147,U001590,Android,星购App,web,2026-05-17 16:17:32,1
D0000148,U001614,Android,网页,web,2025-05-10 00:56:22,1
D0000149,U003019,Android,星购App,6.0.0,2025-02-25 14:43:25,1
D0000150,U004048,Windows,星购App,5.9.1,2026-02-02 18:33:12,1
D0000151,U002113,iOS,星购App,6.0.0,2026-01-14 22:41:53,1
D0000152,U000328,Android,星购App,6.0.0,2025-07-27 12:10:11,1
D0000153,U000504,iOS,星购App,5.8.0,2025-02-07 22:23:26,1
D0000154,U004506,iOS,微信小程序,5.9.1,2025-02-18 21:58:47,1
D0000155,U004585,iOS,星购App,5.8.0,2026-07-18 18:17:36,1
D0000156,U004849,iOS,微信小程序,6.0.0,2025-01-10 10:19:05,1
D0000157,U001422,Android,微信小程序,5.9.1,2025-10-31 23:56:40,1
D0000158,U002724,Android,微信小程序,5.8.0,2025-04-26 04:41:05,1
D0000159,U004013,iOS,微信小程序,6.0.0,2025-03-21 19:39:43,1
D0000160,U002989,iOS,微信小程序,5.9.1,2026-02-24 21:29:42,1
D0000161,U004694,Android,星购App,web,2025-08-15 05:50:18,1
D0000162,U000456,iOS,星购App,6.0.0,2025-11-06 03:39:27,1
D0000163,U002807,Android,星购App,5.9.1,2025-05-06 23:02:19,1
D0000164,U004647,Windows,星购App,5.9.1,2026-04-06 10:27:37,1
D0000165,U001299,iOS,星购App,web,2026-05-13 05:45:54,1
D0000166,U001036,iOS,星购App,6.0.0,2025-06-16 02:39:49,1
D0000167,U002236,Windows,星购App,5.8.0,2025-01-06 10:46:22,1
D0000168,U001796,Windows,微信小程序,5.8.0,2026-03-05 17:10:29,1
D0000169,U003539,Android,星购App,5.8.0,2025-01-31 20:26:59,1
D0000170,U000408,iOS,微信小程序,5.8.0,2025-03-03 22:40:42,1
D0000171,U004575,Android,微信小程序,6.0.0,2026-07-12 04:02:49,1
D0000172,U000130,Android,网页,5.9.1,2025-07-06 16:20:09,1
D0000173,U000484,Android,星购App,5.9.1,2026-02-16 03:55:32,1
D0000174,U003142,iOS,星购App,5.9.1,2026-02-07 22:53:43,1
D0000175,U001108,Android,星购App,5.8.0,2025-03-05 19:51:25,1
D0000176,U001260,Android,星购App,5.9.1,2025-04-27 22:25:10,1
D0000177,U002379,Windows,微信小程序,5.9.1,2026-04-13 07:12:06,1
D0000178,U001968,Android,微信小程序,5.9.1,2026-05-22 07:13:42,1
D0000179,U004756,Android,星购App,web,2025-11-07 01:35:35,1
D0000180,U002932,Android,微信小程序,web,2025-07-12 11:44:27,1
D0000181,U003066,Windows,网页,web,2026-07-17 23:27:45,1
D0000182,U001495,iOS,星购App,5.8.0,2025-09-30 00:46:22,1
D0000183,U001666,Windows,网页,5.9.1,2025-03-22 07:13:44,1
D0000184,U002828,Android,星购App,5.8.0,2026-01-09 06:29:54,1
D0000185,U002388,Android,微信小程序,6.0.0,2025-11-19 14:00:38,1
D0000186,U002132,Android,星购App,5.9.1,2025-10-31 22:57:56,1
D0000187,U001452,iOS,星购App,6.0.0,2025-08-12 02:34:23,1
D0000188,U000407,Android,星购App,5.9.1,2026-07-08 04:17:53,1
D0000189,U002788,Windows,微信小程序,6.0.0,2025-01-11 03:21:06,1
D0000190,U000737,Android,网页,5.9.1,2025-12-26 00:51:17,1
D0000191,U003904,Android,微信小程序,5.8.0,2025-06-19 04:01:00,1
D0000192,U002508,iOS,星购App,5.8.0,2025-06-11 18:51:41,1
D0000193,U002297,macOS,星购App,6.0.0,2025-05-30 23:29:36,1
D0000194,U004925,iOS,星购App,5.9.1,2026-03-29 08:54:24,1
D0000195,U000657,iOS,星购App,5.8.0,2026-05-02 09:40:48,1
D0000196,U002826,iOS,微信小程序,6.0.0,2025-07-28 01:07:54,1
D0000197,U000286,iOS,星购App,web,2025-09-14 17:54:43,1
D0000198,U003297,Windows,网页,6.0.0,2025-08-05 14:44:00,1
D0000199,U004490,Android,微信小程序,5.9.1,2025-09-25 01:34:37,1
D0000200,U002240,Android,星购App,5.8.0,2025-06-07 10:08:02,1
D0000201,U004460,Android,网页,5.9.1,2026-07-21 12:32:44,1
D0000202,U001641,Android,星购App,5.9.1,2025-03-09 20:44:12,1
D0000203,U001377,Android,微信小程序,5.8.0,2026-08-02 03:12:49,1
D0000204,U004667,Windows,星购App,6.0.0,2025-10-09 03:42:09,1
D0000205,U001817,Windows,微信小程序,5.9.1,2025-03-17 19:39:51,1
D0000206,U001738,iOS,网页,5.9.1,2026-07-04 01:49:00,1
D0000207,U000156,Android,微信小程序,6.0.0,2026-05-13 13:29:36,1
D0000208,U002756,Android,网页,5.9.1,2025-12-31 21:34:48,1
D0000209,U000983,macOS,星购App,5.8.0,2025-02-22 11:37:28,1
D0000210,U001552,iOS,星购App,5.9.1,2026-01-25 05:24:17,1
D0000211,U000126,Windows,星购App,5.8.0,2025-04-05 07:39:12,1
D0000212,U001542,Android,星购App,5.9.1,2026-02-13 12:10:04,1
D0000213,U001003,iOS,微信小程序,5.9.1,2026-02-06 11:48:39,1
D0000214,U003281,Android,星购App,5.8.0,2025-07-08 21:19:56,1
D0000215,U003084,Windows,微信小程序,5.9.1,2026-06-02 11:03:12,1
D0000216,U001587,Android,微信小程序,5.8.0,2026-01-15 05:23:16,1
D0000217,U004132,Android,网页,6.0.0,2025-07-10 19:48:38,1
D0000218,U000286,Windows,网页,6.0.0,2025-11-30 05:18:48,1
D0000219,U003209,iOS,星购App,5.9.1,2026-08-13 21:43:16,1
D0000220,U003339,Android,网页,5.8.0,2025-12-27 02:20:44,1
D0000221,U001883,iOS,网页,5.9.1,2026-05-15 22:25:16,1
D0000222,U000020,macOS,微信小程序,web,2026-03-01 03:06:23,1
D0000223,U004140,Android,网页,6.0.0,2025-07-27 23:12:03,1
D0000224,U003222,Android,星购App,5.9.1,2025-08-19 03:49:29,1
D0000225,U000225,Android,网页,5.9.1,2025-06-10 19:36:47,1
D0000226,U002942,Windows,星购App,5.9.1,2025-05-11 11:00:28,1
D0000227,U000869,iOS,星购App,6.0.0,2026-04-02 05:31:46,1
D0000228,U003715,Android,微信小程序,6.0.0,2025-07-08 13:17:53,1
D0000229,U002693,iOS,星购App,5.9.1,2025-03-30 15:56:42,1
D0000230,U004171,iOS,星购App,6.0.0,2025-05-21 03:58:22,1
D0000231,U004141,Windows,星购App,6.0.0,2025-08-20 16:25:21,1
D0000232,U001183,macOS,星购App,web,2026-08-08 07:27:59,1
D0000233,U003485,iOS,网页,5.9.1,2026-05-20 12:14:18,1
D0000234,U004812,Windows,微信小程序,5.8.0,2026-04-25 10:19:23,1
D0000235,U002122,Android,星购App,6.0.0,2025-09-16 03:02:21,1
D0000236,U004203,Windows,星购App,5.8.0,2025-10-03 00:44:26,1
D0000237,U001134,Windows,星购App,5.9.1,2026-02-09 23:22:32,1
D0000238,U003705,iOS,星购App,5.8.0,2026-08-17 21:58:24,1
D0000239,U000078,Android,网页,6.0.0,2025-04-14 22:08:11,1
D0000240,U001768,Android,微信小程序,5.9.1,2026-02-04 01:28:58,1
D0000241,U001169,iOS,星购App,5.8.0,2025-06-06 06:04:32,1
D0000242,U004552,iOS,微信小程序,5.9.1,2026-06-01 00:11:35,1
D0000243,U003686,Android,微信小程序,6.0.0,2026-04-15 08:20:42,1
D0000244,U001658,Android,星购App,6.0.0,2025-02-20 21:45:55,1
D0000245,U003795,iOS,网页,web,2025-04-24 21:05:31,1
D0000246,U003447,macOS,星购App,5.9.1,2026-06-06 21:27:45,1
D0000247,U002826,Android,星购App,web,2025-04-17 22:43:56,1
D0000248,U001809,Android,星购App,5.8.0,2026-04-08 04:00:58,1
D0000249,U004840,Android,星购App,6.0.0,2025-05-03 16:14:01,1
D0000250,U002027,macOS,网页,5.9.1,2026-03-12 07:21:52,1
D0000251,U004592,iOS,星购App,6.0.0,2025-02-24 20:43:17,1
D0000252,U000967,Android,微信小程序,5.9.1,2025-06-21 22:44:17,1
D0000253,U002193,iOS,网页,5.9.1,2025-01-17 09:38:39,1
D0000254,U003138,macOS,网页,6.0.0,2025-03-28 20:41:12,1
D0000255,U000216,iOS,星购App,5.8.0,2025-02-02 14:30:16,1
D0000256,U003884,iOS,星购App,5.8.0,2025-08-13 15:35:35,1
D0000257,U000567,Android,星购App,6.0.0,2025-03-28 02:37:20,1
D0000258,U004421,Windows,星购App,5.8.0,2026-08-02 13:09:47,1
D0000259,U000244,Android,星购App,5.9.1,2025-06-15 05:49:41,1
D0000260,U001163,Android,网页,6.0.0,2025-07-23 23:42:45,1
D0000261,U002542,iOS,星购App,5.9.1,2026-07-27 20:26:15,1
D0000262,U000165,iOS,星购App,6.0.0,2026-07-04 18:43:30,1
D0000263,U001620,iOS,网页,web,2025-07-02 12:23:54,1
D0000264,U002199,Android,星购App,5.8.0,2026-02-03 10:48:41,1
D0000265,U003535,Windows,星购App,web,2026-04-06 07:10:42,1
D0000266,U001755,Android,星购App,5.9.1,2026-06-30 17:12:52,1
D0000267,U003799,Android,网页,6.0.0,2026-02-22 04:51:30,1
D0000268,U001379,Windows,星购App,5.9.1,2025-06-19 17:22:13,1
D0000269,U001684,Android,星购App,5.9.1,2026-04-20 07:35:38,1
D0000270,U004144,Android,网页,6.0.0,2025-01-24 04:16:00,1
D0000271,U002229,Windows,星购App,web,2025-03-16 10:24:09,1
D0000272,U002500,Android,星购App,5.9.1,2025-06-02 12:56:01,1
D0000273,U002243,Android,微信小程序,5.9.1,2025-07-20 10:12:42,1
D0000274,U003520,Android,微信小程序,5.9.1,2026-04-08 10:45:26,1
D0000275,U000471,Windows,星购App,5.9.1,2025-02-26 00:32:45,1
D0000276,U001094,iOS,星购App,5.9.1,2026-07-11 22:48:16,1
D0000277,U002631,Android,星购App,5.9.1,2026-01-01 12:55:21,1
D0000278,U002682,iOS,网页,6.0.0,2026-07-10 11:21:14,1
D0000279,U001298,iOS,星购App,5.8.0,2026-02-14 23:38:36,1
D0000280,U001083,Android,微信小程序,6.0.0,2025-12-25 09:27:57,1
D0000281,U000817,Android,网页,6.0.0,2025-08-14 20:53:17,1
D0000282,U001384,Android,微信小程序,5.8.0,2026-01-17 13:18:19,1
D0000283,U001761,iOS,星购App,5.8.0,2026-04-10 02:21:04,1
D0000284,U001950,Android,微信小程序,5.9.1,2025-01-03 20:36:41,1
D0000285,U000500,Android,星购App,5.8.0,2025-06-18 09:26:50,1
D0000286,U003278,Android,微信小程序,web,2025-07-12 16:33:56,1
D0000287,U004165,Android,微信小程序,5.8.0,2025-09-24 10:04:10,1
D0000288,U004360,iOS,星购App,6.0.0,2025-09-17 17:27:30,1
D0000289,U000940,Android,微信小程序,5.8.0,2026-03-13 02:40:40,1
D0000290,U001372,iOS,网页,6.0.0,2025-12-06 11:42:22,1
D0000291,U000227,iOS,星购App,6.0.0,2025-07-29 11:53:21,1
D0000292,U001270,Android,星购App,5.9.1,2026-08-08 16:59:25,1
D0000293,U004744,iOS,微信小程序,5.9.1,2025-02-28 00:53:31,1
D0000294,U003430,Android,网页,6.0.0,2025-12-26 08:28:07,1
D0000295,U000906,iOS,星购App,5.8.0,2025-09-14 14:42:18,1
D0000296,U000797,iOS,微信小程序,web,2026-02-25 16:16:17,1
D0000297,U000660,iOS,星购App,5.8.0,2026-07-06 14:03:58,1
D0000298,U001056,iOS,星购App,web,2026-06-28 00:34:55,1
D0000299,U001315,Android,星购App,6.0.0,2025-08-02 06:51:55,1
D0000300,U002891,macOS,微信小程序,6.0.0,2025-10-30 05:49:17,1
D0000301,U001554,Android,星购App,5.8.0,2025-09-25 02:16:04,1
D0000302,U004942,Android,星购App,5.8.0,2026-03-16 10:27:34,1
D0000303,U002251,iOS,微信小程序,5.9.1,2026-01-28 17:35:34,1
D0000304,U000513,Android,网页,web,2025-01-17 08:38:23,1
D0000305,U002889,Windows,星购App,web,2026-08-11 15:47:45,1
D0000306,U001332,iOS,星购App,5.8.0,2025-06-16 23:26:22,1
D0000307,U002616,iOS,星购App,5.8.0,2026-02-10 06:05:05,1
D0000308,U003470,Android,网页,5.8.0,2025-01-17 20:57:52,1
D0000309,U002915,Android,星购App,6.0.0,2025-03-07 21:27:47,1
D0000310,U004053,iOS,网页,5.8.0,2025-09-05 05:56:37,1
D0000311,U004711,iOS,网页,6.0.0,2025-02-03 10:45:00,1
D0000312,U000430,iOS,星购App,6.0.0,2025-03-12 05:43:31,1
D0000313,U004084,iOS,微信小程序,6.0.0,2026-07-05 14:21:52,1
D0000314,U004240,iOS,星购App,5.9.1,2025-08-01 23:53:46,1
D0000315,U002274,Android,星购App,5.9.1,2026-01-12 09:02:13,1
D0000316,U004086,Android,星购App,5.8.0,2025-06-14 18:17:15,1
D0000317,U002943,iOS,网页,5.8.0,2025-12-15 04:37:57,1
D0000318,U004727,Windows,星购App,6.0.0,2025-01-22 07:09:14,1
D0000319,U000255,iOS,网页,5.9.1,2025-07-12 11:23:31,1
D0000320,U004788,Android,网页,6.0.0,2025-08-26 08:57:09,1
D0000321,U001262,iOS,星购App,5.9.1,2025-07-05 23:44:18,1
D0000322,U003175,Android,星购App,web,2025-05-10 08:33:29,1
D0000323,U002568,Android,网页,5.8.0,2025-01-24 02:28:05,1
D0000324,U003458,Windows,微信小程序,5.9.1,2025-07-29 07:11:16,1
D0000325,U001422,Android,微信小程序,5.9.1,2026-05-04 02:17:12,1
D0000326,U000067,Windows,星购App,5.9.1,2025-11-21 16:22:30,1
D0000327,U004973,iOS,星购App,5.9.1,2026-01-16 21:31:59,1
D0000328,U000352,Android,星购App,web,2025-08-05 17:12:37,1
D0000329,U000133,iOS,星购App,5.9.1,2026-02-17 02:50:05,1
D0000330,U004596,Android,星购App,5.9.1,2025-08-23 19:50:44,1
D0000331,U004138,Android,星购App,6.0.0,2026-04-05 01:36:06,1
D0000332,U001127,Android,星购App,5.8.0,2025-07-14 18:44:56,1
D0000333,U002067,iOS,网页,web,2025-05-16 00:17:30,1
D0000334,U002739,iOS,星购App,5.9.1,2026-06-30 19:01:29,1
D0000335,U000754,iOS,星购App,6.0.0,2026-06-23 02:48:46,1
D0000336,U003586,Android,微信小程序,5.8.0,2026-04-24 03:46:58,1
D0000337,U004033,iOS,微信小程序,6.0.0,2025-11-18 02:59:00,1
D0000338,U002978,Android,星购App,6.0.0,2026-01-30 06:22:31,1
D0000339,U003332,Android,星购App,6.0.0,2025-08-04 04:31:38,1
D0000340,U002702,Android,星购App,5.9.1,2025-08-04 00:28:21,1
D0000341,U003668,Android,网页,6.0.0,2026-04-25 14:20:54,1
D0000342,U004978,iOS,星购App,5.8.0,2026-04-02 22:59:51,1
D0000343,U003710,iOS,网页,6.0.0,2025-10-24 17:36:01,1
D0000344,U000636,iOS,星购App,5.8.0,2025-08-12 17:13:20,1
D0000345,U003010,Android,星购App,5.9.1,2025-10-15 08:40:45,1
D0000346,U003058,iOS,星购App,5.9.1,2025-12-31 14:17:10,1
D0000347,U002942,iOS,网页,5.9.1,2026-04-15 18:35:27,1
D0000348,U001905,iOS,星购App,6.0.0,2025-04-24 09:23:46,1
D0000349,U000164,macOS,星购App,6.0.0,2026-08-21 21:09:54,1
D0000350,U001295,iOS,星购App,5.8.0,2025-04-06 13:03:18,1
D0000351,U003135,iOS,星购App,web,2026-01-30 02:07:30,1
D0000352,U003625,iOS,星购App,5.9.1,2026-06-10 11:58:13,1
D0000353,U002049,iOS,星购App,5.9.1,2025-08-05 20:56:09,1
D0000354,U002465,iOS,网页,6.0.0,2025-09-23 12:30:52,1
D0000355,U002505,Android,微信小程序,5.9.1,2025-12-16 02:22:24,1
D0000356,U003722,Android,微信小程序,5.8.0,2025-12-03 12:58:02,1
D0000357,U004802,Windows,星购App,6.0.0,2025-04-29 06:14:33,1
D0000358,U003220,Android,网页,5.9.1,2026-02-11 01:06:18,1
D0000359,U000371,iOS,星购App,web,2026-03-07 12:59:39,1
D0000360,U004153,iOS,星购App,5.8.0,2025-07-02 01:10:57,1
D0000361,U004081,macOS,星购App,5.8.0,2026-01-15 07:13:26,1
D0000362,U004113,Android,星购App,5.9.1,2025-12-23 04:58:58,1
D0000363,U002840,iOS,星购App,5.9.1,2025-04-04 02:23:55,1
D0000364,U001880,iOS,星购App,5.9.1,2025-03-04 11:48:42,1
D0000365,U001529,Windows,星购App,5.9.1,2025-12-31 19:38:30,1
D0000366,U004329,Android,星购App,6.0.0,2025-01-10 17:50:01,1
D0000367,U001256,iOS,星购App,5.9.1,2025-03-07 07:54:08,1
D0000368,U002353,iOS,星购App,5.9.1,2025-07-23 05:59:22,1
D0000369,U002369,iOS,星购App,5.9.1,2025-07-01 17:18:39,1
D0000370,U001314,iOS,微信小程序,6.0.0,2025-03-14 11:35:25,1
D0000371,U002239,iOS,网页,5.9.1,2026-08-19 19:44:11,1
D0000372,U002037,Windows,星购App,5.9.1,2026-01-14 19:41:57,1
D0000373,U004582,Android,星购App,web,2025-08-23 04:23:37,1
