relation_id,user_id,tag_id,score,assigned_at,source
UTR00000032,U000274,TAG09,0.5976,2026-07-21 22:27:38,rule
UTR00000033,U000966,TAG08,0.8836,2025-01-12 15:23:52,rule
UTR00000034,U001006,TAG14,0.5835,2025-07-08 20:28:42,model
UTR00000035,U002181,TAG08,0.5653,2025-04-30 11:24:50,model
UTR00000036,U003064,TAG07,0.9126,2026-03-24 02:53:03,rule
UTR00000037,U003123,TAG11,0.7966,2025-05-05 03:10:00,model
UTR00000038,U002126,TAG12,0.5922,2026-08-10 02:01:43,model
UTR00000039,U001023,TAG15,0.5899,2026-03-29 15:07:48,model
UTR00000040,U002773,TAG06,0.5663,2025-11-18 21:28:29,rule
UTR00000041,U003275,TAG05,0.8127,2025-08-08 16:04:34,manual
UTR00000042,U001535,TAG05,0.8207,2025-01-13 08:08:25,rule
UTR00000043,U000589,TAG16,0.5916,2025-07-12 20:46:14,rule
UTR00000044,U004904,TAG11,0.6038,2026-01-11 07:05:14,rule
UTR00000045,U002361,TAG08,0.9893,2025-07-02 22:48:01,model
UTR00000046,U000791,TAG14,0.6129,2025-07-03 02:17:49,rule
UTR00000047,U003655,TAG11,0.5736,2026-07-12 12:02:06,rule
UTR00000048,U001095,TAG04,0.9467,2026-04-20 18:52:05,rule
UTR00000049,U000447,TAG03,0.7092,2025-01-04 22:23:08,rule
UTR00000050,U000212,TAG12,0.934,2025-04-13 13:22:31,rule
UTR00000051,U004143,TAG15,0.7835,2025-10-07 23:01:20,model
UTR00000052,U002376,TAG09,0.9238,2025-09-17 06:23:38,model
UTR00000053,U000270,TAG15,0.5793,2025-08-18 20:50:25,rule
UTR00000054,U000279,TAG13,0.5659,2026-02-17 05:02:45,model
UTR00000055,U003887,TAG12,0.5726,2025-02-24 04:40:26,model
UTR00000056,U004720,TAG13,0.5945,2025-01-06 03:06:08,model
UTR00000057,U002582,TAG10,0.75,2025-03-18 13:29:41,model
UTR00000058,U004363,TAG10,0.9771,2025-07-11 11:28:16,rule
UTR00000059,U004208,TAG10,0.5869,2026-06-29 00:03:18,rule
UTR00000060,U001703,TAG08,0.9759,2025-11-10 05:13:04,rule
UTR00000061,U004812,TAG05,0.797,2025-10-27 10:16:03,rule
UTR00000062,U002397,TAG13,0.8629,2025-10-07 19:43:02,model
UTR00000063,U002579,TAG08,0.8961,2026-01-07 10:05:33,rule
UTR00000064,U004822,TAG09,0.7451,2026-02-01 01:58:50,rule
UTR00000065,U004286,TAG16,0.6193,2025-01-11 01:25:22,model
UTR00000066,U004052,TAG10,0.6998,2025-09-29 12:17:52,rule
UTR00000067,U004014,TAG15,0.9474,2026-05-23 11:48:16,rule
UTR00000068,U003206,TAG16,0.9145,2025-03-20 05:27:22,rule
UTR00000069,U003526,TAG04,0.5569,2025-04-12 04:12:08,rule
UTR00000070,U000578,TAG11,0.737,2025-05-12 23:00:31,model
UTR00000071,U003093,TAG12,0.6379,2025-01-30 05:15:53,rule
UTR00000072,U002877,TAG13,0.849,2025-09-04 18:57:31,rule
UTR00000073,U003731,TAG15,0.749,2026-02-21 23:28:34,rule
UTR00000074,U002497,TAG15,0.8199,2025-09-17 17:51:33,model
UTR00000075,U000969,TAG11,0.9338,2025-05-16 00:45:49,model
UTR00000076,U002275,TAG06,0.9574,2026-01-19 04:28:17,rule
UTR00000077,U004626,TAG12,0.7254,2025-11-16 02:52:21,model
UTR00000078,U004408,TAG13,0.6078,2026-06-24 04:39:52,rule
UTR00000079,U000564,TAG07,0.9957,2025-08-19 07:22:21,rule
UTR00000080,U000505,TAG13,0.6482,2025-08-14 20:39:00,rule
UTR00000081,U002992,TAG03,0.7077,2026-08-12 20:09:16,model
UTR00000082,U004492,TAG05,0.6842,2026-06-08 18:06:33,rule
UTR00000083,U000110,TAG06,0.9273,2026-04-28 18:31:07,model
UTR00000084,U001374,TAG01,0.6305,2026-05-06 07:50:53,rule
UTR00000085,U003106,TAG04,0.5628,2025-03-06 07:20:49,rule
UTR00000086,U001990,TAG02,0.8227,2025-06-08 00:15:44,rule
UTR00000087,U002674,TAG07,0.8488,2025-10-26 20:21:42,model
UTR00000088,U004539,TAG09,0.5596,2025-05-16 06:37:20,rule
UTR00000089,U004202,TAG16,0.6464,2025-07-08 14:56:52,rule
UTR00000090,U002592,TAG06,0.6083,2025-12-24 21:53:23,rule
UTR00000091,U002440,TAG04,0.6284,2026-02-21 17:51:03,model
UTR00000092,U003477,TAG15,0.9617,2026-03-18 09:27:50,model
UTR00000093,U001055,TAG16,0.7327,2025-09-15 02:50:04,rule
UTR00000094,U004431,TAG02,0.6717,2026-01-16 07:25:47,model
UTR00000095,U002590,TAG08,0.7492,2025-12-23 07:29:27,rule
UTR00000096,U004418,TAG09,0.5694,2025-10-20 16:55:09,model
UTR00000097,U001812,TAG06,0.5663,2026-02-03 16:31:05,model
UTR00000098,U001081,TAG13,0.8433,2026-05-08 16:41:11,rule
UTR00000099,U002207,TAG11,0.7529,2025-03-23 07:30:29,rule
UTR00000100,U004376,TAG07,0.6017,2025-08-07 12:36:38,rule
UTR00000101,U004114,TAG10,0.589,2025-10-15 07:12:41,rule
UTR00000102,U004152,TAG10,0.5583,2026-04-04 18:03:23,manual
UTR00000103,U001290,TAG04,0.762,2026-03-23 22:10:49,rule
UTR00000104,U004928,TAG14,0.9308,2025-08-20 16:17:43,model
UTR00000105,U002969,TAG06,0.5531,2025-05-20 04:30:20,model
UTR00000106,U004477,TAG10,0.7213,2025-07-06 03:27:59,model
UTR00000107,U000024,TAG01,0.5953,2026-08-18 08:11:12,model
UTR00000108,U004535,TAG10,0.7607,2025-05-27 13:16:33,model
UTR00000109,U001345,TAG01,0.6803,2025-08-24 23:28:19,model
UTR00000110,U000429,TAG12,0.6052,2026-03-28 03:59:53,rule
UTR00000111,U003488,TAG09,0.9151,2025-07-21 13:22:41,rule
UTR00000112,U002139,TAG14,0.6524,2025-02-24 09:20:58,rule
UTR00000113,U001304,TAG12,0.9878,2025-05-28 03:51:44,model
UTR00000114,U003411,TAG02,0.6291,2025-02-18 11:28:30,model
UTR00000115,U003051,TAG02,0.6405,2025-06-11 13:02:26,rule
UTR00000116,U001701,TAG14,0.5779,2025-03-16 21:43:55,rule
UTR00000117,U004071,TAG03,0.8875,2025-07-27 05:28:59,model
UTR00000118,U000753,TAG09,0.6397,2025-11-06 22:12:07,rule
UTR00000119,U001981,TAG15,0.595,2025-05-31 23:31:25,rule
UTR00000120,U000760,TAG14,0.7776,2026-06-27 07:11:27,rule
UTR00000121,U000968,TAG16,0.7581,2026-01-06 23:44:39,rule
UTR00000122,U001114,TAG09,0.7323,2025-01-06 10:45:28,rule
UTR00000123,U003899,TAG13,0.7485,2025-10-30 17:25:18,model
UTR00000124,U002949,TAG06,0.9676,2025-01-11 19:25:43,model
UTR00000125,U000615,TAG01,0.8822,2026-03-26 17:47:35,rule
UTR00000126,U000134,TAG08,0.7295,2025-02-19 00:56:54,model
UTR00000127,U001702,TAG08,0.7949,2026-03-05 05:30:42,model
UTR00000128,U002649,TAG13,0.676,2025-08-30 21:04:57,model
UTR00000129,U001726,TAG04,0.6706,2026-05-22 10:08:20,model
UTR00000130,U000347,TAG12,0.9631,2026-01-05 11:27:49,model
UTR00000131,U000447,TAG08,0.7806,2025-07-20 21:29:06,model
UTR00000132,U004092,TAG08,0.8304,2025-01-02 19:36:04,manual
UTR00000133,U000069,TAG07,0.8179,2025-04-03 07:29:00,model
UTR00000134,U004017,TAG06,0.631,2025-06-16 01:22:51,rule
UTR00000135,U004429,TAG05,0.9728,2026-01-20 03:24:36,model
UTR00000136,U004938,TAG07,0.9446,2026-07-01 05:52:31,model
UTR00000137,U002207,TAG04,0.6407,2026-08-16 22:06:36,model
UTR00000138,U002778,TAG13,0.7523,2025-01-02 19:34:12,rule
UTR00000139,U000504,TAG02,0.6719,2025-12-03 09:56:11,model
UTR00000140,U000815,TAG09,0.6346,2025-07-14 11:17:33,manual
UTR00000141,U002501,TAG07,0.6474,2025-11-22 07:40:45,model
UTR00000142,U002857,TAG06,0.8949,2025-04-05 00:54:21,model
UTR00000143,U002176,TAG01,0.8206,2025-05-20 02:02:14,model
UTR00000144,U002809,TAG09,0.8481,2025-06-14 20:02:18,model
UTR00000145,U001747,TAG09,0.5536,2025-05-20 06:33:42,rule
UTR00000146,U001299,TAG14,0.9447,2025-08-12 18:56:28,model
UTR00000147,U002397,TAG06,0.5749,2025-02-09 03:44:17,rule
UTR00000148,U003007,TAG15,0.5632,2026-07-21 05:55:18,rule
UTR00000149,U000282,TAG05,0.6911,2025-08-19 22:58:37,rule
UTR00000150,U001842,TAG13,0.9245,2026-02-13 15:57:40,model
UTR00000151,U002220,TAG09,0.6277,2025-12-24 16:34:51,model
UTR00000152,U004693,TAG05,0.8623,2026-02-21 11:02:55,model
UTR00000153,U004649,TAG06,0.7274,2025-07-13 09:27:33,rule
UTR00000154,U004665,TAG07,0.8328,2025-10-17 01:04:42,rule
UTR00000155,U001947,TAG01,0.6603,2025-07-05 20:09:43,rule
UTR00000156,U002743,TAG13,0.7931,2025-01-29 23:36:57,model
UTR00000157,U001177,TAG10,0.7731,2025-05-24 01:57:13,model
UTR00000158,U001352,TAG12,0.6487,2025-07-25 06:40:35,rule
UTR00000159,U001672,TAG01,0.6948,2026-02-09 06:34:04,rule
UTR00000160,U001624,TAG16,0.6282,2025-11-05 12:35:39,model
UTR00000161,U001261,TAG14,0.9758,2025-07-24 22:45:58,rule
UTR00000162,U001793,TAG14,0.993,2025-03-29 21:30:57,rule
UTR00000163,U002048,TAG05,0.8456,2025-03-22 02:39:27,rule
UTR00000164,U003412,TAG05,0.6996,2026-03-01 00:50:37,model
UTR00000165,U000063,TAG02,0.9452,2025-06-03 13:02:05,manual
UTR00000166,U003350,TAG06,0.9963,2025-08-12 21:44:00,model
UTR00000167,U001117,TAG15,0.9351,2025-02-25 18:55:04,model
UTR00000168,U003399,TAG16,0.7031,2025-03-11 15:02:17,rule
UTR00000169,U001286,TAG05,0.8659,2026-04-24 20:19:10,model
UTR00000170,U003834,TAG09,0.681,2026-07-02 08:26:55,rule
UTR00000171,U003730,TAG10,0.954,2025-06-21 02:37:06,model
UTR00000172,U002756,TAG13,0.7926,2025-04-13 16:05:19,rule
UTR00000173,U000478,TAG13,0.7783,2026-02-18 23:37:17,rule
UTR00000174,U000567,TAG07,0.8863,2025-01-24 19:26:34,rule
UTR00000175,U003032,TAG10,0.965,2025-04-09 13:57:29,rule
UTR00000176,U001722,TAG14,0.6617,2025-12-26 08:06:50,rule
UTR00000177,U003133,TAG12,0.6241,2025-07-28 15:11:03,rule
UTR00000178,U000003,TAG02,0.9699,2025-01-04 06:43:07,rule
UTR00000179,U001086,TAG03,0.7321,2025-10-19 15:05:43,rule
UTR00000180,U000231,TAG12,0.6606,2025-01-10 02:36:13,rule
UTR00000181,U002159,TAG10,0.8858,2026-03-22 13:12:30,model
UTR00000182,U003271,TAG16,0.8159,2025-11-01 20:55:38,rule
UTR00000183,U003788,TAG07,0.6918,2025-07-27 13:36:51,manual
UTR00000184,U002643,TAG14,0.9961,2025-02-03 15:02:17,rule
UTR00000185,U003876,TAG12,0.9364,2026-01-30 23:20:20,rule
UTR00000186,U003321,TAG04,0.5706,2026-06-23 09:33:39,manual
UTR00000187,U001224,TAG14,0.5699,2025-10-28 08:58:18,model
UTR00000188,U002861,TAG10,0.9477,2025-03-09 01:02:52,rule
UTR00000189,U004338,TAG07,0.7366,2025-09-05 22:41:56,rule
UTR00000190,U001976,TAG03,0.6853,2025-11-29 11:59:56,rule
UTR00000191,U004124,TAG14,0.8943,2025-11-02 19:02:58,rule
UTR00000192,U003556,TAG04,0.6173,2025-04-06 11:40:22,model
UTR00000193,U002757,TAG13,0.7817,2026-06-01 08:50:46,rule
UTR00000194,U003703,TAG10,0.9355,2025-02-13 12:12:30,model
UTR00000195,U003819,TAG05,0.601,2026-03-06 23:29:03,model
UTR00000196,U001457,TAG07,0.5875,2025-12-26 08:14:38,model
UTR00000197,U004041,TAG06,0.9892,2026-05-11 08:43:53,model
UTR00000198,U003455,TAG05,0.7053,2026-05-22 16:58:41,rule
UTR00000199,U003803,TAG01,0.9892,2025-01-31 16:49:12,model
UTR00000200,U002468,TAG01,0.8655,2025-08-06 19:41:31,model
UTR00000201,U003415,TAG06,0.714,2025-03-31 00:27:35,model
UTR00000202,U004156,TAG02,0.7388,2026-05-25 20:05:23,model
UTR00000203,U001174,TAG11,0.898,2026-07-18 14:12:05,rule
UTR00000204,U002250,TAG11,0.6099,2025-05-30 15:15:22,model
UTR00000205,U002737,TAG10,0.6848,2026-03-14 02:25:28,rule
UTR00000206,U002960,TAG14,0.9665,2025-08-24 08:14:20,model
UTR00000207,U002565,TAG01,0.964,2025-10-03 23:08:41,rule
UTR00000208,U001163,TAG06,0.6113,2026-02-15 00:40:06,rule
UTR00000209,U004952,TAG09,0.7115,2025-11-13 06:09:28,model
UTR00000210,U002094,TAG05,0.717,2025-10-24 07:01:27,rule
UTR00000211,U002917,TAG11,0.8062,2025-10-07 20:45:55,rule
UTR00000212,U000381,TAG06,0.779,2025-09-16 13:01:07,rule
UTR00000213,U004093,TAG09,0.624,2025-04-26 16:22:49,rule
UTR00000214,U004117,TAG03,0.9835,2026-04-27 07:43:48,model
UTR00000215,U002975,TAG13,0.7821,2026-04-06 06:04:05,model
UTR00000216,U001515,TAG07,0.8005,2025-01-13 09:55:40,model
UTR00000217,U001972,TAG07,0.5533,2025-06-11 00:37:02,model
UTR00000218,U002804,TAG04,0.5929,2026-03-19 00:33:41,rule
UTR00000219,U003424,TAG11,0.8585,2026-08-21 15:18:10,rule
UTR00000220,U003546,TAG11,0.7508,2025-06-05 03:33:59,rule
UTR00000221,U000221,TAG04,0.7951,2026-05-24 04:28:22,model
UTR00000222,U002534,TAG13,0.8105,2026-06-08 06:36:27,rule
UTR00000223,U002192,TAG06,0.6701,2025-11-02 21:50:04,rule
UTR00000224,U002351,TAG01,0.7527,2025-10-02 00:02:22,model
UTR00000225,U001565,TAG05,0.6973,2025-08-18 20:24:01,model
UTR00000226,U000988,TAG02,0.7337,2026-08-19 10:16:26,model
UTR00000227,U003692,TAG10,0.5739,2025-12-06 08:46:57,rule
UTR00000228,U000785,TAG12,0.8025,2025-05-29 09:52:11,rule
UTR00000229,U002620,TAG07,0.8684,2026-06-05 19:23:50,manual
UTR00000230,U002603,TAG01,0.5938,2025-08-10 09:02:46,model
UTR00000231,U002391,TAG01,0.8363,2026-02-24 01:18:30,model
UTR00000232,U004168,TAG06,0.8007,2025-03-28 20:00:29,model
UTR00000233,U003680,TAG14,0.7647,2026-08-07 02:07:22,model
UTR00000234,U001687,TAG16,0.5504,2026-01-18 04:43:21,model
UTR00000235,U000137,TAG15,0.729,2026-08-20 13:20:04,model
UTR00000236,U000498,TAG01,0.5518,2026-01-17 23:19:14,rule
UTR00000237,U003885,TAG15,0.7427,2026-02-20 06:31:02,rule
UTR00000238,U004269,TAG12,0.9639,2025-11-15 06:30:12,model
UTR00000239,U004571,TAG15,0.6584,2025-01-31 22:01:28,rule
UTR00000240,U002940,TAG13,0.7302,2025-04-24 07:39:53,rule
UTR00000241,U002185,TAG13,0.6048,2025-02-05 05:46:20,rule
UTR00000242,U001336,TAG01,0.7503,2026-02-18 12:32:59,model
UTR00000243,U002276,TAG14,0.6616,2025-05-25 04:57:30,rule
UTR00000244,U000349,TAG09,0.7681,2025-11-25 10:56:24,model
UTR00000245,U003141,TAG15,0.9968,2025-10-07 21:31:11,rule
UTR00000246,U001903,TAG09,0.6165,2025-10-12 17:16:16,model
UTR00000247,U002358,TAG06,0.7755,2025-05-19 17:13:05,rule
UTR00000248,U002390,TAG10,0.6453,2025-05-24 21:30:23,rule
UTR00000249,U001887,TAG07,0.8139,2025-05-16 02:09:46,model
UTR00000250,U002473,TAG14,0.6447,2025-01-23 14:42:40,model
UTR00000251,U000229,TAG14,0.8398,2026-06-06 20:28:45,rule
UTR00000252,U004352,TAG01,0.928,2025-11-09 08:41:57,rule
UTR00000253,U004152,TAG13,0.8349,2025-04-16 12:40:47,model
UTR00000254,U003755,TAG09,0.8824,2025-11-17 03:13:07,rule
UTR00000255,U002720,TAG16,0.6706,2025-09-10 09:51:18,model
UTR00000256,U004789,TAG11,0.8247,2025-11-23 21:42:48,rule
UTR00000257,U004689,TAG13,0.6286,2025-09-18 07:23:07,rule
UTR00000258,U004525,TAG14,0.9345,2025-03-14 09:33:48,rule
UTR00000259,U003551,TAG08,0.8843,2025-06-15 07:33:04,rule
UTR00000260,U003801,TAG09,0.6776,2025-02-19 13:10:00,rule
UTR00000261,U004877,TAG09,0.9811,2025-11-06 17:23:47,model
UTR00000262,U001795,TAG13,0.9535,2025-07-08 12:53:29,rule
UTR00000263,U000056,TAG16,0.6539,2025-09-20 21:00:12,model
UTR00000264,U002619,TAG07,0.7337,2026-08-11 22:18:43,rule
UTR00000265,U004118,TAG16,0.9178,2026-05-05 10:49:12,model
UTR00000266,U001109,TAG16,0.9766,2025-07-14 20:55:47,model
UTR00000267,U003297,TAG16,0.5843,2025-05-25 11:26:30,rule
UTR00000268,U002268,TAG11,0.7986,2025-04-12 23:59:07,model
UTR00000269,U003085,TAG10,0.9048,2025-06-17 21:49:56,rule
UTR00000270,U002316,TAG10,0.8958,2025-08-13 02:01:14,model
UTR00000271,U004965,TAG11,0.8692,2026-04-02 08:14:59,rule
UTR00000272,U003463,TAG04,0.6335,2026-06-05 17:47:51,rule
UTR00000273,U003789,TAG06,0.8192,2025-06-04 17:45:39,model
UTR00000274,U004763,TAG12,0.7412,2026-03-05 03:27:53,rule
UTR00000275,U002516,TAG08,0.582,2025-11-10 16:48:08,rule
UTR00000276,U000751,TAG13,0.9855,2025-04-08 08:07:39,rule
UTR00000277,U001455,TAG02,0.5683,2025-05-20 13:47:30,rule
UTR00000278,U001645,TAG07,0.9946,2025-05-25 01:10:16,rule
UTR00000279,U003652,TAG03,0.63,2026-04-18 07:31:34,rule
UTR00000280,U002734,TAG05,0.7114,2025-12-03 03:51:14,rule
UTR00000281,U002342,TAG05,0.7452,2025-09-10 10:09:42,rule
UTR00000282,U003478,TAG13,0.7579,2025-03-16 17:05:11,model
UTR00000283,U000483,TAG02,0.8474,2025-04-21 08:34:37,model
UTR00000284,U004567,TAG12,0.9114,2025-08-22 13:58:10,rule
UTR00000285,U004379,TAG15,0.715,2026-06-08 23:49:29,rule
UTR00000286,U000068,TAG08,0.6642,2025-08-31 04:07:13,rule
UTR00000287,U000228,TAG15,0.9681,2026-07-02 05:38:14,rule
UTR00000288,U001267,TAG07,0.5755,2025-08-10 04:06:01,rule
UTR00000289,U001925,TAG16,0.7303,2025-09-16 07:00:48,model
UTR00000290,U001600,TAG03,0.6032,2025-06-12 02:32:49,rule
UTR00000291,U001169,TAG02,0.6279,2025-10-20 02:27:03,rule
UTR00000292,U003679,TAG13,0.8591,2026-06-27 04:42:01,rule
UTR00000293,U001769,TAG08,0.7884,2026-06-29 09:06:59,rule
UTR00000294,U004513,TAG11,0.6953,2026-02-10 15:53:06,model
UTR00000295,U004754,TAG05,0.9427,2025-01-11 16:16:26,rule
UTR00000296,U000962,TAG05,0.9356,2025-06-23 05:21:38,model
UTR00000297,U004732,TAG10,0.6033,2026-02-06 02:38:34,rule
UTR00000298,U001022,TAG13,0.9004,2025-05-25 16:29:00,model
UTR00000299,U000578,TAG01,0.6908,2025-06-14 07:19:43,rule
UTR00000300,U003448,TAG03,0.9688,2025-10-27 22:33:44,model
UTR00000301,U004932,TAG16,0.9701,2026-01-30 08:26:57,model
UTR00000302,U004428,TAG05,0.5837,2026-04-09 09:59:27,model
UTR00000303,U000899,TAG02,0.794,2026-05-23 16:33:55,model
UTR00000304,U004936,TAG15,0.8593,2026-06-17 03:48:36,model
UTR00000305,U000964,TAG15,0.8926,2025-07-13 14:43:08,rule
UTR00000306,U000902,TAG02,0.9096,2026-06-24 23:21:20,model
UTR00000307,U004329,TAG14,0.5938,2025-11-09 14:50:52,rule
UTR00000308,U000300,TAG13,0.7832,2025-11-05 02:42:06,rule
UTR00000309,U004756,TAG02,0.6227,2026-06-19 08:24:10,rule
UTR00000310,U002100,TAG04,0.7317,2026-05-07 11:38:53,rule
UTR00000311,U003847,TAG06,0.6604,2025-01-18 00:17:34,rule
UTR00000312,U000742,TAG02,0.9581,2026-06-27 21:39:45,model
UTR00000313,U001003,TAG06,0.9704,2026-06-30 08:04:24,model
UTR00000314,U001318,TAG01,0.9357,2025-07-12 05:17:27,rule
UTR00000315,U000019,TAG02,0.7982,2026-06-19 05:54:25,model
UTR00000316,U002987,TAG01,0.8084,2025-11-07 07:00:10,rule
UTR00000317,U002624,TAG12,0.6636,2025-12-14 01:25:35,model
UTR00000318,U003811,TAG13,0.7969,2025-09-10 21:44:31,rule
UTR00000319,U000579,TAG07,0.8494,2025-10-01 00:15:35,rule
UTR00000320,U000037,TAG12,0.6399,2025-01-06 12:51:19,rule
UTR00000321,U002605,TAG01,0.9687,2026-04-04 21:05:09,rule
UTR00000322,U002215,TAG05,0.9989,2026-07-22 18:06:55,model
UTR00000323,U000775,TAG03,0.6117,2026-05-12 18:57:47,rule
UTR00000324,U001143,TAG10,0.9567,2026-08-02 09:10:44,rule
UTR00000325,U002740,TAG03,0.7381,2025-10-31 13:45:01,model
UTR00000326,U004031,TAG01,0.8282,2025-10-11 22:22:39,manual
UTR00000327,U004716,TAG06,0.5793,2026-05-24 22:45:11,rule
UTR00000328,U000412,TAG07,0.8237,2026-05-30 07:43:52,rule
UTR00000329,U004515,TAG13,0.6859,2025-06-03 07:49:54,model
UTR00000330,U003943,TAG11,0.8309,2025-06-07 23:11:43,rule
UTR00000331,U001859,TAG05,0.566,2026-03-06 21:34:29,rule
UTR00000332,U000422,TAG10,0.8797,2025-02-07 20:39:04,rule
UTR00000333,U002064,TAG04,0.9252,2026-01-12 08:30:09,model
UTR00000334,U001386,TAG15,0.9563,2025-05-27 03:39:18,model
UTR00000335,U000055,TAG03,0.9598,2025-02-21 11:17:49,model
UTR00000336,U003960,TAG10,0.6264,2025-04-01 05:12:56,rule
UTR00000337,U000750,TAG16,0.6866,2025-02-15 12:04:00,model
UTR00000338,U001182,TAG15,0.9139,2025-10-14 22:40:51,model
UTR00000339,U004901,TAG16,0.7887,2026-01-26 10:39:09,rule
UTR00000340,U004438,TAG09,0.6385,2026-03-30 14:37:46,manual
UTR00000341,U003042,TAG08,0.593,2025-02-02 15:15:15,rule
UTR00000342,U000783,TAG01,0.8393,2025-11-11 16:41:04,rule
UTR00000343,U003788,TAG16,0.6537,2025-12-18 19:21:43,rule
UTR00000344,U003461,TAG02,0.8052,2025-08-15 05:41:20,rule
UTR00000345,U000712,TAG04,0.5995,2025-05-10 23:52:32,rule
UTR00000346,U000346,TAG16,0.994,2025-03-23 07:32:52,model
UTR00000347,U000120,TAG06,0.9259,2025-09-01 07:25:03,rule
UTR00000348,U001221,TAG12,0.8977,2025-10-02 09:16:34,model
UTR00000349,U002520,TAG05,0.9224,2025-07-23 15:02:53,rule
UTR00000350,U002425,TAG07,0.9415,2026-08-04 01:47:10,rule
UTR00000351,U003095,TAG07,0.9131,2026-07-09 23:43:04,model
UTR00000352,U001072,TAG03,0.5634,2026-04-04 06:41:03,model
UTR00000353,U003598,TAG11,0.9477,2026-02-01 14:45:01,model
UTR00000354,U001980,TAG01,0.809,2026-04-18 21:05:13,manual
UTR00000355,U003296,TAG12,0.8788,2026-03-19 05:02:29,rule
UTR00000356,U004206,TAG13,0.7206,2025-01-04 18:54:09,model
UTR00000357,U001370,TAG05,0.5835,2026-05-23 12:59:25,rule
UTR00000358,U002786,TAG01,0.9271,2026-02-26 06:23:32,model
UTR00000359,U003403,TAG10,0.8249,2026-07-13 20:07:42,model
UTR00000360,U003494,TAG14,0.5776,2025-09-18 08:11:17,model
UTR00000361,U004592,TAG12,0.8171,2026-02-21 10:37:00,rule
UTR00000362,U002565,TAG08,0.6417,2025-09-02 02:05:42,model
UTR00000363,U000717,TAG07,0.7776,2025-02-18 16:09:43,model
UTR00000364,U002372,TAG07,0.9071,2025-07-21 12:50:12,rule
UTR00000365,U004314,TAG05,0.7745,2026-02-11 19:39:11,rule
UTR00000366,U003583,TAG05,0.9831,2026-04-22 03:44:38,rule
UTR00000367,U001475,TAG09,0.6108,2025-11-05 13:03:02,model
UTR00000368,U000614,TAG10,0.6293,2026-07-15 04:30:01,model
UTR00000369,U000884,TAG07,0.7945,2026-01-06 16:52:24,rule
UTR00000370,U003865,TAG03,0.807,2026-01-20 19:38:47,model
UTR00000371,U003354,TAG13,0.6284,2025-01-20 08:37:20,model
UTR00000372,U002426,TAG02,0.7355,2026-06-22 23:10:30,manual
UTR00000373,U002451,TAG13,0.5992,2025-07-12 14:07:22,rule
UTR00000374,U001290,TAG07,0.6192,2026-08-21 22:42:20,rule
UTR00000375,U000918,TAG10,0.8606,2025-06-01 04:28:11,rule
UTR00000376,U004487,TAG05,0.6327,2025-10-06 19:27:38,rule
UTR00000377,U002126,TAG04,0.962,2025-05-10 06:19:03,rule
UTR00000378,U002913,TAG04,0.5874,2025-06-03 19:01:02,rule
UTR00000379,U001959,TAG12,0.7928,2025-07-29 13:55:56,model
UTR00000380,U001554,TAG04,0.7717,2025-02-23 12:41:22,model
UTR00000381,U001330,TAG15,0.6024,2026-08-22 18:09:21,rule
UTR00000382,U003285,TAG12,0.7391,2025-02-21 20:06:54,manual
