view_id,session_id,user_id,page_type,product_id,source_position,viewed_at,stay_seconds,scroll_depth
PV000000057,SES00013732,U004868,product,P000582,recommendation,2025-10-08 02:11:48,70,0.3853
PV000000058,SES00002270,U003261,search,,category,2025-06-24 09:27:39,43,0.2112
PV000000059,SES00002091,U002197,product,P000719,banner,2025-09-11 15:52:56,222,0.5044
PV000000060,SES00006790,U001295,product,P000862,search,2025-03-16 09:51:47,111,0.7851
PV000000061,SES00011389,U000163,home,,recommendation,2025-10-07 20:54:20,100,0.3158
PV000000062,SES00015352,U001959,category,,banner,2025-05-31 21:11:43,154,0.7596
PV000000063,SES00016879,,product,P001455,banner,2026-01-18 14:40:12,236,0.3582
PV000000064,SES00009692,U004197,home,,recommendation,2026-01-02 22:21:20,99,0.0897
PV000000065,SES00019170,U001438,product,P000886,banner,2026-08-02 13:16:59,32,0.8336
PV000000066,SES00001070,U004543,product,P001466,recommendation,2025-11-14 01:47:13,177,0.1593
PV000000067,SES00014342,U000875,category,,banner,2026-01-31 05:30:12,225,0.7568
PV000000068,SES00009620,U000348,cart,,banner,2025-10-01 19:14:25,201,0.7707
PV000000069,SES00016948,U002766,product,P000099,banner,2026-01-04 23:29:15,44,0.6082
PV000000070,SES00006744,U002686,campaign,,search,2025-05-02 05:40:36,130,0.9731
PV000000071,SES00009621,U002431,home,,category,2025-05-15 20:11:28,211,0.1939
PV000000072,SES00008001,U002690,home,,search,2025-09-18 11:58:24,118,0.9699
PV000000073,SES00009075,U000248,product,P000223,recommendation,2025-12-05 02:09:01,229,0.0645
PV000000074,SES00012221,U002970,product,P000806,recommendation,2025-04-29 18:25:05,85,0.4687
PV000000075,SES00018527,U003523,campaign,,recommendation,2025-04-27 18:15:20,158,0.15
PV000000076,SES00003074,U003806,campaign,,recommendation,2025-07-01 09:30:48,217,0.8064
PV000000077,SES00019117,U001344,search,,search,2025-11-13 04:31:21,91,0.1884
PV000000078,SES00013794,U002291,category,,search,2025-11-20 19:23:26,153,0.1361
PV000000079,SES00016327,U000049,product,P000630,category,2026-02-06 12:52:16,116,0.3635
PV000000080,SES00000031,U004616,category,,search,2026-06-30 10:39:46,115,0.8783
PV000000081,SES00014488,U000437,product,P001430,category,2026-04-20 21:11:19,212,0.2449
PV000000082,SES00001678,,product,P000532,recommendation,2026-08-19 07:42:43,31,0.7344
PV000000083,SES00019263,U000112,product,P001000,category,2026-03-07 01:00:00,122,0.3256
PV000000084,SES00017209,U002908,product,P000483,recommendation,2025-02-23 08:14:04,150,0.6489
PV000000085,SES00017020,U003743,product,P000899,banner,2025-03-05 02:56:25,230,0.2025
PV000000086,SES00016364,U002866,product,P001376,search,2026-03-30 19:13:29,92,0.1679
PV000000087,SES00019035,U000466,product,P000842,banner,2025-01-15 13:45:45,89,0.4811
PV000000088,SES00012111,U003111,category,,recommendation,2025-09-16 23:39:13,116,0.4814
PV000000089,SES00003897,U003922,product,P000399,banner,2025-04-23 08:44:29,18,0.1008
PV000000090,SES00017517,U002200,product,P000516,recommendation,2026-08-22 08:38:49,142,0.8894
PV000000091,SES00002567,U001199,search,,recommendation,2025-02-07 11:44:49,95,0.4158
PV000000092,SES00006847,U002532,search,,search,2025-10-19 05:51:12,54,0.6866
PV000000093,SES00004915,U004686,search,,banner,2026-03-03 09:16:33,40,0.4364
PV000000094,SES00014975,U000265,category,,direct,2025-08-05 07:06:54,146,0.7299
PV000000095,SES00005305,U003545,search,,search,2026-08-01 22:18:56,32,0.8272
PV000000096,SES00001727,U003214,home,,direct,2026-03-31 13:58:48,105,0.8155
PV000000097,SES00006508,U000512,campaign,,recommendation,2025-05-26 14:16:26,194,0.388
PV000000098,SES00004777,U002636,category,,category,2025-05-06 03:52:28,188,0.9759
PV000000099,SES00019506,U003484,product,P000399,category,2025-08-29 02:54:00,157,0.6328
PV000000100,SES00019202,U002075,search,,search,2025-11-15 10:08:15,195,0.7756
PV000000101,SES00016527,U002221,checkout,,recommendation,2026-02-25 06:27:59,215,0.8824
PV000000102,SES00011240,U004583,search,,direct,2025-02-12 16:05:09,202,0.2902
PV000000103,SES00012330,,search,,direct,2025-01-14 03:12:06,232,0.9092
PV000000104,SES00012378,U002520,category,,recommendation,2025-08-11 04:03:14,103,0.1627
PV000000105,SES00011547,U004538,category,,direct,2025-04-18 20:31:24,38,0.8836
PV000000106,SES00011053,U003100,product,P000107,category,2025-12-07 23:46:14,168,0.5327
PV000000107,SES00011325,U001685,home,,recommendation,2025-04-29 17:54:25,220,0.4713
PV000000108,SES00005358,U002385,product,P001006,search,2026-05-03 15:02:11,155,0.1598
PV000000109,SES00000966,U003692,category,,category,2025-08-20 03:37:40,12,0.7053
PV000000110,SES00000453,U002720,home,,banner,2025-04-05 14:55:46,234,0.2159
PV000000111,SES00010156,U000201,campaign,,banner,2025-12-23 23:20:54,217,0.23
PV000000112,SES00004479,U004304,checkout,,banner,2025-09-25 02:11:59,181,0.1241
PV000000113,SES00001504,U003880,product,P000559,recommendation,2026-03-03 00:13:44,172,0.4871
PV000000114,SES00014859,U001199,product,P000021,banner,2026-05-26 19:50:29,145,0.4004
PV000000115,SES00019031,U004149,category,,recommendation,2025-09-30 05:01:42,174,0.4195
PV000000116,SES00013151,U003244,campaign,,category,2026-07-16 15:27:24,131,0.6298
PV000000117,SES00007466,U004013,product,P001423,category,2026-03-22 16:37:38,58,0.8565
PV000000118,SES00001217,U003658,product,P000571,recommendation,2026-04-30 03:56:04,116,0.4411
PV000000119,SES00015551,U000928,category,,recommendation,2026-04-07 23:26:33,209,0.1543
PV000000120,SES00019043,U002836,product,P000772,banner,2025-01-27 04:57:39,181,0.5983
PV000000121,SES00015956,U002635,product,P000259,banner,2025-08-19 09:34:09,189,0.805
PV000000122,SES00001420,,search,,category,2025-08-22 19:24:18,47,0.919
PV000000123,SES00008927,U001166,home,,recommendation,2026-06-17 09:16:50,89,0.1403
PV000000124,SES00007242,U003386,campaign,,recommendation,2026-02-19 03:12:21,128,0.3802
PV000000125,SES00002196,U002115,checkout,,recommendation,2026-05-25 21:29:29,75,0.2668
PV000000126,SES00018956,U002167,cart,,recommendation,2025-11-23 11:45:47,177,0.8549
PV000000127,SES00007283,U001458,campaign,,recommendation,2025-01-29 19:20:17,217,0.2267
PV000000128,SES00015596,U002423,product,P000280,search,2025-10-10 02:19:42,35,0.689
PV000000129,SES00016372,U002624,checkout,,category,2025-07-15 15:18:23,3,0.4895
PV000000130,SES00001167,U004277,product,P001250,search,2025-06-18 03:26:02,94,0.4629
PV000000131,SES00008915,U003620,cart,,category,2025-03-01 03:13:43,169,0.1127
PV000000132,SES00001730,U004748,product,P000566,direct,2025-08-18 11:37:55,220,0.3059
PV000000133,SES00006539,U002690,search,,recommendation,2026-02-12 13:37:18,129,0.0207
PV000000134,SES00004353,U002100,campaign,,search,2026-07-26 22:26:17,215,0.4362
PV000000135,SES00011381,U004260,home,,direct,2025-11-04 17:06:15,141,0.1585
PV000000136,SES00002594,U002436,product,P000280,category,2025-12-09 02:33:31,93,0.5426
PV000000137,SES00010930,U004224,category,,search,2025-11-25 17:09:13,170,0.332
PV000000138,SES00001585,U001110,search,,recommendation,2025-11-18 02:10:22,228,0.3462
PV000000139,SES00016173,U004459,product,P000806,recommendation,2026-02-09 20:07:14,190,0.5605
PV000000140,SES00004651,U004400,category,,direct,2025-06-22 09:02:37,212,0.3371
PV000000141,SES00010997,U004791,campaign,,category,2025-05-21 20:45:42,128,0.1433
PV000000142,SES00015855,U000016,category,,direct,2026-05-17 04:28:12,12,0.1239
PV000000143,SES00012263,U001964,cart,,direct,2026-01-26 04:41:59,183,0.7394
PV000000144,SES00007354,U002267,campaign,,search,2025-05-19 05:22:40,20,0.5305
PV000000145,SES00008231,U003342,home,,recommendation,2026-06-15 17:33:51,17,0.9398
PV000000146,SES00009197,U004194,campaign,,direct,2025-02-22 06:22:29,184,0.9675
PV000000147,SES00007607,U004138,product,P000301,search,2025-03-16 05:45:04,192,0.8483
PV000000148,SES00002527,U003488,category,,recommendation,2026-01-22 20:27:58,213,0.8184
PV000000149,SES00014023,U000252,product,P001039,recommendation,2025-12-05 09:15:55,167,0.4099
PV000000150,SES00013710,U000565,product,P000131,recommendation,2026-03-01 17:42:37,111,0.4842
PV000000151,SES00019719,U004754,category,,search,2025-10-24 15:03:46,229,0.4551
PV000000152,SES00013506,U003391,search,,recommendation,2026-03-17 18:55:07,37,0.1145
PV000000153,SES00013976,U001880,home,,search,2025-04-06 23:17:39,237,0.7628
PV000000154,SES00010358,U003033,product,P000621,search,2026-05-23 12:35:38,122,0.5856
PV000000155,SES00005196,U000573,search,,banner,2026-04-10 05:50:54,152,0.0615
PV000000156,SES00008167,U000928,product,P000799,category,2026-02-20 22:55:59,58,0.854
PV000000157,SES00010913,U001310,category,,recommendation,2025-06-25 22:14:26,159,0.1004
PV000000158,SES00010113,U000312,category,,recommendation,2025-05-29 15:54:18,132,0.2664
PV000000159,SES00009317,U001531,search,,direct,2025-01-23 09:32:33,234,0.5982
PV000000160,SES00010980,U001960,product,P000166,direct,2025-05-09 15:04:58,101,0.3739
PV000000161,SES00008227,U000212,product,P001319,search,2025-07-20 05:15:40,21,0.3444
PV000000162,SES00011222,U002922,category,,direct,2026-06-13 13:55:29,225,0.3169
PV000000163,SES00017652,U000728,category,,banner,2025-01-15 21:52:54,125,0.3235
PV000000164,SES00015742,U004178,product,P000887,recommendation,2025-05-28 08:28:24,166,0.402
PV000000165,SES00001424,U001263,category,,direct,2026-04-18 10:30:22,27,0.5828
PV000000166,SES00003757,U002722,product,P000930,search,2025-03-12 13:14:52,168,0.3381
PV000000167,SES00018233,U004588,cart,,banner,2025-05-21 07:19:26,21,0.5889
PV000000168,SES00003134,U002366,home,,recommendation,2026-05-07 13:18:18,152,0.6088
PV000000169,SES00015317,U003961,product,P000074,recommendation,2026-02-19 15:53:20,160,0.145
PV000000170,SES00014471,U000386,search,,recommendation,2025-04-09 17:42:19,120,0.6599
PV000000171,SES00016316,U002427,home,,recommendation,2025-06-01 01:11:42,6,0.1498
PV000000172,SES00015831,,home,,recommendation,2025-03-24 13:50:16,73,0.9731
PV000000173,SES00002559,U000493,product,P000557,search,2025-07-08 17:26:50,29,0.3205
PV000000174,SES00007390,U003878,category,,banner,2025-02-12 13:58:27,154,0.2983
PV000000175,SES00019953,U004741,category,,search,2025-12-16 15:15:28,112,0.8547
PV000000176,SES00006212,U001731,home,,recommendation,2025-01-28 02:16:39,145,0.3878
PV000000177,SES00008709,U001033,product,P000842,banner,2025-10-14 11:26:55,167,0.333
PV000000178,SES00016168,U000760,search,,category,2025-10-05 07:04:21,37,0.5774
PV000000179,SES00018012,U002319,campaign,,recommendation,2026-02-05 05:49:05,106,0.5115
PV000000180,SES00012929,U001982,product,P000600,recommendation,2026-03-26 21:28:13,169,0.7848
PV000000181,SES00011811,U004104,product,P000115,direct,2025-08-28 14:13:50,77,0.9169
PV000000182,SES00013499,U001617,home,,recommendation,2026-06-15 02:52:43,205,0.2332
PV000000183,SES00016923,,product,P001264,category,2025-01-27 20:32:45,166,0.314
PV000000184,SES00017682,U002340,product,P001198,search,2025-05-31 07:57:23,177,0.1477
PV000000185,SES00015168,U004668,home,,recommendation,2026-01-21 10:16:30,176,0.1817
PV000000186,SES00012864,U004021,product,P000817,category,2025-05-26 05:10:02,165,0.9675
PV000000187,SES00004371,U003137,category,,category,2025-09-17 01:11:34,149,0.836
PV000000188,SES00016221,U003789,home,,recommendation,2025-11-03 15:58:57,211,0.7272
PV000000189,SES00005193,U003559,search,,direct,2026-03-09 14:48:07,186,0.3769
PV000000190,SES00011850,U000453,search,,search,2025-10-01 19:40:21,37,0.8533
PV000000191,SES00011667,U000588,search,,recommendation,2025-02-10 05:59:06,43,0.0979
PV000000192,SES00012311,U003747,home,,recommendation,2025-03-10 14:46:49,131,0.6599
PV000000193,SES00014700,U002053,product,P000826,category,2026-05-24 10:50:24,189,0.7918
PV000000194,SES00017056,U004473,category,,recommendation,2026-04-02 15:24:05,232,0.0189
PV000000195,SES00005696,U001692,product,P001253,banner,2025-07-30 14:52:47,104,0.929
PV000000196,SES00000681,U000401,product,P000103,recommendation,2026-03-10 08:06:10,40,0.4423
PV000000197,SES00011102,,product,P001017,recommendation,2026-04-24 15:48:04,70,0.7224
PV000000198,SES00010997,U004791,home,,recommendation,2025-05-21 20:45:53,207,0.4396
PV000000199,SES00011933,U001539,product,P001217,search,2025-03-11 16:09:33,143,0.2855
PV000000200,SES00018962,U000593,product,P000601,search,2025-02-18 19:32:08,112,0.8627
PV000000201,SES00003400,,home,,banner,2026-04-03 09:37:06,151,0.5861
PV000000202,SES00018921,U002394,product,P001048,recommendation,2026-01-12 13:38:35,149,0.4819
PV000000203,SES00009610,U001659,product,P000555,recommendation,2026-07-20 00:24:16,43,0.4382
PV000000204,SES00011812,U003895,campaign,,direct,2025-11-29 21:52:21,145,0.4914
PV000000205,SES00009860,,product,P001138,category,2025-07-03 03:08:47,140,0.923
PV000000206,SES00014329,U001423,campaign,,direct,2025-11-29 10:10:46,41,0.0837
PV000000207,SES00006294,U003386,home,,category,2025-08-31 13:00:21,201,0.5103
PV000000208,SES00014350,U002816,search,,search,2026-02-02 12:13:15,194,0.173
PV000000209,SES00007941,U003070,category,,search,2025-09-12 18:59:12,206,0.1877
PV000000210,SES00002017,U004011,search,,search,2025-08-18 23:03:52,65,0.016
PV000000211,SES00002646,U000183,product,P000301,direct,2025-04-13 02:15:55,173,0.6773
PV000000212,SES00012920,U004440,product,P000767,recommendation,2026-03-04 03:21:00,5,0.6524
PV000000213,SES00008417,U003745,checkout,,direct,2025-07-22 23:24:39,11,0.5583
PV000000214,SES00002748,U000904,checkout,,direct,2026-06-14 04:30:54,179,0.893
PV000000215,SES00006465,U001580,home,,category,2026-06-19 14:14:16,81,0.4307
PV000000216,SES00004685,U002548,product,P000478,category,2025-09-18 13:44:01,162,0.1569
PV000000217,SES00016697,U001954,product,P001045,direct,2025-03-03 13:16:12,64,0.6034
PV000000218,SES00003681,U001529,campaign,,recommendation,2025-05-28 11:02:03,94,0.258
PV000000219,SES00003225,U000862,category,,banner,2025-04-08 04:20:07,14,0.9573
PV000000220,SES00000267,U002482,search,,search,2026-01-14 01:08:59,32,0.745
PV000000221,SES00005167,U002751,product,P000817,category,2025-02-28 08:04:25,174,0.7119
PV000000222,SES00008050,U001754,search,,search,2025-12-20 14:29:10,57,0.6286
PV000000223,SES00006724,U002773,category,,category,2026-04-22 18:05:49,47,0.6199
PV000000224,SES00013446,U004143,cart,,search,2025-12-25 12:47:35,129,0.3012
PV000000225,SES00013290,U004391,home,,category,2026-04-11 16:56:14,189,0.0962
PV000000226,SES00017536,U004099,search,,category,2025-10-05 14:40:21,50,0.0213
PV000000227,SES00019093,U000373,product,P000835,category,2025-08-25 03:27:28,226,0.2326
PV000000228,SES00013798,U002958,category,,category,2025-08-02 16:04:09,66,0.6262
PV000000229,SES00008238,U002250,product,P001494,category,2025-05-27 07:18:01,110,0.895
PV000000230,SES00000579,U002583,category,,direct,2026-04-09 20:18:35,52,0.2409
PV000000231,SES00007315,U001199,product,P000808,recommendation,2025-02-26 09:46:43,73,0.5724
PV000000232,SES00016195,U001376,search,,recommendation,2025-07-23 04:50:42,30,0.4909
PV000000233,SES00016150,U000673,home,,banner,2026-04-28 06:58:52,72,0.1787
PV000000234,SES00000855,U003642,category,,recommendation,2026-05-30 12:18:35,204,0.7327
PV000000235,SES00009633,U002309,product,P000957,recommendation,2025-12-30 08:18:07,222,0.2343
PV000000236,SES00009619,U003735,home,,recommendation,2026-03-29 04:28:01,148,0.7992
PV000000237,SES00017933,U003393,product,P000302,category,2026-06-17 18:27:48,59,0.715
PV000000238,SES00014353,,home,,search,2026-01-09 04:14:04,173,0.1596
PV000000239,SES00019328,U001553,search,,search,2026-05-03 16:41:47,138,0.0729
PV000000240,SES00017449,U003213,product,P000369,search,2025-01-10 16:00:31,219,0.527
PV000000241,SES00005191,U003427,campaign,,banner,2026-04-12 13:06:38,164,0.9093
PV000000242,SES00004787,U002015,home,,search,2026-08-07 19:45:55,11,0.462
PV000000243,SES00014707,U004557,product,P000552,direct,2025-01-14 04:50:32,115,0.0343
PV000000244,SES00013403,U004513,category,,search,2026-08-09 18:34:35,170,0.5653
PV000000245,SES00007857,U004224,product,P000228,banner,2026-07-29 18:46:56,90,0.3937
PV000000246,SES00017535,U001017,product,P001227,direct,2025-10-14 07:12:07,132,0.3599
PV000000247,SES00002658,U000899,product,P000728,category,2025-02-13 13:03:31,49,0.7771
PV000000248,SES00012595,U002946,product,P000291,recommendation,2026-06-28 12:13:40,42,0.8838
PV000000249,SES00005128,U000903,product,P001132,direct,2025-07-04 21:30:14,147,0.1363
PV000000250,SES00010565,U003727,category,,search,2025-04-21 13:55:02,199,0.6244
PV000000251,SES00000428,U002888,home,,category,2026-04-13 07:03:44,26,0.239
PV000000252,SES00013788,U004829,category,,category,2026-03-29 14:32:15,81,0.9777
PV000000253,SES00018047,U002379,search,,recommendation,2025-11-18 23:29:33,210,0.8703
PV000000254,SES00010289,U004177,campaign,,recommendation,2025-01-04 09:56:27,184,0.5006
PV000000255,SES00018526,U004742,cart,,direct,2025-11-06 19:10:31,4,0.5635
PV000000256,SES00013287,U002872,checkout,,recommendation,2025-05-10 02:36:20,158,0.3495
PV000000257,SES00008678,,product,P000124,recommendation,2025-11-05 13:11:01,98,0.0366
PV000000258,SES00006114,,category,,search,2025-11-28 15:51:51,140,0.3832
PV000000259,SES00018657,U004697,product,P000251,search,2026-02-15 13:52:06,22,0.5932
PV000000260,SES00003157,,campaign,,recommendation,2025-05-24 06:18:54,168,0.0219
PV000000261,SES00004421,U000139,product,P000210,recommendation,2026-07-03 12:29:48,132,0.9095
PV000000262,SES00010634,U004495,product,P000190,search,2025-07-21 02:03:06,13,0.789
PV000000263,SES00007060,U001639,campaign,,category,2025-06-25 00:13:41,93,0.2974
PV000000264,SES00017024,U004734,product,P000198,search,2025-04-26 12:52:31,75,0.3224
PV000000265,SES00017909,U003475,home,,category,2025-05-21 06:05:20,13,0.5984
PV000000266,SES00009591,U001969,search,,banner,2026-01-19 03:50:38,103,0.3659
PV000000267,SES00010121,U003953,cart,,search,2026-04-29 15:04:44,31,0.894
PV000000268,SES00011280,U004353,product,P000906,banner,2026-03-27 11:12:58,19,0.8033
PV000000269,SES00008626,U003979,home,,recommendation,2026-04-05 03:33:11,70,0.6224
PV000000270,SES00007947,U004857,product,P000372,recommendation,2025-03-19 05:29:09,187,0.0637
PV000000271,SES00011158,U003519,product,P000127,recommendation,2025-05-16 15:51:05,171,0.1041
PV000000272,SES00012232,,product,P001132,direct,2025-08-21 17:15:53,129,0.0491
PV000000273,SES00012059,U002190,campaign,,search,2025-10-26 04:03:32,204,0.7515
PV000000274,SES00006057,U002460,search,,category,2025-06-04 04:26:19,239,0.1075
PV000000275,SES00012518,U004296,cart,,category,2025-02-07 20:23:19,184,0.2048
PV000000276,SES00005932,U001722,home,,direct,2025-03-04 00:07:26,12,0.3988
PV000000277,SES00008634,U001613,cart,,category,2026-01-30 12:41:55,18,0.6738
PV000000278,SES00011820,U002141,category,,category,2025-04-05 16:32:18,96,0.6699
PV000000279,SES00012091,U002840,product,P000404,recommendation,2025-06-19 03:53:14,48,0.3312
PV000000280,SES00010879,U001643,product,P001055,category,2026-02-07 12:38:02,230,0.3365
PV000000281,SES00015473,U004150,product,P000836,search,2026-02-24 10:41:35,62,0.725
PV000000282,SES00016265,U002664,campaign,,category,2025-06-19 16:07:51,107,0.8395
PV000000283,SES00013285,U003372,search,,recommendation,2025-05-11 20:37:22,48,0.5529
PV000000284,SES00011110,U002840,product,P001210,search,2025-04-10 16:34:16,39,0.9051
PV000000285,SES00019283,U002364,home,,recommendation,2025-02-08 11:03:08,183,0.5439
PV000000286,SES00002328,U003998,search,,search,2025-06-17 04:23:02,175,0.2148
PV000000287,SES00013257,U002341,product,P000018,search,2025-12-22 23:29:32,227,0.0987
PV000000288,SES00015414,U002823,home,,banner,2026-01-13 03:38:26,72,0.1065
PV000000289,SES00018350,U003481,category,,search,2026-01-17 20:08:28,64,0.0142
PV000000290,SES00003213,U004304,product,P000522,direct,2026-03-22 04:41:55,52,0.6643
PV000000291,SES00008355,U000078,product,P001326,recommendation,2025-02-25 09:50:44,124,0.5207
PV000000292,SES00007345,U004875,campaign,,category,2026-06-16 17:23:15,102,0.3533
PV000000293,SES00019450,U004601,home,,direct,2026-07-27 12:57:36,39,0.9349
PV000000294,SES00017569,U004847,product,P001324,recommendation,2025-06-05 08:52:44,121,0.3363
PV000000295,SES00016451,U000547,product,P001002,category,2025-03-21 23:43:51,37,0.7817
PV000000296,SES00012885,U004781,product,P001067,category,2026-05-09 08:47:21,206,0.618
PV000000297,SES00008263,U000183,product,P000341,recommendation,2025-09-03 18:10:12,32,0.1885
PV000000298,SES00018804,U002470,category,,search,2025-01-30 15:44:26,123,0.8132
PV000000299,SES00010126,U001519,home,,direct,2025-04-08 14:41:45,110,0.5028
PV000000300,SES00002399,U004589,campaign,,banner,2025-04-28 07:33:37,211,0.7098
PV000000301,SES00014256,U004837,home,,recommendation,2025-03-06 11:12:17,230,0.4313
PV000000302,SES00009644,,category,,recommendation,2026-06-01 14:36:56,128,0.8637
PV000000303,SES00003987,U003456,cart,,search,2025-12-02 00:20:56,110,0.5772
PV000000304,SES00014822,U004349,product,P001132,banner,2025-10-14 08:06:12,224,0.3818
PV000000305,SES00018575,U003297,search,,recommendation,2026-01-10 01:35:57,28,0.4198
PV000000306,SES00013987,U003922,product,P001328,category,2026-07-26 06:10:14,149,0.47
PV000000307,SES00001359,U000652,product,P000833,search,2026-02-16 00:13:20,9,0.9068
PV000000308,SES00012035,U000455,category,,search,2026-01-26 11:29:54,195,0.5954
PV000000309,SES00006324,,product,P000116,recommendation,2025-12-30 02:28:20,45,0.6875
PV000000310,SES00009477,U001419,category,,category,2026-05-31 03:05:20,108,0.1717
PV000000311,SES00003506,U002767,product,P000981,banner,2026-06-02 11:49:45,61,0.3198
PV000000312,SES00019045,U001912,search,,search,2025-11-30 15:12:51,123,0.2811
PV000000313,SES00002745,U002608,product,P000427,direct,2026-02-13 13:58:40,67,0.6345
PV000000314,SES00005577,U001401,product,P000526,recommendation,2026-04-06 20:37:12,54,0.4369
PV000000315,SES00015839,U002469,category,,recommendation,2025-12-27 07:32:11,229,0.2428
PV000000316,SES00013121,U003008,product,P001164,direct,2025-07-24 18:54:57,221,0.3512
PV000000317,SES00007698,U003467,product,P000553,recommendation,2025-12-19 03:14:47,104,0.2127
PV000000318,SES00002073,U002726,product,P001272,banner,2025-12-19 17:01:42,236,0.9382
PV000000319,SES00017576,U001709,product,P000931,recommendation,2025-04-12 06:35:39,104,0.8911
PV000000320,SES00005229,U000195,campaign,,recommendation,2025-04-11 05:50:13,235,0.2647
