cart_item_id,cart_id,sku_id,quantity,unit_price,added_at,selected
CI00000034,CART0005951,SKU0001924,2,1344.04,2025-04-20 09:06:28,1
CI00000035,CART0001958,SKU0001575,1,1921.84,2025-06-26 03:58:36,1
CI00000036,CART0001050,SKU0001921,1,281.32,2025-08-13 19:56:38,1
CI00000037,CART0005723,SKU0000218,1,267.8,2025-01-20 00:04:53,1
CI00000038,CART0001716,SKU0000896,2,352.13,2026-04-22 07:27:32,1
CI00000039,CART0004229,SKU0001205,1,1869.38,2025-07-30 01:25:59,1
CI00000040,CART0002970,SKU0002194,4,1992.81,2026-07-06 07:51:05,1
CI00000041,CART0000138,SKU0001946,3,1554.28,2026-04-15 00:44:07,1
CI00000042,CART0003521,SKU0001914,4,2574.81,2025-09-25 08:13:06,1
CI00000043,CART0001532,SKU0000813,3,959.7,2025-08-10 15:53:42,1
CI00000044,CART0003167,SKU0000171,3,536.7,2025-05-31 19:36:00,0
CI00000045,CART0004091,SKU0001734,2,840.04,2026-01-03 23:06:39,0
CI00000046,CART0002110,SKU0001076,3,1505.41,2025-12-16 01:44:45,0
CI00000047,CART0000692,SKU0002279,2,2371.23,2025-08-04 01:41:03,1
CI00000048,CART0001477,SKU0002471,2,1520.83,2025-02-07 22:57:12,1
CI00000049,CART0003499,SKU0000372,4,1374.9,2025-08-12 10:47:15,0
CI00000050,CART0002747,SKU0002851,1,2132.62,2026-04-20 06:20:08,0
CI00000051,CART0001481,SKU0002503,1,2056.77,2026-04-13 07:00:44,1
CI00000052,CART0002336,SKU0001842,3,2103.09,2025-09-03 15:24:29,1
CI00000053,CART0000410,SKU0000537,2,1874.2,2026-01-10 08:30:15,1
CI00000054,CART0005916,SKU0001065,3,1739.61,2026-02-15 11:47:17,1
CI00000055,CART0002564,SKU0001348,3,999.3,2025-10-08 01:59:28,0
CI00000056,CART0002995,SKU0001763,4,1122.36,2025-09-04 10:42:52,1
CI00000057,CART0000565,SKU0000560,2,826.93,2026-01-10 22:41:27,1
CI00000058,CART0002513,SKU0000477,2,2168.51,2026-05-18 11:45:59,0
CI00000059,CART0002816,SKU0002491,1,2119.29,2026-03-18 19:56:29,1
CI00000060,CART0002603,SKU0001372,3,2063.01,2026-03-01 13:29:40,0
CI00000061,CART0003905,SKU0001830,2,1797.4,2026-07-31 13:27:45,1
CI00000062,CART0003607,SKU0000939,2,3126.77,2025-02-25 09:00:30,1
CI00000063,CART0000538,SKU0002905,4,2059.97,2025-07-03 21:18:57,1
CI00000064,CART0004602,SKU0001598,3,776.04,2026-01-30 17:29:53,0
CI00000065,CART0003603,SKU0000665,1,2732.45,2025-07-31 21:51:52,1
CI00000066,CART0001929,SKU0000278,4,1571.93,2025-05-16 17:36:05,1
CI00000067,CART0000640,SKU0001618,1,643.61,2026-01-04 13:31:35,1
CI00000068,CART0004713,SKU0001465,3,44.05,2026-05-08 05:37:10,0
CI00000069,CART0003107,SKU0002632,3,904.1,2025-11-04 18:45:18,1
CI00000070,CART0002155,SKU0000007,2,887.83,2025-04-30 14:06:38,1
CI00000071,CART0005856,SKU0002909,4,2701.02,2026-01-14 03:51:30,1
CI00000072,CART0004108,SKU0002807,1,2344.94,2025-10-13 17:01:23,1
CI00000073,CART0003240,SKU0000272,1,1298.6,2025-09-18 03:11:19,1
CI00000074,CART0004612,SKU0000765,3,2605.79,2026-06-19 02:22:14,1
CI00000075,CART0001474,SKU0002325,3,2676.49,2026-03-14 04:26:10,1
CI00000076,CART0003962,SKU0002288,2,2924.94,2025-02-06 15:00:26,0
CI00000077,CART0000588,SKU0001506,4,969.82,2024-12-02 16:41:48,0
CI00000078,CART0004024,SKU0000314,2,2001.78,2025-12-05 12:00:45,1
CI00000079,CART0002763,SKU0002147,1,654.5,2026-08-02 20:19:42,1
CI00000080,CART0003056,SKU0001089,4,1989.04,2025-05-19 21:32:18,1
CI00000081,CART0003326,SKU0000801,4,2440.29,2026-03-28 17:51:08,1
CI00000082,CART0004500,SKU0000606,1,578.69,2025-01-11 12:25:28,1
CI00000083,CART0000867,SKU0001962,1,1825.93,2026-07-28 19:20:55,1
CI00000084,CART0003509,SKU0002267,4,1573.89,2025-07-10 21:39:10,1
CI00000085,CART0004100,SKU0000774,4,2506.18,2025-06-10 00:02:27,0
CI00000086,CART0002593,SKU0001500,4,2939.38,2025-11-14 01:27:08,1
CI00000087,CART0002486,SKU0002420,3,1878.64,2025-08-26 16:56:54,1
CI00000088,CART0000021,SKU0001899,3,1697.74,2026-06-25 03:21:20,1
CI00000089,CART0003092,SKU0001182,2,1959.37,2025-11-16 07:47:26,1
CI00000090,CART0005689,SKU0002063,1,1235.59,2025-12-28 02:33:22,1
CI00000091,CART0001173,SKU0002842,4,2610.57,2025-01-25 02:28:47,1
CI00000092,CART0002543,SKU0001493,1,2399.9,2025-09-17 17:22:29,1
CI00000093,CART0002628,SKU0002514,1,1705.32,2026-05-29 11:38:25,0
CI00000094,CART0003135,SKU0001459,3,1907.84,2026-01-11 04:12:54,1
CI00000095,CART0004470,SKU0000410,4,1786.88,2026-03-11 02:14:37,0
CI00000096,CART0002634,SKU0001359,2,2209.79,2026-04-03 21:51:54,1
CI00000097,CART0001025,SKU0002526,2,1451.19,2025-10-23 19:51:44,1
CI00000098,CART0003126,SKU0002836,1,866.9,2026-04-08 12:44:15,1
CI00000099,CART0003845,SKU0000090,2,782.14,2025-07-26 03:52:27,1
CI00000100,CART0002430,SKU0001336,3,2948.91,2026-02-03 10:19:45,0
CI00000101,CART0004371,SKU0002719,4,1537.19,2024-12-30 15:09:01,1
CI00000102,CART0001553,SKU0001910,2,736.6,2025-09-30 12:14:55,0
CI00000103,CART0001732,SKU0001646,4,1674.6,2026-05-22 07:20:53,1
CI00000104,CART0005075,SKU0001897,3,183.46,2025-05-16 02:41:48,1
CI00000105,CART0002384,SKU0000653,4,1670.08,2025-04-16 05:43:37,1
CI00000106,CART0003412,SKU0000732,3,1981.88,2026-07-15 09:38:20,1
CI00000107,CART0001230,SKU0001091,1,2491.81,2026-07-25 07:36:17,1
CI00000108,CART0005505,SKU0002302,1,2744.83,2025-02-06 18:58:55,1
CI00000109,CART0002819,SKU0000763,3,1821.7,2025-07-29 11:25:30,0
CI00000110,CART0003845,SKU0002273,3,639.35,2025-07-27 03:52:27,1
CI00000111,CART0000304,SKU0001836,3,2328.35,2025-04-06 11:46:06,1
CI00000112,CART0004408,SKU0000167,2,2819.42,2025-07-24 14:04:48,1
CI00000113,CART0000144,SKU0000632,2,1952.44,2026-06-25 18:38:54,1
CI00000114,CART0000830,SKU0000491,1,1291.66,2025-03-11 17:07:38,1
CI00000115,CART0002493,SKU0001947,4,2870.76,2026-05-02 04:59:43,1
CI00000116,CART0001000,SKU0000363,1,827.31,2025-04-20 20:36:02,1
CI00000117,CART0000037,SKU0000583,2,2230.41,2026-04-08 17:06:30,1
CI00000118,CART0001564,SKU0000104,2,3060.95,2025-10-06 01:33:23,0
CI00000119,CART0001337,SKU0000325,4,2287.35,2025-05-25 13:12:24,0
CI00000120,CART0003308,SKU0001109,3,1054.15,2025-04-01 05:54:27,0
CI00000121,CART0005678,SKU0000885,1,20.18,2025-12-20 17:42:47,1
CI00000122,CART0004053,SKU0000864,1,494.98,2025-03-13 11:19:40,1
CI00000123,CART0003631,SKU0001304,3,607.7,2026-04-27 07:42:58,1
CI00000124,CART0003334,SKU0002007,2,2608.11,2026-01-10 14:02:22,1
CI00000125,CART0004916,SKU0001631,4,871.51,2026-07-22 02:26:02,0
CI00000126,CART0000505,SKU0000729,3,2195.13,2025-12-25 19:38:23,0
CI00000127,CART0000131,SKU0000837,2,706.33,2025-08-04 15:41:27,1
CI00000128,CART0002498,SKU0002190,1,1017.77,2025-11-29 10:29:36,1
CI00000129,CART0002083,SKU0002427,3,1213.39,2026-02-06 01:15:58,1
CI00000130,CART0002642,SKU0001685,4,2786.34,2025-08-25 18:56:10,1
CI00000131,CART0001331,SKU0002319,1,2220.97,2025-06-18 23:05:03,1
CI00000132,CART0005017,SKU0000243,3,1512.17,2025-05-03 22:33:00,1
CI00000133,CART0000222,SKU0001980,4,527.74,2026-03-04 01:26:09,1
CI00000134,CART0003515,SKU0000475,3,2639.27,2025-12-25 00:26:49,0
CI00000135,CART0000307,SKU0002504,3,2355.11,2025-11-28 19:48:37,1
CI00000136,CART0000131,SKU0002821,2,915.68,2025-07-31 15:41:27,1
CI00000137,CART0000381,SKU0001949,1,291.36,2026-07-15 02:57:56,1
CI00000138,CART0002758,SKU0002722,2,2854.85,2024-12-30 13:54:57,1
CI00000139,CART0003669,SKU0000140,2,2155.38,2026-07-02 21:41:56,1
CI00000140,CART0002202,SKU0001012,2,395.46,2026-03-28 05:32:19,0
CI00000141,CART0003845,SKU0001659,1,1983.69,2025-07-06 03:52:27,1
CI00000142,CART0000703,SKU0000312,2,1212.57,2025-10-10 04:35:08,1
CI00000143,CART0000083,SKU0002738,1,364.2,2025-08-19 05:35:52,1
CI00000144,CART0001270,SKU0002931,1,972.33,2025-01-13 18:19:15,1
CI00000145,CART0004239,SKU0001634,2,3375.92,2025-09-02 03:25:24,0
CI00000146,CART0000574,SKU0002489,3,1591.35,2025-06-25 06:12:30,0
CI00000147,CART0001677,SKU0000659,2,2543.51,2025-09-04 22:25:34,0
CI00000148,CART0000370,SKU0001998,3,36.54,2026-05-05 12:27:00,1
CI00000149,CART0004045,SKU0001165,4,2972.67,2026-03-15 03:18:22,1
CI00000150,CART0000615,SKU0001883,4,2446.95,2024-12-11 23:49:53,0
CI00000151,CART0001075,SKU0002444,4,613.47,2026-04-10 12:22:36,1
CI00000152,CART0002255,SKU0002674,2,1766.92,2025-05-20 13:51:40,0
CI00000153,CART0002703,SKU0001721,3,1135.35,2025-08-07 22:23:58,1
CI00000154,CART0002672,SKU0000133,2,2952.19,2026-02-09 04:49:34,1
CI00000155,CART0005020,SKU0000061,3,2863.08,2025-01-04 18:30:53,1
CI00000156,CART0005081,SKU0000657,1,3393.66,2025-07-01 09:17:38,1
CI00000157,CART0005854,SKU0000617,3,1671.92,2026-01-05 17:43:54,1
CI00000158,CART0003917,SKU0001820,1,1177.31,2025-08-17 20:26:34,0
CI00000159,CART0001334,SKU0002528,1,456.83,2025-11-14 05:43:02,1
CI00000160,CART0000428,SKU0000547,4,1690.66,2025-08-19 06:11:34,0
CI00000161,CART0003208,SKU0001355,4,1460.93,2025-02-03 21:34:37,0
CI00000162,CART0005882,SKU0000711,2,1043.04,2025-01-28 19:57:25,0
CI00000163,CART0002541,SKU0002668,4,738.69,2026-07-19 10:43:40,1
CI00000164,CART0004860,SKU0000786,4,749.34,2026-05-08 15:16:49,1
CI00000165,CART0001781,SKU0001880,2,1595.04,2025-06-11 17:44:01,0
CI00000166,CART0004669,SKU0001194,1,1069.85,2025-08-28 12:14:56,1
CI00000167,CART0005159,SKU0001230,1,2440.37,2025-01-19 02:42:09,1
CI00000168,CART0004945,SKU0002259,1,172.73,2025-07-06 10:29:32,0
CI00000169,CART0003861,SKU0002485,4,1304.26,2026-05-25 07:20:23,0
CI00000170,CART0003112,SKU0000876,1,106.88,2025-10-03 22:11:05,0
CI00000171,CART0001498,SKU0000610,2,3055.76,2026-05-10 19:21:46,1
CI00000172,CART0000292,SKU0001626,2,1179.15,2026-06-28 01:49:00,1
CI00000173,CART0000251,SKU0002280,1,2157.73,2024-12-20 13:53:27,0
CI00000174,CART0000027,SKU0002689,2,1431.56,2026-02-26 00:36:09,1
CI00000175,CART0004925,SKU0001019,3,1908.07,2025-06-18 13:18:14,0
CI00000176,CART0000875,SKU0001157,2,2179.55,2025-06-09 05:53:21,1
CI00000177,CART0001175,SKU0001793,2,383.38,2026-07-21 13:44:56,1
CI00000178,CART0000394,SKU0000109,2,1770.18,2025-12-29 00:42:55,1
CI00000179,CART0005225,SKU0002705,1,1976.06,2026-05-16 20:53:31,1
CI00000180,CART0000253,SKU0000411,2,1686.86,2025-10-07 07:47:10,0
CI00000181,CART0005482,SKU0001528,4,2496.46,2025-12-01 15:20:07,1
CI00000182,CART0002267,SKU0002959,4,3308.77,2025-09-10 15:43:59,0
CI00000183,CART0003582,SKU0000321,4,1755.05,2026-07-07 09:36:34,0
CI00000184,CART0004903,SKU0001591,3,1073.29,2026-03-02 08:15:12,0
CI00000185,CART0001520,SKU0002562,4,2064.89,2025-02-24 11:03:08,0
CI00000186,CART0002677,SKU0001770,1,1491.97,2026-06-02 19:27:05,1
CI00000187,CART0005223,SKU0000617,3,1671.92,2026-02-27 20:33:53,1
CI00000188,CART0004808,SKU0001169,4,178.41,2026-02-23 11:16:36,1
CI00000189,CART0001093,SKU0000843,3,1422.43,2025-11-22 20:02:10,1
CI00000190,CART0005530,SKU0001955,1,1228.42,2026-01-02 11:08:54,1
CI00000191,CART0004796,SKU0001420,4,3029.42,2025-09-30 15:03:29,1
CI00000192,CART0002098,SKU0001520,2,1391.43,2025-04-01 14:49:48,1
CI00000193,CART0000286,SKU0000250,3,2997.66,2025-12-17 05:33:07,0
CI00000194,CART0005500,SKU0000991,2,3122.55,2025-09-28 08:22:59,1
CI00000195,CART0005624,SKU0001901,2,692.98,2025-07-17 13:57:34,1
CI00000196,CART0004239,SKU0002993,2,3421.56,2025-09-02 03:25:24,0
CI00000197,CART0003997,SKU0001668,2,568.15,2025-10-08 01:35:20,1
CI00000198,CART0005142,SKU0002889,3,1077.53,2025-11-28 05:48:30,1
CI00000199,CART0003167,SKU0000568,4,2396.5,2025-06-16 19:36:00,0
CI00000200,CART0004342,SKU0001778,3,2263.22,2026-07-22 02:18:10,1
CI00000201,CART0003724,SKU0002485,4,1304.26,2026-06-23 14:02:37,0
CI00000202,CART0005235,SKU0001728,1,712.95,2025-01-08 23:39:04,1
CI00000203,CART0000701,SKU0002891,1,3097.67,2025-11-01 05:33:36,1
CI00000204,CART0003710,SKU0001111,1,2711.13,2026-04-13 05:47:10,1
CI00000205,CART0002925,SKU0001603,4,2120.18,2026-01-10 10:23:06,1
CI00000206,CART0005916,SKU0002219,2,1095.32,2026-03-07 11:47:17,1
CI00000207,CART0005722,SKU0002857,4,69.31,2026-02-23 09:28:08,1
CI00000208,CART0000152,SKU0000156,2,1123.01,2026-07-29 22:41:51,1
CI00000209,CART0005780,SKU0000424,3,1949.98,2025-06-26 20:11:17,1
CI00000210,CART0000541,SKU0002540,4,401.29,2025-04-15 20:37:22,0
CI00000211,CART0000433,SKU0001203,4,3034.64,2025-05-06 18:57:17,1
CI00000212,CART0001745,SKU0000881,4,1161.24,2026-03-18 09:33:06,1
CI00000213,CART0004618,SKU0002888,2,2984.11,2025-03-15 03:59:46,1
CI00000214,CART0000442,SKU0000486,3,1929.99,2026-06-05 21:04:42,0
CI00000215,CART0002123,SKU0000764,4,2192.24,2026-07-20 19:22:25,1
CI00000216,CART0005672,SKU0001857,1,2810.79,2026-05-26 20:47:12,0
CI00000217,CART0003189,SKU0001050,3,2456.54,2026-02-12 16:45:34,1
CI00000218,CART0001466,SKU0002607,3,271.6,2026-05-13 11:31:54,1
CI00000219,CART0001627,SKU0000323,4,2747.65,2025-01-15 19:18:19,0
CI00000220,CART0002207,SKU0002146,4,1412.63,2025-10-06 19:48:45,1
CI00000221,CART0003958,SKU0000474,1,2467.84,2025-10-04 10:13:58,1
CI00000222,CART0002993,SKU0002169,2,305.27,2026-06-05 15:13:25,1
CI00000223,CART0003355,SKU0001611,2,2606.38,2025-11-30 02:26:57,1
CI00000224,CART0004850,SKU0001377,4,3021.58,2026-04-09 09:47:38,0
CI00000225,CART0005578,SKU0001108,3,3056.34,2026-02-16 11:04:55,1
CI00000226,CART0003472,SKU0002152,4,424.68,2025-01-04 10:59:03,1
CI00000227,CART0004072,SKU0000016,4,2971.27,2025-11-02 19:33:33,0
CI00000228,CART0000128,SKU0001323,4,1939.7,2025-12-09 18:12:30,1
CI00000229,CART0002086,SKU0002315,3,2811.69,2025-11-07 04:02:54,0
CI00000230,CART0001343,SKU0000781,1,963.46,2026-03-11 10:58:10,1
CI00000231,CART0005560,SKU0002367,4,1629.07,2025-06-26 21:22:28,0
CI00000232,CART0003890,SKU0000479,4,207.63,2025-04-03 22:12:46,1
CI00000233,CART0002282,SKU0000589,2,3364.45,2025-10-13 22:34:56,1
CI00000234,CART0002216,SKU0001128,4,1472.93,2026-03-08 02:22:48,1
CI00000235,CART0002769,SKU0002419,1,2146.32,2026-02-09 07:52:39,1
CI00000236,CART0002546,SKU0002122,4,1901.21,2025-07-28 07:14:36,0
CI00000237,CART0001931,SKU0000160,1,2806.33,2026-07-15 03:32:42,1
CI00000238,CART0000065,SKU0000255,4,1048.64,2026-06-17 18:49:53,1
CI00000239,CART0003950,SKU0000315,4,1351.31,2026-05-18 09:06:54,0
CI00000240,CART0005351,SKU0000935,1,218.24,2024-12-25 04:51:10,1
CI00000241,CART0005287,SKU0002354,2,654.86,2026-03-19 08:18:25,1
CI00000242,CART0001108,SKU0001626,1,1179.15,2026-08-04 10:13:11,1
CI00000243,CART0005229,SKU0000858,2,3359.57,2026-05-02 04:33:44,1
CI00000244,CART0005829,SKU0001187,3,2242.2,2025-06-18 13:30:18,1
CI00000245,CART0004638,SKU0000488,3,2078.87,2025-05-30 15:58:42,1
CI00000246,CART0002588,SKU0001432,4,872.97,2025-05-10 16:58:54,0
CI00000247,CART0004906,SKU0000440,1,2862.98,2025-06-26 10:42:14,1
CI00000248,CART0000703,SKU0002509,3,1944.48,2025-10-17 04:35:08,1
CI00000249,CART0004265,SKU0001344,2,391.72,2025-01-23 15:05:53,0
CI00000250,CART0002048,SKU0000717,2,3115.13,2025-09-20 07:18:36,1
CI00000251,CART0003242,SKU0002463,1,3017.65,2025-08-05 21:15:35,1
CI00000252,CART0001106,SKU0001057,3,662.1,2025-07-31 21:38:21,1
CI00000253,CART0005143,SKU0002404,1,1696.69,2026-06-22 03:12:16,1
CI00000254,CART0004811,SKU0002045,3,450.8,2026-06-21 01:26:16,1
CI00000255,CART0000132,SKU0002088,1,666.16,2025-07-06 14:50:15,1
CI00000256,CART0000716,SKU0002026,4,2468.67,2026-02-24 21:49:03,1
CI00000257,CART0000799,SKU0002529,4,2478.94,2026-05-20 01:23:31,1
CI00000258,CART0000330,SKU0002387,2,2765.85,2026-03-11 18:21:28,1
CI00000259,CART0001755,SKU0002682,1,3276.19,2025-04-10 12:59:26,0
CI00000260,CART0003778,SKU0002099,3,1699.82,2025-05-24 03:37:04,0
CI00000261,CART0001427,SKU0000242,1,1130.02,2025-11-15 09:41:06,1
CI00000262,CART0005911,SKU0000604,3,2462.12,2026-04-03 09:30:10,0
CI00000263,CART0000917,SKU0002853,4,2494.02,2025-03-28 06:10:03,1
CI00000264,CART0001319,SKU0000939,3,3126.77,2025-10-18 14:37:42,1
CI00000265,CART0001678,SKU0000987,2,1168.66,2025-04-05 09:17:09,1
CI00000266,CART0004451,SKU0001549,3,2871.22,2025-04-08 14:08:11,1
CI00000267,CART0001575,SKU0000298,3,592.4,2025-03-04 12:32:22,1
CI00000268,CART0004573,SKU0001754,3,2865.02,2025-11-26 01:27:43,0
CI00000269,CART0004041,SKU0000447,2,2439.4,2026-08-13 12:40:29,1
CI00000270,CART0005935,SKU0002566,3,3203.08,2025-06-18 21:08:18,1
CI00000271,CART0002955,SKU0000270,3,2179.18,2026-06-29 18:04:58,1
CI00000272,CART0002377,SKU0000490,1,770.74,2025-12-25 17:36:13,1
CI00000273,CART0002015,SKU0002181,3,1844.33,2025-08-08 03:48:24,1
CI00000274,CART0004730,SKU0001218,1,2343.51,2026-05-04 04:38:34,0
CI00000275,CART0002595,SKU0001794,4,352.55,2025-11-08 09:11:10,1
CI00000276,CART0001076,SKU0000435,2,2510.18,2025-02-09 02:48:57,0
CI00000277,CART0003025,SKU0002956,4,571.1,2026-03-20 18:10:36,1
CI00000278,CART0002562,SKU0002046,4,389.45,2025-04-29 01:18:09,1
CI00000279,CART0000902,SKU0000668,2,509.75,2025-02-10 09:12:56,1
CI00000280,CART0002126,SKU0000799,1,888.53,2026-07-08 19:06:33,1
CI00000281,CART0004083,SKU0002255,1,3172.86,2025-03-22 11:05:10,1
CI00000282,CART0001619,SKU0001855,2,1215.79,2026-05-04 17:41:30,0
CI00000283,CART0000817,SKU0001053,1,1126.89,2025-01-24 13:32:27,0
CI00000284,CART0004739,SKU0000644,4,1782.17,2025-11-02 04:18:16,1
CI00000285,CART0000645,SKU0001081,3,2911.86,2026-06-08 19:05:51,1
CI00000286,CART0001929,SKU0000184,2,2687.41,2025-06-06 17:36:05,1
CI00000287,CART0001905,SKU0000427,4,16.47,2025-10-22 19:08:14,1
CI00000288,CART0002076,SKU0002958,3,1692.57,2026-01-04 23:22:41,1
CI00000289,CART0000681,SKU0002058,4,1332.8,2025-07-03 09:28:00,1
CI00000290,CART0000975,SKU0002357,3,1882.28,2025-09-03 20:14:27,1
CI00000291,CART0002736,SKU0002654,1,890.53,2025-08-07 05:56:37,1
CI00000292,CART0002328,SKU0000567,4,2273.25,2026-04-10 02:50:35,1
CI00000293,CART0000556,SKU0002767,2,857.13,2026-04-22 05:45:21,1
CI00000294,CART0005438,SKU0001090,1,1601.98,2025-05-20 14:11:19,1
CI00000295,CART0003696,SKU0002568,1,2905.86,2025-01-19 10:50:22,1
CI00000296,CART0000299,SKU0002675,3,2401.29,2025-04-25 00:10:14,1
CI00000297,CART0002081,SKU0001555,1,55.66,2025-05-06 02:36:39,1
CI00000298,CART0001869,SKU0000305,1,1216.44,2025-09-18 01:27:00,0
CI00000299,CART0001984,SKU0000727,2,2224.15,2026-07-27 10:20:31,1
CI00000300,CART0004891,SKU0002226,1,1905.95,2025-08-25 03:59:16,1
CI00000301,CART0002142,SKU0000583,4,2230.41,2025-04-04 17:14:38,1
CI00000302,CART0000899,SKU0000909,1,782.24,2025-03-27 11:19:51,0
CI00000303,CART0005479,SKU0001819,2,1098.44,2025-03-27 13:41:30,1
CI00000304,CART0003143,SKU0001743,3,3420.98,2026-08-05 20:13:37,0
CI00000305,CART0003342,SKU0001198,2,1697.74,2024-12-18 05:08:55,1
CI00000306,CART0005336,SKU0000343,4,1573.55,2025-07-26 23:58:13,0
CI00000307,CART0003107,SKU0000891,1,436.86,2025-10-15 18:45:18,1
CI00000308,CART0005539,SKU0002454,4,107.79,2025-07-19 04:19:18,1
CI00000309,CART0002878,SKU0001587,4,1922.8,2026-06-10 16:12:18,0
CI00000310,CART0004762,SKU0002373,4,564.11,2025-04-26 23:32:55,1
CI00000311,CART0001778,SKU0002432,4,553.23,2025-12-05 13:05:40,1
CI00000312,CART0003005,SKU0000532,3,394.18,2025-07-09 09:05:51,1
CI00000313,CART0002724,SKU0002325,2,2676.49,2025-09-04 06:24:04,1
CI00000314,CART0000597,SKU0001698,2,445.15,2026-02-12 19:58:11,1
CI00000315,CART0000903,SKU0000161,3,92.29,2026-03-11 22:06:06,1
CI00000316,CART0002377,SKU0000443,1,379.72,2025-12-24 17:36:13,1
CI00000317,CART0000408,SKU0002249,4,2040.51,2025-08-30 06:55:13,1
CI00000318,CART0001027,SKU0001869,4,2510.71,2026-07-29 02:18:07,0
CI00000319,CART0000316,SKU0000115,3,1122.07,2026-04-25 05:25:28,1
CI00000320,CART0003324,SKU0000286,3,1050.89,2024-12-16 23:43:10,1
CI00000321,CART0003302,SKU0001945,1,1648.42,2026-04-03 11:51:44,0
CI00000322,CART0003973,SKU0002221,3,1448.63,2026-07-30 05:06:49,1
CI00000323,CART0004492,SKU0000016,3,2971.27,2025-09-21 23:00:14,1
CI00000324,CART0004476,SKU0002526,2,1451.19,2026-04-15 23:14:42,1
CI00000325,CART0001568,SKU0000563,4,2580.46,2025-05-22 08:55:26,0
CI00000326,CART0002584,SKU0001109,4,1054.15,2026-05-28 13:10:26,1
CI00000327,CART0004957,SKU0000584,1,2584.22,2026-07-12 09:13:31,1
CI00000328,CART0003255,SKU0001016,1,2295.63,2026-05-18 09:09:54,0
CI00000329,CART0001137,SKU0000636,1,1180.85,2025-01-25 07:41:42,0
CI00000330,CART0005463,SKU0002400,4,2027.27,2025-08-30 03:22:36,1
CI00000331,CART0004396,SKU0000499,3,520.8,2026-06-11 19:09:05,1
CI00000332,CART0001819,SKU0000214,4,1503.18,2025-05-05 17:44:18,1
CI00000333,CART0004984,SKU0001255,1,2689.43,2026-07-14 02:37:25,1
CI00000334,CART0005797,SKU0000172,4,528.19,2025-05-14 15:46:23,1
CI00000335,CART0002124,SKU0002571,1,3033.47,2025-07-18 07:51:17,1
CI00000336,CART0002469,SKU0002730,3,1811.06,2025-05-28 11:37:07,0
CI00000337,CART0001598,SKU0000014,2,284.5,2026-04-18 21:41:14,1
CI00000338,CART0004949,SKU0001038,2,2622.4,2026-03-06 23:06:44,0
CI00000339,CART0003202,SKU0000784,2,2158.56,2025-03-23 21:43:33,0
CI00000340,CART0002446,SKU0002389,2,1176.13,2025-08-18 16:13:48,0
CI00000341,CART0003178,SKU0001357,1,2055.44,2025-05-16 02:00:04,0
CI00000342,CART0000492,SKU0001972,2,993.48,2026-04-05 05:20:53,1
