search_id,session_id,user_id,keyword,category_id,result_count,clicked,converted,searched_at
SE00000096,SES00009379,U000242,开学季,C028,158,1,0,2026-04-12 07:34:02
SE00000097,SES00006976,,洗护,C003,331,0,0,2026-06-25 13:41:43
SE00000098,SES00004146,U003010,性价比,C033,462,0,0,2025-12-12 15:17:03
SE00000099,SES00001651,U000245,家居生活,C015,776,0,0,2025-01-06 00:34:02
SE00000100,SES00000948,U000507,新品,C007,22,1,0,2026-06-15 05:48:24
SE00000101,SES00018813,U001829,户外装备,C024,490,0,0,2026-01-17 18:23:29
SE00000102,SES00012914,U004438,家用,C018,495,1,0,2025-02-20 10:23:52
SE00000103,SES00017918,U000673,开学季,C023,231,1,0,2025-03-20 10:29:08
SE00000104,SES00002254,U002823,新品,C013,106,0,0,2026-07-12 09:36:42
SE00000105,SES00010001,,服饰鞋包,C017,455,0,0,2026-01-25 06:54:43
SE00000106,SES00002960,U003606,图书,C019,265,0,1,2025-08-02 03:19:05
SE00000107,SES00016394,U000131,轻便,C033,94,1,0,2026-01-16 19:55:14
SE00000108,SES00008646,U001874,奶粉辅食,C029,445,0,0,2025-06-09 14:39:51
SE00000109,SES00002392,U004940,食品生鲜,C025,723,1,0,2025-10-01 15:17:30
SE00000110,SES00001320,U001284,户外装备,C040,292,0,1,2025-02-19 03:20:17
SE00000111,SES00006835,U003696,图书文娱,C040,216,1,0,2026-04-29 02:13:54
SE00000112,SES00008720,U000378,骑行,C028,30,0,0,2025-02-01 19:01:17
SE00000113,SES00015241,U004894,新品,C003,51,0,1,2026-06-21 16:17:28
SE00000114,SES00011515,U000819,文创,C004,584,0,0,2025-11-07 16:55:08
SE00000115,SES00016345,U002654,图书文娱,C007,747,0,0,2025-09-24 20:06:07
SE00000116,SES00009019,,乐器,C024,446,1,0,2025-01-07 15:38:28
SE00000117,SES00000696,U001789,智能设备,C029,722,0,0,2026-04-01 13:55:41
SE00000118,SES00000016,U002680,家居生活,C018,253,0,0,2025-04-05 16:04:47
SE00000119,SES00008356,,美妆个护,C033,387,1,0,2025-03-07 11:28:13
SE00000120,SES00014651,U002554,服饰鞋包,C027,300,0,0,2026-03-23 17:44:52
SE00000121,SES00011329,U002199,女装,C023,28,0,0,2025-11-08 21:23:40
SE00000122,SES00011212,U000692,新品,C040,341,1,1,2026-01-24 11:25:01
SE00000123,SES00000286,,童装童鞋,C018,70,0,0,2026-06-21 07:07:12
SE00000124,SES00003009,,乐器,C013,319,1,0,2025-02-18 19:13:07
SE00000125,SES00010448,U004884,童装童鞋,C028,248,1,0,2026-01-04 19:43:00
SE00000126,SES00019419,U004721,手机通讯,C020,420,0,0,2025-06-19 20:36:19
SE00000127,SES00005831,U000034,乐器,C040,135,1,0,2025-03-31 00:33:00
SE00000128,SES00004082,U004688,轻便,C008,727,1,0,2026-03-23 06:04:08
SE00000129,SES00003326,U003473,饮料冲调,C005,181,1,0,2025-09-23 10:46:12
SE00000130,SES00001680,U002177,男装,C035,524,1,0,2025-10-12 19:57:16
SE00000131,SES00007740,U003895,饮料冲调,C002,628,1,0,2025-05-18 06:48:53
SE00000132,SES00000994,U001687,骑行,C027,746,1,0,2025-11-20 18:54:13
SE00000133,SES00016779,U001678,开学季,C028,12,1,0,2026-01-25 11:26:30
SE00000134,SES00012698,U000251,粮油调味,C002,579,0,0,2025-05-22 20:10:22
SE00000135,SES00009124,U001289,休闲食品,C032,93,0,0,2026-06-22 02:52:48
SE00000136,SES00010551,U004868,开学季,C023,713,0,0,2025-07-04 10:51:33
SE00000137,SES00015260,U000966,图书,C012,233,0,0,2026-01-03 21:14:31
SE00000138,SES00015020,,智能设备,C020,79,0,0,2025-05-19 06:18:33
SE00000139,SES00011430,U004524,休闲食品,C025,484,1,0,2025-10-02 04:54:17
SE00000140,SES00008459,,夏季,C039,325,1,0,2025-01-06 04:25:42
SE00000141,SES00007719,U002339,童装童鞋,C023,152,0,0,2025-01-21 22:01:36
SE00000142,SES00009509,U003441,食品生鲜,C017,445,1,0,2026-04-27 20:47:47
SE00000143,SES00004287,U002051,箱包配饰,C010,336,1,1,2025-01-03 03:28:39
SE00000144,SES00007380,U003279,生鲜果蔬,C035,399,0,0,2025-05-10 16:52:44
SE00000145,SES00004562,U004833,体育用品,C038,169,0,0,2025-05-16 12:40:00
SE00000146,SES00004655,U000998,美妆个护,C020,289,1,0,2025-01-28 01:16:25
SE00000147,SES00012194,,智能设备,C035,453,1,0,2025-01-26 19:39:35
SE00000148,SES00008595,,婴童用品,C040,712,1,0,2025-03-23 03:23:35
SE00000149,SES00013323,U001221,宠物生活,C037,477,1,0,2025-12-02 13:04:41
SE00000150,SES00007252,,开学季,C038,115,1,0,2025-01-05 00:47:38
SE00000151,SES00017681,U004683,食品生鲜,C037,598,1,0,2026-04-17 17:12:27
SE00000152,SES00010783,,童装童鞋,C038,471,1,1,2026-06-06 18:00:32
SE00000153,SES00018976,U000106,体育用品,C032,66,1,0,2026-08-20 01:39:32
SE00000154,SES00010888,,美妆个护,C005,611,1,0,2026-08-06 19:27:32
SE00000155,SES00015678,U001066,运动鞋服,C034,536,1,0,2025-05-07 16:12:47
SE00000156,SES00013133,U002704,家具,C008,34,1,0,2026-06-11 17:37:17
SE00000157,SES00016239,U001464,食品生鲜,C004,190,1,0,2025-09-22 17:00:37
SE00000158,SES00011286,U000171,奶粉辅食,C037,262,1,0,2026-06-29 07:04:51
SE00000159,SES00007577,U001043,折扣,C024,288,0,0,2026-05-16 21:21:49
SE00000160,SES00004931,U004265,厨具,C013,451,0,1,2025-12-14 11:57:41
SE00000161,SES00010137,U001868,童装童鞋,C040,38,0,0,2026-02-03 09:15:51
SE00000162,SES00011012,U002689,家用电器,C025,357,1,0,2026-07-31 16:35:12
SE00000163,SES00015838,U003415,玩具,C023,672,1,1,2025-10-11 00:59:45
SE00000164,SES00015575,U003011,饮料冲调,C002,386,1,0,2026-01-03 23:01:51
SE00000165,SES00004668,,手机通讯,C018,398,0,1,2026-06-10 22:24:53
SE00000166,SES00010828,U004803,智能,C020,394,1,0,2025-08-10 22:10:15
SE00000167,SES00018025,U003338,家用,C009,111,1,0,2025-12-07 01:38:37
SE00000168,SES00014472,U000332,智能,C038,121,0,0,2026-07-04 15:37:23
SE00000169,SES00014900,U002589,童装童鞋,C023,102,1,0,2025-09-27 07:11:24
SE00000170,SES00001621,U003362,乐器,C002,551,1,0,2026-07-08 02:05:48
SE00000171,SES00006750,U002985,图书,C003,798,1,0,2026-04-21 10:13:06
SE00000172,SES00017877,U001838,乐器,C022,18,0,0,2025-09-27 03:47:45
SE00000173,SES00013439,U002278,送礼,C005,488,1,0,2025-03-25 01:02:20
SE00000174,SES00005711,U002561,彩妆,C008,79,1,0,2025-11-03 23:36:59
SE00000175,SES00010157,U004493,乐器,C033,444,0,0,2025-08-23 16:51:36
SE00000176,SES00016523,U002112,粮油调味,C024,526,0,0,2026-08-10 19:34:15
SE00000177,SES00001823,,男装,C032,495,1,0,2026-04-28 18:09:35
SE00000178,SES00014073,,折扣,C028,490,1,0,2026-01-11 06:31:47
SE00000179,SES00003118,,数码家电,C023,319,1,0,2025-04-02 17:27:16
SE00000180,SES00007981,U000867,轻便,C018,602,0,0,2025-04-12 07:56:09
SE00000181,SES00000763,,彩妆,C019,505,0,1,2025-12-07 08:04:30
SE00000182,SES00013941,U004841,开学季,C004,14,0,0,2025-09-11 17:42:39
SE00000183,SES00007121,U000857,户外装备,C030,219,1,0,2026-08-01 06:06:19
SE00000184,SES00015281,U001647,手机通讯,C014,58,0,0,2025-02-19 23:55:34
SE00000185,SES00018554,U003932,数码家电,C035,457,1,0,2026-05-02 05:30:56
SE00000186,SES00017006,U003267,健身训练,C024,363,1,0,2026-07-26 18:30:40
SE00000187,SES00006247,,运动鞋服,C019,622,1,0,2026-04-16 19:01:13
SE00000188,SES00002251,U002701,数码家电,C007,218,1,0,2026-04-08 13:47:47
SE00000189,SES00004248,U003299,乐器,C003,232,1,0,2026-01-26 20:38:17
SE00000190,SES00014503,U002726,国货,C007,124,0,0,2025-09-04 03:53:19
SE00000191,SES00004347,U000945,运动鞋服,C038,795,1,1,2025-03-16 01:27:56
SE00000192,SES00005317,U001283,轻便,C034,364,0,0,2025-04-19 20:09:34
SE00000193,SES00000008,U000770,休闲食品,C022,279,0,0,2025-10-02 09:51:31
SE00000194,SES00015592,U003782,饮料冲调,C013,241,1,0,2026-05-24 03:24:28
SE00000195,SES00003266,U000271,性价比,C032,239,1,0,2025-01-18 10:15:00
SE00000196,SES00019838,U002200,性价比,C002,566,1,0,2025-09-27 11:37:12
SE00000197,SES00001842,U004244,粮油调味,C028,388,1,0,2025-01-15 05:36:27
SE00000198,SES00014920,U000877,家用,C037,705,0,0,2026-04-12 01:28:26
SE00000199,SES00005770,U001320,新品,C014,551,1,0,2026-07-12 08:56:31
SE00000200,SES00013191,U000617,厨具,C032,212,0,0,2026-04-05 17:55:53
SE00000201,SES00005182,U004181,数码家电,C032,431,1,0,2025-05-04 03:19:11
SE00000202,SES00019623,U001249,家纺,C010,228,1,0,2025-05-30 07:44:00
SE00000203,SES00018977,U004325,国货,C007,373,0,0,2025-09-27 00:08:01
SE00000204,SES00005176,U003545,女装,C010,117,1,0,2025-08-02 12:08:46
SE00000205,SES00012811,U003572,母婴玩具,C024,681,1,1,2026-07-11 05:40:27
SE00000206,SES00006092,U003658,女装,C040,16,1,0,2025-09-25 13:50:46
SE00000207,SES00003378,U004928,健身训练,C025,377,1,0,2026-06-30 23:36:54
SE00000208,SES00013708,U002379,智能设备,C018,247,1,0,2026-05-02 01:36:19
SE00000209,SES00014571,,男装,C030,208,1,0,2025-04-19 17:47:58
SE00000210,SES00015708,U000142,女装,C017,12,1,0,2025-05-26 02:55:24
SE00000211,SES00000939,U003332,个人护理,C020,251,0,0,2025-11-07 12:31:06
SE00000212,SES00003390,,开学季,C010,284,1,0,2025-04-27 13:08:49
SE00000213,SES00007100,U004087,服饰鞋包,C024,167,0,0,2026-01-20 00:36:16
SE00000214,SES00008051,U004455,厨具,C007,616,0,1,2026-06-24 05:00:09
SE00000215,SES00005078,U001484,手机通讯,C015,701,0,0,2026-02-10 03:20:12
SE00000216,SES00004831,U004984,休闲食品,C014,316,0,0,2026-03-12 07:46:57
SE00000217,SES00015590,U001696,箱包配饰,C014,408,1,0,2025-08-22 12:28:57
SE00000218,SES00003602,U004408,电脑办公,C022,108,1,0,2025-04-21 05:59:43
SE00000219,SES00014411,,运动户外,C022,285,1,0,2025-04-02 09:47:35
SE00000220,SES00011436,U000569,新品,C033,467,1,0,2025-07-29 00:40:59
SE00000221,SES00005925,U002546,夏季,C030,7,1,0,2026-04-22 00:40:26
SE00000222,SES00003382,U004373,智能,C017,652,1,1,2025-08-16 19:21:51
SE00000223,SES00010255,U003431,个人护理,C012,720,0,0,2026-07-16 19:22:26
SE00000224,SES00001621,U003362,洗护,C020,113,0,0,2026-07-08 02:04:15
SE00000225,SES00001873,U004498,图书,C025,305,1,0,2025-03-14 15:44:25
SE00000226,SES00002933,U003194,男装,C002,619,0,0,2025-10-09 13:49:16
SE00000227,SES00012133,U004900,电脑办公,C034,532,0,0,2025-11-05 03:33:18
SE00000228,SES00013888,U004081,洗护,C012,277,1,0,2025-09-04 21:37:56
SE00000229,SES00009435,U003625,母婴玩具,C010,524,0,0,2025-02-11 14:03:49
SE00000230,SES00016420,U000218,清洁用品,C004,378,0,0,2025-11-03 15:28:03
SE00000231,SES00007197,U001967,家居生活,C004,636,1,0,2025-01-13 14:03:15
SE00000232,SES00015448,U001990,男装,C008,514,0,0,2025-05-25 12:38:00
SE00000233,SES00014752,U003668,母婴玩具,C023,428,1,0,2026-05-19 08:39:09
SE00000234,SES00014008,,智能,C024,287,1,0,2025-05-11 23:52:26
SE00000235,SES00003768,U001325,夏季,C025,193,0,0,2025-12-06 01:15:54
SE00000236,SES00018623,U001423,宠物生活,C035,371,1,0,2026-02-26 10:40:21
SE00000237,SES00014482,U003306,运动鞋服,C008,132,0,0,2026-06-23 11:42:43
SE00000238,SES00004300,U000225,清洁用品,C019,22,0,0,2026-02-10 20:50:29
SE00000239,SES00016369,U001308,电脑办公,C027,194,1,0,2026-02-15 20:49:12
SE00000240,SES00004001,,个人护理,C039,151,0,0,2025-11-08 16:24:52
SE00000241,SES00001062,U004745,图书文娱,C009,401,0,0,2025-05-01 07:35:45
SE00000242,SES00000414,,护肤,C004,354,0,0,2026-03-03 05:58:57
SE00000243,SES00009860,,饮料冲调,C038,426,0,0,2025-07-03 03:09:52
SE00000244,SES00019138,U001610,护肤,C003,394,1,0,2025-09-05 01:50:42
SE00000245,SES00006240,,母婴玩具,C040,323,1,0,2025-11-28 12:35:26
SE00000246,SES00018339,U004701,家具,C008,587,0,0,2025-08-09 00:55:36
SE00000247,SES00005728,,生鲜果蔬,C012,651,1,0,2026-02-14 03:32:57
SE00000248,SES00011906,U003525,玩具,C024,286,0,0,2025-01-05 19:50:50
SE00000249,SES00005482,U004066,体育用品,C018,202,0,0,2025-10-09 11:30:30
SE00000250,SES00006380,U001943,图书文娱,C007,671,1,0,2025-11-19 19:55:36
SE00000251,SES00004346,U004908,图书,C033,769,1,0,2026-01-05 08:31:14
SE00000252,SES00009276,,美妆个护,C025,233,1,0,2026-01-18 02:02:02
SE00000253,SES00010068,U000062,数码家电,C008,38,1,0,2026-04-04 01:53:49
SE00000254,SES00015457,,家用电器,C033,768,1,0,2025-08-17 08:07:52
SE00000255,SES00015688,U001494,运动鞋服,C012,790,0,0,2026-05-23 09:11:51
SE00000256,SES00007970,U004310,智能,C035,392,0,0,2026-04-03 13:17:18
SE00000257,SES00010156,U000201,个人护理,C017,377,1,0,2025-12-23 23:23:19
SE00000258,SES00017980,U004048,家居生活,C003,49,1,0,2026-03-23 07:05:12
SE00000259,SES00015589,U004269,送礼,C019,163,0,0,2026-07-11 11:58:45
SE00000260,SES00001960,U003486,休闲食品,C005,208,0,0,2026-02-24 03:34:41
SE00000261,SES00007073,U001627,箱包配饰,C018,611,1,0,2025-06-30 17:28:29
SE00000262,SES00003440,U003483,家用,C020,597,0,0,2025-03-13 15:29:40
SE00000263,SES00010818,U003596,新品,C012,539,1,0,2025-05-31 14:37:14
SE00000264,SES00004458,U001145,洗护,C020,792,1,0,2025-10-21 13:36:38
SE00000265,SES00008448,U002655,婴童用品,C008,27,0,0,2025-06-22 06:34:29
SE00000266,SES00014045,U002634,开学季,C028,229,0,0,2026-05-26 18:13:35
SE00000267,SES00009911,U004343,图书,C039,409,1,0,2025-11-14 04:51:37
SE00000268,SES00012633,,体育用品,C023,441,0,0,2025-02-14 08:41:54
SE00000269,SES00001791,U004695,送礼,C008,362,1,0,2025-04-07 10:30:26
SE00000270,SES00006642,U000002,服饰鞋包,C035,672,1,0,2026-07-07 10:52:36
SE00000271,SES00006603,U002354,新品,C004,639,0,0,2026-05-19 14:29:09
SE00000272,SES00005832,U002748,彩妆,C033,142,1,0,2025-10-11 11:04:25
SE00000273,SES00011013,U001890,童装童鞋,C030,644,1,0,2026-07-30 10:50:05
SE00000274,SES00011134,U004576,生鲜果蔬,C020,700,1,0,2025-07-20 15:51:22
SE00000275,SES00003730,U004569,休闲食品,C017,358,1,0,2026-01-25 13:27:14
SE00000276,SES00000674,U003862,厨具,C014,3,1,0,2025-12-20 17:48:37
SE00000277,SES00019799,U002424,图书,C007,497,0,1,2026-06-19 06:36:32
SE00000278,SES00006206,U003369,彩妆,C040,680,1,0,2026-05-20 21:37:00
SE00000279,SES00013630,U003325,新品,C033,183,0,0,2025-06-03 21:57:45
SE00000280,SES00018330,U004047,家具,C019,162,1,0,2025-11-12 23:24:55
SE00000281,SES00003983,U000193,运动户外,C002,51,1,0,2025-01-18 01:36:13
SE00000282,SES00008860,U001332,智能,C030,153,0,0,2025-11-04 11:44:49
SE00000283,SES00006462,U002205,家具,C033,743,1,0,2026-07-12 02:05:30
SE00000284,SES00006903,U004953,体育用品,C003,114,0,0,2026-05-25 17:04:09
SE00000285,SES00009552,U002027,清洁用品,C020,493,0,0,2025-12-20 22:49:17
SE00000286,SES00000758,U001282,开学季,C038,123,1,0,2026-05-05 16:43:59
SE00000287,SES00002618,U003609,洗护,C004,650,0,0,2025-08-07 11:06:55
SE00000288,SES00009512,U002442,个人护理,C040,730,1,0,2025-03-30 12:44:45
SE00000289,SES00008054,U000385,家用电器,C034,247,0,0,2025-01-03 11:35:21
SE00000290,SES00000465,U004744,电脑办公,C034,63,0,0,2026-07-18 17:12:07
SE00000291,SES00010461,U001685,折扣,C008,628,0,0,2025-05-03 04:56:15
SE00000292,SES00005213,U002332,手机通讯,C014,798,1,1,2026-01-23 06:21:26
SE00000293,SES00001623,,数码家电,C012,689,1,0,2025-11-27 11:06:21
SE00000294,SES00008450,U004480,家用电器,C008,422,1,0,2025-07-27 08:11:05
SE00000295,SES00016739,U002335,家居生活,C035,744,0,0,2025-04-26 17:19:48
SE00000296,SES00007085,U002997,乐器,C039,205,1,0,2026-06-05 07:05:58
SE00000297,SES00016376,U000431,智能,C007,700,1,0,2025-03-19 02:18:39
SE00000298,SES00001179,,户外装备,C017,130,1,0,2026-07-20 02:31:32
SE00000299,SES00012303,U004302,男装,C007,426,0,1,2026-02-07 13:55:20
SE00000300,SES00018362,U000230,粮油调味,C028,482,1,0,2025-02-27 16:02:35
SE00000301,SES00002670,U002961,女装,C030,208,0,0,2025-03-03 14:59:58
SE00000302,SES00012662,,洗护,C003,719,1,0,2026-02-09 10:10:38
SE00000303,SES00015399,U003633,童装童鞋,C029,478,0,0,2026-05-15 02:07:21
SE00000304,SES00018419,U002416,电脑办公,C037,400,1,0,2025-01-04 22:17:18
SE00000305,SES00000862,U004102,送礼,C005,276,0,0,2026-08-03 01:39:30
SE00000306,SES00008334,U004984,粮油调味,C004,133,1,1,2026-03-18 15:11:14
SE00000307,SES00013810,U001879,家居生活,C003,224,1,0,2025-08-03 11:51:53
SE00000308,SES00004993,U000736,文创,C005,632,1,1,2025-03-29 05:14:22
SE00000309,SES00008607,U004381,婴童用品,C019,769,1,0,2025-01-02 01:18:16
SE00000310,SES00018529,U002766,轻便,C010,121,1,0,2025-08-22 14:51:39
SE00000311,SES00014613,U000249,家纺,C024,471,1,0,2026-01-15 10:58:41
SE00000312,SES00013035,U002934,母婴玩具,C012,379,1,0,2025-03-09 01:22:34
SE00000313,SES00007813,U002900,体育用品,C035,693,1,1,2025-10-13 22:10:34
SE00000314,SES00018464,U001143,户外装备,C015,172,1,0,2025-06-13 10:16:45
SE00000315,SES00006885,U001384,运动鞋服,C032,368,1,0,2026-04-13 11:10:17
SE00000316,SES00006950,U002907,个人护理,C003,148,0,0,2025-10-30 01:35:18
SE00000317,SES00010477,U003406,母婴玩具,C018,193,0,0,2025-11-29 20:32:36
SE00000318,SES00018476,U003083,粮油调味,C014,94,1,0,2026-06-20 21:04:05
SE00000319,SES00017958,,家用电器,C018,98,0,0,2025-03-13 21:24:54
SE00000320,SES00017160,U000780,箱包配饰,C024,27,1,0,2026-02-27 18:10:59
SE00000321,SES00011555,U004814,生鲜果蔬,C024,553,1,0,2026-07-14 16:37:07
SE00000322,SES00008919,U003067,奶粉辅食,C010,57,1,0,2025-09-13 03:49:38
SE00000323,SES00013591,,手机通讯,C025,507,1,0,2025-12-09 02:20:09
SE00000324,SES00011255,U000906,男装,C005,799,1,0,2026-04-25 21:35:26
SE00000325,SES00009596,U001424,性价比,C015,588,1,0,2026-01-07 15:02:58
SE00000326,SES00010007,U001684,婴童用品,C032,492,0,0,2026-05-23 07:24:03
