refund_id,order_id,user_id,refund_reason,refund_amount,refund_status,applied_at,completed_at
RF0000089,O00008766,U000716,不喜欢,81.88,approved,2026-06-20 15:36:20,
RF0000090,O00007820,U001759,商品破损,2211.23,rejected,2025-04-22 22:13:57,2025-04-24 22:13:57
RF0000091,O00002781,U003413,拍错或多拍,1375.58,completed,2026-04-17 16:32:52,2026-04-18 16:32:52
RF0000092,O00011707,U004489,尺码不合适,2278.61,rejected,2025-10-01 22:39:02,2025-10-05 22:39:02
RF0000093,O00011581,U001214,不喜欢,2135.73,completed,2025-07-04 08:27:19,2025-07-09 08:27:19
RF0000094,O00002459,U004841,尺码不合适,3002.98,completed,2025-10-12 19:44:39,2025-10-15 19:44:39
RF0000095,O00005327,U004060,质量问题,2151.69,completed,2026-06-30 12:15:26,2026-07-01 12:15:26
RF0000096,O00011214,U001314,尺码不合适,703.87,approved,2025-05-08 11:15:38,
RF0000097,O00006672,U001722,质量问题,1622.67,completed,2026-06-08 02:01:20,2026-06-11 02:01:20
RF0000098,O00010223,U003549,不喜欢,1446.66,completed,2026-06-17 20:04:11,2026-06-21 20:04:11
RF0000099,O00006325,U001188,拍错或多拍,4003.72,approved,2026-05-19 05:44:34,
RF0000100,O00002600,U002595,拍错或多拍,2266.28,completed,2026-07-23 12:55:15,2026-07-25 12:55:15
RF0000101,O00000045,U000280,未按时到货,1735.88,approved,2025-08-24 04:07:00,
RF0000102,O00010551,U001269,未按时到货,570.9,completed,2026-06-26 23:43:28,2026-06-29 23:43:28
RF0000103,O00010117,U003686,商品破损,1582.88,completed,2025-02-15 02:52:37,2025-02-19 02:52:37
RF0000104,O00002765,U002234,尺码不合适,8269.73,completed,2025-08-18 03:02:36,2025-08-21 03:02:36
RF0000105,O00005208,U001962,拍错或多拍,176.27,completed,2026-04-17 05:47:35,2026-04-18 05:47:35
RF0000106,O00009832,U001068,尺码不合适,1196.26,completed,2026-03-24 12:24:22,2026-03-27 12:24:22
RF0000107,O00011514,U002372,尺码不合适,87.85,completed,2026-02-21 14:58:10,2026-02-24 14:58:10
RF0000108,O00001414,U000057,尺码不合适,701.64,completed,2025-07-12 04:15:55,2025-07-13 04:15:55
RF0000109,O00006813,U003908,未按时到货,3462.85,completed,2025-12-23 03:45:58,2025-12-25 03:45:58
RF0000110,O00009391,U002751,质量问题,3098.89,processing,2026-05-05 11:10:23,
RF0000111,O00009633,U000821,不喜欢,2002.53,completed,2025-08-25 12:36:30,2025-08-28 12:36:30
RF0000112,O00004953,U002900,拍错或多拍,4290.02,rejected,2025-02-12 10:29:01,2025-02-13 10:29:01
RF0000113,O00003988,U001094,未按时到货,1857.7,completed,2025-05-12 18:26:38,2025-05-14 18:26:38
RF0000114,O00000323,U002861,尺码不合适,1852.19,approved,2025-11-09 07:34:32,
RF0000115,O00000301,U000597,质量问题,1474.81,completed,2026-01-31 12:36:31,2026-02-05 12:36:31
RF0000116,O00011626,U004893,不喜欢,692.77,completed,2026-07-25 12:44:42,2026-07-26 12:44:42
RF0000117,O00009216,U004434,不喜欢,1071.86,rejected,2025-03-06 10:41:48,2025-03-09 10:41:48
RF0000118,O00002007,U001806,不喜欢,2416.09,approved,2025-04-26 08:33:15,
RF0000119,O00006534,U000339,质量问题,1466.39,rejected,2026-06-17 23:37:46,2026-06-20 23:37:46
RF0000120,O00004828,U002986,拍错或多拍,2753.66,completed,2025-07-05 00:50:19,2025-07-09 00:50:19
RF0000121,O00004711,U004117,质量问题,122.71,completed,2025-08-17 16:44:10,2025-08-18 16:44:10
RF0000122,O00002523,U003650,不喜欢,2796.34,approved,2026-04-23 10:17:12,
RF0000123,O00005641,U001817,不喜欢,2846.17,completed,2026-03-19 21:47:14,2026-03-22 21:47:14
RF0000124,O00010888,U004866,质量问题,2691.07,completed,2025-12-03 16:09:25,2025-12-05 16:09:25
RF0000125,O00010587,U003753,拍错或多拍,772.31,completed,2025-12-04 20:58:35,2025-12-09 20:58:35
RF0000126,O00009018,U002479,不喜欢,805.4,completed,2025-06-08 03:18:23,2025-06-12 03:18:23
RF0000127,O00000370,U004032,拍错或多拍,1589.55,completed,2026-07-30 16:20:00,2026-08-01 16:20:00
RF0000128,O00010103,U002276,拍错或多拍,3425.72,completed,2026-08-07 20:21:19,2026-08-12 20:21:19
RF0000129,O00003981,U000708,尺码不合适,575.29,completed,2026-07-02 20:20:23,2026-07-07 20:20:23
RF0000130,O00001942,U000888,质量问题,1101.45,completed,2025-06-23 08:28:02,2025-06-28 08:28:02
RF0000131,O00003263,U004280,尺码不合适,1350.0,completed,2026-01-21 15:48:22,2026-01-23 15:48:22
RF0000132,O00009295,U000992,拍错或多拍,3353.47,processing,2026-01-22 08:55:49,
RF0000133,O00002019,U001523,不喜欢,730.47,completed,2026-04-15 20:38:43,2026-04-17 20:38:43
RF0000134,O00011866,U003532,不喜欢,2108.5,approved,2025-01-23 06:55:46,
RF0000135,O00002190,U001478,未按时到货,1522.87,completed,2025-05-14 00:43:06,2025-05-17 00:43:06
RF0000136,O00000865,U004849,尺码不合适,1828.3,completed,2025-10-27 00:13:23,2025-11-01 00:13:23
RF0000137,O00006515,U003347,质量问题,1918.34,completed,2025-05-23 00:46:45,2025-05-26 00:46:45
RF0000138,O00010302,U003745,不喜欢,1657.08,completed,2025-07-15 14:28:39,2025-07-19 14:28:39
RF0000139,O00009063,U003981,拍错或多拍,8659.13,completed,2025-03-12 23:49:43,2025-03-16 23:49:43
RF0000140,O00002976,U000354,质量问题,2090.79,completed,2026-05-06 11:46:53,2026-05-11 11:46:53
RF0000141,O00006129,U002848,未按时到货,4282.83,approved,2026-01-29 23:01:16,
RF0000142,O00010151,U000253,质量问题,7035.97,completed,2026-05-14 02:00:47,2026-05-17 02:00:47
RF0000143,O00007224,U003074,不喜欢,3346.07,approved,2025-07-07 19:51:37,
RF0000144,O00005999,U004867,不喜欢,2158.54,rejected,2026-06-05 06:13:44,2026-06-07 06:13:44
RF0000145,O00002304,U002856,商品破损,2597.81,approved,2025-04-05 23:44:40,
RF0000146,O00000143,U000203,质量问题,2633.67,completed,2025-04-04 00:56:43,2025-04-08 00:56:43
RF0000147,O00008447,U003776,商品破损,7482.74,completed,2026-08-26 09:52:51,2026-08-28 09:52:51
RF0000148,O00007115,U001695,尺码不合适,2234.51,approved,2026-05-07 18:11:04,
RF0000149,O00007468,U000368,质量问题,913.59,approved,2025-09-15 14:04:10,
RF0000150,O00004080,U002954,尺码不合适,848.63,rejected,2025-11-26 15:38:00,2025-11-30 15:38:00
RF0000151,O00000025,U002961,尺码不合适,1996.33,rejected,2025-11-11 03:38:21,2025-11-16 03:38:21
RF0000152,O00006298,U002832,商品破损,2257.31,completed,2026-08-06 13:57:57,2026-08-10 13:57:57
RF0000153,O00002460,U000307,不喜欢,2320.63,completed,2025-12-13 10:59:02,2025-12-14 10:59:02
RF0000154,O00011157,U000854,拍错或多拍,976.39,rejected,2025-09-06 10:36:28,2025-09-08 10:36:28
RF0000155,O00005535,U001170,不喜欢,3691.25,completed,2025-01-30 12:25:24,2025-01-31 12:25:24
RF0000156,O00000479,U004646,不喜欢,182.51,processing,2025-12-19 02:40:13,
RF0000157,O00005660,U004082,不喜欢,1832.29,completed,2025-02-07 01:58:51,2025-02-12 01:58:51
RF0000158,O00009444,U003823,不喜欢,1813.71,completed,2026-05-26 22:55:04,2026-05-29 22:55:04
RF0000159,O00010362,U000060,拍错或多拍,1097.59,completed,2025-01-31 15:39:09,2025-02-01 15:39:09
RF0000160,O00003784,U001178,尺码不合适,2987.52,completed,2025-03-23 08:36:58,2025-03-26 08:36:58
RF0000161,O00011593,U000127,不喜欢,106.85,completed,2026-06-17 05:38:45,2026-06-19 05:38:45
RF0000162,O00010909,U000288,不喜欢,2277.38,approved,2025-03-21 13:27:11,
RF0000163,O00003947,U004052,商品破损,1079.54,completed,2025-07-19 04:56:08,2025-07-22 04:56:08
RF0000164,O00000898,U003849,尺码不合适,684.98,completed,2025-02-26 16:21:47,2025-03-01 16:21:47
RF0000165,O00002563,U001836,尺码不合适,1824.02,completed,2025-06-05 20:56:17,2025-06-07 20:56:17
RF0000166,O00003798,U001676,尺码不合适,3386.7,completed,2025-05-30 17:01:40,2025-06-02 17:01:40
RF0000167,O00004106,U000819,拍错或多拍,189.46,approved,2026-03-03 17:03:24,
RF0000168,O00004180,U001140,未按时到货,576.3,approved,2026-01-03 13:07:39,
RF0000169,O00002933,U003500,拍错或多拍,277.14,completed,2025-08-27 23:27:37,2025-08-28 23:27:37
RF0000170,O00010279,U003744,质量问题,1426.29,completed,2026-06-25 17:21:20,2026-06-27 17:21:20
RF0000171,O00004588,U001624,未按时到货,1335.05,completed,2026-08-29 05:36:35,2026-09-03 05:36:35
RF0000172,O00009229,U002190,质量问题,4097.94,completed,2025-08-14 03:33:38,2025-08-17 03:33:38
RF0000173,O00009813,U003883,拍错或多拍,1220.56,completed,2026-03-09 14:34:05,2026-03-14 14:34:05
RF0000174,O00010871,U004541,尺码不合适,2310.53,approved,2025-05-03 06:33:54,
RF0000175,O00002565,U004526,质量问题,9485.62,completed,2025-11-15 06:01:21,2025-11-17 06:01:21
RF0000176,O00006664,U002113,拍错或多拍,954.76,completed,2026-07-07 05:50:50,2026-07-10 05:50:50
RF0000177,O00003092,U001010,不喜欢,3731.03,completed,2025-10-11 17:30:13,2025-10-13 17:30:13
RF0000178,O00011253,U003934,商品破损,2235.17,completed,2026-08-27 15:37:21,2026-09-01 15:37:21
RF0000179,O00009620,U003002,不喜欢,978.82,completed,2026-04-23 17:34:15,2026-04-25 17:34:15
RF0000180,O00002472,U004447,商品破损,1439.77,completed,2025-05-05 07:06:03,2025-05-08 07:06:03
RF0000181,O00010195,U001585,未按时到货,3919.24,completed,2025-04-26 14:57:39,2025-04-27 14:57:39
RF0000182,O00007793,U000295,未按时到货,3105.02,processing,2026-08-27 03:42:10,
RF0000183,O00002131,U000585,拍错或多拍,1869.87,completed,2026-01-31 13:05:06,2026-02-05 13:05:06
RF0000184,O00009432,U001641,未按时到货,679.24,completed,2025-11-12 11:17:21,2025-11-17 11:17:21
RF0000185,O00007851,U004301,未按时到货,2261.32,approved,2025-02-06 04:41:46,
RF0000186,O00004120,U004597,尺码不合适,2143.77,rejected,2025-03-16 15:55:40,2025-03-18 15:55:40
RF0000187,O00011862,U003959,拍错或多拍,5907.49,completed,2025-06-12 06:55:36,2025-06-16 06:55:36
RF0000188,O00009512,U002445,拍错或多拍,841.09,approved,2025-06-09 04:04:43,
RF0000189,O00001236,U004817,商品破损,935.18,completed,2025-06-25 14:26:21,2025-06-30 14:26:21
RF0000190,O00003230,U001983,未按时到货,3168.03,completed,2025-09-28 12:14:41,2025-10-02 12:14:41
RF0000191,O00006051,U001998,不喜欢,539.94,approved,2026-08-18 10:01:21,
RF0000192,O00002806,U003737,质量问题,1147.07,completed,2026-06-07 12:24:01,2026-06-09 12:24:01
RF0000193,O00008604,U001459,质量问题,2697.77,approved,2026-04-13 14:45:56,
RF0000194,O00008284,U004837,拍错或多拍,318.19,completed,2025-06-08 23:08:24,2025-06-10 23:08:24
RF0000195,O00007607,U002191,商品破损,1739.57,completed,2026-01-12 03:23:07,2026-01-13 03:23:07
RF0000196,O00009817,U003191,质量问题,3049.28,completed,2026-07-03 02:20:42,2026-07-08 02:20:42
RF0000197,O00009129,U003799,拍错或多拍,2008.01,approved,2025-09-08 14:47:36,
RF0000198,O00008107,U000259,尺码不合适,1628.61,completed,2025-11-29 10:56:14,2025-12-04 10:56:14
RF0000199,O00008301,U001461,拍错或多拍,2878.55,completed,2025-10-14 04:27:52,2025-10-17 04:27:52
RF0000200,O00009669,U002915,未按时到货,5205.63,rejected,2026-07-30 17:34:19,2026-07-31 17:34:19
RF0000201,O00001893,U000313,不喜欢,1324.58,completed,2026-04-13 01:04:46,2026-04-17 01:04:46
RF0000202,O00006119,U004491,未按时到货,3573.97,approved,2026-05-18 09:29:12,
RF0000203,O00011552,U001788,商品破损,3119.78,completed,2025-11-25 11:19:35,2025-11-27 11:19:35
RF0000204,O00007979,U001662,尺码不合适,2435.19,completed,2025-07-28 22:37:47,2025-07-31 22:37:47
RF0000205,O00001965,U000150,尺码不合适,2662.57,completed,2026-09-03 15:27:11,2026-09-05 15:27:11
RF0000206,O00010098,U003973,不喜欢,1009.27,completed,2025-06-06 07:19:19,2025-06-10 07:19:19
RF0000207,O00001461,U002400,未按时到货,9894.07,approved,2025-02-22 01:20:16,
RF0000208,O00001205,U001646,尺码不合适,1437.41,completed,2026-07-05 16:31:19,2026-07-09 16:31:19
RF0000209,O00010537,U000640,质量问题,4150.18,approved,2025-05-05 15:02:50,
RF0000210,O00007098,U001205,不喜欢,1879.21,completed,2025-05-23 03:24:32,2025-05-25 03:24:32
RF0000211,O00008053,U000215,质量问题,2267.64,completed,2025-02-14 16:40:21,2025-02-18 16:40:21
RF0000212,O00006827,U002159,质量问题,71.5,completed,2025-04-18 13:46:42,2025-04-20 13:46:42
RF0000213,O00004130,U001187,质量问题,912.45,processing,2026-07-02 14:46:00,
RF0000214,O00006020,U000179,不喜欢,1078.15,completed,2025-01-23 17:26:11,2025-01-24 17:26:11
RF0000215,O00005698,U001157,不喜欢,4485.92,completed,2025-03-05 18:32:18,2025-03-07 18:32:18
RF0000216,O00008373,U002343,商品破损,2169.66,completed,2026-02-05 05:49:46,2026-02-07 05:49:46
RF0000217,O00007319,U001373,商品破损,1510.49,completed,2025-04-20 13:58:58,2025-04-23 13:58:58
RF0000218,O00010854,U000507,不喜欢,2361.18,completed,2025-09-09 23:38:03,2025-09-12 23:38:03
RF0000219,O00000482,U002777,尺码不合适,2643.39,completed,2026-07-25 02:45:41,2026-07-27 02:45:41
RF0000220,O00007500,U004677,不喜欢,1295.08,completed,2026-04-02 20:21:15,2026-04-05 20:21:15
RF0000221,O00010121,U003525,不喜欢,3748.0,completed,2025-12-04 02:58:43,2025-12-08 02:58:43
RF0000222,O00003924,U003253,尺码不合适,2574.54,rejected,2025-02-28 12:06:35,2025-03-03 12:06:35
RF0000223,O00001387,U001585,不喜欢,6741.67,completed,2025-04-02 02:24:00,2025-04-07 02:24:00
RF0000224,O00009563,U004875,拍错或多拍,1316.69,approved,2026-02-23 10:35:51,
RF0000225,O00002049,U003199,不喜欢,1290.63,processing,2026-08-20 15:15:47,
RF0000226,O00007041,U000219,尺码不合适,2174.24,rejected,2026-08-01 21:12:23,2026-08-03 21:12:23
RF0000227,O00002112,U003115,不喜欢,1763.44,completed,2025-05-06 09:37:00,2025-05-09 09:37:00
RF0000228,O00004481,U002807,不喜欢,2291.34,completed,2026-08-18 20:17:26,2026-08-20 20:17:26
RF0000229,O00002246,U000456,不喜欢,3341.79,approved,2026-06-19 14:54:42,
RF0000230,O00003147,U001553,质量问题,2844.93,rejected,2026-05-14 14:22:52,2026-05-18 14:22:52
RF0000231,O00009487,U001607,不喜欢,2384.29,completed,2025-07-04 15:54:53,2025-07-07 15:54:53
RF0000232,O00010512,U002808,尺码不合适,5161.3,approved,2025-01-24 17:26:07,
RF0000233,O00002678,U002352,尺码不合适,2988.68,rejected,2026-06-07 17:27:38,2026-06-11 17:27:38
RF0000234,O00010309,U003783,未按时到货,2124.34,completed,2026-01-01 01:58:33,2026-01-04 01:58:33
RF0000235,O00006343,U004833,拍错或多拍,1268.64,completed,2025-11-10 19:14:29,2025-11-14 19:14:29
RF0000236,O00005275,U001470,尺码不合适,1625.96,completed,2025-09-12 01:38:42,2025-09-15 01:38:42
RF0000237,O00006752,U003536,不喜欢,2206.65,completed,2026-04-16 18:41:23,2026-04-20 18:41:23
RF0000238,O00001048,U004720,尺码不合适,2504.96,completed,2025-10-29 19:18:51,2025-10-31 19:18:51
RF0000239,O00006006,U002744,不喜欢,2697.52,completed,2025-10-06 20:50:59,2025-10-09 20:50:59
RF0000240,O00004943,U003228,未按时到货,1262.24,completed,2026-04-28 20:48:12,2026-05-03 20:48:12
RF0000241,O00001774,U001034,不喜欢,752.01,completed,2025-01-26 10:15:16,2025-01-27 10:15:16
RF0000242,O00010863,U002997,商品破损,781.92,completed,2026-03-22 01:45:28,2026-03-24 01:45:28
RF0000243,O00001768,U003014,未按时到货,2687.44,completed,2026-04-29 18:13:22,2026-05-02 18:13:22
RF0000244,O00000572,U000817,商品破损,1479.06,approved,2025-04-03 02:41:37,
RF0000245,O00007929,U002884,尺码不合适,449.4,processing,2025-07-24 22:12:43,
RF0000246,O00000526,U004210,未按时到货,2463.77,completed,2026-06-25 18:35:48,2026-06-27 18:35:48
RF0000247,O00002077,U003947,尺码不合适,1640.41,completed,2025-10-24 09:36:17,2025-10-26 09:36:17
RF0000248,O00001211,U004016,拍错或多拍,3368.44,completed,2025-07-11 06:04:26,2025-07-14 06:04:26
RF0000249,O00005824,U001125,不喜欢,5064.06,completed,2025-03-19 06:24:07,2025-03-24 06:24:07
RF0000250,O00005687,U003929,不喜欢,1164.31,completed,2026-03-21 02:47:27,2026-03-26 02:47:27
RF0000251,O00001163,U002859,质量问题,2404.36,rejected,2025-07-09 07:23:55,2025-07-13 07:23:55
RF0000252,O00005243,U003300,不喜欢,1971.58,processing,2026-07-27 18:25:54,
RF0000253,O00003460,U003854,质量问题,1888.67,approved,2026-03-15 01:46:47,
RF0000254,O00001634,U000069,尺码不合适,3562.94,processing,2026-02-06 06:42:23,
RF0000255,O00009536,U003187,未按时到货,5718.51,completed,2025-05-10 23:28:09,2025-05-14 23:28:09
RF0000256,O00008070,U001926,商品破损,1805.72,approved,2026-06-05 03:09:26,
RF0000257,O00007156,U003189,质量问题,4011.38,completed,2026-03-10 03:47:34,2026-03-13 03:47:34
RF0000258,O00011671,U003655,未按时到货,601.0,rejected,2026-02-12 15:34:29,2026-02-13 15:34:29
RF0000259,O00000959,U002809,商品破损,3503.35,approved,2026-07-08 01:11:55,
RF0000260,O00009384,U000066,拍错或多拍,2516.62,completed,2026-03-04 00:48:32,2026-03-07 00:48:32
RF0000261,O00008258,U002374,拍错或多拍,2268.94,completed,2026-04-03 17:26:53,2026-04-06 17:26:53
RF0000262,O00002022,U000874,质量问题,3909.59,rejected,2026-02-03 00:06:46,2026-02-06 00:06:46
RF0000263,O00004419,U002887,拍错或多拍,2088.52,completed,2025-09-04 19:36:48,2025-09-05 19:36:48
RF0000264,O00003708,U004074,拍错或多拍,1431.6,completed,2025-09-12 13:48:51,2025-09-16 13:48:51
RF0000265,O00003010,U003392,不喜欢,438.37,completed,2025-05-09 20:49:08,2025-05-12 20:49:08
RF0000266,O00010108,U003540,不喜欢,756.08,approved,2025-11-04 21:30:45,
