price_id,sku_id,price,effective_from,effective_to,price_type
PR00000106,SKU0000053,1456.82,2025-09-18,,campaign
PR00000107,SKU0000054,1295.26,2025-11-30,2026-01-25,regular
PR00000108,SKU0000054,1251.83,2026-01-25,,regular
PR00000109,SKU0000055,2444.59,2025-04-12,2025-07-30,regular
PR00000110,SKU0000055,2269.47,2025-07-30,,regular
PR00000111,SKU0000056,2360.49,2025-06-21,2025-10-25,regular
PR00000112,SKU0000056,2453.3,2025-10-25,,regular
PR00000113,SKU0000057,224.1,2025-01-30,2025-04-09,regular
PR00000114,SKU0000057,213.05,2025-04-09,,campaign
PR00000115,SKU0000058,275.19,2026-02-20,2026-08-19,regular
PR00000116,SKU0000058,252.74,2026-08-19,,regular
PR00000117,SKU0000059,1213.6,2025-08-30,2026-01-06,regular
PR00000118,SKU0000059,1200.9,2026-01-06,,regular
PR00000119,SKU0000060,1249.69,2026-04-05,2026-08-22,regular
PR00000120,SKU0000060,1190.55,2026-08-22,,regular
PR00000121,SKU0000061,2992.8,2025-10-01,2026-01-21,regular
PR00000122,SKU0000061,2863.08,2026-01-21,,regular
PR00000123,SKU0000062,3271.97,2025-05-09,2025-07-01,regular
PR00000124,SKU0000062,2969.25,2025-07-01,,campaign
PR00000125,SKU0000063,2646.87,2025-09-11,2025-10-30,regular
PR00000126,SKU0000063,2467.37,2025-10-30,,campaign
PR00000127,SKU0000064,2211.48,2025-10-29,2026-01-28,regular
PR00000128,SKU0000064,2351.09,2026-01-28,,regular
PR00000129,SKU0000065,422.76,2025-05-12,2025-07-21,regular
PR00000130,SKU0000065,394.37,2025-07-21,,regular
PR00000131,SKU0000066,384.68,2025-02-21,2025-07-04,regular
PR00000132,SKU0000066,398.11,2025-07-04,,campaign
PR00000133,SKU0000067,1925.43,2025-10-12,2026-03-12,regular
PR00000134,SKU0000067,2031.4,2026-03-12,,regular
PR00000135,SKU0000068,2009.78,2025-09-17,2025-11-09,regular
PR00000136,SKU0000068,1820.32,2025-11-09,,campaign
PR00000137,SKU0000069,3176.96,2025-03-12,2025-04-25,regular
PR00000138,SKU0000069,2937.86,2025-04-25,,regular
PR00000139,SKU0000070,2645.74,2025-09-30,2026-03-29,regular
PR00000140,SKU0000070,2399.9,2026-03-29,,campaign
PR00000141,SKU0000071,2507.92,2025-02-05,2025-03-22,regular
PR00000142,SKU0000071,2526.75,2025-03-22,,regular
PR00000143,SKU0000072,3375.1,2025-06-20,2025-10-07,regular
PR00000144,SKU0000072,3131.98,2025-10-07,,campaign
PR00000145,SKU0000073,50.78,2025-11-09,2026-03-05,regular
PR00000146,SKU0000073,52.22,2026-03-05,,regular
PR00000147,SKU0000074,46.62,2026-04-28,2026-06-22,regular
PR00000148,SKU0000074,49.37,2026-06-22,,campaign
PR00000149,SKU0000075,2668.62,2025-08-12,2026-02-05,regular
PR00000150,SKU0000075,2400.05,2026-02-05,,regular
PR00000151,SKU0000076,3156.99,2025-05-25,2025-10-24,regular
PR00000152,SKU0000076,2865.11,2025-10-24,,campaign
PR00000153,SKU0000077,474.22,2025-08-07,2026-01-04,regular
PR00000154,SKU0000077,447.62,2026-01-04,,regular
PR00000155,SKU0000078,500.55,2026-01-30,2026-03-19,regular
PR00000156,SKU0000078,457.33,2026-03-19,,regular
PR00000157,SKU0000079,974.12,2025-03-22,2025-08-10,regular
PR00000158,SKU0000079,886.34,2025-08-10,,regular
PR00000159,SKU0000080,967.83,2026-04-13,2026-07-14,regular
PR00000160,SKU0000080,1027.88,2026-07-14,,campaign
PR00000161,SKU0000081,2903.77,2025-01-03,2025-03-21,regular
PR00000162,SKU0000081,2659.98,2025-03-21,,regular
PR00000163,SKU0000082,3664.26,2025-10-05,2025-11-28,regular
PR00000164,SKU0000082,3278.21,2025-11-28,,campaign
PR00000165,SKU0000083,156.41,2026-04-21,2026-08-22,regular
PR00000166,SKU0000083,159.1,2026-08-22,,regular
PR00000167,SKU0000084,185.09,2025-10-04,2026-01-22,regular
PR00000168,SKU0000084,167.92,2026-01-22,,regular
PR00000169,SKU0000085,2450.77,2026-04-29,2026-08-22,regular
PR00000170,SKU0000085,2253.68,2026-08-22,,campaign
PR00000171,SKU0000086,2089.75,2025-10-29,2025-12-03,regular
PR00000172,SKU0000086,1974.63,2025-12-03,,campaign
PR00000173,SKU0000087,2835.62,2026-05-01,2026-07-11,regular
PR00000174,SKU0000087,3079.9,2026-07-11,,campaign
PR00000175,SKU0000088,2807.97,2025-03-23,2025-07-04,regular
PR00000176,SKU0000088,2900.0,2025-07-04,,campaign
PR00000177,SKU0000089,687.07,2025-01-29,2025-03-27,regular
PR00000178,SKU0000089,655.5,2025-03-27,,regular
PR00000179,SKU0000090,731.07,2025-01-12,2025-04-23,regular
PR00000180,SKU0000090,782.14,2025-04-23,,campaign
PR00000181,SKU0000091,2450.87,2025-01-02,2025-06-29,regular
PR00000182,SKU0000091,2314.1,2025-06-29,,regular
PR00000183,SKU0000092,2298.77,2025-04-09,2025-08-02,regular
PR00000184,SKU0000092,2172.92,2025-08-02,,regular
PR00000185,SKU0000093,2106.81,2025-11-26,2026-05-13,regular
PR00000186,SKU0000093,1926.7,2026-05-13,,campaign
PR00000187,SKU0000094,2006.57,2025-06-05,2025-08-01,regular
PR00000188,SKU0000094,2043.26,2025-08-01,,regular
PR00000189,SKU0000095,188.9,2025-11-08,2026-02-08,regular
PR00000190,SKU0000095,173.59,2026-02-08,,campaign
PR00000191,SKU0000096,183.09,2026-04-15,2026-07-15,regular
PR00000192,SKU0000096,175.64,2026-07-15,,campaign
PR00000193,SKU0000097,1451.84,2025-05-01,2025-09-22,regular
PR00000194,SKU0000097,1459.82,2025-09-22,,regular
PR00000195,SKU0000098,1228.97,2025-05-01,2025-08-04,regular
PR00000196,SKU0000098,1316.89,2025-08-04,,regular
PR00000197,SKU0000099,1898.87,2026-04-25,2026-07-05,regular
PR00000198,SKU0000099,1937.43,2026-07-05,,regular
PR00000199,SKU0000100,2245.81,2026-02-12,2026-07-21,regular
PR00000200,SKU0000100,2016.53,2026-07-21,,regular
PR00000201,SKU0000101,2414.64,2025-02-26,2025-04-23,regular
PR00000202,SKU0000101,2555.32,2025-04-23,,regular
PR00000203,SKU0000102,3156.54,2026-04-01,2026-08-22,regular
PR00000204,SKU0000102,2859.03,2026-08-22,,campaign
PR00000205,SKU0000103,3230.59,2025-07-15,2025-11-23,regular
PR00000206,SKU0000103,2906.3,2025-11-23,,regular
PR00000207,SKU0000104,3009.5,2025-07-01,2025-12-24,regular
PR00000208,SKU0000104,3060.95,2025-12-24,,campaign
PR00000209,SKU0000105,2716.98,2025-03-26,2025-06-12,regular
PR00000210,SKU0000105,2515.22,2025-06-12,,regular
PR00000211,SKU0000106,2149.01,2025-09-28,2026-03-25,regular
PR00000212,SKU0000106,2229.62,2026-03-25,,regular
PR00000213,SKU0000107,1559.83,2025-03-20,2025-07-28,regular
PR00000214,SKU0000107,1578.67,2025-07-28,,regular
PR00000215,SKU0000108,1725.94,2026-04-04,2026-07-12,regular
PR00000216,SKU0000108,1672.89,2026-07-12,,regular
PR00000217,SKU0000109,1658.95,2025-04-22,2025-07-31,regular
PR00000218,SKU0000109,1770.18,2025-07-31,,regular
PR00000219,SKU0000110,2009.55,2026-05-16,2026-07-18,regular
PR00000220,SKU0000110,1823.96,2026-07-18,,campaign
PR00000221,SKU0000111,1488.81,2025-11-28,2026-02-03,regular
PR00000222,SKU0000111,1533.27,2026-02-03,,regular
PR00000223,SKU0000112,1898.9,2026-04-17,2026-05-17,regular
PR00000224,SKU0000112,1737.13,2026-05-17,,campaign
PR00000225,SKU0000113,433.04,2026-04-23,2026-07-19,regular
PR00000226,SKU0000113,413.36,2026-07-19,,campaign
PR00000227,SKU0000114,436.54,2025-11-07,2026-04-30,regular
PR00000228,SKU0000114,411.65,2026-04-30,,regular
PR00000229,SKU0000115,1169.77,2025-08-22,2025-11-09,regular
PR00000230,SKU0000115,1122.07,2025-11-09,,regular
PR00000231,SKU0000116,1433.18,2026-03-10,2026-07-07,regular
PR00000232,SKU0000116,1407.11,2026-07-07,,regular
PR00000233,SKU0000117,1337.06,2026-03-11,2026-08-13,regular
PR00000234,SKU0000117,1366.93,2026-08-13,,campaign
PR00000235,SKU0000118,1322.44,2026-02-20,2026-08-05,regular
PR00000236,SKU0000118,1309.75,2026-08-05,,regular
PR00000237,SKU0000119,3031.71,2025-02-26,2025-08-04,regular
PR00000238,SKU0000119,2937.41,2025-08-04,,campaign
PR00000239,SKU0000120,2877.09,2025-10-24,2026-03-28,regular
PR00000240,SKU0000120,2952.02,2026-03-28,,regular
PR00000241,SKU0000121,2770.6,2025-12-15,2026-06-02,regular
PR00000242,SKU0000121,2776.48,2026-06-02,,campaign
PR00000243,SKU0000122,2878.93,2025-06-11,2025-07-11,regular
PR00000244,SKU0000122,3123.43,2025-07-11,,regular
PR00000245,SKU0000123,3212.38,2026-01-21,2026-04-08,regular
PR00000246,SKU0000123,2885.93,2026-04-08,,regular
PR00000247,SKU0000124,3080.49,2026-01-05,2026-05-03,regular
PR00000248,SKU0000124,3230.97,2026-05-03,,regular
PR00000249,SKU0000125,1054.87,2026-02-10,2026-07-23,regular
PR00000250,SKU0000125,951.22,2026-07-23,,regular
PR00000251,SKU0000126,866.56,2025-06-09,2025-10-08,regular
PR00000252,SKU0000126,909.34,2025-10-08,,regular
PR00000253,SKU0000127,3651.88,2026-01-25,2026-07-17,regular
PR00000254,SKU0000127,3345.83,2026-07-17,,regular
PR00000255,SKU0000128,3540.34,2026-01-20,2026-04-18,regular
PR00000256,SKU0000128,3460.63,2026-04-18,,regular
PR00000257,SKU0000129,2077.17,2026-04-17,2026-05-29,regular
PR00000258,SKU0000129,2214.08,2026-05-29,,regular
PR00000259,SKU0000130,2250.13,2025-10-30,2026-02-11,regular
PR00000260,SKU0000130,2281.55,2026-02-11,,regular
PR00000261,SKU0000131,708.95,2025-08-24,2025-10-26,regular
PR00000262,SKU0000131,640.84,2025-10-26,,campaign
PR00000263,SKU0000132,883.57,2025-05-22,2025-07-04,regular
PR00000264,SKU0000132,809.48,2025-07-04,,regular
PR00000265,SKU0000133,2965.76,2025-05-03,2025-07-20,regular
PR00000266,SKU0000133,2952.19,2025-07-20,,regular
PR00000267,SKU0000134,2517.86,2025-04-25,2025-09-15,regular
PR00000268,SKU0000134,2469.32,2025-09-15,,regular
PR00000269,SKU0000135,706.59,2025-05-10,2025-06-17,regular
PR00000270,SKU0000135,711.14,2025-06-17,,regular
PR00000271,SKU0000136,767.12,2025-06-15,2025-08-15,regular
PR00000272,SKU0000136,747.95,2025-08-15,,regular
PR00000273,SKU0000137,2561.55,2026-02-02,2026-05-10,regular
PR00000274,SKU0000137,2630.96,2026-05-10,,regular
PR00000275,SKU0000138,2673.96,2025-09-05,2026-02-07,regular
PR00000276,SKU0000138,2556.5,2026-02-07,,campaign
PR00000277,SKU0000139,2397.82,2026-03-19,2026-07-24,regular
PR00000278,SKU0000139,2584.37,2026-07-24,,campaign
PR00000279,SKU0000140,2195.12,2025-07-08,2025-10-06,regular
PR00000280,SKU0000140,2155.38,2025-10-06,,regular
PR00000281,SKU0000141,2361.01,2025-01-03,2025-04-08,regular
PR00000282,SKU0000141,2451.18,2025-04-08,,regular
PR00000283,SKU0000142,2608.93,2026-03-21,2026-08-22,regular
PR00000284,SKU0000142,2683.55,2026-08-22,,campaign
PR00000285,SKU0000143,2159.22,2025-03-21,2025-07-19,regular
PR00000286,SKU0000143,2341.75,2025-07-19,,regular
PR00000287,SKU0000144,2446.68,2025-11-04,2026-04-19,regular
PR00000288,SKU0000144,2362.52,2026-04-19,,regular
PR00000289,SKU0000145,817.97,2025-10-29,2025-12-25,regular
PR00000290,SKU0000145,819.42,2025-12-25,,regular
PR00000291,SKU0000146,1041.68,2025-10-31,2025-12-29,regular
PR00000292,SKU0000146,948.25,2025-12-29,,regular
PR00000293,SKU0000147,202.36,2025-05-22,2025-08-18,regular
PR00000294,SKU0000147,197.91,2025-08-18,,regular
PR00000295,SKU0000148,174.8,2026-05-23,2026-08-12,regular
PR00000296,SKU0000148,170.81,2026-08-12,,regular
PR00000297,SKU0000149,970.08,2025-05-25,2025-07-07,regular
PR00000298,SKU0000149,1035.33,2025-07-07,,regular
PR00000299,SKU0000150,968.91,2026-03-09,2026-04-28,regular
PR00000300,SKU0000150,900.15,2026-04-28,,regular
PR00000301,SKU0000151,2125.74,2025-07-28,2025-10-11,regular
PR00000302,SKU0000151,2102.74,2025-10-11,,regular
PR00000303,SKU0000152,1981.46,2026-03-16,2026-06-03,regular
PR00000304,SKU0000152,1986.34,2026-06-03,,regular
PR00000305,SKU0000153,2522.38,2026-04-02,2026-08-15,regular
PR00000306,SKU0000153,2732.81,2026-08-15,,regular
PR00000307,SKU0000154,2867.49,2026-01-29,2026-07-14,regular
PR00000308,SKU0000154,2724.38,2026-07-14,,regular
PR00000309,SKU0000155,1119.13,2025-11-17,2026-05-03,regular
PR00000310,SKU0000155,1129.14,2026-05-03,,campaign
PR00000311,SKU0000156,1140.23,2025-07-22,2025-10-14,regular
PR00000312,SKU0000156,1123.01,2025-10-14,,regular
PR00000313,SKU0000157,3134.35,2026-02-24,2026-06-24,regular
PR00000314,SKU0000157,2822.39,2026-06-24,,regular
PR00000315,SKU0000158,2726.94,2025-01-15,2025-02-15,regular
PR00000316,SKU0000158,2879.49,2025-02-15,,regular
PR00000317,SKU0000159,2879.37,2025-10-24,2026-01-14,regular
PR00000318,SKU0000159,2647.32,2026-01-14,,regular
PR00000319,SKU0000160,3092.56,2025-09-11,2025-12-20,regular
PR00000320,SKU0000160,2806.33,2025-12-20,,regular
PR00000321,SKU0000161,90.58,2025-05-24,2025-08-10,regular
PR00000322,SKU0000161,92.29,2025-08-10,,campaign
PR00000323,SKU0000162,101.66,2025-06-11,2025-07-20,regular
PR00000324,SKU0000162,100.3,2025-07-20,,campaign
PR00000325,SKU0000163,2595.08,2025-04-18,2025-09-21,regular
PR00000326,SKU0000163,2782.8,2025-09-21,,regular
PR00000327,SKU0000164,2778.29,2025-02-13,2025-04-02,regular
PR00000328,SKU0000164,2677.51,2025-04-02,,campaign
PR00000329,SKU0000165,1318.44,2025-07-16,2025-12-12,regular
PR00000330,SKU0000165,1344.17,2025-12-12,,regular
PR00000331,SKU0000166,1359.29,2026-02-25,2026-04-01,regular
PR00000332,SKU0000166,1455.5,2026-04-01,,regular
PR00000333,SKU0000167,3143.04,2025-10-25,2025-12-30,regular
PR00000334,SKU0000167,2819.42,2025-12-30,,campaign
PR00000335,SKU0000168,3078.13,2025-10-30,2026-03-03,regular
PR00000336,SKU0000168,2785.24,2026-03-03,,regular
PR00000337,SKU0000169,1949.36,2025-12-28,2026-06-08,regular
PR00000338,SKU0000169,2024.15,2026-06-08,,regular
PR00000339,SKU0000170,2609.34,2026-03-09,2026-08-22,regular
PR00000340,SKU0000170,2397.01,2026-08-22,,regular
PR00000341,SKU0000171,523.47,2025-12-29,2026-04-01,regular
PR00000342,SKU0000171,536.7,2026-04-01,,campaign
PR00000343,SKU0000172,575.15,2026-05-22,2026-06-21,regular
PR00000344,SKU0000172,528.19,2026-06-21,,regular
PR00000345,SKU0000173,2486.27,2025-08-16,2026-02-01,regular
PR00000346,SKU0000173,2392.72,2026-02-01,,regular
PR00000347,SKU0000174,2717.35,2025-10-20,2026-04-11,regular
PR00000348,SKU0000174,2660.27,2026-04-11,,regular
PR00000349,SKU0000175,2681.13,2026-05-15,2026-08-22,regular
PR00000350,SKU0000175,2705.62,2026-08-22,,regular
PR00000351,SKU0000176,2748.91,2025-11-25,2026-05-24,regular
PR00000352,SKU0000176,2744.68,2026-05-24,,regular
PR00000353,SKU0000177,1922.82,2025-10-11,2026-02-22,regular
PR00000354,SKU0000177,1759.46,2026-02-22,,regular
PR00000355,SKU0000178,2062.53,2026-01-14,2026-07-10,regular
PR00000356,SKU0000178,2019.62,2026-07-10,,regular
PR00000357,SKU0000179,1178.3,2025-11-26,2026-04-09,regular
PR00000358,SKU0000179,1178.92,2026-04-09,,regular
PR00000359,SKU0000180,1386.82,2026-04-21,2026-08-13,regular
PR00000360,SKU0000180,1304.08,2026-08-13,,regular
PR00000361,SKU0000181,3250.66,2026-03-30,2026-07-06,regular
PR00000362,SKU0000181,3079.51,2026-07-06,,campaign
PR00000363,SKU0000182,2873.79,2025-06-18,2025-11-20,regular
PR00000364,SKU0000182,2573.69,2025-11-20,,regular
PR00000365,SKU0000183,2971.05,2026-01-29,2026-07-28,regular
PR00000366,SKU0000183,2759.86,2026-07-28,,regular
PR00000367,SKU0000184,2940.54,2025-12-13,2026-02-21,regular
PR00000368,SKU0000184,2687.41,2026-02-21,,campaign
PR00000369,SKU0000185,224.59,2025-07-11,2025-09-08,regular
PR00000370,SKU0000185,215.78,2025-09-08,,regular
PR00000371,SKU0000186,264.96,2026-04-24,2026-06-01,regular
PR00000372,SKU0000186,257.87,2026-06-01,,regular
PR00000373,SKU0000187,573.58,2026-04-10,2026-08-20,regular
PR00000374,SKU0000187,563.77,2026-08-20,,regular
PR00000375,SKU0000188,656.18,2025-12-05,2026-04-26,regular
PR00000376,SKU0000188,620.03,2026-04-26,,regular
PR00000377,SKU0000189,2060.03,2026-01-15,2026-06-29,regular
PR00000378,SKU0000189,1877.22,2026-06-29,,regular
PR00000379,SKU0000190,1724.04,2026-04-15,2026-08-22,regular
PR00000380,SKU0000190,1762.09,2026-08-22,,campaign
PR00000381,SKU0000191,904.76,2026-04-27,2026-08-22,regular
PR00000382,SKU0000191,927.12,2026-08-22,,regular
PR00000383,SKU0000192,967.12,2025-09-20,2025-11-11,regular
PR00000384,SKU0000192,927.23,2025-11-11,,regular
PR00000385,SKU0000193,652.67,2025-02-09,2025-08-02,regular
PR00000386,SKU0000193,631.82,2025-08-02,,campaign
PR00000387,SKU0000194,621.44,2025-04-14,2025-09-03,regular
PR00000388,SKU0000194,641.76,2025-09-03,,campaign
PR00000389,SKU0000195,566.28,2026-01-28,2026-04-11,regular
PR00000390,SKU0000195,577.11,2026-04-11,,campaign
PR00000391,SKU0000196,634.58,2026-02-05,2026-03-21,regular
PR00000392,SKU0000196,634.94,2026-03-21,,regular
PR00000393,SKU0000197,1193.81,2025-09-11,2025-12-05,regular
PR00000394,SKU0000197,1068.34,2025-12-05,,regular
PR00000395,SKU0000198,1197.06,2026-05-12,2026-07-11,regular
PR00000396,SKU0000198,1127.57,2026-07-11,,campaign
PR00000397,SKU0000199,1537.51,2025-04-03,2025-08-28,regular
PR00000398,SKU0000199,1500.52,2025-08-28,,regular
PR00000399,SKU0000200,1545.59,2025-11-22,2026-02-23,regular
PR00000400,SKU0000200,1523.56,2026-02-23,,regular
PR00000401,SKU0000201,3042.76,2025-02-27,2025-04-13,regular
PR00000402,SKU0000201,2859.56,2025-04-13,,campaign
PR00000403,SKU0000202,2251.07,2025-10-31,2025-12-15,regular
PR00000404,SKU0000202,2412.22,2025-12-15,,regular
PR00000405,SKU0000203,1562.82,2025-09-29,2026-03-19,regular
PR00000406,SKU0000203,1685.01,2026-03-19,,regular
PR00000407,SKU0000204,1885.63,2026-03-09,2026-08-22,regular
PR00000408,SKU0000204,1819.88,2026-08-22,,regular
PR00000409,SKU0000205,2070.96,2025-11-25,2026-01-27,regular
PR00000410,SKU0000205,2163.73,2026-01-27,,campaign
PR00000411,SKU0000206,2328.64,2025-12-27,2026-02-18,regular
PR00000412,SKU0000206,2177.14,2026-02-18,,regular
PR00000413,SKU0000207,2034.03,2025-09-17,2026-03-04,regular
PR00000414,SKU0000207,2151.62,2026-03-04,,regular
PR00000415,SKU0000208,2094.46,2025-12-09,2026-03-12,regular
PR00000416,SKU0000208,1872.98,2026-03-12,,regular
PR00000417,SKU0000209,51.47,2025-01-09,2025-02-21,regular
PR00000418,SKU0000209,51.23,2025-02-21,,regular
PR00000419,SKU0000210,56.05,2026-04-03,2026-08-15,regular
PR00000420,SKU0000210,53.49,2026-08-15,,campaign
PR00000421,SKU0000211,3345.65,2026-03-25,2026-08-14,regular
PR00000422,SKU0000211,3246.35,2026-08-14,,regular
PR00000423,SKU0000212,2980.47,2025-10-28,2026-04-12,regular
PR00000424,SKU0000212,2902.46,2026-04-12,,regular
PR00000425,SKU0000213,1725.22,2026-03-02,2026-06-01,regular
PR00000426,SKU0000213,1767.62,2026-06-01,,regular
PR00000427,SKU0000214,1413.8,2025-08-27,2025-12-25,regular
PR00000428,SKU0000214,1503.18,2025-12-25,,regular
PR00000429,SKU0000215,2286.89,2025-10-31,2026-04-22,regular
PR00000430,SKU0000215,2279.25,2026-04-22,,regular
PR00000431,SKU0000216,2560.55,2025-03-08,2025-06-08,regular
PR00000432,SKU0000216,2399.28,2025-06-08,,regular
PR00000433,SKU0000217,225.74,2026-04-05,2026-06-24,regular
PR00000434,SKU0000217,233.9,2026-06-24,,campaign
PR00000435,SKU0000218,295.51,2026-01-20,2026-05-02,regular
PR00000436,SKU0000218,267.8,2026-05-02,,regular
PR00000437,SKU0000219,1699.52,2025-09-11,2025-12-21,regular
