review_id,order_item_id,order_id,user_id,product_id,rating,review_content,has_image,created_at,review_status
RV00000025,OI000008409,O00004949,U002483,P001374,5,质量很好，符合预期,0,2026-07-07 11:39:12,visible
RV00000026,OI000018533,O00010866,U000496,P001050,5,质量很好，符合预期,0,2026-08-17 10:26:06,visible
RV00000027,OI000001442,O00000835,U000552,P000741,5,性价比不错,0,2026-04-27 00:09:43,visible
RV00000028,OI000006478,O00003828,U004833,P000789,4,质量很好，符合预期,0,2026-06-05 15:34:09,visible
RV00000029,OI000016612,O00009744,U003585,P001392,4,质量很好，符合预期,0,2025-02-22 12:48:30,visible
RV00000030,OI000018896,O00011078,U002631,P001169,5,性价比不错,0,2026-03-17 11:57:42,visible
RV00000031,OI000014277,O00008355,U000530,P000273,3,质量很好，符合预期,0,2025-05-23 19:29:41,visible
RV00000032,OI000004482,O00002661,U000285,P000549,4,整体满意,0,2026-05-20 15:04:00,visible
RV00000033,OI000005018,O00002983,U002682,P001418,5,物流很快，包装完整,0,2025-05-10 15:38:51,visible
RV00000034,OI000017384,O00010183,U002657,P001220,4,物流很快，包装完整,0,2025-08-10 04:14:49,visible
RV00000035,OI000002584,O00001524,U002679,P000823,4,物流很快，包装完整,0,2026-08-02 12:56:57,visible
RV00000036,OI000009451,O00005576,U000514,P001165,2,物流很快，包装完整,0,2025-06-14 23:25:25,visible
RV00000037,OI000014621,O00008559,U001515,P001368,5,质量很好，符合预期,1,2026-04-18 20:17:04,visible
RV00000038,OI000009761,O00005753,U004559,P000545,5,整体满意,0,2026-08-18 02:21:24,visible
RV00000039,OI000010137,O00005963,U001320,P000536,5,与描述有差异,1,2026-01-21 15:13:06,visible
RV00000040,OI000018234,O00010685,U004687,P000824,5,质量很好，符合预期,0,2025-07-02 22:35:42,visible
RV00000041,OI000001082,O00000616,U002985,P000018,5,物流很快，包装完整,0,2025-09-20 17:03:33,visible
RV00000042,OI000009176,O00005413,U002671,P000909,4,体验一般,0,2026-07-08 19:30:58,visible
RV00000043,OI000004685,O00002779,U004860,P000074,3,质量很好，符合预期,0,2026-04-03 13:18:06,visible
RV00000044,OI000017593,O00010297,U000472,P001461,5,质量很好，符合预期,0,2026-03-28 21:49:20,visible
RV00000045,OI000012198,O00007142,U002185,P000277,5,性价比不错,0,2025-03-18 03:45:29,visible
RV00000046,OI000009846,O00005798,U002221,P000741,4,性价比不错,1,2025-08-27 17:55:56,visible
RV00000047,OI000006967,O00004112,U001065,P001332,5,整体满意,0,2026-04-07 23:13:04,visible
RV00000048,OI000019007,O00011148,U001275,P000893,5,物流很快，包装完整,0,2026-05-02 09:04:38,visible
RV00000049,OI000007602,O00004485,U003043,P001123,4,质量很好，符合预期,0,2025-11-22 15:59:51,visible
RV00000050,OI000015414,O00009036,U004216,P001152,4,体验一般,0,2025-01-10 23:20:15,visible
RV00000051,OI000014207,O00008318,U003620,P000486,4,物流很快，包装完整,0,2026-01-26 08:25:42,visible
RV00000052,OI000010346,O00006088,U004731,P000548,5,质量很好，符合预期,0,2026-05-22 03:40:22,visible
RV00000053,OI000008633,O00005082,U000748,P001278,4,整体满意,0,2025-12-07 05:15:45,visible
RV00000054,OI000018264,O00010702,U001807,P000921,2,质量很好，符合预期,1,2025-04-28 17:07:07,visible
RV00000055,OI000014468,O00008473,U004793,P000139,5,整体满意,0,2025-10-01 22:21:04,visible
RV00000056,OI000011141,O00006542,U000271,P000448,5,性价比不错,0,2025-05-20 09:16:34,visible
RV00000057,OI000014733,O00008623,U004715,P001372,5,性价比不错,0,2025-05-29 05:36:07,visible
RV00000058,OI000003762,O00002223,U000717,P000774,5,整体满意,1,2025-03-29 11:05:15,visible
RV00000059,OI000012402,O00007261,U000808,P000118,3,整体满意,0,2025-04-09 21:05:48,visible
RV00000060,OI000018943,O00011106,U001710,P000997,4,物流很快，包装完整,0,2026-07-31 01:32:28,visible
RV00000061,OI000006071,O00003590,U000775,P000101,4,质量很好，符合预期,0,2025-09-07 01:25:35,visible
RV00000062,OI000019340,O00011347,U000905,P000713,4,与描述有差异,0,2025-12-22 09:01:10,visible
RV00000063,OI000015977,O00009373,U003427,P000938,4,物流很快，包装完整,0,2026-05-17 10:25:43,visible
RV00000064,OI000006828,O00004033,U003603,P000427,5,整体满意,0,2025-03-24 05:39:53,visible
RV00000065,OI000000557,O00000321,U004751,P000321,3,质量很好，符合预期,0,2026-01-31 22:50:22,visible
RV00000066,OI000006043,O00003572,U000096,P001027,3,质量很好，符合预期,0,2025-11-17 19:23:12,visible
RV00000067,OI000019725,O00011573,U000593,P001447,5,整体满意,0,2025-11-08 16:09:26,visible
RV00000068,OI000017619,O00010313,U000263,P001240,5,性价比不错,0,2025-05-05 19:42:12,visible
RV00000069,OI000015012,O00008791,U004184,P000436,4,性价比不错,0,2026-05-30 19:53:19,visible
RV00000070,OI000003667,O00002163,U004020,P000034,5,整体满意,0,2025-06-11 00:46:06,visible
RV00000071,OI000013320,O00007784,U001698,P000875,2,质量很好，符合预期,0,2025-03-04 08:05:44,visible
RV00000072,OI000000470,O00000270,U000267,P000227,4,质量很好，符合预期,0,2025-07-20 23:57:10,visible
RV00000073,OI000014310,O00008375,U002481,P000304,5,质量很好，符合预期,1,2025-09-22 23:36:26,visible
RV00000074,OI000017239,O00010105,U002342,P001478,5,整体满意,0,2025-01-31 16:22:03,visible
RV00000075,OI000016379,O00009600,U000048,P000291,5,性价比不错,0,2025-07-08 19:19:49,visible
RV00000076,OI000004983,O00002961,U003933,P000122,5,性价比不错,0,2025-11-09 19:16:28,visible
RV00000077,OI000019645,O00011529,U004855,P000544,4,质量很好，符合预期,0,2025-08-12 01:43:51,visible
RV00000078,OI000000072,O00000042,U002845,P000528,5,体验一般,0,2026-04-29 07:42:08,visible
RV00000079,OI000013541,O00007919,U003039,P001126,5,整体满意,0,2026-02-08 18:35:53,visible
RV00000080,OI000012604,O00007371,U004570,P000570,1,质量很好，符合预期,0,2026-01-06 17:59:29,visible
RV00000081,OI000000132,O00000078,U003309,P001298,4,性价比不错,0,2026-03-16 10:21:22,visible
RV00000082,OI000015386,O00009021,U001111,P001401,3,质量很好，符合预期,0,2025-04-26 23:17:43,visible
RV00000083,OI000000605,O00000346,U000629,P001467,5,物流很快，包装完整,0,2026-08-27 20:34:15,visible
RV00000084,OI000000548,O00000318,U004664,P000476,4,质量很好，符合预期,0,2026-02-03 06:05:37,visible
RV00000085,OI000015897,O00009326,U003083,P000729,5,质量很好，符合预期,1,2025-09-27 06:11:18,visible
RV00000086,OI000005278,O00003138,U003144,P000553,3,质量很好，符合预期,0,2025-02-11 19:29:51,visible
RV00000087,OI000008423,O00004958,U003589,P000798,5,整体满意,0,2025-01-14 20:10:35,visible
RV00000088,OI000001140,O00000651,U002439,P000378,2,整体满意,0,2026-07-23 04:42:41,visible
RV00000089,OI000003700,O00002186,U001604,P000445,5,物流很快，包装完整,0,2026-04-28 21:06:01,visible
RV00000090,OI000008175,O00004811,U002420,P001105,2,性价比不错,0,2025-05-09 17:09:21,visible
RV00000091,OI000015530,O00009101,U000440,P000162,5,质量很好，符合预期,0,2026-07-05 15:41:59,visible
RV00000092,OI000002449,O00001441,U002060,P000509,4,物流很快，包装完整,1,2026-07-13 03:02:45,visible
RV00000093,OI000012409,O00007264,U003643,P001458,5,物流很快，包装完整,0,2026-04-12 07:38:11,visible
RV00000094,OI000006136,O00003623,U004976,P001033,3,体验一般,0,2025-04-09 09:01:10,visible
RV00000095,OI000001210,O00000694,U002962,P000408,5,质量很好，符合预期,0,2026-08-05 02:49:43,visible
RV00000096,OI000001305,O00000751,U004963,P000068,4,体验一般,0,2026-08-15 16:02:03,visible
RV00000097,OI000009248,O00005452,U003772,P000828,5,体验一般,1,2026-07-12 08:01:08,visible
RV00000098,OI000009005,O00005311,U001527,P000524,5,物流很快，包装完整,0,2025-09-18 12:07:55,visible
RV00000099,OI000014871,O00008702,U000519,P000227,5,与描述有差异,0,2025-08-21 03:56:29,visible
RV00000100,OI000019398,O00011381,U003717,P000221,5,性价比不错,0,2025-01-18 08:11:34,visible
RV00000101,OI000000330,O00000185,U003396,P001240,3,整体满意,0,2026-02-17 17:58:05,visible
RV00000102,OI000002439,O00001433,U003453,P001108,5,性价比不错,0,2025-09-30 13:52:45,visible
RV00000103,OI000020260,O00011888,U003533,P001439,5,体验一般,0,2026-04-01 07:38:33,visible
RV00000104,OI000003221,O00001894,U003175,P000756,4,质量很好，符合预期,0,2026-03-17 21:34:07,visible
RV00000105,OI000003249,O00001911,U000514,P000570,5,质量很好，符合预期,0,2026-05-16 15:33:32,visible
RV00000106,OI000009843,O00005796,U000757,P000763,5,整体满意,0,2025-09-18 01:17:12,visible
RV00000107,OI000009474,O00005589,U001999,P000450,5,物流很快，包装完整,1,2025-07-04 18:01:00,visible
RV00000108,OI000006039,O00003570,U001966,P000230,5,物流很快，包装完整,0,2025-10-05 15:50:23,visible
RV00000109,OI000012719,O00007438,U004101,P000742,3,体验一般,0,2026-01-03 05:56:43,visible
RV00000110,OI000018029,O00010562,U003779,P001418,5,性价比不错,1,2026-06-24 10:43:30,visible
RV00000111,OI000013550,O00007925,U004882,P001225,5,与描述有差异,0,2026-02-28 10:21:15,visible
RV00000112,OI000015906,O00009332,U003374,P000800,5,物流很快，包装完整,0,2026-06-06 00:49:33,visible
RV00000113,OI000017703,O00010365,U000789,P000573,5,整体满意,1,2026-03-11 12:53:21,visible
RV00000114,OI000009958,O00005862,U002812,P000535,3,质量很好，符合预期,0,2026-02-18 00:40:55,visible
RV00000115,OI000002237,O00001313,U002339,P000385,2,整体满意,0,2025-10-11 07:19:45,visible
RV00000116,OI000005802,O00003439,U002339,P000585,5,体验一般,0,2025-02-10 16:12:08,visible
RV00000117,OI000000299,O00000167,U001453,P001313,2,质量很好，符合预期,0,2025-08-10 22:23:00,visible
RV00000118,OI000014893,O00008716,U003672,P000052,3,整体满意,0,2026-05-25 18:17:55,visible
RV00000119,OI000006865,O00004052,U002360,P000794,5,性价比不错,0,2025-04-08 01:58:42,visible
RV00000120,OI000015519,O00009096,U002724,P001378,3,物流很快，包装完整,0,2025-03-27 16:06:14,visible
RV00000121,OI000017399,O00010192,U003021,P000517,5,性价比不错,0,2026-01-06 03:34:16,visible
RV00000122,OI000009034,O00005332,U000255,P001114,2,与描述有差异,0,2026-03-08 10:59:04,visible
RV00000123,OI000016164,O00009475,U002936,P001494,5,物流很快，包装完整,0,2025-10-26 10:17:07,visible
RV00000124,OI000004301,O00002558,U002059,P000701,5,整体满意,0,2025-12-27 23:02:52,visible
RV00000125,OI000018965,O00011120,U003536,P000713,4,整体满意,0,2026-01-03 15:42:06,visible
RV00000126,OI000012004,O00007021,U000419,P000087,5,物流很快，包装完整,0,2026-06-22 12:12:40,visible
RV00000127,OI000013529,O00007912,U004238,P000952,4,性价比不错,0,2026-01-03 19:32:23,visible
RV00000128,OI000012044,O00007048,U004532,P000943,4,体验一般,0,2025-02-16 13:41:01,visible
RV00000129,OI000009033,O00005332,U000255,P001274,5,物流很快，包装完整,0,2026-03-31 10:59:04,visible
RV00000130,OI000014012,O00008205,U003426,P001309,5,物流很快，包装完整,0,2025-09-12 09:09:00,visible
RV00000131,OI000009954,O00005860,U001044,P000549,5,质量很好，符合预期,1,2026-08-30 08:04:05,visible
RV00000132,OI000005793,O00003432,U001836,P000395,5,物流很快，包装完整,0,2025-06-19 02:58:40,visible
RV00000133,OI000011530,O00006756,U000130,P001120,4,质量很好，符合预期,0,2025-10-16 14:07:53,visible
RV00000134,OI000013923,O00008149,U003444,P000162,5,性价比不错,0,2025-10-02 11:43:53,visible
RV00000135,OI000015096,O00008844,U000030,P000873,5,整体满意,0,2025-09-23 17:49:52,visible
RV00000136,OI000019147,O00011231,U000798,P000789,3,性价比不错,0,2025-04-27 15:30:16,visible
RV00000137,OI000004343,O00002581,U004977,P000706,5,质量很好，符合预期,1,2026-02-02 14:57:19,visible
RV00000138,OI000014291,O00008362,U001861,P001011,5,质量很好，符合预期,0,2026-08-16 11:34:32,visible
RV00000139,OI000003025,O00001786,U000030,P001129,1,性价比不错,1,2026-05-30 03:17:45,visible
RV00000140,OI000016435,O00009632,U004924,P001019,5,质量很好，符合预期,0,2025-05-10 04:50:57,visible
RV00000141,OI000002008,O00001188,U003067,P000026,3,质量很好，符合预期,0,2025-09-23 08:28:25,visible
RV00000142,OI000007379,O00004353,U004258,P000493,5,体验一般,0,2025-07-30 19:13:31,visible
RV00000143,OI000017375,O00010178,U000742,P001353,4,与描述有差异,0,2026-05-18 03:40:01,visible
RV00000144,OI000017651,O00010337,U003223,P001069,4,质量很好，符合预期,0,2026-06-16 04:37:20,visible
RV00000145,OI000011146,O00006545,U003527,P000725,3,性价比不错,0,2025-05-03 04:00:28,visible
RV00000146,OI000003018,O00001782,U001367,P000840,4,物流很快，包装完整,0,2026-05-16 15:17:01,visible
RV00000147,OI000006118,O00003613,U002076,P000623,5,性价比不错,0,2025-08-17 20:01:38,visible
RV00000148,OI000018245,O00010693,U003383,P001376,4,整体满意,0,2026-05-06 22:18:46,visible
RV00000149,OI000014607,O00008554,U000309,P000753,5,质量很好，符合预期,0,2025-10-07 08:12:27,visible
RV00000150,OI000011363,O00006663,U000181,P000640,3,物流很快，包装完整,1,2025-04-24 23:51:29,visible
RV00000151,OI000015680,O00009193,U003899,P001344,4,整体满意,1,2025-11-21 02:50:49,visible
RV00000152,OI000018917,O00011090,U004498,P000895,5,体验一般,0,2025-02-21 10:11:28,visible
RV00000153,OI000014377,O00008416,U002956,P000264,4,性价比不错,0,2026-07-26 01:59:45,visible
RV00000154,OI000000155,O00000089,U002391,P001497,4,物流很快，包装完整,0,2026-06-02 08:15:32,visible
RV00000155,OI000017911,O00010489,U004645,P001053,5,体验一般,0,2025-09-12 19:18:48,visible
RV00000156,OI000020390,O00011959,U002681,P000763,5,性价比不错,0,2025-12-18 03:42:19,visible
RV00000157,OI000008426,O00004959,U003166,P000064,5,性价比不错,0,2025-09-06 05:05:40,visible
RV00000158,OI000004028,O00002395,U000239,P000695,5,体验一般,0,2025-10-29 22:23:50,visible
RV00000159,OI000011054,O00006489,U001349,P001281,5,物流很快，包装完整,0,2025-12-24 19:04:01,visible
RV00000160,OI000015700,O00009204,U004417,P001381,5,物流很快，包装完整,0,2026-04-07 10:21:47,visible
RV00000161,OI000014663,O00008580,U001782,P000993,3,整体满意,0,2025-05-11 20:13:24,visible
RV00000162,OI000004420,O00002624,U000911,P000733,5,物流很快，包装完整,0,2026-04-30 07:25:26,visible
RV00000163,OI000018951,O00011112,U003870,P000016,5,质量很好，符合预期,0,2025-12-31 10:28:24,visible
RV00000164,OI000001610,O00000939,U004917,P000181,5,物流很快，包装完整,0,2025-10-20 04:10:27,visible
RV00000165,OI000006938,O00004096,U001199,P001228,2,性价比不错,0,2025-07-18 05:15:39,visible
RV00000166,OI000017024,O00009985,U004479,P000031,4,质量很好，符合预期,0,2025-10-04 15:00:31,visible
RV00000167,OI000018622,O00010920,U002690,P000798,4,物流很快，包装完整,0,2025-03-25 01:04:08,visible
RV00000168,OI000016708,O00009804,U004146,P001153,5,物流很快，包装完整,1,2025-11-19 11:24:17,visible
RV00000169,OI000017807,O00010424,U001449,P000872,5,质量很好，符合预期,0,2025-03-29 18:53:56,visible
RV00000170,OI000010164,O00005980,U001629,P000998,5,物流很快，包装完整,0,2026-02-07 03:38:11,visible
RV00000171,OI000011140,O00006541,U000097,P000436,5,性价比不错,0,2026-02-18 13:27:52,visible
RV00000172,OI000009256,O00005456,U001742,P000592,4,质量很好，符合预期,0,2025-11-12 14:28:43,visible
RV00000173,OI000007925,O00004661,U000610,P000298,4,整体满意,0,2025-03-28 12:56:06,visible
RV00000174,OI000006116,O00003611,U000352,P000937,5,物流很快，包装完整,0,2025-09-14 20:12:53,visible
RV00000175,OI000016197,O00009497,U001904,P000563,3,整体满意,0,2026-06-13 11:16:09,visible
RV00000176,OI000017772,O00010402,U002650,P000716,5,整体满意,0,2025-05-19 18:09:38,visible
RV00000177,OI000009153,O00005400,U003514,P000417,4,质量很好，符合预期,0,2026-02-01 10:39:13,visible
RV00000178,OI000018880,O00011069,U004810,P001084,5,物流很快，包装完整,0,2025-11-29 19:42:38,visible
RV00000179,OI000012280,O00007190,U004727,P000730,3,质量很好，符合预期,0,2025-12-11 22:48:05,visible
RV00000180,OI000002722,O00001607,U001124,P001273,5,体验一般,0,2025-03-11 15:23:40,visible
RV00000181,OI000002024,O00001197,U004533,P000398,4,质量很好，符合预期,0,2025-10-31 09:36:41,visible
RV00000182,OI000016755,O00009833,U001437,P001334,5,整体满意,1,2026-05-29 04:26:40,visible
RV00000183,OI000006233,O00003682,U004725,P000550,4,质量很好，符合预期,0,2026-04-04 11:48:18,visible
RV00000184,OI000014792,O00008657,U003496,P001007,4,体验一般,0,2025-02-03 11:30:13,visible
RV00000185,OI000016764,O00009838,U003884,P000073,5,质量很好，符合预期,0,2026-01-12 10:18:38,visible
RV00000186,OI000003419,O00002022,U000874,P000300,5,物流很快，包装完整,0,2026-02-04 00:06:46,visible
RV00000187,OI000013716,O00008028,U004983,P000419,5,整体满意,0,2026-04-06 02:58:18,visible
RV00000188,OI000001418,O00000817,U003242,P000843,5,性价比不错,1,2026-01-04 10:52:59,visible
RV00000189,OI000006782,O00004006,U004817,P000406,5,质量很好，符合预期,0,2026-05-27 00:30:43,visible
RV00000190,OI000013739,O00008041,U002327,P001029,5,性价比不错,0,2026-06-27 01:47:05,visible
RV00000191,OI000002351,O00001376,U000765,P000575,4,性价比不错,0,2025-05-28 17:12:03,visible
RV00000192,OI000016125,O00009453,U002594,P000681,3,性价比不错,0,2026-01-07 06:40:45,visible
RV00000193,OI000009317,O00005493,U003602,P000236,5,体验一般,0,2025-09-03 08:21:19,visible
RV00000194,OI000003320,O00001954,U000259,P000181,5,整体满意,0,2026-03-09 23:39:17,visible
RV00000195,OI000017194,O00010082,U000272,P001494,4,整体满意,0,2026-02-12 01:55:17,visible
RV00000196,OI000004188,O00002492,U004651,P000352,4,性价比不错,0,2026-04-25 16:14:26,visible
RV00000197,OI000013022,O00007618,U001587,P001490,4,质量很好，符合预期,0,2026-02-14 03:26:42,visible
RV00000198,OI000010672,O00006273,U002066,P000748,5,物流很快，包装完整,0,2025-08-02 04:09:19,visible
RV00000199,OI000001071,O00000611,U000829,P000815,5,整体满意,0,2026-03-16 02:06:54,visible
RV00000200,OI000015326,O00008982,U003893,P000874,5,物流很快，包装完整,0,2025-02-19 02:50:23,visible
RV00000201,OI000018447,O00010815,U004448,P000418,5,质量很好，符合预期,0,2026-03-05 22:26:59,visible
RV00000202,OI000004144,O00002469,U002692,P000251,3,物流很快，包装完整,0,2026-05-02 16:21:07,visible
RV00000203,OI000018483,O00010834,U004894,P001400,5,性价比不错,0,2026-08-11 08:41:03,visible
RV00000204,OI000011011,O00006467,U003694,P000238,5,整体满意,0,2026-06-23 08:49:46,visible
RV00000205,OI000005348,O00003174,U003499,P000760,3,与描述有差异,0,2026-01-17 18:05:22,visible
RV00000206,OI000006527,O00003856,U001560,P001103,5,体验一般,0,2026-06-13 07:56:55,visible
RV00000207,OI000000717,O00000413,U002728,P000051,5,物流很快，包装完整,0,2026-07-11 20:45:43,visible
RV00000208,OI000019436,O00011401,U002381,P000223,5,质量很好，符合预期,0,2025-03-04 05:15:19,visible
RV00000209,OI000003701,O00002186,U001604,P000285,2,物流很快，包装完整,0,2026-05-13 21:06:01,visible
RV00000210,OI000016203,O00009500,U004286,P001061,5,性价比不错,0,2025-12-21 05:01:19,visible
RV00000211,OI000008099,O00004767,U000469,P000086,5,性价比不错,0,2026-07-31 05:50:55,visible
RV00000212,OI000009313,O00005492,U004936,P000769,5,整体满意,0,2025-03-14 01:49:55,visible
RV00000213,OI000007816,O00004606,U004971,P001118,5,质量很好，符合预期,0,2025-09-05 02:04:09,visible
RV00000214,OI000005741,O00003403,U004082,P000618,4,整体满意,0,2025-10-27 12:18:15,visible
RV00000215,OI000001011,O00000580,U003256,P000479,4,质量很好，符合预期,0,2025-08-14 10:40:22,visible
RV00000216,OI000005473,O00003248,U003388,P000706,5,质量很好，符合预期,0,2026-05-14 18:06:10,visible
RV00000217,OI000017477,O00010233,U004291,P000467,5,质量很好，符合预期,0,2025-03-16 22:04:29,visible
RV00000218,OI000004035,O00002400,U003199,P001178,5,体验一般,0,2026-07-27 10:16:22,visible
RV00000219,OI000001161,O00000667,U000762,P000294,5,物流很快，包装完整,0,2025-10-25 20:42:23,visible
RV00000220,OI000007051,O00004157,U001042,P001135,4,性价比不错,0,2026-02-28 23:01:42,visible
RV00000221,OI000014790,O00008656,U004010,P000425,5,整体满意,0,2025-08-05 06:31:32,visible
RV00000222,OI000006982,O00004120,U004597,P001231,5,质量很好，符合预期,0,2025-03-17 15:55:40,visible
RV00000223,OI000013075,O00007648,U003752,P000398,5,性价比不错,0,2026-03-07 14:23:52,visible
RV00000224,OI000003554,O00002097,U001527,P000578,5,质量很好，符合预期,0,2025-04-17 08:58:29,visible
RV00000225,OI000009135,O00005390,U003633,P001025,5,质量很好，符合预期,0,2025-09-22 13:07:19,visible
RV00000226,OI000009264,O00005463,U001466,P001296,5,整体满意,0,2025-09-01 10:44:15,visible
RV00000227,OI000018469,O00010828,U002795,P001390,4,整体满意,0,2025-10-01 17:57:11,visible
RV00000228,OI000009196,O00005421,U002639,P000503,5,物流很快，包装完整,0,2026-08-27 18:10:43,visible
RV00000229,OI000017757,O00010396,U001633,P000593,5,质量很好，符合预期,0,2025-10-16 17:20:52,visible
RV00000230,OI000005956,O00003529,U002638,P000516,4,物流很快，包装完整,0,2026-07-02 16:15:24,visible
RV00000231,OI000000171,O00000100,U004975,P000967,3,整体满意,0,2025-05-19 20:40:14,visible
RV00000232,OI000010826,O00006361,U000460,P001455,3,质量很好，符合预期,0,2025-10-05 12:08:37,visible
RV00000233,OI000009977,O00005872,U003430,P000382,5,整体满意,1,2025-07-12 01:11:11,visible
RV00000234,OI000000902,O00000516,U000788,P000786,4,性价比不错,0,2026-07-25 13:48:14,visible
RV00000235,OI000018185,O00010658,U004953,P000122,5,物流很快，包装完整,0,2025-08-19 14:36:57,visible
RV00000236,OI000004429,O00002628,U004694,P000299,5,体验一般,0,2026-06-15 19:55:42,visible
RV00000237,OI000017341,O00010158,U000585,P001459,3,质量很好，符合预期,1,2026-07-14 01:39:33,visible
RV00000238,OI000002699,O00001593,U000277,P001408,4,性价比不错,1,2026-06-06 04:03:28,visible
RV00000239,OI000018592,O00010901,U000598,P001317,5,整体满意,0,2025-12-28 03:00:16,visible
RV00000240,OI000013358,O00007807,U002634,P001198,4,整体满意,0,2025-02-10 04:17:28,visible
RV00000241,OI000010599,O00006235,U001995,P001017,3,质量很好，符合预期,0,2025-04-11 13:31:45,visible
RV00000242,OI000020200,O00011852,U000685,P000744,5,质量很好，符合预期,0,2025-07-02 17:40:11,visible
RV00000243,OI000012673,O00007408,U002001,P000872,5,物流很快，包装完整,0,2025-10-22 05:09:18,visible
RV00000244,OI000016732,O00009817,U003191,P000870,5,质量很好，符合预期,0,2026-06-27 02:20:42,visible
RV00000245,OI000001482,O00000862,U004915,P000394,4,整体满意,1,2025-11-17 06:00:19,visible
RV00000246,OI000014600,O00008549,U000143,P001015,4,性价比不错,0,2026-09-12 15:18:05,visible
RV00000247,OI000014327,O00008388,U003488,P001101,4,性价比不错,1,2026-03-08 09:38:59,visible
RV00000248,OI000003277,O00001926,U003101,P001126,5,性价比不错,0,2025-05-06 03:41:09,visible
RV00000249,OI000015516,O00009093,U001624,P000501,5,质量很好，符合预期,0,2026-06-25 22:27:11,visible
RV00000250,OI000020318,O00011918,U000044,P000377,3,整体满意,0,2025-12-24 23:55:08,visible
RV00000251,OI000012482,O00007306,U001968,P000213,3,整体满意,0,2026-04-09 05:59:56,visible
RV00000252,OI000004820,O00002860,U003640,P000313,4,质量很好，符合预期,1,2026-04-03 01:02:11,visible
RV00000253,OI000012002,O00007020,U001125,P001402,5,整体满意,0,2026-06-07 14:19:05,visible
RV00000254,OI000017648,O00010335,U003878,P000827,5,整体满意,0,2025-04-04 03:05:31,visible
RV00000255,OI000010337,O00006084,U003825,P000136,5,物流很快，包装完整,0,2026-05-14 11:34:13,visible
RV00000256,OI000002427,O00001423,U003435,P001013,5,物流很快，包装完整,0,2026-02-17 19:38:36,visible
RV00000257,OI000009899,O00005830,U003045,P000304,3,性价比不错,0,2026-03-26 01:22:58,visible
RV00000258,OI000007215,O00004257,U001694,P000912,5,整体满意,0,2026-04-19 11:20:52,visible
RV00000259,OI000000755,O00000431,U000104,P000819,5,整体满意,0,2026-04-01 06:33:28,visible
RV00000260,OI000011701,O00006857,U004396,P000727,5,整体满意,0,2026-07-29 11:58:08,visible
RV00000261,OI000015916,O00009336,U003053,P000274,4,物流很快，包装完整,0,2025-11-14 23:11:02,visible
RV00000262,OI000004801,O00002848,U003446,P000338,5,体验一般,0,2025-12-28 23:56:14,visible
RV00000263,OI000013711,O00008024,U002555,P000502,4,性价比不错,0,2025-04-06 01:01:06,visible
RV00000264,OI000005725,O00003392,U004072,P000905,5,性价比不错,0,2026-06-03 15:42:32,visible
