product_id,product_name,store_id,brand_id,category_id,supplier_id,product_status,created_at,weight_kg,warranty_months
P000063,悦己006护肤商品0063,S0063,B0006,C022,SUP0080,active,2026-01-29 13:29:06,9.22,4
P000064,智造059洗护商品0064,S0064,B0059,C024,SUP0049,inactive,2025-11-15 08:48:12,10.97,12
P000065,悦己038户外装备商品0065,S0065,B0038,C033,SUP0018,active,2024-06-12 02:26:38,0.66,5
P000066,星辰023女装商品0066,S0066,B0023,C008,SUP0089,active,2026-05-16 14:34:21,9.62,9
P000067,智造036乐器商品0067,S0067,B0036,C038,SUP0037,inactive,2024-03-14 02:08:42,8.62,2
P000068,新境132智能设备商品0068,S0068,B0132,C005,SUP0020,active,2024-06-25 07:40:28,11.59,13
P000069,云谷075洗护商品0069,S0069,B0075,C024,SUP0127,active,2024-04-24 11:51:58,3.53,7
P000070,元气068体育用品商品0070,S0070,B0068,C035,SUP0148,active,2026-08-11 17:16:17,8.6,22
P000071,智造036厨具商品0071,S0071,B0036,C018,SUP0023,active,2026-05-08 07:08:51,10.07,0
P000072,智造064电脑办公商品0072,S0072,B0064,C003,SUP0101,active,2024-09-25 15:59:23,1.57,11
P000073,本色021清洁用品商品0073,S0073,B0021,C019,SUP0057,active,2026-07-26 23:34:08,9.83,24
P000074,悦己099婴童用品商品0074,S0074,B0099,C027,SUP0093,active,2026-08-17 00:42:46,5.6,2
P000075,新境031电脑办公商品0075,S0075,B0031,C003,SUP0063,active,2025-04-21 02:29:04,8.92,11
P000076,悦己148彩妆商品0076,S0076,B0148,C023,SUP0085,active,2025-09-20 20:14:54,5.69,20
P000077,云谷075童装童鞋商品0077,S0077,B0075,C030,SUP0022,active,2026-04-21 20:18:18,10.26,11
P000078,星辰107家用电器商品0078,S0078,B0107,C004,SUP0026,active,2026-08-03 13:03:00,4.05,16
P000079,星辰009女装商品0079,S0079,B0009,C008,SUP0007,active,2024-03-12 16:53:08,2.71,18
P000080,新境047家具商品0080,S0080,B0047,C020,SUP0143,active,2026-03-17 01:38:28,9.37,8
P000081,悦己148童装童鞋商品0081,S0001,B0148,C030,SUP0134,active,2025-07-30 10:41:24,2.62,15
P000082,青禾083护肤商品0082,S0002,B0083,C022,SUP0021,active,2025-01-05 18:23:14,5.93,0
P000083,新境085乐器商品0083,S0003,B0085,C038,SUP0149,active,2026-05-31 19:51:41,1.42,21
P000084,极光057箱包配饰商品0084,S0004,B0057,C010,SUP0094,active,2025-07-04 22:35:16,11.55,18
P000085,智造058粮油调味商品0085,S0005,B0058,C014,SUP0095,active,2025-12-28 17:53:47,4.86,20
P000086,智造026家用电器商品0086,S0006,B0026,C004,SUP0047,active,2026-01-25 21:13:41,10.92,3
P000087,青禾104乐器商品0087,S0007,B0104,C038,SUP0067,active,2024-04-16 08:39:20,3.48,4
P000088,新境045厨具商品0088,S0008,B0045,C018,SUP0064,active,2026-02-25 06:15:08,5.68,11
P000089,云谷124宠物生活商品0089,S0009,B0124,C040,SUP0125,active,2025-04-04 07:06:27,11.99,8
P000090,元气068图书商品0090,S0010,B0068,C037,SUP0040,active,2024-03-09 06:17:10,7.36,10
P000091,极光139奶粉辅食商品0091,S0011,B0139,C028,SUP0032,active,2024-03-08 00:57:12,1.02,21
P000092,新境134女装商品0092,S0012,B0134,C008,SUP0012,active,2025-06-22 21:41:45,5.47,15
P000093,云谷001饮料冲调商品0093,S0013,B0001,C013,SUP0012,inactive,2026-07-15 22:48:57,7.51,9
P000094,极光052休闲食品商品0094,S0014,B0052,C012,SUP0108,active,2025-12-29 06:35:36,7.92,2
P000095,星辰008图书商品0095,S0015,B0008,C037,SUP0099,active,2024-09-20 19:49:21,10.87,13
P000096,智造036护肤商品0096,S0016,B0036,C022,SUP0079,inactive,2025-04-12 16:18:23,6.03,17
P000097,极光030宠物生活商品0097,S0017,B0030,C040,SUP0116,active,2024-10-19 14:37:00,3.14,8
P000098,元气106生鲜果蔬商品0098,S0018,B0106,C015,SUP0045,active,2024-07-24 14:20:49,9.11,12
P000099,本色070清洁用品商品0099,S0019,B0070,C019,SUP0109,active,2025-07-08 22:48:13,7.72,2
P000100,本色129彩妆商品0100,S0020,B0129,C023,SUP0051,active,2024-10-17 11:00:58,7.86,19
P000101,元气013厨具商品0101,S0021,B0013,C018,SUP0089,active,2024-09-05 14:24:29,2.16,16
P000102,极光072手机通讯商品0102,S0022,B0072,C002,SUP0018,active,2024-12-28 14:50:02,8.86,1
P000103,云谷025家纺商品0103,S0023,B0025,C017,SUP0047,active,2025-05-10 01:36:11,5.19,22
P000104,元气055手机通讯商品0104,S0024,B0055,C002,SUP0085,active,2025-02-03 20:40:21,8.01,15
P000105,悦己099生鲜果蔬商品0105,S0025,B0099,C015,SUP0030,active,2024-03-16 10:51:20,10.2,13
P000106,青禾066饮料冲调商品0106,S0026,B0066,C013,SUP0149,active,2024-10-30 13:09:39,5.08,6
P000107,轻享010智能设备商品0107,S0027,B0010,C005,SUP0094,active,2026-02-10 16:21:05,8.0,11
P000108,本色019奶粉辅食商品0108,S0028,B0019,C028,SUP0055,active,2024-12-04 23:43:24,4.67,18
P000109,星辰023奶粉辅食商品0109,S0029,B0023,C028,SUP0043,active,2024-06-04 16:32:18,1.8,12
P000110,轻享119智能设备商品0110,S0030,B0119,C005,SUP0050,active,2024-06-24 20:06:06,3.86,7
P000111,元气020婴童用品商品0111,S0031,B0020,C027,SUP0057,active,2026-06-19 08:41:15,8.79,14
P000112,星辰114健身训练商品0112,S0032,B0114,C032,SUP0110,active,2025-11-01 18:22:46,0.92,12
P000113,本色105家纺商品0113,S0033,B0105,C017,SUP0046,active,2025-11-17 06:40:25,4.08,21
P000114,本色090粮油调味商品0114,S0034,B0090,C014,SUP0085,active,2025-05-18 00:28:51,1.13,7
P000115,本色097文创商品0115,S0035,B0097,C039,SUP0030,active,2025-04-19 01:45:25,7.85,21
P000116,本色147护肤商品0116,S0036,B0147,C022,SUP0021,active,2025-05-14 03:30:28,8.32,5
P000117,轻享079电脑办公商品0117,S0037,B0079,C003,SUP0073,active,2025-11-08 21:34:39,2.41,11
P000118,新境041护肤商品0118,S0038,B0041,C022,SUP0091,active,2026-04-06 17:37:35,7.08,9
P000119,元气089女装商品0119,S0039,B0089,C008,SUP0016,active,2024-09-10 07:19:33,1.96,23
P000120,悦己035箱包配饰商品0120,S0040,B0035,C010,SUP0145,active,2026-05-31 23:22:42,0.71,20
P000121,青禾115智能设备商品0121,S0041,B0115,C005,SUP0107,active,2026-04-11 21:34:44,9.93,6
P000122,轻享063家具商品0122,S0042,B0063,C020,SUP0095,active,2025-03-07 04:00:21,6.8,23
P000123,本色097家纺商品0123,S0043,B0097,C017,SUP0028,active,2025-06-29 02:24:32,3.59,9
P000124,智造054户外装备商品0124,S0044,B0054,C033,SUP0004,active,2026-04-17 08:55:19,0.59,12
P000125,星辰077饮料冲调商品0125,S0045,B0077,C013,SUP0036,active,2024-12-18 18:06:40,0.35,18
P000126,悦己093家用电器商品0126,S0046,B0093,C004,SUP0031,inactive,2025-10-04 21:20:05,4.51,23
P000127,青禾066图书商品0127,S0047,B0066,C037,SUP0012,active,2025-12-25 00:03:42,7.03,2
P000128,青禾039男装商品0128,S0048,B0039,C007,SUP0033,active,2024-05-15 15:58:08,4.81,2
P000129,悦己035护肤商品0129,S0049,B0035,C022,SUP0137,active,2025-08-17 03:51:00,2.74,3
P000130,智造026健身训练商品0130,S0050,B0026,C032,SUP0086,active,2024-06-01 19:56:09,4.49,21
P000131,青禾138宠物生活商品0131,S0051,B0138,C040,SUP0108,active,2025-09-17 22:25:14,10.79,3
P000132,悦己099童装童鞋商品0132,S0052,B0099,C030,SUP0072,active,2026-02-13 14:06:26,5.46,15
P000133,云谷015厨具商品0133,S0053,B0015,C018,SUP0098,active,2025-11-09 23:33:33,8.57,7
P000134,智造127洗护商品0134,S0054,B0127,C024,SUP0103,active,2024-08-23 03:46:14,5.01,16
P000135,轻享063箱包配饰商品0135,S0055,B0063,C010,SUP0120,active,2025-05-09 00:48:09,10.93,18
P000136,云谷146清洁用品商品0136,S0056,B0146,C019,SUP0063,active,2024-03-27 03:11:59,11.85,8
P000137,悦己130休闲食品商品0137,S0057,B0130,C012,SUP0088,active,2025-05-29 09:48:40,6.58,6
P000138,元气128厨具商品0138,S0058,B0128,C018,SUP0100,active,2025-07-24 15:07:20,6.2,2
P000139,元气128家具商品0139,S0059,B0128,C020,SUP0112,active,2026-08-06 10:25:57,3.46,20
P000140,本色110童装童鞋商品0140,S0060,B0110,C030,SUP0011,active,2025-02-04 00:34:32,2.21,14
P000141,新境137运动鞋服商品0141,S0061,B0137,C009,SUP0044,active,2024-12-19 05:48:04,9.74,13
P000142,星辰114体育用品商品0142,S0062,B0114,C035,SUP0116,active,2026-07-08 19:54:37,3.2,20
P000143,智造012生鲜果蔬商品0143,S0063,B0012,C015,SUP0129,active,2025-12-20 22:40:52,0.85,23
P000144,新境143图书商品0144,S0064,B0143,C037,SUP0146,active,2025-11-06 08:10:15,4.35,14
P000145,极光072个人护理商品0145,S0065,B0072,C025,SUP0147,active,2025-07-31 00:45:45,0.85,14
P000146,云谷141宠物生活商品0146,S0066,B0141,C040,SUP0055,inactive,2026-07-12 11:14:47,2.68,21
P000147,智造007男装商品0147,S0067,B0007,C007,SUP0093,active,2025-01-25 00:02:13,5.65,9
P000148,新境073洗护商品0148,S0068,B0073,C024,SUP0003,active,2025-01-15 07:51:11,4.63,19
P000149,星辰087个人护理商品0149,S0069,B0087,C025,SUP0060,active,2025-09-16 14:40:53,10.71,3
P000150,悦己144宠物生活商品0150,S0070,B0144,C040,SUP0112,active,2025-03-29 15:07:55,5.3,12
P000151,元气128护肤商品0151,S0071,B0128,C022,SUP0023,active,2024-04-22 19:38:54,8.51,21
P000152,元气051图书商品0152,S0072,B0051,C037,SUP0121,active,2026-07-22 16:10:32,3.84,11
P000153,新境134箱包配饰商品0153,S0073,B0134,C010,SUP0007,draft,2024-09-07 04:53:09,3.67,2
P000154,新境085骑行商品0154,S0074,B0085,C034,SUP0082,active,2026-01-23 09:45:23,4.04,2
P000155,本色105生鲜果蔬商品0155,S0075,B0105,C015,SUP0030,draft,2025-12-20 07:47:22,9.92,3
P000156,极光071智能设备商品0156,S0076,B0071,C005,SUP0064,active,2025-05-16 22:26:55,1.22,10
P000157,轻享032家用电器商品0157,S0077,B0032,C004,SUP0053,active,2026-08-16 04:27:25,1.6,10
P000158,云谷124骑行商品0158,S0078,B0124,C034,SUP0073,active,2026-08-12 01:03:18,10.8,24
P000159,元气004玩具商品0159,S0079,B0004,C029,SUP0122,active,2024-05-09 23:56:57,3.79,7
P000160,智造049箱包配饰商品0160,S0080,B0049,C010,SUP0042,active,2025-09-10 17:41:23,6.63,24
P000161,本色016男装商品0161,S0001,B0016,C007,SUP0123,active,2024-11-29 09:39:59,8.19,4
P000162,新境047体育用品商品0162,S0002,B0047,C035,SUP0081,active,2025-05-01 18:29:22,9.2,12
P000163,本色110家具商品0163,S0003,B0110,C020,SUP0121,active,2025-08-26 02:40:32,5.07,12
P000164,智造026婴童用品商品0164,S0004,B0026,C027,SUP0139,active,2026-03-05 16:34:39,1.17,19
P000165,智造027粮油调味商品0165,S0005,B0027,C014,SUP0058,active,2024-03-27 13:34:21,3.79,4
P000166,本色016洗护商品0166,S0006,B0016,C024,SUP0043,active,2026-03-18 17:18:47,6.07,22
P000167,悦己035箱包配饰商品0167,S0007,B0035,C010,SUP0109,active,2024-11-14 12:17:14,4.31,5
P000168,新境085智能设备商品0168,S0008,B0085,C005,SUP0078,active,2024-06-01 01:51:03,1.31,1
P000169,新境134彩妆商品0169,S0009,B0134,C023,SUP0009,active,2025-10-05 09:39:48,2.28,19
P000170,星辰112男装商品0170,S0010,B0112,C007,SUP0128,inactive,2025-05-13 14:09:55,3.44,7
P000171,悦己081手机通讯商品0171,S0011,B0081,C002,SUP0065,active,2024-11-07 15:25:36,10.17,1
P000172,智造127彩妆商品0172,S0012,B0127,C023,SUP0038,inactive,2024-10-02 12:11:16,2.65,9
P000173,悦己144彩妆商品0173,S0013,B0144,C023,SUP0091,active,2025-03-08 13:09:11,5.86,16
P000174,云谷124童装童鞋商品0174,S0014,B0124,C030,SUP0028,inactive,2024-07-14 02:06:44,4.44,10
P000175,星辰114智能设备商品0175,S0015,B0114,C005,SUP0062,active,2025-08-13 03:53:35,6.53,0
P000176,新境134护肤商品0176,S0016,B0134,C022,SUP0112,active,2024-03-11 02:44:05,1.98,0
P000177,星辰024文创商品0177,S0017,B0024,C039,SUP0087,active,2024-03-11 05:18:50,9.14,6
P000178,本色097图书商品0178,S0018,B0097,C037,SUP0121,active,2024-06-08 00:46:19,6.63,24
P000179,星辰009厨具商品0179,S0019,B0009,C018,SUP0113,active,2026-04-26 02:39:35,9.11,1
P000180,元气004乐器商品0180,S0020,B0004,C038,SUP0015,active,2026-03-18 10:17:11,8.01,10
P000181,智造044护肤商品0181,S0021,B0044,C022,SUP0023,inactive,2024-09-21 03:27:15,3.05,13
P000182,新境085电脑办公商品0182,S0022,B0085,C003,SUP0041,active,2024-11-29 10:03:01,1.85,23
P000183,悦己038骑行商品0183,S0023,B0038,C034,SUP0003,inactive,2025-01-01 19:23:04,3.22,11
P000184,轻享048清洁用品商品0184,S0024,B0048,C019,SUP0017,active,2025-10-16 19:06:32,9.87,13
P000185,轻享079乐器商品0185,S0025,B0079,C038,SUP0087,active,2026-04-08 14:40:07,7.81,9
P000186,青禾039手机通讯商品0186,S0026,B0039,C002,SUP0122,active,2025-02-19 19:07:43,3.08,9
P000187,新境033生鲜果蔬商品0187,S0027,B0033,C015,SUP0067,active,2026-01-14 18:55:49,6.16,20
P000188,星辰077骑行商品0188,S0028,B0077,C034,SUP0053,active,2024-05-22 22:32:51,3.69,21
P000189,星辰103箱包配饰商品0189,S0029,B0103,C010,SUP0032,active,2025-05-18 03:38:19,8.67,22
P000190,本色016电脑办公商品0190,S0030,B0016,C003,SUP0001,active,2026-05-11 04:44:49,7.53,9
P000191,元气069清洁用品商品0191,S0031,B0069,C019,SUP0045,active,2025-12-18 17:38:13,6.26,1
P000192,元气106休闲食品商品0192,S0032,B0106,C012,SUP0075,active,2025-07-13 05:37:41,11.23,4
P000193,悦己144家用电器商品0193,S0033,B0144,C004,SUP0021,active,2026-02-02 11:28:28,2.76,18
P000194,本色110智能设备商品0194,S0034,B0110,C005,SUP0099,active,2024-09-12 16:17:32,4.13,6
P000195,轻享002洗护商品0195,S0035,B0002,C024,SUP0021,active,2025-01-21 07:46:34,0.98,24
P000196,本色016宠物生活商品0196,S0036,B0016,C040,SUP0070,active,2025-10-29 00:07:51,5.02,24
P000197,极光005体育用品商品0197,S0037,B0005,C035,SUP0138,active,2024-05-12 14:27:24,10.71,9
P000198,云谷075手机通讯商品0198,S0038,B0075,C002,SUP0044,active,2026-03-23 04:09:42,0.59,20
P000199,新境142户外装备商品0199,S0039,B0142,C033,SUP0145,active,2025-01-10 05:49:49,5.09,23
P000200,智造027体育用品商品0200,S0040,B0027,C035,SUP0142,active,2026-06-09 03:13:18,1.36,1
P000201,元气020体育用品商品0201,S0041,B0020,C035,SUP0150,active,2024-08-10 09:59:07,2.81,2
P000202,云谷141户外装备商品0202,S0042,B0141,C033,SUP0122,active,2025-03-20 23:58:22,11.66,5
P000203,智造127文创商品0203,S0043,B0127,C039,SUP0098,draft,2026-04-17 08:57:26,4.59,11
P000204,智造127生鲜果蔬商品0204,S0044,B0127,C015,SUP0020,active,2026-07-30 01:51:16,9.51,8
P000205,悦己056生鲜果蔬商品0205,S0045,B0056,C015,SUP0128,inactive,2026-07-15 17:25:54,1.2,13
P000206,新境041体育用品商品0206,S0046,B0041,C035,SUP0082,active,2025-10-13 05:07:24,8.37,12
P000207,云谷113箱包配饰商品0207,S0047,B0113,C010,SUP0143,active,2024-11-20 14:47:42,11.64,3
P000208,轻享011洗护商品0208,S0048,B0011,C024,SUP0067,active,2025-01-22 00:40:28,1.36,8
P000209,云谷098电脑办公商品0209,S0049,B0098,C003,SUP0004,active,2025-11-04 13:38:39,4.71,6
P000210,本色118电脑办公商品0210,S0050,B0118,C003,SUP0074,active,2026-08-09 21:02:47,10.7,3
P000211,新境135休闲食品商品0211,S0051,B0135,C012,SUP0066,inactive,2026-03-08 17:38:44,3.95,10
P000212,星辰096骑行商品0212,S0052,B0096,C034,SUP0111,draft,2024-12-28 09:56:42,11.33,6
P000213,悦己006电脑办公商品0213,S0053,B0006,C003,SUP0055,active,2026-04-19 08:27:39,11.32,17
P000214,智造086家具商品0214,S0054,B0086,C020,SUP0084,active,2024-11-17 21:13:44,7.49,11
P000215,悦己148男装商品0215,S0055,B0148,C007,SUP0104,active,2025-01-28 20:54:20,8.32,15
P000216,极光071健身训练商品0216,S0056,B0071,C032,SUP0150,active,2024-08-08 08:35:25,9.6,18
P000217,智造059手机通讯商品0217,S0057,B0059,C002,SUP0121,active,2025-05-07 10:26:18,0.54,23
P000218,轻享043电脑办公商品0218,S0058,B0043,C003,SUP0125,active,2024-08-15 20:24:49,0.48,10
P000219,本色105休闲食品商品0219,S0059,B0105,C012,SUP0129,active,2025-12-29 08:16:22,0.3,13
P000220,元气013电脑办公商品0220,S0060,B0013,C003,SUP0115,active,2026-08-15 09:38:42,6.12,16
P000221,轻享002休闲食品商品0221,S0061,B0002,C012,SUP0131,active,2026-08-01 22:04:04,0.69,5
P000222,元气084手机通讯商品0222,S0062,B0084,C002,SUP0118,active,2026-02-13 19:51:27,2.19,4
P000223,轻享043厨具商品0223,S0063,B0043,C018,SUP0070,active,2025-05-22 16:03:41,1.01,15
P000224,悦己014童装童鞋商品0224,S0064,B0014,C030,SUP0069,active,2026-05-02 13:12:48,0.26,9
P000225,青禾017厨具商品0225,S0065,B0017,C018,SUP0099,active,2026-01-11 17:29:13,5.77,2
P000226,元气004体育用品商品0226,S0066,B0004,C035,SUP0107,active,2025-11-12 03:00:59,3.72,3
P000227,新境047电脑办公商品0227,S0067,B0047,C003,SUP0001,active,2026-06-21 20:20:58,2.98,21
P000228,轻享010骑行商品0228,S0068,B0010,C034,SUP0102,active,2025-08-13 18:25:02,11.23,13
P000229,悦己126休闲食品商品0229,S0069,B0126,C012,SUP0020,active,2025-08-23 04:05:57,7.52,13
P000230,轻享034护肤商品0230,S0070,B0034,C022,SUP0113,active,2025-01-17 04:02:23,7.89,5
P000231,本色123休闲食品商品0231,S0071,B0123,C012,SUP0024,active,2024-07-10 23:38:49,2.65,11
P000232,极光005文创商品0232,S0072,B0005,C039,SUP0096,active,2025-09-20 13:47:46,10.02,21
P000233,智造064宠物生活商品0233,S0073,B0064,C040,SUP0110,active,2026-06-01 06:32:48,7.0,19
P000234,元气068护肤商品0234,S0074,B0068,C022,SUP0064,active,2025-08-26 23:46:10,5.8,10
P000235,元气004家具商品0235,S0075,B0004,C020,SUP0064,active,2025-04-19 12:22:37,6.83,10
P000236,轻享079婴童用品商品0236,S0076,B0079,C027,SUP0048,active,2025-04-15 21:14:57,4.22,19
P000237,悦己093清洁用品商品0237,S0077,B0093,C019,SUP0005,active,2026-06-30 06:29:09,2.73,10
P000238,轻享043文创商品0238,S0078,B0043,C039,SUP0113,active,2025-04-10 22:43:30,8.39,9
P000239,悦己130粮油调味商品0239,S0079,B0130,C014,SUP0109,active,2024-07-12 06:56:10,10.92,24
P000240,轻享048电脑办公商品0240,S0080,B0048,C003,SUP0115,active,2026-07-10 14:41:37,9.86,1
P000241,新境078智能设备商品0241,S0001,B0078,C005,SUP0085,active,2024-07-29 19:37:24,9.02,2
P000242,云谷025童装童鞋商品0242,S0002,B0025,C030,SUP0018,active,2026-08-21 14:09:19,2.37,10
P000243,悦己014个人护理商品0243,S0003,B0014,C025,SUP0056,active,2025-10-30 08:00:47,11.14,0
P000244,元气108图书商品0244,S0004,B0108,C037,SUP0070,active,2024-06-19 07:09:46,9.36,19
P000245,轻享022文创商品0245,S0005,B0022,C039,SUP0125,active,2026-03-26 21:10:06,11.47,2
P000246,新境143户外装备商品0246,S0006,B0143,C033,SUP0099,active,2026-03-28 17:59:45,2.82,21
P000247,新境085粮油调味商品0247,S0007,B0085,C014,SUP0050,active,2026-07-15 07:42:55,7.35,11
P000248,新境137洗护商品0248,S0008,B0137,C024,SUP0078,active,2026-01-01 10:30:59,11.53,8
P000249,智造131户外装备商品0249,S0009,B0131,C033,SUP0054,active,2024-12-29 08:20:57,3.94,16
P000250,智造053图书商品0250,S0010,B0053,C037,SUP0101,active,2024-12-24 13:10:58,4.81,2
P000251,轻享034生鲜果蔬商品0251,S0011,B0034,C015,SUP0143,active,2026-02-25 15:12:43,5.9,17
P000252,智造058宠物生活商品0252,S0012,B0058,C040,SUP0028,active,2026-03-07 17:18:47,10.32,13
P000253,新境142饮料冲调商品0253,S0013,B0142,C013,SUP0066,inactive,2024-06-16 10:02:24,9.51,14
