favorite_id,user_id,product_id,favorited_at,source_page
FAV00000055,U000116,P000061,2026-06-29 00:21:07,search
FAV00000056,U003482,P000107,2026-02-13 13:37:45,product
FAV00000057,U000032,P001311,2025-02-11 06:18:24,product
FAV00000058,U004002,P000600,2026-06-23 03:08:29,search
FAV00000059,U001646,P000947,2025-01-16 12:25:54,recommendation
FAV00000060,U001653,P000431,2025-03-28 19:11:09,product
FAV00000061,U004964,P000747,2025-10-09 12:41:50,product
FAV00000062,U000741,P001414,2025-08-20 10:11:55,campaign
FAV00000063,U002080,P000860,2025-03-27 09:25:56,product
FAV00000064,U002203,P001320,2025-06-13 21:14:46,product
FAV00000065,U002008,P000365,2026-06-14 18:12:02,product
FAV00000066,U004752,P000288,2026-03-29 00:21:03,product
FAV00000067,U002874,P001454,2026-06-04 05:55:44,recommendation
FAV00000068,U004882,P001068,2026-07-12 15:55:53,product
FAV00000069,U002537,P001209,2025-03-12 10:32:54,search
FAV00000070,U000686,P000905,2026-08-09 15:13:37,product
FAV00000071,U004248,P000456,2026-05-14 20:27:10,recommendation
FAV00000072,U003887,P000793,2025-10-06 20:44:07,product
FAV00000073,U001360,P001468,2026-06-03 13:46:42,recommendation
FAV00000074,U003054,P001419,2026-01-07 15:54:27,recommendation
FAV00000075,U003458,P001058,2026-06-14 00:28:03,recommendation
FAV00000076,U000923,P000127,2025-04-04 14:54:08,product
FAV00000077,U001320,P001252,2026-01-18 07:02:20,recommendation
FAV00000078,U003200,P000520,2026-02-09 16:21:41,product
FAV00000079,U000676,P000671,2025-02-24 20:10:29,product
FAV00000080,U001798,P001266,2025-10-27 05:38:23,search
FAV00000081,U003066,P000257,2026-01-11 03:52:23,recommendation
FAV00000082,U003917,P000838,2025-08-13 01:28:06,recommendation
FAV00000083,U003408,P000611,2025-08-10 19:39:37,recommendation
FAV00000084,U001978,P000296,2025-05-17 20:37:58,recommendation
FAV00000085,U003951,P000469,2025-04-14 03:05:58,search
FAV00000086,U001891,P000881,2025-11-26 06:15:36,product
FAV00000087,U004615,P000500,2026-06-12 17:49:28,campaign
FAV00000088,U002304,P000144,2026-05-27 07:52:55,recommendation
FAV00000089,U002881,P001377,2025-05-07 13:22:15,product
FAV00000090,U003596,P000580,2025-09-04 00:30:54,search
FAV00000091,U000841,P000355,2026-04-07 01:51:42,product
FAV00000092,U001832,P001140,2026-02-22 16:57:41,recommendation
FAV00000093,U003365,P000815,2025-08-07 06:56:01,product
FAV00000094,U001690,P000019,2026-02-18 09:11:01,recommendation
FAV00000095,U003023,P001424,2025-11-11 05:43:45,recommendation
FAV00000096,U003082,P000244,2025-01-29 10:06:17,product
FAV00000097,U000671,P001429,2025-03-23 18:53:40,recommendation
FAV00000098,U002504,P000684,2025-04-15 02:01:27,product
FAV00000099,U004531,P000510,2025-02-19 10:23:28,product
FAV00000100,U001719,P000472,2025-05-21 23:28:45,search
FAV00000101,U001878,P000654,2025-01-23 14:24:51,product
FAV00000102,U000112,P000597,2025-03-23 13:20:00,product
FAV00000103,U003995,P000019,2025-12-15 21:29:06,product
FAV00000104,U001413,P001074,2025-12-12 01:00:15,recommendation
FAV00000105,U000384,P000328,2025-01-01 02:46:43,campaign
FAV00000106,U004560,P001270,2025-01-30 05:30:20,product
FAV00000107,U002797,P000674,2026-05-20 11:34:54,recommendation
FAV00000108,U000885,P000395,2025-10-03 20:29:19,product
FAV00000109,U002823,P001123,2025-04-04 07:52:47,product
FAV00000110,U000723,P000790,2026-03-27 06:02:37,recommendation
FAV00000111,U000032,P001434,2025-09-11 20:25:28,recommendation
FAV00000112,U003140,P000934,2026-06-30 02:51:08,product
FAV00000113,U002543,P001024,2025-10-18 03:02:27,product
FAV00000114,U001893,P000937,2026-08-09 13:11:42,product
FAV00000115,U004736,P001227,2025-08-15 02:29:44,campaign
FAV00000116,U000347,P000555,2025-05-26 16:50:25,search
FAV00000117,U002251,P000242,2025-06-09 06:29:23,product
FAV00000118,U003245,P000017,2025-04-22 10:34:48,product
FAV00000119,U003358,P001243,2026-03-13 15:26:31,search
FAV00000120,U000032,P000091,2026-03-24 09:56:14,campaign
FAV00000121,U002568,P000027,2025-10-16 11:44:40,campaign
FAV00000122,U003289,P001101,2025-10-05 09:47:52,campaign
FAV00000123,U001112,P001216,2026-06-11 04:47:35,search
FAV00000124,U003385,P000019,2025-01-24 04:50:31,product
FAV00000125,U002232,P000306,2025-04-14 15:03:03,product
FAV00000126,U004644,P001237,2026-07-17 18:56:21,recommendation
FAV00000127,U002647,P000254,2026-05-04 00:24:41,recommendation
FAV00000128,U001455,P000769,2026-05-28 00:57:10,search
FAV00000129,U000025,P000787,2025-12-24 22:51:40,product
FAV00000130,U003802,P000584,2026-06-12 15:53:21,product
FAV00000131,U001754,P000533,2025-03-16 21:46:49,recommendation
FAV00000132,U003614,P001067,2025-10-29 02:10:50,product
FAV00000133,U004929,P000756,2026-05-31 05:55:00,product
FAV00000134,U003366,P000390,2025-10-07 02:50:30,search
FAV00000135,U004792,P000051,2026-03-05 02:16:07,product
FAV00000136,U003600,P000699,2025-08-16 00:57:11,product
FAV00000137,U002244,P000797,2026-05-10 08:11:39,product
FAV00000138,U001824,P001419,2025-09-13 00:07:54,product
FAV00000139,U001791,P001382,2025-06-23 07:44:01,recommendation
FAV00000140,U004216,P000647,2025-06-11 16:00:36,recommendation
FAV00000141,U002967,P000165,2025-07-06 08:05:20,search
FAV00000142,U002689,P000021,2025-12-06 00:42:23,campaign
FAV00000143,U000407,P001481,2026-03-17 14:38:39,product
FAV00000144,U002893,P000491,2026-01-16 20:39:16,recommendation
FAV00000145,U003598,P000869,2025-08-23 10:15:07,recommendation
FAV00000146,U004770,P000510,2025-11-21 12:08:13,recommendation
FAV00000147,U004195,P000354,2025-04-26 10:59:10,product
FAV00000148,U004700,P001268,2025-03-28 14:45:45,search
FAV00000149,U002767,P000972,2026-02-02 18:49:43,product
FAV00000150,U003242,P000236,2026-07-31 02:54:16,product
FAV00000151,U002532,P000186,2025-01-09 19:45:37,search
FAV00000152,U004405,P001236,2025-01-25 15:55:17,product
FAV00000153,U000553,P000081,2025-01-06 02:30:09,product
FAV00000154,U003351,P001024,2026-07-09 06:58:07,product
FAV00000155,U003797,P000679,2025-06-12 01:53:34,product
FAV00000156,U002923,P000044,2025-10-19 17:22:56,product
FAV00000157,U000495,P000196,2026-06-14 12:05:47,campaign
FAV00000158,U000985,P000038,2026-03-26 21:17:33,recommendation
FAV00000159,U000774,P000631,2025-11-11 14:50:23,recommendation
FAV00000160,U001233,P001176,2025-11-25 09:24:00,search
FAV00000161,U003048,P001206,2025-12-22 21:10:40,product
FAV00000162,U001682,P000780,2025-01-01 08:04:00,search
FAV00000163,U002974,P001256,2026-07-06 18:49:23,search
FAV00000164,U003705,P000352,2026-01-24 16:52:07,product
FAV00000165,U001988,P000862,2025-12-12 21:47:28,product
FAV00000166,U002943,P000931,2025-03-16 17:02:20,product
FAV00000167,U001602,P000046,2025-03-12 22:52:09,product
FAV00000168,U002062,P000293,2025-02-25 08:21:21,recommendation
FAV00000169,U002062,P000413,2025-02-18 06:01:10,campaign
FAV00000170,U000409,P000895,2025-08-08 13:23:16,product
FAV00000171,U003686,P001364,2025-10-04 10:40:30,recommendation
FAV00000172,U003109,P000482,2025-01-09 19:56:15,product
FAV00000173,U004384,P000274,2026-02-16 02:16:10,product
FAV00000174,U001888,P000852,2025-02-16 14:02:22,product
FAV00000175,U004030,P001316,2025-06-21 04:23:39,recommendation
FAV00000176,U002134,P001173,2025-06-14 12:27:10,product
FAV00000177,U003878,P001337,2025-12-08 14:52:13,product
FAV00000178,U003691,P000114,2025-11-15 06:40:40,search
FAV00000179,U003196,P000165,2025-09-05 12:10:31,product
FAV00000180,U000881,P000087,2025-12-26 01:41:22,product
FAV00000181,U003136,P001114,2025-11-27 16:07:47,recommendation
FAV00000182,U004840,P000423,2025-10-22 12:14:00,product
FAV00000183,U002426,P000704,2026-06-11 01:48:24,recommendation
FAV00000184,U000604,P000636,2026-06-17 04:46:06,recommendation
FAV00000185,U002100,P001374,2025-05-12 12:31:14,product
FAV00000186,U000097,P000791,2026-02-06 05:57:02,search
FAV00000187,U000386,P001138,2026-04-14 12:30:00,search
FAV00000188,U004431,P000272,2026-06-08 15:53:50,recommendation
FAV00000189,U000955,P001164,2025-05-24 13:28:46,product
FAV00000190,U003921,P001052,2026-03-29 13:42:24,search
FAV00000191,U000803,P000060,2026-01-25 10:39:42,product
FAV00000192,U003702,P001056,2026-05-21 11:22:01,product
FAV00000193,U004324,P000339,2025-06-04 16:32:19,search
FAV00000194,U000612,P000409,2026-06-10 21:18:57,product
FAV00000195,U000280,P000469,2025-08-23 15:40:48,product
FAV00000196,U004966,P000661,2026-07-13 13:15:49,recommendation
FAV00000197,U004328,P000189,2026-05-09 04:04:20,product
FAV00000198,U002055,P001259,2026-06-21 08:07:21,product
FAV00000199,U000773,P000140,2025-03-13 13:05:26,product
FAV00000200,U004110,P001425,2026-07-19 08:48:40,product
FAV00000201,U004321,P001420,2026-06-02 16:15:37,product
FAV00000202,U003227,P000535,2026-05-07 03:44:12,campaign
FAV00000203,U000520,P000704,2026-08-11 17:27:56,search
FAV00000204,U000831,P001437,2025-06-29 23:43:06,product
FAV00000205,U000546,P000494,2025-10-26 11:35:46,product
FAV00000206,U003363,P001240,2025-03-08 11:09:35,campaign
FAV00000207,U001478,P000991,2025-05-03 13:31:24,search
FAV00000208,U003727,P000132,2026-08-02 16:29:47,product
FAV00000209,U002736,P000406,2025-04-11 05:47:25,product
FAV00000210,U001513,P001030,2025-01-20 19:59:34,recommendation
FAV00000211,U004915,P001256,2025-05-15 02:48:16,search
FAV00000212,U001497,P000970,2026-06-02 06:34:47,recommendation
FAV00000213,U001631,P001427,2025-05-20 17:50:16,product
FAV00000214,U001870,P000721,2025-08-23 17:21:15,product
FAV00000215,U001069,P001415,2025-11-03 07:05:03,product
FAV00000216,U002973,P000514,2025-09-28 13:16:32,product
FAV00000217,U001279,P000782,2026-03-07 04:06:09,recommendation
FAV00000218,U001943,P000310,2025-10-31 06:55:31,campaign
FAV00000219,U002793,P000039,2026-03-18 17:46:36,campaign
FAV00000220,U001492,P001355,2026-08-13 22:23:34,product
FAV00000221,U000012,P000039,2025-09-22 20:59:51,product
FAV00000222,U003191,P000715,2025-01-21 19:18:32,product
FAV00000223,U003253,P000646,2026-05-23 10:14:17,product
FAV00000224,U003679,P000859,2025-11-16 15:33:35,search
FAV00000225,U003862,P001089,2025-08-22 18:28:26,recommendation
FAV00000226,U001602,P000557,2026-02-17 06:38:32,product
FAV00000227,U003095,P000455,2025-04-16 14:00:54,product
FAV00000228,U004924,P000876,2025-05-24 07:29:50,recommendation
FAV00000229,U004270,P000592,2025-10-31 08:11:14,recommendation
FAV00000230,U000313,P000976,2026-01-21 14:19:26,recommendation
FAV00000231,U004510,P001193,2025-08-03 13:52:50,product
FAV00000232,U004136,P001041,2026-02-25 10:02:08,search
FAV00000233,U003281,P001192,2026-08-02 09:58:10,product
FAV00000234,U002051,P000035,2025-04-18 20:17:44,product
FAV00000235,U002499,P001484,2025-03-07 02:58:44,search
FAV00000236,U002262,P000180,2026-03-29 23:38:13,product
FAV00000237,U003568,P000353,2026-04-30 15:37:17,campaign
FAV00000238,U001630,P000496,2025-12-28 01:05:14,recommendation
FAV00000239,U002239,P000178,2026-02-03 20:07:17,product
FAV00000240,U003630,P001309,2026-04-13 01:51:50,recommendation
FAV00000241,U001024,P001119,2026-07-31 16:22:49,product
FAV00000242,U003493,P001242,2025-08-10 00:04:32,product
FAV00000243,U001613,P000428,2025-07-10 03:01:39,product
FAV00000244,U000339,P001343,2025-01-05 19:12:13,product
FAV00000245,U000630,P000933,2026-08-02 15:08:52,campaign
FAV00000246,U003076,P000696,2025-01-05 08:47:55,product
FAV00000247,U004544,P001269,2025-10-27 04:55:32,product
FAV00000248,U002199,P001085,2025-12-11 03:18:20,product
FAV00000249,U003468,P000731,2026-03-08 06:43:12,search
FAV00000250,U001820,P000364,2026-08-13 13:42:16,product
FAV00000251,U004033,P000051,2025-12-31 00:57:35,product
FAV00000252,U002001,P000994,2026-02-18 08:23:42,product
FAV00000253,U003580,P001415,2026-03-07 22:45:40,campaign
FAV00000254,U003582,P000738,2025-01-24 06:26:52,product
FAV00000255,U002285,P000593,2025-01-09 02:32:59,product
FAV00000256,U000902,P001162,2026-05-27 13:14:34,recommendation
FAV00000257,U001771,P000058,2025-06-19 00:18:44,product
FAV00000258,U003140,P000651,2025-04-04 00:58:29,product
FAV00000259,U002158,P000364,2026-06-10 18:31:29,recommendation
FAV00000260,U000770,P000811,2026-08-18 08:14:11,product
FAV00000261,U004138,P000522,2025-11-17 17:13:17,search
FAV00000262,U002426,P001080,2025-01-10 16:29:19,product
FAV00000263,U004345,P000789,2026-03-20 04:38:00,product
FAV00000264,U001371,P001440,2026-06-19 10:49:28,search
FAV00000265,U001907,P000757,2025-03-12 05:02:17,recommendation
FAV00000266,U001972,P000360,2026-03-27 23:19:59,product
FAV00000267,U000354,P000764,2025-05-17 09:52:15,product
FAV00000268,U002428,P000571,2026-03-12 01:56:03,product
FAV00000269,U004279,P001192,2026-07-17 12:18:59,search
FAV00000270,U003159,P000312,2025-01-24 17:29:27,campaign
FAV00000271,U002242,P000825,2026-06-01 08:27:45,search
FAV00000272,U001506,P000136,2025-08-15 04:10:21,product
FAV00000273,U004149,P000116,2025-02-17 14:21:38,product
FAV00000274,U001951,P001442,2025-03-21 12:47:16,product
FAV00000275,U001268,P000175,2025-12-20 02:14:11,product
FAV00000276,U001945,P000724,2025-12-19 01:27:03,recommendation
FAV00000277,U003354,P000007,2026-05-09 00:14:15,product
FAV00000278,U002349,P000058,2025-02-27 09:43:35,search
FAV00000279,U000196,P000476,2026-06-11 13:29:49,search
FAV00000280,U000223,P001044,2025-04-04 10:56:12,search
FAV00000281,U000891,P000787,2025-09-06 14:29:16,product
FAV00000282,U000768,P000902,2025-02-20 09:20:22,search
FAV00000283,U001095,P000355,2025-01-31 13:33:35,campaign
FAV00000284,U000675,P000676,2026-02-16 17:37:30,product
FAV00000285,U001709,P000780,2025-01-22 13:20:49,recommendation
FAV00000286,U003496,P001161,2026-06-21 12:19:18,recommendation
FAV00000287,U003479,P001495,2025-10-26 16:07:18,product
FAV00000288,U002832,P000865,2025-02-15 21:59:52,search
FAV00000289,U000885,P001147,2025-05-18 22:15:25,recommendation
FAV00000290,U004079,P001486,2025-10-01 09:31:21,product
FAV00000291,U004629,P001203,2026-04-24 10:58:03,product
FAV00000292,U003615,P000977,2026-02-10 06:06:39,search
FAV00000293,U001420,P001336,2025-11-08 12:43:27,recommendation
FAV00000294,U001302,P000058,2025-08-12 05:52:38,product
FAV00000295,U004783,P000835,2026-04-17 13:10:57,product
FAV00000296,U003594,P000783,2026-05-24 18:42:52,product
FAV00000297,U002361,P000353,2025-06-12 02:52:25,product
FAV00000298,U002472,P000962,2026-08-20 19:01:32,product
FAV00000299,U004586,P001459,2025-10-04 07:54:59,search
FAV00000300,U002411,P001420,2026-08-04 06:00:28,product
FAV00000301,U003145,P000616,2026-08-17 06:32:23,product
FAV00000302,U002817,P001372,2025-01-17 20:38:40,product
FAV00000303,U004103,P000620,2026-01-24 23:38:53,recommendation
FAV00000304,U003269,P000608,2025-02-07 18:16:58,product
FAV00000305,U002797,P000978,2026-07-06 12:28:00,product
FAV00000306,U003579,P000516,2026-06-03 02:30:55,search
FAV00000307,U002082,P001147,2026-05-02 14:53:43,product
FAV00000308,U001932,P000706,2025-04-24 12:19:39,product
FAV00000309,U004018,P001073,2025-04-30 06:15:40,product
FAV00000310,U003777,P001474,2025-05-08 22:07:15,product
FAV00000311,U001278,P001037,2026-05-06 04:03:48,search
FAV00000312,U004701,P000196,2025-07-17 06:43:23,product
FAV00000313,U004374,P000546,2026-02-24 07:05:47,campaign
FAV00000314,U003961,P000147,2025-05-23 21:57:21,product
FAV00000315,U004602,P000686,2026-07-20 15:46:53,product
FAV00000316,U004714,P000237,2025-09-28 20:33:37,product
FAV00000317,U004495,P000569,2026-06-05 09:00:41,search
FAV00000318,U001507,P000945,2025-02-08 17:10:34,recommendation
FAV00000319,U004333,P000353,2025-11-04 04:43:44,search
FAV00000320,U002856,P001434,2025-06-23 00:56:01,search
FAV00000321,U003646,P001016,2026-01-13 09:18:48,product
FAV00000322,U004816,P001270,2025-01-31 08:29:34,product
FAV00000323,U001898,P001448,2026-08-02 07:06:36,product
FAV00000324,U001403,P000028,2026-07-31 21:43:18,product
FAV00000325,U004988,P000701,2025-05-23 10:22:03,product
FAV00000326,U000877,P000127,2025-11-21 12:04:41,product
FAV00000327,U002045,P001285,2025-12-04 02:23:14,recommendation
FAV00000328,U004610,P000887,2025-03-18 15:41:37,product
FAV00000329,U002186,P001272,2026-06-22 09:09:35,product
FAV00000330,U003877,P000245,2026-08-08 19:55:12,recommendation
FAV00000331,U003259,P000978,2026-03-11 09:27:46,product
FAV00000332,U003387,P000287,2025-11-20 15:09:09,product
FAV00000333,U001829,P000933,2025-07-06 17:55:44,search
FAV00000334,U002900,P000055,2026-02-04 03:53:44,product
FAV00000335,U000999,P001260,2026-03-10 08:28:44,recommendation
FAV00000336,U000479,P000407,2025-12-11 06:35:08,recommendation
FAV00000337,U004535,P000193,2025-04-02 21:26:50,product
FAV00000338,U000111,P000223,2026-01-31 07:58:28,product
FAV00000339,U002872,P000035,2025-02-12 20:15:14,product
FAV00000340,U003619,P001334,2026-08-10 18:58:32,product
FAV00000341,U000333,P000822,2025-04-02 22:46:34,product
FAV00000342,U001510,P001185,2026-05-04 06:36:28,product
FAV00000343,U002351,P001096,2025-09-17 07:11:32,product
FAV00000344,U000853,P000852,2025-06-06 14:34:08,product
FAV00000345,U003836,P001166,2025-03-31 04:00:04,search
FAV00000346,U002476,P000387,2026-04-21 16:29:17,product
FAV00000347,U000389,P000247,2025-03-20 13:50:25,search
FAV00000348,U000382,P000901,2026-05-18 23:33:22,product
FAV00000349,U002009,P000552,2026-05-25 23:19:31,search
FAV00000350,U002406,P000170,2025-01-17 18:38:02,campaign
FAV00000351,U003192,P001334,2026-02-22 18:02:15,product
FAV00000352,U000735,P001299,2025-09-24 05:13:55,recommendation
FAV00000353,U004868,P000274,2025-01-28 11:56:34,recommendation
FAV00000354,U000931,P000425,2025-04-21 11:54:30,campaign
FAV00000355,U002066,P000068,2025-09-24 09:57:47,product
FAV00000356,U000786,P000274,2025-07-20 10:11:25,search
FAV00000357,U004522,P000309,2025-08-31 19:43:55,product
FAV00000358,U001003,P000828,2026-05-15 00:28:01,recommendation
FAV00000359,U004920,P000320,2025-12-28 18:33:18,product
FAV00000360,U003687,P000344,2026-03-12 02:36:03,product
FAV00000361,U000903,P000419,2026-07-29 01:14:22,product
FAV00000362,U002102,P000083,2025-05-30 18:09:28,product
FAV00000363,U000810,P000088,2026-05-30 19:04:34,search
FAV00000364,U003072,P000702,2026-07-10 08:08:53,recommendation
FAV00000365,U000178,P000539,2025-12-27 13:32:30,campaign
FAV00000366,U001740,P000417,2026-05-01 19:04:04,product
FAV00000367,U000617,P000040,2025-03-22 01:24:54,product
FAV00000368,U003881,P001465,2025-04-18 16:14:41,campaign
FAV00000369,U000230,P000844,2025-01-28 17:16:44,product
FAV00000370,U003346,P000937,2026-01-03 18:57:09,search
FAV00000371,U004794,P000033,2025-06-19 08:25:29,product
FAV00000372,U002032,P000401,2026-01-16 17:59:38,product
FAV00000373,U002391,P001088,2026-07-13 13:01:54,recommendation
FAV00000374,U001744,P001332,2025-07-08 05:54:01,product
FAV00000375,U004477,P001406,2025-01-11 12:29:52,product
FAV00000376,U000298,P001374,2026-04-10 19:51:57,search
FAV00000377,U002280,P000642,2025-07-20 14:54:27,search
FAV00000378,U000581,P000581,2025-12-24 01:59:09,search
FAV00000379,U004220,P001095,2026-02-11 07:57:20,product
FAV00000380,U000808,P001294,2025-12-14 08:54:56,product
FAV00000381,U001065,P000771,2025-04-22 02:00:40,search
FAV00000382,U004979,P000052,2026-07-06 22:58:29,product
FAV00000383,U003064,P001142,2025-01-13 05:37:44,product
FAV00000384,U000184,P001182,2026-01-29 20:00:17,search
FAV00000385,U004868,P000630,2025-07-20 14:37:19,product
FAV00000386,U004657,P000036,2025-04-15 02:09:43,campaign
FAV00000387,U004948,P000118,2026-07-06 16:07:39,product
FAV00000388,U003970,P001139,2025-01-18 22:23:30,product
FAV00000389,U004204,P000873,2026-07-31 21:12:55,product
FAV00000390,U001061,P000253,2026-03-21 03:21:27,search
FAV00000391,U000538,P000034,2025-02-06 19:46:28,product
FAV00000392,U003733,P000245,2026-01-14 15:55:44,product
FAV00000393,U002416,P000819,2025-07-23 00:12:32,product
FAV00000394,U004165,P000919,2025-06-07 05:27:27,product
FAV00000395,U004331,P001466,2025-03-31 15:01:07,product
FAV00000396,U000797,P000099,2026-05-06 18:53:52,recommendation
FAV00000397,U000750,P001182,2025-11-01 09:31:01,recommendation
FAV00000398,U000173,P001000,2025-12-14 22:38:47,product
FAV00000399,U001423,P000398,2026-02-02 07:37:51,product
FAV00000400,U001380,P000512,2025-04-22 22:00:42,product
FAV00000401,U003967,P000147,2025-08-28 21:11:21,search
FAV00000402,U000357,P000746,2025-12-06 00:23:43,search
FAV00000403,U003151,P001095,2025-12-26 12:01:14,product
FAV00000404,U004984,P000568,2026-06-25 18:44:04,product
FAV00000405,U004340,P001085,2025-08-31 08:46:43,product
FAV00000406,U001468,P000890,2025-06-15 14:55:00,product
FAV00000407,U004322,P000400,2026-03-16 21:56:42,recommendation
FAV00000408,U000411,P000605,2026-06-09 22:49:57,product
FAV00000409,U001980,P000300,2025-12-09 04:31:52,campaign
FAV00000410,U000336,P000029,2025-06-18 07:40:00,search
FAV00000411,U001025,P000140,2025-03-06 09:53:21,search
FAV00000412,U004427,P000146,2025-06-04 01:32:45,recommendation
FAV00000413,U001351,P000431,2025-03-15 03:15:18,product
FAV00000414,U003311,P000462,2026-04-12 22:18:00,product
FAV00000415,U001008,P000473,2025-09-01 07:12:14,search
FAV00000416,U001910,P001186,2025-03-26 13:28:27,search
FAV00000417,U003808,P000359,2025-05-03 01:18:45,product
FAV00000418,U001074,P000086,2025-10-18 10:22:43,search
FAV00000419,U001497,P000128,2026-01-07 18:10:11,recommendation
FAV00000420,U000393,P000836,2025-05-11 04:55:26,recommendation
FAV00000421,U002018,P001177,2026-07-01 03:32:14,recommendation
FAV00000422,U003628,P000513,2025-01-19 18:44:04,campaign
FAV00000423,U001066,P001088,2026-07-29 10:56:33,product
FAV00000424,U003024,P000563,2026-05-13 00:10:16,product
FAV00000425,U002922,P000491,2026-07-08 15:03:53,recommendation
FAV00000426,U004304,P001030,2026-02-28 07:44:17,product
FAV00000427,U002465,P001072,2026-08-16 03:49:01,recommendation
FAV00000428,U002922,P000961,2026-06-12 05:38:27,search
FAV00000429,U004210,P000194,2026-01-18 12:52:14,product
FAV00000430,U001134,P001357,2025-11-07 23:22:20,product
FAV00000431,U001206,P000833,2025-05-22 22:14:36,recommendation
FAV00000432,U001925,P001071,2026-06-28 13:59:34,recommendation
FAV00000433,U003368,P001094,2026-02-18 11:46:18,search
FAV00000434,U001091,P000572,2025-11-17 22:45:50,product
FAV00000435,U000523,P000109,2025-08-20 17:04:52,product
FAV00000436,U003171,P001328,2026-05-12 12:23:30,product
FAV00000437,U001614,P001164,2026-06-13 22:51:11,search
FAV00000438,U002024,P000138,2025-09-03 08:51:45,product
FAV00000439,U004585,P000466,2025-10-07 03:53:30,product
FAV00000440,U000114,P001175,2026-03-29 17:45:56,campaign
FAV00000441,U003725,P000409,2026-08-13 22:23:00,product
FAV00000442,U003794,P000674,2025-09-01 06:12:06,product
FAV00000443,U001603,P000562,2025-12-17 17:17:56,product
FAV00000444,U003211,P000177,2025-01-02 11:00:23,campaign
FAV00000445,U003135,P001077,2025-08-08 01:21:27,search
FAV00000446,U000550,P001390,2025-03-09 16:48:57,recommendation
FAV00000447,U002048,P001124,2025-03-19 23:34:29,product
FAV00000448,U000846,P001389,2026-04-24 16:44:12,product
FAV00000449,U001146,P000451,2026-02-05 14:21:08,recommendation
FAV00000450,U001363,P000876,2025-01-25 19:04:37,product
FAV00000451,U004090,P000032,2025-08-27 01:07:28,product
FAV00000452,U000476,P000834,2025-06-03 01:56:45,product
FAV00000453,U004600,P001372,2025-10-03 20:46:32,product
