reply_id,review_id,store_id,reply_content,replied_at,reply_type
RVR0000166,RV00004646,S0007,祝您生活愉快,2026-06-12 03:34:47,template
RVR0000167,RV00004482,S0042,已联系您协助处理,2026-06-23 19:46:06,template
RVR0000168,RV00001211,S0048,感谢反馈，我们会持续改进,2026-01-31 21:43:44,template
RVR0000169,RV00003619,S0055,祝您生活愉快,2025-06-22 14:00:21,manual
RVR0000170,RV00004290,S0018,已联系您协助处理,2026-04-20 12:55:45,template
RVR0000171,RV00000640,S0045,已联系您协助处理,2025-07-13 18:58:12,manual
RVR0000172,RV00001040,S0059,感谢反馈，我们会持续改进,2025-12-12 06:19:19,template
RVR0000173,RV00000617,S0066,感谢支持，期待再次光临,2025-12-01 19:25:52,template
RVR0000174,RV00002948,S0045,祝您生活愉快,2025-12-10 15:49:52,template
RVR0000175,RV00003937,S0024,感谢支持，期待再次光临,2025-03-13 00:51:41,manual
RVR0000176,RV00005374,S0042,感谢反馈，我们会持续改进,2025-09-19 07:43:32,template
RVR0000177,RV00000055,S0059,感谢反馈，我们会持续改进,2025-10-02 10:21:04,manual
RVR0000178,RV00003336,S0065,已联系您协助处理,2025-11-04 17:40:48,manual
RVR0000179,RV00002977,S0063,祝您生活愉快,2026-08-11 05:05:16,manual
RVR0000180,RV00000151,S0064,祝您生活愉快,2025-11-21 20:50:49,manual
RVR0000181,RV00002039,S0021,祝您生活愉快,2025-06-17 21:33:24,manual
RVR0000182,RV00003901,S0065,感谢反馈，我们会持续改进,2025-09-18 16:27:54,manual
RVR0000183,RV00002443,S0008,祝您生活愉快,2026-07-17 07:03:59,template
RVR0000184,RV00003124,S0021,感谢反馈，我们会持续改进,2026-05-26 02:38:19,manual
RVR0000185,RV00004353,S0036,感谢反馈，我们会持续改进,2025-11-26 01:24:37,manual
RVR0000186,RV00001571,S0060,感谢反馈，我们会持续改进,2025-06-30 19:03:36,template
RVR0000187,RV00000465,S0028,感谢反馈，我们会持续改进,2025-06-21 11:08:23,manual
RVR0000188,RV00004068,S0007,感谢支持，期待再次光临,2025-08-23 19:16:20,template
RVR0000189,RV00004622,S0033,祝您生活愉快,2025-10-24 16:52:17,template
RVR0000190,RV00000772,S0007,祝您生活愉快,2025-09-22 01:11:15,manual
RVR0000191,RV00001306,S0039,感谢支持，期待再次光临,2025-09-26 06:18:36,manual
RVR0000192,RV00003845,S0001,已联系您协助处理,2026-05-11 05:13:07,template
RVR0000193,RV00001836,S0007,感谢反馈，我们会持续改进,2026-09-04 18:14:42,manual
RVR0000194,RV00000390,S0070,感谢支持，期待再次光临,2026-05-28 23:37:51,template
RVR0000195,RV00005375,S0035,感谢反馈，我们会持续改进,2026-03-01 11:29:16,template
RVR0000196,RV00002113,S0047,祝您生活愉快,2025-11-02 08:36:22,manual
RVR0000197,RV00002409,S0013,祝您生活愉快,2026-04-30 07:38:51,template
RVR0000198,RV00004472,S0030,祝您生活愉快,2025-07-05 01:44:56,manual
RVR0000199,RV00000364,S0009,感谢反馈，我们会持续改进,2025-11-04 12:28:36,template
RVR0000200,RV00004634,S0080,已联系您协助处理,2026-04-26 21:28:34,template
RVR0000201,RV00001751,S0064,祝您生活愉快,2025-10-04 18:56:27,manual
RVR0000202,RV00000117,S0033,已联系您协助处理,2025-08-11 01:23:00,template
RVR0000203,RV00004934,S0038,感谢支持，期待再次光临,2025-06-13 14:31:37,manual
RVR0000204,RV00003335,S0042,感谢支持，期待再次光临,2025-03-01 14:44:33,manual
RVR0000205,RV00003692,S0074,感谢反馈，我们会持续改进,2026-08-16 01:26:06,manual
RVR0000206,RV00001768,S0058,感谢反馈，我们会持续改进,2025-10-03 16:26:14,manual
RVR0000207,RV00003465,S0022,祝您生活愉快,2026-08-31 02:22:29,template
RVR0000208,RV00004342,S0004,感谢支持，期待再次光临,2026-05-04 19:41:04,manual
RVR0000209,RV00001740,S0046,祝您生活愉快,2026-05-27 23:01:37,manual
RVR0000210,RV00003141,S0020,已联系您协助处理,2025-11-19 09:02:04,manual
RVR0000211,RV00000008,S0064,感谢支持，期待再次光临,2026-04-05 20:34:41,manual
RVR0000212,RV00001506,S0057,感谢支持，期待再次光临,2026-01-08 18:40:37,template
RVR0000213,RV00004857,S0055,祝您生活愉快,2025-05-05 07:08:10,template
RVR0000214,RV00003842,S0076,祝您生活愉快,2026-01-31 03:53:10,manual
RVR0000215,RV00000740,S0049,感谢反馈，我们会持续改进,2025-07-06 09:44:50,template
RVR0000216,RV00004279,S0048,祝您生活愉快,2025-03-09 11:50:25,manual
RVR0000217,RV00002479,S0012,祝您生活愉快,2025-11-08 08:39:30,template
RVR0000218,RV00002125,S0075,祝您生活愉快,2026-02-23 23:10:43,manual
RVR0000219,RV00002334,S0073,感谢支持，期待再次光临,2025-05-04 18:50:07,manual
RVR0000220,RV00002552,S0050,感谢支持，期待再次光临,2026-06-25 18:59:30,manual
RVR0000221,RV00001654,S0052,祝您生活愉快,2025-04-21 13:27:11,manual
RVR0000222,RV00003921,S0080,已联系您协助处理,2026-06-21 11:19:40,manual
RVR0000223,RV00000735,S0011,感谢支持，期待再次光临,2026-06-04 03:18:54,template
RVR0000224,RV00003307,S0007,已联系您协助处理,2025-10-23 20:09:19,manual
RVR0000225,RV00003110,S0011,感谢支持，期待再次光临,2026-09-15 01:30:51,manual
RVR0000226,RV00005048,S0008,已联系您协助处理,2025-11-06 07:15:33,manual
RVR0000227,RV00005219,S0033,感谢反馈，我们会持续改进,2026-07-07 09:30:41,manual
RVR0000228,RV00004361,S0052,感谢反馈，我们会持续改进,2026-09-12 08:04:16,template
RVR0000229,RV00003075,S0052,感谢反馈，我们会持续改进,2025-10-13 12:53:47,manual
RVR0000230,RV00002165,S0006,已联系您协助处理,2026-01-05 03:15:25,manual
RVR0000231,RV00005707,S0053,已联系您协助处理,2026-07-04 18:45:45,template
RVR0000232,RV00001997,S0014,祝您生活愉快,2025-01-31 20:20:02,manual
RVR0000233,RV00001935,S0063,感谢支持，期待再次光临,2026-04-14 02:47:42,manual
RVR0000234,RV00002465,S0037,感谢支持，期待再次光临,2025-02-14 12:22:39,manual
RVR0000235,RV00004762,S0038,已联系您协助处理,2025-02-12 02:48:37,template
RVR0000236,RV00005504,S0063,祝您生活愉快,2025-02-26 12:15:19,template
RVR0000237,RV00000416,S0080,感谢反馈，我们会持续改进,2026-02-22 08:22:43,manual
RVR0000238,RV00003349,S0030,感谢支持，期待再次光临,2026-06-01 07:35:30,manual
RVR0000239,RV00001069,S0051,感谢支持，期待再次光临,2026-02-25 13:24:00,manual
RVR0000240,RV00004533,S0043,感谢反馈，我们会持续改进,2025-12-20 04:25:27,manual
RVR0000241,RV00004846,S0040,祝您生活愉快,2025-11-09 18:11:40,template
RVR0000242,RV00004307,S0070,已联系您协助处理,2026-07-06 17:36:45,manual
RVR0000243,RV00003265,S0004,已联系您协助处理,2026-04-06 07:23:34,manual
RVR0000244,RV00000439,S0012,已联系您协助处理,2026-06-25 14:18:11,template
RVR0000245,RV00003753,S0011,已联系您协助处理,2026-04-12 04:16:56,template
RVR0000246,RV00001891,S0045,祝您生活愉快,2026-01-29 15:56:22,template
RVR0000247,RV00001599,S0027,祝您生活愉快,2025-09-28 06:01:46,manual
RVR0000248,RV00002167,S0037,已联系您协助处理,2025-07-21 04:09:15,manual
RVR0000249,RV00000090,S0065,已联系您协助处理,2025-05-12 07:09:21,template
RVR0000250,RV00002217,S0074,感谢支持，期待再次光临,2025-03-10 21:28:23,manual
RVR0000251,RV00004660,S0068,感谢支持，期待再次光临,2026-07-01 20:27:10,manual
RVR0000252,RV00004855,S0008,感谢支持，期待再次光临,2025-02-16 18:54:15,manual
RVR0000253,RV00005774,S0053,已联系您协助处理,2025-07-27 19:07:17,manual
RVR0000254,RV00002924,S0079,感谢反馈，我们会持续改进,2025-11-30 01:13:11,manual
RVR0000255,RV00001708,S0046,感谢反馈，我们会持续改进,2025-06-27 04:55:17,manual
RVR0000256,RV00004914,S0070,感谢反馈，我们会持续改进,2026-01-27 16:55:38,manual
RVR0000257,RV00003589,S0035,已联系您协助处理,2026-02-27 11:07:35,manual
RVR0000258,RV00004862,S0007,已联系您协助处理,2026-02-20 21:59:21,manual
RVR0000259,RV00001752,S0008,感谢反馈，我们会持续改进,2026-05-29 13:38:26,manual
RVR0000260,RV00002615,S0028,祝您生活愉快,2026-03-05 20:37:59,manual
RVR0000261,RV00000294,S0048,已联系您协助处理,2025-09-20 03:32:05,manual
RVR0000262,RV00004243,S0008,感谢支持，期待再次光临,2025-09-13 01:10:47,manual
RVR0000263,RV00001983,S0076,感谢反馈，我们会持续改进,2026-02-16 05:39:56,template
RVR0000264,RV00005298,S0068,感谢反馈，我们会持续改进,2025-04-14 10:43:02,manual
RVR0000265,RV00003483,S0009,祝您生活愉快,2025-08-17 22:54:40,manual
RVR0000266,RV00004511,S0049,已联系您协助处理,2026-08-08 16:57:09,template
RVR0000267,RV00003009,S0029,已联系您协助处理,2025-02-20 01:18:35,manual
RVR0000268,RV00005655,S0041,已联系您协助处理,2025-12-27 03:18:25,manual
RVR0000269,RV00001386,S0055,已联系您协助处理,2026-02-28 15:29:38,template
RVR0000270,RV00005567,S0025,感谢反馈，我们会持续改进,2026-05-20 03:15:56,manual
RVR0000271,RV00001613,S0028,感谢反馈，我们会持续改进,2025-08-19 07:31:03,template
RVR0000272,RV00003585,S0055,祝您生活愉快,2026-03-03 04:32:28,manual
RVR0000273,RV00003592,S0062,感谢反馈，我们会持续改进,2025-11-26 23:00:43,template
RVR0000274,RV00002106,S0027,感谢反馈，我们会持续改进,2025-03-22 18:36:35,manual
RVR0000275,RV00005939,S0052,祝您生活愉快,2026-02-22 19:53:36,template
RVR0000276,RV00000450,S0027,感谢支持，期待再次光临,2026-08-09 07:29:51,template
RVR0000277,RV00000423,S0029,感谢反馈，我们会持续改进,2026-07-26 11:51:36,manual
RVR0000278,RV00001908,S0079,感谢支持，期待再次光临,2025-08-15 15:14:10,manual
RVR0000279,RV00001002,S0065,已联系您协助处理,2026-08-06 03:47:37,manual
RVR0000280,RV00000790,S0039,感谢支持，期待再次光临,2025-09-14 12:07:27,template
RVR0000281,RV00005744,S0068,感谢支持，期待再次光临,2025-11-03 16:05:54,manual
RVR0000282,RV00003971,S0072,感谢支持，期待再次光临,2025-03-07 02:38:36,manual
RVR0000283,RV00002418,S0059,感谢反馈，我们会持续改进,2026-07-05 20:49:49,template
RVR0000284,RV00005026,S0049,祝您生活愉快,2026-06-19 02:43:13,manual
RVR0000285,RV00000071,S0075,感谢支持，期待再次光临,2025-03-06 10:05:44,manual
RVR0000286,RV00003395,S0006,已联系您协助处理,2026-08-07 04:35:49,manual
RVR0000287,RV00002999,S0080,祝您生活愉快,2025-07-21 14:36:04,manual
RVR0000288,RV00001305,S0024,感谢支持，期待再次光临,2025-05-01 09:57:58,manual
RVR0000289,RV00000904,S0002,感谢反馈，我们会持续改进,2025-06-06 02:32:32,template
RVR0000290,RV00005795,S0078,已联系您协助处理,2025-01-23 19:27:01,manual
RVR0000291,RV00005919,S0040,感谢反馈，我们会持续改进,2025-02-25 17:28:29,manual
RVR0000292,RV00004321,S0011,已联系您协助处理,2026-01-25 08:39:51,template
RVR0000293,RV00005389,S0040,感谢反馈，我们会持续改进,2026-07-10 18:31:11,manual
RVR0000294,RV00001136,S0015,已联系您协助处理,2025-09-24 02:57:39,template
RVR0000295,RV00000789,S0071,祝您生活愉快,2025-05-12 15:06:59,template
RVR0000296,RV00005640,S0001,祝您生活愉快,2026-07-14 16:41:37,manual
RVR0000297,RV00000447,S0035,已联系您协助处理,2026-05-22 16:27:12,template
RVR0000298,RV00001446,S0017,感谢反馈，我们会持续改进,2025-08-30 15:26:39,manual
RVR0000299,RV00005479,S0068,感谢支持，期待再次光临,2025-02-06 12:31:06,manual
RVR0000300,RV00002562,S0038,感谢反馈，我们会持续改进,2025-03-04 16:16:40,manual
RVR0000301,RV00001118,S0062,已联系您协助处理,2026-02-27 05:30:20,template
RVR0000302,RV00000978,S0032,祝您生活愉快,2026-06-24 22:36:38,manual
RVR0000303,RV00001219,S0056,感谢反馈，我们会持续改进,2025-09-16 01:41:06,template
RVR0000304,RV00002931,S0065,感谢反馈，我们会持续改进,2025-04-28 16:59:09,manual
RVR0000305,RV00001150,S0004,祝您生活愉快,2025-02-19 13:16:03,manual
RVR0000306,RV00004109,S0039,感谢反馈，我们会持续改进,2025-07-20 02:50:00,manual
RVR0000307,RV00005477,S0002,感谢支持，期待再次光临,2025-10-24 03:10:04,manual
RVR0000308,RV00000359,S0025,感谢反馈，我们会持续改进,2025-12-21 02:29:03,manual
RVR0000309,RV00005739,S0073,感谢支持，期待再次光临,2025-09-02 09:03:30,manual
RVR0000310,RV00002843,S0051,已联系您协助处理,2025-06-19 04:00:13,manual
RVR0000311,RV00001591,S0045,感谢支持，期待再次光临,2025-09-28 04:54:10,manual
RVR0000312,RV00002848,S0052,已联系您协助处理,2026-08-29 12:34:10,template
RVR0000313,RV00004775,S0017,感谢反馈，我们会持续改进,2025-07-04 03:15:49,template
RVR0000314,RV00005677,S0025,祝您生活愉快,2026-02-13 00:57:44,manual
