refund_item_id,refund_id,order_item_id,sku_id,refund_quantity,refund_amount,refund_type
RFI00000058,RF0000050,OI000008514,SKU0001539,1,122.71,return_and_refund
RFI00000059,RF0000051,OI000015688,SKU0001253,1,1036.58,return_and_refund
RFI00000060,RF0000052,OI000015556,SKU0000308,2,1002.7,return_and_refund
RFI00000061,RF0000052,OI000015557,SKU0002227,1,2860.01,refund_only
RFI00000062,RF0000053,OI000011272,SKU0001067,3,326.45,return_and_refund
RFI00000063,RF0000054,OI000011479,SKU0002179,1,2548.69,refund_only
RFI00000064,RF0000055,OI000007983,SKU0001671,2,4905.37,refund_only
RFI00000065,RF0000055,OI000007982,SKU0001991,1,2846.42,return_and_refund
RFI00000066,RF0000056,OI000006801,SKU0001951,1,1991.01,return_and_refund
RFI00000067,RF0000057,OI000003302,SKU0001914,1,2222.53,refund_only
RFI00000068,RF0000058,OI000007379,SKU0000986,1,1415.19,refund_only
RFI00000069,RF0000059,OI000003735,SKU0000604,2,4352.82,return_and_refund
RFI00000070,RF0000060,OI000006995,SKU0001112,1,2889.8,return_and_refund
RFI00000071,RF0000061,OI000009657,SKU0001475,1,867.47,return_and_refund
RFI00000072,RF0000062,OI000020428,SKU0002420,2,3013.69,refund_only
RFI00000073,RF0000063,OI000003512,SKU0000783,1,1781.31,return_and_refund
RFI00000074,RF0000063,OI000003511,SKU0000783,1,1741.77,refund_only
RFI00000075,RF0000064,OI000000360,SKU0002232,1,1532.78,return_and_refund
RFI00000076,RF0000065,OI000019215,SKU0000639,1,116.87,refund_only
RFI00000077,RF0000065,OI000019216,SKU0002720,4,4602.94,return_and_refund
RFI00000078,RF0000066,OI000008581,SKU0001670,1,975.05,return_and_refund
RFI00000079,RF0000067,OI000007722,SKU0001972,1,942.43,return_and_refund
RFI00000080,RF0000068,OI000013546,SKU0002846,1,1411.53,return_and_refund
RFI00000081,RF0000068,OI000013545,SKU0001886,1,1060.06,return_and_refund
RFI00000082,RF0000069,OI000017516,SKU0002867,1,1863.86,return_and_refund
RFI00000083,RF0000070,OI000018101,SKU0001046,2,143.5,return_and_refund
RFI00000084,RF0000071,OI000017718,SKU0001628,3,3941.96,refund_only
RFI00000085,RF0000072,OI000000088,SKU0001411,1,207.97,refund_only
RFI00000086,RF0000073,OI000002138,SKU0001596,1,111.06,return_and_refund
RFI00000087,RF0000074,OI000009772,SKU0000415,1,926.02,return_and_refund
RFI00000088,RF0000074,OI000009770,SKU0002656,3,4212.3,return_and_refund
RFI00000089,RF0000075,OI000012041,SKU0000759,1,1175.71,refund_only
RFI00000090,RF0000076,OI000006435,SKU0000647,1,1437.53,return_and_refund
RFI00000091,RF0000077,OI000012596,SKU0000076,1,2603.23,return_and_refund
RFI00000092,RF0000078,OI000017703,SKU0001146,2,193.24,return_and_refund
RFI00000093,RF0000078,OI000017704,SKU0002746,1,2306.93,return_and_refund
RFI00000094,RF0000079,OI000006885,SKU0001296,2,3911.32,refund_only
RFI00000095,RF0000080,OI000003821,SKU0002590,3,7519.37,return_and_refund
RFI00000096,RF0000081,OI000019076,SKU0001755,1,2221.02,refund_only
RFI00000097,RF0000082,OI000003181,SKU0000247,1,823.54,refund_only
RFI00000098,RF0000083,OI000011934,SKU0001684,1,2182.24,return_and_refund
RFI00000099,RF0000084,OI000014014,SKU0000986,1,1412.54,return_and_refund
RFI00000100,RF0000084,OI000014015,SKU0000345,2,5254.29,refund_only
RFI00000101,RF0000085,OI000017711,SKU0001354,2,3492.5,return_and_refund
RFI00000102,RF0000086,OI000010103,SKU0002892,1,2827.11,return_and_refund
RFI00000103,RF0000087,OI000000181,SKU0001032,1,1004.05,return_and_refund
RFI00000104,RF0000088,OI000009453,SKU0002460,4,1538.88,return_and_refund
RFI00000105,RF0000089,OI000014977,SKU0002466,1,81.88,return_and_refund
RFI00000106,RF0000090,OI000013384,SKU0002210,1,2211.23,return_and_refund
RFI00000107,RF0000091,OI000004690,SKU0002118,3,1375.58,refund_only
RFI00000108,RF0000092,OI000019956,SKU0001951,1,2278.61,return_and_refund
RFI00000109,RF0000093,OI000019739,SKU0001122,1,2135.73,return_and_refund
RFI00000110,RF0000094,OI000004128,SKU0001617,1,717.83,refund_only
RFI00000111,RF0000094,OI000004127,SKU0000818,1,2285.15,return_and_refund
RFI00000112,RF0000095,OI000009024,SKU0001119,1,2151.69,return_and_refund
RFI00000113,RF0000096,OI000019120,SKU0002275,1,186.92,refund_only
RFI00000114,RF0000096,OI000019119,SKU0000195,1,516.95,return_and_refund
RFI00000115,RF0000097,OI000011376,SKU0002945,2,1292.63,return_and_refund
RFI00000116,RF0000097,OI000011377,SKU0000066,1,330.04,return_and_refund
RFI00000117,RF0000098,OI000017461,SKU0002225,1,1446.66,refund_only
RFI00000118,RF0000099,OI000010765,SKU0002187,2,4003.72,return_and_refund
RFI00000119,RF0000100,OI000004376,SKU0000734,1,2266.28,return_and_refund
RFI00000120,RF0000101,OI000000077,SKU0002918,2,1735.88,return_and_refund
RFI00000121,RF0000102,OI000018011,SKU0002274,1,570.9,return_and_refund
RFI00000122,RF0000103,OI000017267,SKU0000264,2,1582.88,refund_only
RFI00000123,RF0000104,OI000004662,SKU0000017,3,6728.0,return_and_refund
RFI00000124,RF0000104,OI000004663,SKU0000977,1,1541.73,return_and_refund
RFI00000125,RF0000105,OI000008841,SKU0001897,1,176.27,return_and_refund
RFI00000126,RF0000106,OI000016754,SKU0002692,1,1196.26,refund_only
RFI00000127,RF0000107,OI000019621,SKU0002664,1,87.85,return_and_refund
RFI00000128,RF0000108,OI000002409,SKU0001890,1,701.64,return_and_refund
RFI00000129,RF0000109,OI000011619,SKU0001572,1,2465.71,return_and_refund
RFI00000130,RF0000109,OI000011620,SKU0000292,1,997.14,return_and_refund
RFI00000131,RF0000110,OI000016008,SKU0000441,1,254.33,return_and_refund
RFI00000132,RF0000110,OI000016010,SKU0000762,1,2844.56,return_and_refund
RFI00000133,RF0000111,OI000016437,SKU0002783,1,2002.53,refund_only
RFI00000134,RF0000112,OI000008414,SKU0000288,1,2780.41,return_and_refund
RFI00000135,RF0000112,OI000008415,SKU0001568,1,1509.61,refund_only
RFI00000136,RF0000113,OI000006747,SKU0002576,1,1857.7,return_and_refund
RFI00000137,RF0000114,OI000000559,SKU0001102,1,1852.19,return_and_refund
RFI00000138,RF0000115,OI000000520,SKU0000244,1,1474.81,return_and_refund
RFI00000139,RF0000116,OI000019812,SKU0001758,1,692.77,return_and_refund
RFI00000140,RF0000117,OI000015719,SKU0000528,2,1071.86,return_and_refund
RFI00000141,RF0000118,OI000003401,SKU0002396,1,2416.09,refund_only
RFI00000142,RF0000119,OI000011130,SKU0002936,1,1466.39,return_and_refund
RFI00000143,RF0000120,OI000008203,SKU0001076,2,2753.66,return_and_refund
RFI00000144,RF0000121,OI000008018,SKU0000381,1,122.71,return_and_refund
RFI00000145,RF0000122,OI000004242,SKU0002611,2,2796.34,return_and_refund
RFI00000146,RF0000123,OI000009560,SKU0002072,1,864.6,return_and_refund
RFI00000147,RF0000123,OI000009559,SKU0000151,1,1981.57,return_and_refund
RFI00000148,RF0000124,OI000018565,SKU0000546,1,2691.07,refund_only
RFI00000149,RF0000125,OI000018071,SKU0002208,1,772.31,return_and_refund
RFI00000150,RF0000126,OI000015383,SKU0001398,1,805.4,refund_only
RFI00000151,RF0000127,OI000000646,SKU0000410,1,1589.55,return_and_refund
RFI00000152,RF0000128,OI000017235,SKU0000680,1,1283.34,return_and_refund
RFI00000153,RF0000128,OI000017233,SKU0001799,2,2142.38,return_and_refund
RFI00000154,RF0000129,OI000006734,SKU0002023,1,575.29,refund_only
RFI00000155,RF0000130,OI000003301,SKU0001524,1,1101.45,return_and_refund
RFI00000156,RF0000131,OI000005494,SKU0002468,1,1350.0,return_and_refund
RFI00000157,RF0000132,OI000015850,SKU0001974,1,2082.36,return_and_refund
RFI00000158,RF0000132,OI000015851,SKU0000854,1,1271.11,return_and_refund
RFI00000159,RF0000133,OI000003415,SKU0002828,1,730.47,refund_only
RFI00000160,RF0000134,OI000020221,SKU0000951,1,2108.5,return_and_refund
RFI00000161,RF0000135,OI000003706,SKU0000342,1,1522.87,return_and_refund
RFI00000162,RF0000136,OI000001486,SKU0000723,1,1828.3,return_and_refund
RFI00000163,RF0000137,OI000011097,SKU0000354,1,1918.34,return_and_refund
RFI00000164,RF0000138,OI000017598,SKU0002626,2,1657.08,return_and_refund
RFI00000165,RF0000139,OI000015465,SKU0001551,3,5855.59,return_and_refund
RFI00000166,RF0000139,OI000015464,SKU0002191,1,2803.54,return_and_refund
RFI00000167,RF0000140,OI000005007,SKU0002326,1,2090.79,refund_only
RFI00000168,RF0000141,OI000010417,SKU0000699,2,4282.83,return_and_refund
RFI00000169,RF0000142,OI000017328,SKU0002781,3,7035.97,return_and_refund
RFI00000170,RF0000143,OI000012334,SKU0001107,1,2972.68,return_and_refund
RFI00000171,RF0000143,OI000012335,SKU0001907,1,373.39,return_and_refund
RFI00000172,RF0000144,OI000010203,SKU0000402,1,2158.54,return_and_refund
RFI00000173,RF0000145,OI000003882,SKU0000591,1,2597.81,return_and_refund
RFI00000174,RF0000146,OI000000257,SKU0000122,1,2633.67,return_and_refund
RFI00000175,RF0000147,OI000014429,SKU0000061,2,5140.28,refund_only
RFI00000176,RF0000147,OI000014428,SKU0001981,1,2342.46,return_and_refund
RFI00000177,RF0000148,OI000012155,SKU0002614,2,2234.51,return_and_refund
RFI00000178,RF0000149,OI000012758,SKU0000251,1,913.59,return_and_refund
RFI00000179,RF0000150,OI000006910,SKU0002214,1,848.63,return_and_refund
RFI00000180,RF0000151,OI000000042,SKU0001965,1,1996.33,return_and_refund
RFI00000181,RF0000152,OI000010714,SKU0002430,1,963.89,return_and_refund
RFI00000182,RF0000152,OI000010715,SKU0000030,1,1293.42,return_and_refund
RFI00000183,RF0000153,OI000004129,SKU0002345,1,2320.63,refund_only
RFI00000184,RF0000154,OI000019023,SKU0002005,1,976.39,refund_only
RFI00000185,RF0000155,OI000009387,SKU0002840,1,2229.2,return_and_refund
RFI00000186,RF0000155,OI000009388,SKU0002999,1,1462.05,return_and_refund
RFI00000187,RF0000156,OI000000835,SKU0001859,1,182.51,return_and_refund
RFI00000188,RF0000157,OI000009598,SKU0000392,1,811.99,refund_only
RFI00000189,RF0000157,OI000009595,SKU0001032,1,1020.3,refund_only
RFI00000190,RF0000158,OI000016110,SKU0001660,1,1813.71,return_and_refund
RFI00000191,RF0000159,OI000017696,SKU0002486,1,1097.59,return_and_refund
RFI00000192,RF0000160,OI000006401,SKU0000616,1,2987.52,return_and_refund
RFI00000193,RF0000161,OI000019756,SKU0001813,1,106.85,refund_only
RFI00000194,RF0000162,OI000018604,SKU0002765,1,2277.38,return_and_refund
RFI00000195,RF0000163,OI000006678,SKU0001700,1,1079.54,return_and_refund
RFI00000196,RF0000164,OI000001541,SKU0002768,1,684.98,refund_only
RFI00000197,RF0000165,OI000004309,SKU0000515,1,1824.02,refund_only
RFI00000198,RF0000166,OI000006429,SKU0000321,2,3386.7,return_and_refund
RFI00000199,RF0000167,OI000006954,SKU0000953,2,189.46,return_and_refund
RFI00000200,RF0000168,OI000007084,SKU0002276,3,576.3,return_and_refund
RFI00000201,RF0000169,OI000004935,SKU0000441,1,277.14,refund_only
RFI00000202,RF0000170,OI000017559,SKU0002327,1,985.45,refund_only
RFI00000203,RF0000170,OI000017560,SKU0000888,1,440.84,refund_only
RFI00000204,RF0000171,OI000007783,SKU0002742,1,1335.05,return_and_refund
RFI00000205,RF0000172,OI000015742,SKU0000446,2,4097.94,return_and_refund
RFI00000206,RF0000173,OI000016724,SKU0000030,1,1220.56,return_and_refund
RFI00000207,RF0000174,OI000018543,SKU0000573,1,2310.53,return_and_refund
RFI00000208,RF0000175,OI000004313,SKU0000467,4,9485.62,return_and_refund
RFI00000209,RF0000176,OI000011364,SKU0000002,1,954.76,return_and_refund
RFI00000210,RF0000177,OI000005199,SKU0002367,2,3055.01,return_and_refund
RFI00000211,RF0000177,OI000005200,SKU0001727,1,676.02,return_and_refund
RFI00000212,RF0000178,OI000019186,SKU0000940,1,2235.17,return_and_refund
RFI00000213,RF0000179,OI000016413,SKU0001707,1,978.82,return_and_refund
RFI00000214,RF0000180,OI000004153,SKU0001546,1,1439.77,return_and_refund
RFI00000215,RF0000181,OI000017403,SKU0002561,1,2250.59,return_and_refund
RFI00000216,RF0000181,OI000017404,SKU0002881,2,1668.65,return_and_refund
RFI00000217,RF0000182,OI000013334,SKU0000412,2,3105.02,return_and_refund
RFI00000218,RF0000183,OI000003614,SKU0001774,1,1869.87,refund_only
RFI00000219,RF0000184,OI000016088,SKU0001425,1,679.24,return_and_refund
RFI00000220,RF0000185,OI000013434,SKU0000395,1,980.12,return_and_refund
RFI00000221,RF0000185,OI000013431,SKU0000556,1,1281.2,return_and_refund
RFI00000222,RF0000186,OI000006983,SKU0000702,1,2143.77,return_and_refund
RFI00000223,RF0000187,OI000020215,SKU0000510,2,5907.49,refund_only
RFI00000224,RF0000188,OI000016221,SKU0001134,1,841.09,return_and_refund
RFI00000225,RF0000189,OI000002090,SKU0002437,1,935.18,return_and_refund
RFI00000226,RF0000190,OI000005435,SKU0002881,1,786.82,refund_only
RFI00000227,RF0000190,OI000005436,SKU0002401,1,2381.21,refund_only
RFI00000228,RF0000191,OI000010284,SKU0001668,1,539.94,return_and_refund
RFI00000229,RF0000192,OI000004730,SKU0002482,1,1147.07,return_and_refund
RFI00000230,RF0000193,OI000014700,SKU0000670,1,2697.77,return_and_refund
RFI00000231,RF0000194,OI000014154,SKU0002894,1,318.19,return_and_refund
RFI00000232,RF0000195,OI000013000,SKU0001989,1,154.69,return_and_refund
RFI00000233,RF0000195,OI000013002,SKU0000710,2,1584.88,return_and_refund
RFI00000234,RF0000196,OI000016732,SKU0001739,1,3049.28,return_and_refund
RFI00000235,RF0000197,OI000015571,SKU0001233,1,2008.01,return_and_refund
RFI00000236,RF0000198,OI000013850,SKU0000448,1,1628.61,return_and_refund
RFI00000237,RF0000199,OI000014178,SKU0001165,1,2878.55,refund_only
RFI00000238,RF0000200,OI000016499,SKU0001575,3,4703.07,return_and_refund
RFI00000239,RF0000200,OI000016498,SKU0000455,1,502.56,return_and_refund
RFI00000240,RF0000201,OI000003219,SKU0001568,1,1324.58,return_and_refund
RFI00000241,RF0000202,OI000010401,SKU0000355,1,2514.13,refund_only
RFI00000242,RF0000202,OI000010402,SKU0001955,1,1059.84,return_and_refund
RFI00000243,RF0000203,OI000019693,SKU0001050,1,2422.56,refund_only
RFI00000244,RF0000203,OI000019695,SKU0001530,3,697.22,refund_only
RFI00000245,RF0000204,OI000013638,SKU0000463,3,2435.19,return_and_refund
RFI00000246,RF0000205,OI000003337,SKU0002171,1,1848.02,return_and_refund
RFI00000247,RF0000205,OI000003336,SKU0000252,1,814.55,refund_only
RFI00000248,RF0000206,OI000017224,SKU0001579,1,1009.27,return_and_refund
RFI00000249,RF0000207,OI000002481,SKU0002815,4,7740.08,return_and_refund
RFI00000250,RF0000207,OI000002482,SKU0002816,1,2153.99,return_and_refund
RFI00000251,RF0000208,OI000002039,SKU0000688,1,1437.41,return_and_refund
RFI00000252,RF0000209,OI000017988,SKU0000600,1,2223.7,return_and_refund
RFI00000253,RF0000209,OI000017987,SKU0000279,1,1926.48,refund_only
RFI00000254,RF0000210,OI000012124,SKU0001953,1,1879.21,return_and_refund
RFI00000255,RF0000211,OI000013758,SKU0002672,1,2267.64,return_and_refund
RFI00000256,RF0000212,OI000011644,SKU0001046,1,71.5,return_and_refund
RFI00000257,RF0000213,OI000007005,SKU0001999,1,912.45,return_and_refund
RFI00000258,RF0000214,OI000010235,SKU0000872,1,1078.15,return_and_refund
RFI00000259,RF0000215,OI000009661,SKU0001054,1,1123.38,return_and_refund
RFI00000260,RF0000215,OI000009660,SKU0001694,1,3362.54,refund_only
RFI00000261,RF0000216,OI000014305,SKU0000583,1,2169.66,return_and_refund
RFI00000262,RF0000217,OI000012508,SKU0001447,1,433.44,refund_only
RFI00000263,RF0000217,OI000012507,SKU0002727,2,1077.05,return_and_refund
RFI00000264,RF0000218,OI000018514,SKU0001489,1,2361.18,return_and_refund
RFI00000265,RF0000219,OI000000839,SKU0000368,1,2643.39,return_and_refund
RFI00000266,RF0000220,OI000012812,SKU0001902,2,1295.08,return_and_refund
RFI00000267,RF0000221,OI000017274,SKU0000986,1,1284.25,return_and_refund
RFI00000268,RF0000221,OI000017273,SKU0000665,1,2463.75,return_and_refund
RFI00000269,RF0000222,OI000006636,SKU0000394,1,1384.9,refund_only
RFI00000270,RF0000222,OI000006637,SKU0002953,1,1189.64,refund_only
RFI00000271,RF0000223,OI000002367,SKU0001210,3,6741.67,return_and_refund
RFI00000272,RF0000224,OI000016313,SKU0000988,1,1254.81,return_and_refund
RFI00000273,RF0000224,OI000016314,SKU0002587,1,61.88,return_and_refund
RFI00000274,RF0000225,OI000003470,SKU0001103,1,1153.78,return_and_refund
RFI00000275,RF0000225,OI000003471,SKU0001584,1,136.85,refund_only
RFI00000276,RF0000226,OI000012034,SKU0000561,1,2174.24,refund_only
RFI00000277,RF0000227,OI000003580,SKU0002753,1,1763.44,return_and_refund
RFI00000278,RF0000228,OI000007592,SKU0001435,1,2291.34,return_and_refund
RFI00000279,RF0000229,OI000003799,SKU0002958,2,3341.79,return_and_refund
RFI00000280,RF0000230,OI000005295,SKU0000285,3,2822.46,return_and_refund
RFI00000281,RF0000230,OI000005294,SKU0002686,1,22.47,return_and_refund
RFI00000282,RF0000231,OI000016181,SKU0001464,1,2384.29,return_and_refund
RFI00000283,RF0000232,OI000017946,SKU0000083,1,146.47,refund_only
RFI00000284,RF0000232,OI000017945,SKU0002163,3,5014.83,return_and_refund
RFI00000285,RF0000233,OI000004516,SKU0002824,1,2988.68,return_and_refund
RFI00000286,RF0000234,OI000017610,SKU0000366,1,2124.34,refund_only
RFI00000287,RF0000235,OI000010794,SKU0002369,1,1268.64,refund_only
RFI00000288,RF0000236,OI000008952,SKU0002359,1,1625.96,return_and_refund
RFI00000289,RF0000237,OI000011521,SKU0001602,1,273.79,return_and_refund
RFI00000290,RF0000237,OI000011519,SKU0001281,1,1932.86,return_and_refund
RFI00000291,RF0000238,OI000001793,SKU0000062,1,2504.96,return_and_refund
RFI00000292,RF0000239,OI000010217,SKU0002191,1,2697.52,return_and_refund
RFI00000293,RF0000240,OI000008398,SKU0002792,1,29.88,return_and_refund
RFI00000294,RF0000240,OI000008399,SKU0001352,2,1232.36,return_and_refund
RFI00000295,RF0000241,OI000003008,SKU0000263,1,752.01,return_and_refund
RFI00000296,RF0000242,OI000018526,SKU0002233,1,781.92,return_and_refund
RFI00000297,RF0000243,OI000002997,SKU0002496,1,2687.44,return_and_refund
RFI00000298,RF0000244,OI000000996,SKU0001609,1,1479.06,return_and_refund
RFI00000299,RF0000245,OI000013557,SKU0001976,1,449.4,refund_only
RFI00000300,RF0000246,OI000000920,SKU0001805,1,2463.77,return_and_refund
RFI00000301,RF0000247,OI000003521,SKU0001249,2,1640.41,return_and_refund
RFI00000302,RF0000248,OI000002050,SKU0000281,2,788.28,refund_only
RFI00000303,RF0000248,OI000002051,SKU0001081,1,2580.16,return_and_refund
RFI00000304,RF0000249,OI000009891,SKU0002763,2,3182.46,return_and_refund
RFI00000305,RF0000249,OI000009890,SKU0001804,1,1881.6,return_and_refund
RFI00000306,RF0000250,OI000009641,SKU0002612,1,1164.31,return_and_refund
RFI00000307,RF0000251,OI000001963,SKU0001184,1,2404.36,return_and_refund
RFI00000308,RF0000252,OI000008898,SKU0000275,1,1971.58,refund_only
RFI00000309,RF0000253,OI000005847,SKU0000567,1,1888.67,return_and_refund
RFI00000310,RF0000254,OI000002773,SKU0000908,2,3562.94,return_and_refund
RFI00000311,RF0000255,OI000016260,SKU0001805,1,2754.59,return_and_refund
RFI00000312,RF0000255,OI000016259,SKU0000046,1,2963.92,return_and_refund
RFI00000313,RF0000256,OI000013792,SKU0002490,1,1805.72,return_and_refund
RFI00000314,RF0000257,OI000012219,SKU0002881,2,1567.72,return_and_refund
RFI00000315,RF0000257,OI000012220,SKU0002082,4,2443.66,return_and_refund
RFI00000316,RF0000258,OI000019886,SKU0000494,1,601.0,return_and_refund
RFI00000317,RF0000259,OI000001647,SKU0001091,1,2403.38,refund_only
RFI00000318,RF0000259,OI000001646,SKU0002692,1,1099.97,refund_only
RFI00000319,RF0000260,OI000015999,SKU0002007,1,2516.62,return_and_refund
RFI00000320,RF0000261,OI000014109,SKU0001948,1,2198.06,return_and_refund
RFI00000321,RF0000261,OI000014107,SKU0002587,1,70.88,refund_only
RFI00000322,RF0000262,OI000003420,SKU0000279,1,1939.17,refund_only
RFI00000323,RF0000262,OI000003419,SKU0000599,1,1970.42,return_and_refund
RFI00000324,RF0000263,OI000007487,SKU0002332,1,1157.61,return_and_refund
RFI00000325,RF0000263,OI000007486,SKU0000251,1,930.91,refund_only
RFI00000326,RF0000264,OI000006272,SKU0002673,1,1431.6,return_and_refund
RFI00000327,RF0000265,OI000005059,SKU0001538,1,200.03,refund_only
RFI00000328,RF0000265,OI000005058,SKU0001537,1,238.34,refund_only
RFI00000329,RF0000266,OI000017249,SKU0000807,1,756.08,return_and_refund
RFI00000330,RF0000267,OI000001356,SKU0002555,1,176.6,return_and_refund
RFI00000331,RF0000268,OI000000274,SKU0000740,1,682.65,return_and_refund
RFI00000332,RF0000269,OI000000230,SKU0000598,2,4100.77,return_and_refund
RFI00000333,RF0000269,OI000000229,SKU0002517,1,272.03,return_and_refund
RFI00000334,RF0000270,OI000017153,SKU0000797,1,814.45,return_and_refund
RFI00000335,RF0000270,OI000017154,SKU0001277,1,2709.07,return_and_refund
RFI00000336,RF0000271,OI000014188,SKU0000864,1,432.93,refund_only
RFI00000337,RF0000271,OI000014187,SKU0000383,2,2194.41,return_and_refund
RFI00000338,RF0000272,OI000003770,SKU0002285,1,3203.01,return_and_refund
RFI00000339,RF0000273,OI000011148,SKU0002178,1,811.82,return_and_refund
RFI00000340,RF0000274,OI000019786,SKU0001959,1,1094.92,return_and_refund
RFI00000341,RF0000275,OI000008094,SKU0001563,2,3589.04,return_and_refund
RFI00000342,RF0000276,OI000002020,SKU0001724,2,2653.17,return_and_refund
RFI00000343,RF0000277,OI000005226,SKU0002211,3,6514.48,return_and_refund
RFI00000344,RF0000278,OI000014447,SKU0000549,1,211.5,refund_only
RFI00000345,RF0000278,OI000014446,SKU0000549,1,199.55,return_and_refund
RFI00000346,RF0000279,OI000007771,SKU0001244,1,503.36,return_and_refund
RFI00000347,RF0000279,OI000007772,SKU0000123,1,2696.34,return_and_refund
RFI00000348,RF0000280,OI000020017,SKU0002487,1,878.69,refund_only
RFI00000349,RF0000281,OI000000958,SKU0001282,1,1858.59,refund_only
RFI00000350,RF0000282,OI000019494,SKU0000822,1,1519.05,return_and_refund
RFI00000351,RF0000283,OI000006319,SKU0002031,2,3757.06,return_and_refund
RFI00000352,RF0000284,OI000001996,SKU0002130,1,821.52,return_and_refund
RFI00000353,RF0000285,OI000020049,SKU0001862,1,2869.2,return_and_refund
RFI00000354,RF0000286,OI000006778,SKU0001870,1,1770.26,return_and_refund
RFI00000355,RF0000287,OI000008709,SKU0001951,1,2153.26,refund_only
