ad_campaign_id,ad_campaign_name,store_id,channel_id,billing_mode,budget,start_date,end_date,status
AD00072,乐购009店投放072,S0009,CH02,cpm,46475.36,2025-09-26,2025-11-01,finished
AD00073,星选067店投放073,S0067,CH08,cpc,52323.29,2025-04-18,2025-05-29,finished
AD00074,乐购059店投放074,S0059,CH10,cpm,64069.26,2025-06-18,2025-06-30,finished
AD00075,悦享070店投放075,S0070,CH04,cpc,141225.86,2026-04-06,2026-06-18,finished
AD00076,乐购020店投放076,S0020,CH03,cpc,41386.1,2025-02-27,2025-04-20,finished
AD00077,新尚021店投放077,S0021,CH06,cpc,176360.98,2025-06-29,2025-09-25,finished
AD00078,臻品025店投放078,S0025,CH10,ocpc,146613.68,2025-01-14,2025-03-04,finished
AD00079,星选008店投放079,S0008,CH02,ocpc,80475.84,2025-12-12,2026-03-08,finished
AD00080,优品006店投放080,S0006,CH07,ocpc,157822.39,2025-08-06,2025-09-01,finished
AD00081,臻品018店投放081,S0018,CH07,cpc,99366.33,2025-05-06,2025-07-17,finished
AD00082,新尚050店投放082,S0050,CH05,cpc,172208.12,2026-07-17,2026-08-11,finished
AD00083,乐购020店投放083,S0020,CH10,ocpc,156037.78,2025-12-26,2026-01-11,finished
AD00084,悦享045店投放084,S0045,CH06,cpc,27387.05,2025-08-30,2025-09-30,finished
AD00085,悦享053店投放085,S0053,CH08,ocpc,42893.17,2026-07-30,2026-08-22,active
AD00086,悦享070店投放086,S0070,CH03,cpm,35387.02,2025-10-13,2025-12-15,finished
AD00087,臻品025店投放087,S0025,CH05,cpc,6094.21,2025-01-31,2025-02-15,finished
AD00088,星选003店投放088,S0003,CH05,ocpc,177346.11,2025-04-11,2025-05-11,finished
AD00089,新尚080店投放089,S0080,CH07,ocpc,179249.0,2025-01-21,2025-03-24,finished
AD00090,新尚017店投放090,S0017,CH06,cpc,88303.63,2026-08-13,2026-08-22,active
AD00091,星选008店投放091,S0008,CH02,ocpc,117873.09,2025-04-04,2025-06-16,finished
AD00092,悦享070店投放092,S0070,CH05,cpc,37520.81,2025-02-04,2025-04-08,finished
AD00093,星选004店投放093,S0004,CH06,cpm,88487.53,2026-08-13,2026-08-22,active
AD00094,星选034店投放094,S0034,CH03,cpc,25183.64,2025-09-08,2025-10-18,finished
AD00095,星选051店投放095,S0051,CH05,cpc,37081.11,2025-01-16,2025-04-03,finished
AD00096,优品005店投放096,S0005,CH06,cpc,48397.31,2026-07-12,2026-08-22,active
AD00097,优品037店投放097,S0037,CH09,cpm,55273.79,2025-04-06,2025-06-12,finished
AD00098,星选071店投放098,S0071,CH10,ocpc,45389.21,2025-04-26,2025-07-18,finished
AD00099,悦享028店投放099,S0028,CH10,ocpc,158349.13,2026-02-19,2026-04-25,finished
AD00100,臻品040店投放100,S0040,CH05,cpc,58914.6,2025-08-14,2025-09-04,finished
