point_transaction_id,user_id,change_type,point_delta,occurred_at,reference_no
PT00000226,U003772,order_reward,455,2025-01-07 23:21:35,MOCK0008972
PT00000227,U001720,redeem,-174,2026-05-10 17:55:16,MOCK0001775
PT00000228,U001968,campaign_reward,169,2025-03-20 17:23:07,MOCK0007931
PT00000229,U001451,campaign_reward,198,2025-09-20 14:02:50,MOCK0005884
PT00000230,U004670,redeem,-288,2025-01-10 05:48:41,MOCK0001233
PT00000231,U002853,order_reward,513,2025-06-05 20:54:22,MOCK0003834
PT00000232,U001151,redeem,-260,2025-03-14 20:01:59,MOCK0000320
PT00000233,U001446,order_reward,656,2025-05-16 14:34:44,MOCK0008871
PT00000234,U004490,order_reward,413,2025-09-12 10:35:43,MOCK0011935
PT00000235,U001047,campaign_reward,767,2026-05-22 18:17:07,MOCK0002701
PT00000236,U002763,campaign_reward,520,2026-04-18 08:47:26,MOCK0007734
PT00000237,U000588,redeem,-266,2026-02-04 20:29:28,MOCK0000756
PT00000238,U003486,campaign_reward,317,2025-01-14 01:10:10,MOCK0002691
PT00000239,U003152,order_reward,197,2026-08-19 03:04:18,MOCK0001970
PT00000240,U002906,redeem,-670,2026-01-09 12:33:51,MOCK0009728
PT00000241,U000023,redeem,-425,2025-06-26 15:25:48,MOCK0007398
PT00000242,U004069,redeem,-283,2025-06-04 05:55:14,MOCK0000238
PT00000243,U001337,expire,-397,2025-10-10 16:40:04,MOCK0010935
PT00000244,U002027,expire,-775,2025-12-14 21:09:50,MOCK0009859
PT00000245,U001248,order_reward,143,2025-01-05 07:32:05,MOCK0000359
PT00000246,U004041,campaign_reward,689,2025-04-06 21:37:37,MOCK0006328
PT00000247,U000588,expire,-65,2025-05-12 13:52:09,MOCK0011546
PT00000248,U004667,order_reward,498,2026-05-11 08:12:40,MOCK0009683
PT00000249,U002383,campaign_reward,37,2025-06-03 00:07:29,MOCK0005726
PT00000250,U004855,order_reward,796,2026-03-20 21:46:19,MOCK0011163
PT00000251,U001482,order_reward,82,2026-03-10 07:24:14,MOCK0010233
PT00000252,U003758,order_reward,622,2026-03-19 10:06:03,MOCK0005026
PT00000253,U001960,campaign_reward,328,2026-02-01 23:45:39,MOCK0004568
PT00000254,U002467,redeem,-39,2025-10-09 01:52:09,MOCK0005150
PT00000255,U002801,order_reward,623,2025-10-19 12:58:17,MOCK0009023
PT00000256,U002937,order_reward,332,2025-07-26 03:09:24,MOCK0009354
PT00000257,U000031,order_reward,279,2026-02-01 08:34:54,MOCK0005305
PT00000258,U003866,order_reward,503,2025-11-10 03:19:45,MOCK0006084
PT00000259,U003639,order_reward,721,2025-02-04 06:39:15,MOCK0002938
PT00000260,U002135,redeem,-54,2025-03-17 02:02:27,MOCK0002700
PT00000261,U004829,order_reward,579,2025-09-16 20:18:22,MOCK0008109
PT00000262,U003133,refund_deduct,-197,2026-01-19 14:11:38,MOCK0007760
PT00000263,U003080,order_reward,536,2026-03-23 10:14:50,MOCK0007977
PT00000264,U004613,expire,-508,2025-07-16 19:41:21,MOCK0001594
PT00000265,U001626,refund_deduct,-796,2026-08-12 19:59:01,MOCK0001982
PT00000266,U001189,order_reward,694,2026-08-15 14:36:54,MOCK0011375
PT00000267,U000703,order_reward,154,2025-06-04 12:23:04,MOCK0002977
PT00000268,U003930,order_reward,137,2026-07-16 05:47:08,MOCK0010455
PT00000269,U004500,order_reward,429,2026-03-25 07:55:27,MOCK0000651
PT00000270,U001795,refund_deduct,-620,2026-06-14 19:21:34,MOCK0011556
PT00000271,U003171,order_reward,693,2025-06-21 05:07:16,MOCK0006628
PT00000272,U000867,redeem,-513,2026-04-16 02:53:55,MOCK0009351
PT00000273,U002338,campaign_reward,584,2026-05-17 09:29:14,MOCK0000849
PT00000274,U001519,redeem,-728,2026-06-10 18:40:25,MOCK0005434
PT00000275,U003087,redeem,-261,2026-08-10 00:00:31,MOCK0005501
PT00000276,U002769,order_reward,488,2025-04-12 03:12:29,MOCK0011349
PT00000277,U002280,redeem,-665,2025-09-21 18:54:04,MOCK0003823
PT00000278,U002052,order_reward,156,2025-11-09 10:24:16,MOCK0006598
PT00000279,U003048,order_reward,369,2025-07-25 18:57:12,MOCK0008371
PT00000280,U001421,redeem,-742,2025-10-25 14:02:49,MOCK0001001
PT00000281,U004199,order_reward,695,2025-02-20 18:19:42,MOCK0008439
PT00000282,U003860,order_reward,487,2026-08-06 17:36:07,MOCK0000883
PT00000283,U003272,order_reward,339,2025-09-11 17:30:17,MOCK0000371
PT00000284,U001509,campaign_reward,20,2026-01-24 21:24:13,MOCK0009836
PT00000285,U001117,refund_deduct,-43,2025-07-06 05:48:15,MOCK0009277
PT00000286,U003575,refund_deduct,-750,2025-03-09 15:20:33,MOCK0011891
PT00000287,U002320,redeem,-153,2025-04-30 06:04:17,MOCK0008699
PT00000288,U004610,expire,-551,2025-03-13 15:27:11,MOCK0010567
PT00000289,U003208,order_reward,468,2025-01-30 00:29:35,MOCK0000286
PT00000290,U003811,campaign_reward,401,2025-03-01 03:35:41,MOCK0006070
PT00000291,U002714,refund_deduct,-265,2026-06-28 01:35:17,MOCK0009199
PT00000292,U004488,order_reward,53,2025-03-30 07:09:35,MOCK0008999
PT00000293,U004214,redeem,-332,2025-08-30 22:40:51,MOCK0004638
PT00000294,U004581,campaign_reward,183,2026-03-13 11:34:32,MOCK0004030
PT00000295,U000184,order_reward,548,2025-08-05 02:10:51,MOCK0003820
PT00000296,U004915,redeem,-393,2025-10-18 19:03:52,MOCK0001437
PT00000297,U004221,redeem,-797,2025-09-19 18:31:36,MOCK0009447
PT00000298,U004735,order_reward,31,2025-07-01 03:36:19,MOCK0008834
PT00000299,U004824,refund_deduct,-46,2025-09-24 23:05:36,MOCK0002692
PT00000300,U004850,order_reward,563,2026-02-19 18:58:38,MOCK0008160
PT00000301,U003634,order_reward,430,2025-01-09 11:42:23,MOCK0007688
PT00000302,U003111,expire,-694,2026-04-07 08:53:53,MOCK0002934
PT00000303,U002991,order_reward,186,2026-01-08 15:18:11,MOCK0006639
PT00000304,U004369,campaign_reward,117,2025-01-29 00:34:41,MOCK0005312
PT00000305,U003130,order_reward,35,2026-06-11 17:04:11,MOCK0006035
PT00000306,U001675,redeem,-186,2025-06-03 03:00:17,MOCK0004341
PT00000307,U000385,campaign_reward,495,2025-08-13 21:08:19,MOCK0009896
PT00000308,U003639,redeem,-483,2026-02-16 22:37:25,MOCK0001239
PT00000309,U001631,order_reward,758,2025-08-25 01:44:55,MOCK0003533
PT00000310,U002810,campaign_reward,136,2026-06-20 04:29:19,MOCK0006171
PT00000311,U002443,expire,-662,2026-02-03 23:02:10,MOCK0010578
PT00000312,U000182,order_reward,180,2025-09-29 19:41:20,MOCK0005894
PT00000313,U002255,order_reward,491,2025-11-24 04:05:27,MOCK0008886
PT00000314,U001798,order_reward,132,2025-04-16 07:33:06,MOCK0000186
PT00000315,U003990,order_reward,689,2026-02-12 16:40:46,MOCK0011465
PT00000316,U004422,refund_deduct,-702,2025-01-06 17:39:20,MOCK0002228
PT00000317,U001424,expire,-46,2025-02-18 22:16:31,MOCK0008059
PT00000318,U002445,order_reward,560,2025-07-15 21:03:04,MOCK0008469
PT00000319,U001717,order_reward,496,2026-03-16 10:44:27,MOCK0011089
PT00000320,U002422,campaign_reward,358,2025-02-24 19:43:39,MOCK0001013
PT00000321,U002309,order_reward,13,2025-10-09 10:19:12,MOCK0004732
PT00000322,U004498,order_reward,461,2025-12-07 14:54:19,MOCK0007712
PT00000323,U003617,redeem,-590,2025-01-26 11:17:19,MOCK0007067
PT00000324,U003079,redeem,-16,2026-01-26 16:47:29,MOCK0011159
PT00000325,U001615,refund_deduct,-260,2026-03-08 06:13:54,MOCK0007615
PT00000326,U004068,order_reward,439,2026-02-21 18:17:41,MOCK0010898
PT00000327,U003958,order_reward,457,2025-08-12 07:32:43,MOCK0001424
PT00000328,U002352,expire,-755,2025-06-25 16:36:43,MOCK0009914
PT00000329,U004924,order_reward,775,2025-09-25 21:48:25,MOCK0008268
PT00000330,U001547,order_reward,524,2025-09-15 08:24:14,MOCK0008499
PT00000331,U003627,redeem,-93,2026-05-15 02:02:37,MOCK0002124
PT00000332,U004078,order_reward,79,2025-10-22 14:51:38,MOCK0000261
PT00000333,U001415,order_reward,707,2026-02-08 22:48:59,MOCK0009221
PT00000334,U002839,expire,-640,2025-03-28 10:45:36,MOCK0006721
PT00000335,U000437,campaign_reward,314,2025-10-03 09:49:35,MOCK0005697
PT00000336,U000633,order_reward,714,2025-03-30 16:49:15,MOCK0000841
PT00000337,U000866,order_reward,152,2025-08-01 10:55:01,MOCK0006241
PT00000338,U001919,redeem,-329,2026-05-28 04:20:40,MOCK0003258
PT00000339,U002122,order_reward,378,2026-07-31 03:40:25,MOCK0000400
PT00000340,U000899,order_reward,800,2025-02-09 20:54:31,MOCK0006792
PT00000341,U003913,order_reward,694,2026-08-12 18:15:47,MOCK0004952
PT00000342,U003096,order_reward,174,2025-09-25 18:40:19,MOCK0005000
PT00000343,U002999,order_reward,288,2025-05-10 19:23:05,MOCK0009467
PT00000344,U004670,expire,-786,2025-03-26 14:19:12,MOCK0011981
PT00000345,U002864,expire,-605,2026-08-07 23:25:46,MOCK0005998
PT00000346,U002885,order_reward,369,2025-07-25 14:04:19,MOCK0009991
PT00000347,U004281,refund_deduct,-204,2025-09-14 21:33:07,MOCK0005037
PT00000348,U002978,campaign_reward,269,2026-06-04 07:56:40,MOCK0000344
PT00000349,U001412,order_reward,60,2025-04-23 21:16:57,MOCK0000654
PT00000350,U002346,refund_deduct,-437,2025-02-21 13:23:15,MOCK0011749
PT00000351,U003502,campaign_reward,628,2025-06-27 07:41:20,MOCK0006046
PT00000352,U002986,campaign_reward,434,2025-12-15 13:56:56,MOCK0003585
PT00000353,U001773,campaign_reward,322,2026-02-14 22:59:02,MOCK0002278
PT00000354,U004104,order_reward,560,2025-08-30 16:39:03,MOCK0009425
PT00000355,U003214,order_reward,380,2025-06-22 10:45:22,MOCK0003025
PT00000356,U000515,order_reward,514,2025-05-02 06:10:48,MOCK0007947
PT00000357,U002346,redeem,-668,2026-01-11 22:44:00,MOCK0005611
PT00000358,U004436,order_reward,708,2026-05-11 10:25:55,MOCK0011523
PT00000359,U003749,refund_deduct,-79,2026-02-12 12:01:44,MOCK0000028
PT00000360,U001323,expire,-327,2025-02-24 23:01:31,MOCK0005314
