order_item_id,order_id,product_id,sku_id,quantity,unit_price,discount_amount,paid_amount,cost_amount
OI000000051,O00000030,P000345,SKU0000690,1,2999.69,122.51,2877.18,1877.35
OI000000052,O00000030,P000025,SKU0000049,2,1145.31,71.13,2219.49,1290.48
OI000000053,O00000031,P000876,SKU0001752,1,3177.55,562.39,2615.16,2008.3
OI000000054,O00000032,P001046,SKU0002091,3,3124.29,250.3,9122.57,5324.91
OI000000055,O00000032,P000486,SKU0000972,1,952.89,104.95,847.94,510.72
OI000000056,O00000033,P000817,SKU0001633,2,3191.19,1067.75,5314.63,4173.6
OI000000057,O00000034,P001313,SKU0002626,1,863.7,10.15,853.55,485.56
OI000000058,O00000035,P001493,SKU0002986,2,815.46,86.32,1544.6,1079.94
OI000000059,O00000036,P000750,SKU0001499,1,3059.74,129.5,2930.24,1692.56
OI000000060,O00000036,P000990,SKU0001980,1,528.69,73.4,455.29,391.86
OI000000061,O00000036,P000750,SKU0001500,2,2921.51,445.87,5397.15,2969.36
OI000000062,O00000037,P000301,SKU0000601,1,798.3,140.04,658.26,426.76
OI000000063,O00000037,P001021,SKU0002042,1,1161.36,9.06,1152.3,685.66
OI000000064,O00000038,P000646,SKU0001292,1,144.64,18.53,126.11,87.59
OI000000065,O00000039,P000060,SKU0000119,1,2922.62,480.47,2442.15,1555.06
OI000000066,O00000039,P001180,SKU0002360,1,1638.67,248.1,1390.57,1233.51
OI000000067,O00000039,P000700,SKU0001399,1,3641.91,466.76,3175.15,1957.89
OI000000068,O00000040,P000576,SKU0001152,3,707.97,324.7,1799.21,1514.97
OI000000069,O00000041,P000977,SKU0001954,1,1564.46,134.76,1429.7,1167.7
OI000000070,O00000041,P001457,SKU0002914,2,827.5,53.86,1601.14,1146.94
OI000000071,O00000041,P001377,SKU0002754,2,2075.3,456.66,3693.94,2649.04
OI000000072,O00000042,P000528,SKU0001056,1,1533.82,78.09,1455.73,1157.02
OI000000073,O00000042,P001168,SKU0002335,2,77.04,18.08,136.0,90.6
OI000000074,O00000043,P000615,SKU0001229,1,2138.3,240.83,1897.47,1577.7
OI000000075,O00000044,P000992,SKU0001984,1,2301.5,54.16,2247.34,1383.14
OI000000076,O00000044,P001072,SKU0002144,1,412.2,16.27,395.93,231.73
OI000000077,O00000045,P001459,SKU0002918,2,922.88,109.88,1735.88,1162.28
OI000000078,O00000046,P000733,SKU0001466,2,46.1,14.55,77.65,53.2
OI000000079,O00000047,P000113,SKU0000225,1,1959.03,267.43,1691.6,1080.55
OI000000080,O00000048,P000621,SKU0001242,1,1628.09,289.86,1338.23,1264.21
OI000000081,O00000049,P000096,SKU0000191,1,925.68,23.12,902.56,697.21
OI000000082,O00000049,P000896,SKU0001791,4,1488.32,182.26,5771.02,3889.8
OI000000083,O00000050,P000785,SKU0001569,2,1512.38,180.68,2844.08,1692.54
OI000000084,O00000050,P000625,SKU0001249,1,864.37,22.76,841.61,589.73
OI000000085,O00000051,P001045,SKU0002090,1,1028.66,107.55,921.11,735.03
OI000000086,O00000051,P000965,SKU0001929,2,1354.34,146.51,2562.17,1574.76
OI000000087,O00000052,P000449,SKU0000897,1,1483.59,13.93,1469.66,1113.23
OI000000088,O00000053,P000706,SKU0001411,1,238.02,30.05,207.97,187.62
OI000000089,O00000054,P000264,SKU0000527,1,690.88,112.88,578.0,390.69
OI000000090,O00000054,P000664,SKU0001327,1,509.53,74.63,434.9,302.63
OI000000091,O00000055,P000990,SKU0001980,1,524.74,92.7,432.04,391.86
OI000000092,O00000056,P001256,SKU0002512,1,1591.79,274.37,1317.42,1096.81
OI000000093,O00000057,P001257,SKU0002513,1,1759.56,302.08,1457.48,1361.35
OI000000094,O00000058,P000269,SKU0000538,1,1881.1,224.71,1656.39,1061.93
OI000000095,O00000059,P000821,SKU0001642,1,2681.48,135.71,2545.77,1962.36
OI000000096,O00000060,P001385,SKU0002770,1,3186.83,330.79,2856.04,2269.99
OI000000097,O00000060,P000265,SKU0000530,1,2770.21,488.61,2281.6,1512.57
OI000000098,O00000060,P000985,SKU0001970,1,1688.78,249.75,1439.03,978.35
OI000000099,O00000060,P000825,SKU0001649,3,2632.96,950.61,6948.27,5952.33
OI000000100,O00000061,P001366,SKU0002732,2,167.12,4.47,329.77,198.34
OI000000101,O00000062,P001061,SKU0002122,1,1905.21,1.13,1904.08,1193.56
OI000000102,O00000062,P000341,SKU0000681,1,406.53,43.43,363.1,255.28
OI000000103,O00000063,P000130,SKU0000259,1,1902.44,58.64,1843.8,1382.61
OI000000104,O00000064,P001066,SKU0002131,1,306.53,10.93,295.6,173.85
OI000000105,O00000065,P000853,SKU0001705,1,2473.56,435.16,2038.4,1575.41
OI000000106,O00000065,P000933,SKU0001866,1,732.41,114.57,617.84,521.08
OI000000107,O00000065,P001173,SKU0002345,1,2536.49,164.61,2371.88,1999.7
OI000000108,O00000065,P000133,SKU0000266,1,2173.46,235.47,1937.99,1270.72
OI000000109,O00000066,P001456,SKU0002911,2,2036.28,565.27,3507.29,2866.28
OI000000110,O00000066,P000016,SKU0000032,2,1420.76,510.09,2331.43,1581.72
OI000000111,O00000067,P000101,SKU0000201,2,2832.76,409.66,5255.86,3203.64
OI000000112,O00000067,P000261,SKU0000522,1,414.52,23.08,391.44,240.73
OI000000113,O00000068,P000328,SKU0000656,1,1875.51,119.87,1755.64,1232.68
OI000000114,O00000068,P000248,SKU0000495,1,2486.31,91.71,2394.6,1634.22
OI000000115,O00000069,P001390,SKU0002779,1,3191.45,480.34,2711.11,2042.96
OI000000116,O00000069,P001070,SKU0002140,1,2164.17,313.79,1850.38,1446.4
OI000000117,O00000070,P000481,SKU0000962,1,170.55,5.92,164.63,134.11
OI000000118,O00000071,P000334,SKU0000667,1,541.96,34.2,507.76,292.26
OI000000119,O00000071,P000894,SKU0001787,1,2613.2,259.85,2353.35,1848.55
OI000000120,O00000072,P000735,SKU0001469,1,87.9,6.3,81.6,46.39
OI000000121,O00000072,P000415,SKU0000829,1,2529.75,119.17,2410.58,1318.49
OI000000122,O00000072,P000815,SKU0001630,1,2797.88,312.24,2485.64,2051.92
OI000000123,O00000072,P000975,SKU0001949,2,281.05,41.46,520.64,327.44
OI000000124,O00000073,P001370,SKU0002739,1,1964.52,73.57,1890.95,1023.09
OI000000125,O00000073,P001450,SKU0002900,1,1204.58,40.18,1164.4,755.25
OI000000126,O00000074,P000371,SKU0000741,1,1414.97,132.1,1282.87,1157.53
OI000000127,O00000074,P000771,SKU0001541,2,176.03,33.1,318.96,211.0
OI000000128,O00000075,P001293,SKU0002586,1,2649.99,122.88,2527.11,1708.25
OI000000129,O00000076,P000663,SKU0001325,2,44.42,1.08,87.76,51.24
OI000000130,O00000077,P000595,SKU0001189,1,962.27,90.01,872.26,580.12
OI000000131,O00000078,P000098,SKU0000195,1,550.03,75.45,474.58,410.76
OI000000132,O00000078,P001298,SKU0002595,1,2524.57,197.59,2326.98,1724.43
OI000000133,O00000079,P000147,SKU0000294,1,1969.53,101.45,1868.08,1591.78
OI000000134,O00000080,P001446,SKU0002892,1,3093.39,5.89,3087.5,2291.78
OI000000135,O00000080,P000726,SKU0001451,3,1124.23,598.91,2773.78,2206.29
OI000000136,O00000081,P000500,SKU0000999,3,2413.34,624.0,6616.02,3695.04
OI000000137,O00000081,P001380,SKU0002760,3,2471.19,1089.66,6323.91,3989.22
OI000000138,O00000081,P000660,SKU0001319,1,347.67,22.32,325.35,221.02
OI000000139,O00000081,P001060,SKU0002119,2,2182.61,317.98,4047.24,2782.36
OI000000140,O00000082,P000082,SKU0000164,3,2712.53,80.61,8056.98,4646.79
OI000000141,O00000083,P001435,SKU0002870,2,2301.81,433.9,4169.72,2731.86
OI000000142,O00000084,P000673,SKU0001345,1,2728.52,199.41,2529.11,1391.22
OI000000143,O00000084,P000033,SKU0000066,1,387.28,59.31,327.97,302.02
OI000000144,O00000084,P000273,SKU0000545,1,2851.52,502.53,2348.99,1700.11
OI000000145,O00000084,P000513,SKU0001025,1,2097.05,336.1,1760.95,1333.46
OI000000146,O00000085,P000783,SKU0001565,1,2660.62,59.71,2600.91,1646.91
OI000000147,O00000085,P000703,SKU0001405,2,3321.97,808.79,5835.15,4774.22
OI000000148,O00000086,P001431,SKU0002861,1,2502.78,168.76,2334.02,1910.99
OI000000149,O00000086,P000871,SKU0001742,3,2491.16,420.41,7053.07,5832.12
OI000000150,O00000086,P000631,SKU0001261,1,855.34,76.69,778.65,465.05
OI000000151,O00000087,P000738,SKU0001475,1,963.58,93.6,869.98,752.63
OI000000152,O00000088,P000531,SKU0001061,1,1287.49,100.46,1187.03,899.3
OI000000153,O00000088,P000451,SKU0000901,4,2825.26,306.95,10994.09,7432.2
OI000000154,O00000088,P001411,SKU0002821,1,888.99,133.41,755.58,693.47
OI000000155,O00000089,P001497,SKU0002993,1,3333.1,306.58,3026.52,2558.4
OI000000156,O00000090,P000743,SKU0001486,1,2027.33,36.71,1990.62,1508.74
OI000000157,O00000090,P001463,SKU0002926,1,1193.14,192.22,1000.92,629.09
OI000000158,O00000091,P000063,SKU0000125,2,899.02,170.34,1627.7,1396.5
OI000000159,O00000091,P000063,SKU0000125,4,948.65,271.37,3523.23,2793.0
OI000000160,O00000091,P000783,SKU0001565,1,2662.35,165.83,2496.52,1646.91
OI000000161,O00000092,P001123,SKU0002245,1,2978.75,121.15,2857.6,2042.15
OI000000162,O00000093,P000326,SKU0000651,1,1949.47,219.28,1730.19,1335.65
OI000000163,O00000094,P000901,SKU0001801,1,407.73,31.14,376.59,271.97
OI000000164,O00000095,P000619,SKU0001237,2,510.67,165.76,855.58,648.46
OI000000165,O00000096,P000262,SKU0000524,1,493.84,18.86,474.98,323.86
OI000000166,O00000096,P000502,SKU0001004,1,1854.36,294.5,1559.86,1374.7
OI000000167,O00000097,P000917,SKU0001833,2,404.24,125.2,683.28,584.8
OI000000168,O00000098,P000804,SKU0001608,4,2682.94,514.16,10217.6,7881.8
OI000000169,O00000099,P001148,SKU0002295,1,781.8,34.26,747.54,560.24
OI000000170,O00000099,P000668,SKU0001335,1,2352.85,402.59,1950.26,1373.99
OI000000171,O00000100,P000967,SKU0001933,2,1169.44,401.61,1937.27,1292.4
OI000000172,O00000100,P000007,SKU0000014,3,290.05,63.38,806.77,424.83
OI000000173,O00000100,P000327,SKU0000654,1,1564.78,173.52,1391.26,1193.1
OI000000174,O00000100,P001287,SKU0002573,1,206.99,3.39,203.6,106.37
OI000000175,O00000101,P000717,SKU0001434,2,2237.28,630.36,3844.2,2979.6
OI000000176,O00000101,P000877,SKU0001754,1,2817.56,348.54,2469.02,1981.01
OI000000177,O00000102,P000675,SKU0001350,1,2788.98,364.48,2424.5,2015.73
OI000000178,O00000102,P001395,SKU0002790,1,2940.38,155.35,2785.03,1670.74
OI000000179,O00000102,P000515,SKU0001030,1,2597.78,420.04,2177.74,1431.42
OI000000180,O00000103,P000516,SKU0001031,1,1101.32,37.1,1064.22,657.09
OI000000181,O00000103,P000516,SKU0001032,1,1023.1,19.05,1004.05,625.03
OI000000182,O00000103,P001396,SKU0002792,1,35.45,4.61,30.84,27.6
OI000000183,O00000104,P001299,SKU0002597,1,2531.34,282.18,2249.16,2037.14
OI000000184,O00000105,P000128,SKU0000255,1,1021.85,66.39,955.46,809.49
OI000000185,O00000105,P000288,SKU0000575,1,1907.95,82.23,1825.72,1140.41
OI000000186,O00000106,P000671,SKU0001341,2,2180.48,490.43,3870.53,2679.54
OI000000187,O00000107,P000183,SKU0000365,1,2839.12,67.02,2772.1,1576.48
OI000000188,O00000107,P000503,SKU0001005,1,2192.05,292.43,1899.62,1689.99
OI000000189,O00000107,P001303,SKU0002605,1,2512.78,438.99,2073.79,1858.84
OI000000190,O00000108,P000059,SKU0000118,1,1335.02,114.48,1220.54,882.73
OI000000191,O00000109,P000737,SKU0001473,1,2693.8,286.0,2407.8,1376.03
OI000000192,O00000109,P000497,SKU0000994,2,1312.53,290.97,2334.09,1858.48
OI000000193,O00000109,P000097,SKU0000194,1,621.61,23.04,598.57,457.02
OI000000194,O00000110,P000267,SKU0000534,1,2770.34,352.35,2417.99,2033.75
OI000000195,O00000111,P000436,SKU0000872,1,1120.8,191.48,929.32,750.36
OI000000196,O00000112,P001365,SKU0002730,1,1788.61,176.64,1611.97,1118.91
OI000000197,O00000113,P000948,SKU0001895,2,2337.58,467.77,4207.39,3347.92
OI000000198,O00000114,P000053,SKU0000105,2,2460.84,445.21,4476.47,3150.72
OI000000199,O00000114,P000453,SKU0000905,1,467.31,36.9,430.41,364.8
OI000000200,O00000114,P000853,SKU0001705,1,2471.4,425.26,2046.14,1575.41
OI000000201,O00000114,P000613,SKU0001225,1,1173.84,113.3,1060.54,820.14
OI000000202,O00000115,P000894,SKU0001787,1,2435.66,287.02,2148.64,1848.55
OI000000203,O00000115,P000574,SKU0001147,1,3285.33,111.65,3173.68,2370.9
OI000000204,O00000116,P001188,SKU0002376,2,776.98,52.95,1501.01,1017.2
OI000000205,O00000116,P000308,SKU0000616,1,2819.03,421.1,2397.93,2216.21
OI000000206,O00000116,P000148,SKU0000295,1,1441.21,71.33,1369.88,1063.48
OI000000207,O00000116,P001428,SKU0002856,1,1222.62,114.68,1107.94,820.55
OI000000208,O00000117,P000451,SKU0000901,1,2840.73,95.4,2745.33,1858.05
OI000000209,O00000117,P000371,SKU0000741,2,1494.43,193.24,2795.62,2315.06
OI000000210,O00000118,P000476,SKU0000951,1,2588.53,464.74,2123.79,1845.41
OI000000211,O00000118,P000876,SKU0001752,1,3132.69,296.34,2836.35,2008.3
OI000000212,O00000119,P001418,SKU0002835,1,935.67,11.7,923.97,591.34
OI000000213,O00000120,P000542,SKU0001083,1,116.59,15.42,101.17,77.41
OI000000214,O00000120,P000462,SKU0000924,1,464.31,45.01,419.3,311.42
OI000000215,O00000120,P000702,SKU0001403,1,1608.04,244.04,1364.0,1141.33
OI000000216,O00000121,P000541,SKU0001081,1,2902.41,340.65,2561.76,2080.57
OI000000217,O00000122,P000357,SKU0000714,1,2521.97,387.24,2134.73,1994.5
OI000000218,O00000122,P001317,SKU0002634,1,873.82,6.99,866.83,555.62
OI000000219,O00000123,P000715,SKU0001430,1,1452.71,128.53,1324.18,948.49
OI000000220,O00000123,P000795,SKU0001590,1,415.25,74.62,340.63,276.4
OI000000221,O00000124,P001268,SKU0002535,1,3195.79,259.2,2936.59,1705.72
OI000000222,O00000124,P000148,SKU0000296,1,1450.08,150.19,1299.89,761.25
OI000000223,O00000124,P000228,SKU0000455,1,523.9,79.16,444.74,428.41
OI000000224,O00000125,P001216,SKU0002431,1,656.71,30.3,626.41,452.5
OI000000225,O00000126,P001438,SKU0002876,1,1228.47,56.01,1172.46,904.28
OI000000226,O00000127,P000561,SKU0001121,1,2486.12,96.19,2389.93,1856.77
OI000000227,O00000127,P000401,SKU0000801,1,2345.95,51.54,2294.41,1281.78
OI000000228,O00000128,P001379,SKU0002758,1,1600.03,73.05,1526.98,1026.99
OI000000229,O00000129,P001259,SKU0002517,1,305.74,33.71,272.03,243.55
OI000000230,O00000129,P000299,SKU0000598,2,2189.78,278.79,4100.77,3007.0
OI000000231,O00000130,P001232,SKU0002464,1,3451.28,168.99,3282.29,2500.22
OI000000232,O00000131,P000244,SKU0000487,2,2125.81,472.97,3778.65,3425.66
OI000000233,O00000131,P001364,SKU0002727,2,561.97,61.66,1062.28,568.74
OI000000234,O00000131,P000964,SKU0001928,1,2019.9,48.52,1971.38,1000.03
OI000000235,O00000131,P000324,SKU0000648,1,1605.75,165.03,1440.72,1017.15
OI000000236,O00000132,P001344,SKU0002687,1,2213.3,107.69,2105.61,1491.31
OI000000237,O00000133,P000663,SKU0001325,1,43.45,7.51,35.94,25.62
OI000000238,O00000134,P000559,SKU0001118,2,2007.25,341.12,3673.38,2725.02
OI000000239,O00000134,P000239,SKU0000478,1,2064.01,72.75,1991.26,1015.4
OI000000240,O00000135,P001498,SKU0002996,1,1087.16,133.2,953.96,708.63
OI000000241,O00000135,P000618,SKU0001235,1,696.67,103.11,593.56,377.51
OI000000242,O00000136,P000410,SKU0000819,2,2041.95,400.92,3682.98,2122.28
OI000000243,O00000136,P000890,SKU0001779,1,220.7,23.22,197.48,152.31
OI000000244,O00000137,P000646,SKU0001291,1,169.49,14.99,154.5,119.16
OI000000245,O00000138,P000329,SKU0000657,1,3443.16,426.3,3016.86,2410.52
OI000000246,O00000138,P001369,SKU0002737,1,338.77,55.02,283.75,225.36
OI000000247,O00000138,P000569,SKU0001138,2,717.69,54.7,1380.68,814.74
OI000000248,O00000138,P000249,SKU0000498,1,2838.64,335.59,2503.05,2247.62
OI000000249,O00000139,P001247,SKU0002494,1,1748.2,247.21,1500.99,1095.9
OI000000250,O00000139,P000447,SKU0000893,4,1121.76,592.95,3894.09,2579.44
OI000000251,O00000140,P000586,SKU0001172,1,571.82,88.81,483.01,306.67
OI000000252,O00000140,P001466,SKU0002932,1,864.9,65.69,799.21,438.92
OI000000253,O00000140,P000826,SKU0001651,1,503.75,13.67,490.08,336.39
OI000000254,O00000141,P001011,SKU0002022,1,1960.7,164.39,1796.31,955.73
OI000000255,O00000141,P000611,SKU0001222,1,20.77,1.18,19.59,10.94
OI000000256,O00000142,P000397,SKU0000794,2,2865.96,62.0,5669.92,2901.18
OI000000257,O00000143,P000061,SKU0000122,1,3040.88,407.21,2633.67,1673.98
OI000000258,O00000144,P001285,SKU0002569,1,666.33,58.74,607.59,418.69
OI000000259,O00000144,P000645,SKU0001290,1,1027.74,82.97,944.77,752.86
OI000000260,O00000144,P000085,SKU0000169,2,1971.93,256.55,3687.31,2157.96
OI000000261,O00000145,P001185,SKU0002370,1,1554.81,204.61,1350.2,835.82
OI000000262,O00000146,P000786,SKU0001571,2,2493.59,327.02,4660.16,3647.46
OI000000263,O00000146,P001266,SKU0002531,1,1364.23,11.85,1352.38,1057.69
OI000000264,O00000147,P000507,SKU0001014,1,1183.81,3.56,1180.25,752.06
OI000000265,O00000147,P000267,SKU0000533,3,2751.11,407.33,7846.0,4517.85
OI000000266,O00000148,P000466,SKU0000931,1,2956.98,382.46,2574.52,2340.33
OI000000267,O00000148,P000546,SKU0001092,1,2692.74,87.2,2605.54,1657.78
OI000000268,O00000149,P000630,SKU0001259,1,3169.17,405.65,2763.52,2020.04
OI000000269,O00000150,P000211,SKU0000422,1,1161.46,166.22,995.24,555.82
OI000000270,O00000151,P001481,SKU0002962,1,2762.62,266.9,2495.72,1766.1
OI000000271,O00000152,P001363,SKU0002726,1,562.99,31.45,531.54,394.53
OI000000272,O00000152,P000643,SKU0001286,1,3052.22,264.11,2788.11,2219.21
OI000000273,O00000152,P001363,SKU0002726,1,557.71,44.97,512.74,394.53
OI000000274,O00000153,P000370,SKU0000740,1,787.63,104.98,682.65,466.8
OI000000275,O00000154,P001083,SKU0002165,1,1074.72,48.1,1026.62,690.78
OI000000276,O00000155,P000756,SKU0001511,1,1222.63,117.59,1105.04,751.51
OI000000277,O00000155,P000196,SKU0000392,1,928.51,18.79,909.72,496.91
OI000000278,O00000156,P000272,SKU0000543,2,753.1,101.37,1404.83,1124.02
OI000000279,O00000157,P000318,SKU0000636,3,1139.33,502.34,2915.65,2116.05
OI000000280,O00000158,P000583,SKU0001165,1,2936.32,20.63,2915.69,1904.39
OI000000281,O00000159,P001414,SKU0002827,1,956.29,150.39,805.9,703.3
OI000000282,O00000159,P000694,SKU0001387,1,874.23,49.1,825.13,541.61
OI000000283,O00000159,P000854,SKU0001707,2,1111.69,22.21,2201.17,1713.96
OI000000284,O00000159,P001174,SKU0002347,1,2427.06,35.98,2391.08,1858.51
OI000000285,O00000160,P000642,SKU0001284,1,2316.6,46.65,2269.95,1821.63
OI000000286,O00000160,P000482,SKU0000963,3,322.63,42.92,924.97,624.45
OI000000287,O00000160,P001122,SKU0002243,1,2077.81,280.61,1797.2,1268.65
OI000000288,O00000160,P000082,SKU0000163,1,2628.28,369.78,2258.5,1339.9
OI000000289,O00000161,P000108,SKU0000215,2,2208.03,517.79,3898.27,2673.02
OI000000290,O00000162,P000966,SKU0001931,1,2397.71,364.45,2033.26,1901.57
OI000000291,O00000163,P000354,SKU0000708,1,1476.38,202.0,1274.38,952.76
OI000000292,O00000164,P000373,SKU0000746,1,1355.75,6.99,1348.76,912.3
OI000000293,O00000164,P001253,SKU0002505,1,2149.77,293.95,1855.82,1521.14
OI000000294,O00000164,P000133,SKU0000266,2,2148.26,444.39,3852.13,2541.44
OI000000295,O00000165,P000037,SKU0000073,1,49.62,3.2,46.42,35.67
OI000000296,O00000165,P000277,SKU0000553,1,2158.07,186.3,1971.77,1538.63
OI000000297,O00000166,P000338,SKU0000675,1,1483.42,21.27,1462.15,938.32
OI000000298,O00000167,P001073,SKU0002145,1,1193.84,10.84,1183.0,712.1
OI000000299,O00000167,P001313,SKU0002626,2,853.22,46.59,1659.85,971.12
OI000000300,O00000168,P000056,SKU0000111,2,1475.9,62.22,2889.58,1537.96
OI000000301,O00000169,P001095,SKU0002190,1,1015.18,122.76,892.42,665.14
OI000000302,O00000170,P000650,SKU0001300,2,2107.34,692.2,3522.48,2185.7
OI000000303,O00000170,P000170,SKU0000340,1,1020.18,81.7,938.48,639.81
OI000000304,O00000171,P000494,SKU0000987,2,1158.28,253.98,2062.58,1420.84
OI000000305,O00000171,P000254,SKU0000507,1,2543.17,162.89,2380.28,1728.28
OI000000306,O00000171,P000814,SKU0001628,1,1582.01,43.13,1538.88,1177.6
OI000000307,O00000171,P001374,SKU0002747,1,719.87,80.14,639.73,422.12
OI000000308,O00000172,P000533,SKU0001066,2,1666.91,453.21,2880.61,1770.28
OI000000309,O00000172,P001173,SKU0002346,1,2270.96,156.51,2114.45,1115.04
OI000000310,O00000173,P001165,SKU0002330,1,1231.29,67.9,1163.39,872.16
OI000000311,O00000173,P001085,SKU0002169,1,299.91,14.34,285.57,166.63
OI000000312,O00000174,P000826,SKU0001651,1,506.23,88.98,417.25,336.39
OI000000313,O00000174,P001066,SKU0002131,1,325.43,26.64,298.79,173.85
OI000000314,O00000175,P000601,SKU0001202,1,1574.12,175.81,1398.31,766.29
OI000000315,O00000176,P001413,SKU0002826,1,2579.1,188.0,2391.1,1536.14
OI000000316,O00000176,P001413,SKU0002826,2,2521.52,724.66,4318.38,3072.28
OI000000317,O00000176,P000133,SKU0000265,1,2461.74,380.49,2081.25,1474.85
OI000000318,O00000177,P000780,SKU0001559,1,2274.1,182.59,2091.51,1356.11
OI000000319,O00000178,P001275,SKU0002549,1,2504.32,51.15,2453.17,1882.96
OI000000320,O00000179,P001090,SKU0002180,1,2755.53,230.45,2525.08,2196.05
OI000000321,O00000179,P001490,SKU0002980,1,2675.71,93.81,2581.9,1381.03
OI000000322,O00000180,P000830,SKU0001660,1,1888.16,273.26,1614.9,1419.35
OI000000323,O00000181,P001319,SKU0002637,1,1859.35,275.89,1583.46,906.04
OI000000324,O00000182,P001181,SKU0002362,1,2849.81,381.81,2468.0,1841.01
OI000000325,O00000183,P001049,SKU0002097,1,1691.59,232.05,1459.54,1102.66
OI000000326,O00000183,P000249,SKU0000497,1,2769.08,492.97,2276.11,2136.65
OI000000327,O00000184,P000120,SKU0000239,1,1969.82,132.58,1837.24,1320.67
OI000000328,O00000184,P000680,SKU0001359,2,2235.83,547.03,3924.63,2392.4
OI000000329,O00000185,P000280,SKU0000560,2,835.75,236.26,1435.24,1272.3
OI000000330,O00000185,P001240,SKU0002480,1,2128.94,208.68,1920.26,1327.87
