receipt_id,coupon_id,user_id,received_at,receipt_status,source
CR00000099,CP00139,U001533,2025-11-24 10:05:00,used,member_center
CR00000100,CP00056,U002170,2026-06-07 19:45:40,expired,member_center
CR00000101,CP00174,U004322,2025-09-10 10:17:16,expired,push
CR00000102,CP00031,U000552,2026-05-19 12:36:00,expired,campaign
CR00000103,CP00128,U000076,2026-07-22 08:08:06,unused,campaign
CR00000104,CP00109,U002632,2026-04-28 01:27:53,used,campaign
CR00000105,CP00112,U000426,2025-12-07 23:44:05,expired,new_user
CR00000106,CP00148,U001419,2025-07-26 03:28:19,used,member_center
CR00000107,CP00108,U000570,2026-07-31 00:28:57,used,member_center
CR00000108,CP00031,U000812,2026-05-15 10:42:14,unused,new_user
CR00000109,CP00096,U002360,2025-09-26 21:13:35,unused,new_user
CR00000110,CP00114,U004132,2025-09-18 06:33:53,unused,member_center
CR00000111,CP00174,U000706,2025-09-07 20:20:44,expired,campaign
CR00000112,CP00147,U001626,2025-03-31 18:05:43,unused,campaign
CR00000113,CP00034,U003690,2026-05-23 10:51:13,unused,push
CR00000114,CP00126,U000901,2026-08-11 02:04:44,used,push
CR00000115,CP00065,U001592,2025-05-12 08:20:32,used,campaign
CR00000116,CP00084,U000243,2025-10-11 15:01:36,unused,member_center
CR00000117,CP00098,U000931,2025-07-01 08:39:16,unused,campaign
CR00000118,CP00152,U004403,2026-01-31 06:02:12,unused,member_center
CR00000119,CP00165,U001988,2026-06-03 08:15:37,expired,new_user
CR00000120,CP00040,U001475,2025-04-07 21:07:52,used,campaign
CR00000121,CP00092,U004489,2025-04-05 02:27:07,used,new_user
CR00000122,CP00114,U004982,2025-09-30 16:58:49,used,new_user
CR00000123,CP00084,U003259,2025-10-13 09:10:05,expired,new_user
CR00000124,CP00012,U004332,2025-07-31 20:43:59,used,campaign
CR00000125,CP00113,U004276,2025-12-15 01:01:50,unused,push
CR00000126,CP00031,U001537,2026-05-19 11:21:41,used,member_center
CR00000127,CP00077,U000635,2025-01-25 00:55:56,used,member_center
CR00000128,CP00039,U000808,2026-01-17 03:41:34,expired,new_user
CR00000129,CP00165,U001985,2026-05-31 00:28:17,expired,new_user
CR00000130,CP00148,U001339,2025-07-24 13:14:12,expired,new_user
CR00000131,CP00135,U000414,2025-11-24 04:46:26,expired,campaign
CR00000132,CP00012,U001268,2025-07-11 03:59:18,unused,campaign
CR00000133,CP00016,U002547,2025-12-25 07:16:16,used,campaign
CR00000134,CP00043,U000924,2025-03-19 23:23:21,expired,member_center
CR00000135,CP00145,U003462,2025-12-15 01:52:50,used,push
CR00000136,CP00013,U002076,2026-08-07 23:28:52,unused,campaign
CR00000137,CP00165,U002282,2026-05-29 04:35:26,used,new_user
CR00000138,CP00058,U001080,2026-07-18 05:32:55,expired,member_center
CR00000139,CP00077,U004892,2025-01-25 06:20:27,expired,member_center
CR00000140,CP00036,U002964,2026-08-10 17:09:10,expired,push
CR00000141,CP00006,U000063,2025-07-20 15:44:33,expired,new_user
CR00000142,CP00171,U002779,2025-11-14 23:48:17,unused,campaign
CR00000143,CP00049,U004009,2025-04-15 17:52:25,expired,member_center
CR00000144,CP00082,U002636,2026-04-04 00:42:40,used,new_user
CR00000145,CP00008,U003000,2025-06-13 16:58:01,used,member_center
CR00000146,CP00076,U004447,2025-03-01 14:58:06,unused,push
CR00000147,CP00010,U003577,2025-11-15 14:18:18,used,member_center
CR00000148,CP00100,U003668,2026-08-22 16:21:59,unused,push
CR00000149,CP00072,U001619,2025-05-15 16:02:41,used,campaign
CR00000150,CP00176,U001935,2025-05-06 20:05:37,used,campaign
CR00000151,CP00088,U002905,2026-07-10 00:54:03,unused,campaign
CR00000152,CP00014,U002362,2025-10-30 02:25:05,used,campaign
CR00000153,CP00026,U000881,2025-03-07 09:52:53,used,new_user
CR00000154,CP00053,U003724,2025-05-04 18:41:57,used,campaign
CR00000155,CP00013,U002576,2026-07-30 16:13:56,used,campaign
CR00000156,CP00171,U000075,2025-11-06 21:54:13,expired,campaign
CR00000157,CP00044,U002887,2025-08-22 23:29:02,used,campaign
CR00000158,CP00143,U002750,2025-03-08 15:26:51,used,campaign
CR00000159,CP00146,U002006,2025-12-19 10:59:41,unused,member_center
CR00000160,CP00096,U004820,2025-09-30 06:59:06,used,campaign
CR00000161,CP00133,U000643,2026-06-10 06:59:50,used,campaign
CR00000162,CP00175,U001446,2026-08-14 09:11:01,expired,campaign
CR00000163,CP00088,U000901,2026-06-20 09:16:32,expired,campaign
CR00000164,CP00167,U001153,2025-06-03 11:05:51,used,push
CR00000165,CP00071,U002746,2025-02-23 03:06:44,expired,member_center
CR00000166,CP00177,U002735,2025-07-02 22:30:00,unused,campaign
CR00000167,CP00159,U004239,2026-03-21 13:21:57,expired,new_user
CR00000168,CP00126,U002814,2026-08-08 17:03:25,expired,new_user
CR00000169,CP00120,U000675,2026-05-08 03:42:38,unused,campaign
CR00000170,CP00106,U002361,2025-02-06 13:52:25,used,campaign
CR00000171,CP00165,U002248,2026-06-02 18:54:57,used,push
CR00000172,CP00052,U004464,2026-03-26 07:32:39,unused,campaign
CR00000173,CP00133,U003884,2026-06-01 14:53:53,unused,member_center
CR00000174,CP00091,U001473,2026-07-01 03:12:00,expired,push
CR00000175,CP00125,U002359,2025-12-29 01:45:50,expired,campaign
CR00000176,CP00173,U001073,2025-07-07 01:46:52,used,push
CR00000177,CP00098,U002167,2025-07-03 22:38:11,expired,new_user
CR00000178,CP00048,U004750,2026-08-12 14:22:07,unused,campaign
CR00000179,CP00005,U003997,2025-10-21 02:06:22,unused,campaign
CR00000180,CP00108,U000850,2026-08-03 08:46:51,expired,campaign
CR00000181,CP00127,U000462,2025-04-21 00:27:42,unused,member_center
CR00000182,CP00119,U002620,2026-05-27 11:28:23,unused,campaign
CR00000183,CP00102,U002047,2025-02-21 18:59:46,used,campaign
CR00000184,CP00163,U003741,2026-06-11 21:57:53,expired,new_user
CR00000185,CP00147,U000592,2025-04-22 15:16:57,used,push
CR00000186,CP00101,U000737,2025-05-19 21:17:40,unused,campaign
CR00000187,CP00137,U001657,2026-08-05 03:11:06,unused,member_center
CR00000188,CP00055,U000086,2026-02-08 22:42:11,used,member_center
CR00000189,CP00006,U002208,2025-07-24 20:54:08,expired,campaign
CR00000190,CP00065,U004284,2025-04-22 12:12:23,expired,campaign
CR00000191,CP00159,U001858,2026-02-26 00:23:42,expired,member_center
CR00000192,CP00168,U001412,2026-02-02 10:06:29,expired,new_user
CR00000193,CP00180,U001931,2026-06-13 21:19:47,unused,campaign
CR00000194,CP00014,U000188,2025-10-28 03:21:00,unused,new_user
CR00000195,CP00002,U004072,2026-08-11 19:33:39,used,campaign
CR00000196,CP00063,U000555,2026-01-12 05:21:09,used,campaign
CR00000197,CP00119,U004309,2026-05-05 20:34:22,unused,push
CR00000198,CP00098,U002466,2025-07-05 08:10:47,used,campaign
CR00000199,CP00092,U001538,2025-03-28 08:14:45,expired,new_user
CR00000200,CP00115,U000192,2025-07-17 13:28:27,used,campaign
CR00000201,CP00132,U003356,2026-06-09 03:32:39,unused,new_user
CR00000202,CP00090,U000574,2025-04-28 07:26:10,expired,member_center
CR00000203,CP00143,U001926,2025-02-22 04:38:54,expired,member_center
CR00000204,CP00039,U001770,2026-02-04 08:53:34,expired,new_user
CR00000205,CP00153,U001702,2025-09-05 03:58:09,expired,campaign
CR00000206,CP00084,U000904,2025-10-12 04:53:31,used,member_center
CR00000207,CP00176,U001146,2025-05-22 12:26:37,unused,push
CR00000208,CP00123,U002360,2025-07-21 19:11:04,expired,push
CR00000209,CP00136,U004700,2026-01-22 08:14:16,unused,member_center
CR00000210,CP00141,U003227,2026-01-05 03:47:07,used,push
CR00000211,CP00004,U004827,2025-06-20 07:31:30,expired,member_center
CR00000212,CP00045,U003660,2026-08-10 10:27:55,used,push
CR00000213,CP00018,U004477,2026-04-17 13:57:34,expired,push
CR00000214,CP00161,U002161,2026-03-27 01:40:48,used,campaign
CR00000215,CP00121,U003765,2026-03-30 08:27:26,expired,campaign
CR00000216,CP00180,U003542,2026-06-01 17:47:24,unused,campaign
CR00000217,CP00147,U001174,2025-03-27 08:44:48,expired,campaign
CR00000218,CP00120,U004876,2026-05-29 17:36:27,expired,campaign
CR00000219,CP00149,U004714,2025-12-24 15:43:18,used,member_center
CR00000220,CP00026,U003480,2025-02-26 11:54:42,expired,push
CR00000221,CP00011,U000270,2026-01-15 23:50:24,expired,campaign
CR00000222,CP00068,U004629,2026-06-10 05:34:06,unused,campaign
CR00000223,CP00017,U001678,2025-07-20 13:24:41,expired,push
CR00000224,CP00101,U002497,2025-05-27 19:44:45,used,push
CR00000225,CP00059,U000792,2026-08-19 22:27:12,expired,campaign
CR00000226,CP00080,U001643,2026-01-06 13:07:59,used,campaign
CR00000227,CP00138,U000732,2025-05-06 02:29:32,used,member_center
CR00000228,CP00122,U003529,2025-01-24 14:12:29,expired,campaign
CR00000229,CP00044,U001674,2025-08-18 03:16:10,used,campaign
CR00000230,CP00110,U003223,2025-09-18 07:16:02,used,campaign
CR00000231,CP00125,U004875,2025-12-31 10:52:18,used,push
CR00000232,CP00028,U003310,2025-11-10 00:18:02,used,campaign
CR00000233,CP00134,U003623,2025-07-21 07:59:54,used,new_user
CR00000234,CP00074,U002620,2025-12-03 19:16:22,expired,push
CR00000235,CP00040,U004256,2025-04-05 23:52:03,used,campaign
CR00000236,CP00110,U000778,2025-09-27 04:16:10,unused,new_user
CR00000237,CP00033,U000062,2025-05-04 12:48:50,unused,push
CR00000238,CP00127,U001765,2025-04-19 17:49:05,expired,campaign
CR00000239,CP00032,U001199,2026-02-03 14:36:09,expired,campaign
CR00000240,CP00006,U004595,2025-07-20 07:50:15,expired,push
CR00000241,CP00077,U001696,2025-01-28 15:52:26,expired,campaign
CR00000242,CP00111,U003294,2025-10-16 11:36:14,used,new_user
CR00000243,CP00143,U002393,2025-02-10 12:21:31,unused,campaign
CR00000244,CP00128,U002512,2026-07-06 04:16:42,unused,new_user
CR00000245,CP00005,U004556,2025-10-10 07:32:08,used,campaign
CR00000246,CP00049,U001888,2025-04-12 22:37:21,unused,push
CR00000247,CP00162,U000604,2025-01-24 18:27:08,unused,push
CR00000248,CP00053,U002374,2025-05-03 10:48:43,used,campaign
CR00000249,CP00003,U001698,2025-09-26 21:33:19,used,push
CR00000250,CP00093,U002829,2026-06-25 05:00:13,expired,campaign
CR00000251,CP00056,U002405,2026-05-30 23:42:50,expired,campaign
CR00000252,CP00104,U001196,2025-10-11 07:53:14,used,campaign
CR00000253,CP00035,U004891,2026-02-16 17:37:19,expired,campaign
CR00000254,CP00177,U002306,2025-07-03 08:37:42,expired,campaign
CR00000255,CP00002,U001683,2026-08-04 05:46:10,used,campaign
CR00000256,CP00007,U002423,2026-05-25 23:28:24,used,member_center
CR00000257,CP00034,U000217,2026-05-15 07:08:50,expired,new_user
CR00000258,CP00103,U001126,2025-09-04 09:21:01,unused,campaign
CR00000259,CP00165,U000107,2026-06-05 05:25:02,used,campaign
CR00000260,CP00055,U002233,2026-02-03 12:03:18,expired,push
CR00000261,CP00175,U002582,2026-08-08 06:06:12,expired,campaign
CR00000262,CP00058,U000752,2026-07-19 03:13:33,unused,push
CR00000263,CP00072,U004536,2025-05-11 12:25:53,used,push
CR00000264,CP00110,U002777,2025-10-12 00:06:07,unused,campaign
CR00000265,CP00129,U002690,2026-03-13 08:04:52,expired,campaign
CR00000266,CP00025,U003544,2025-08-10 10:42:59,used,campaign
CR00000267,CP00170,U003701,2025-06-17 13:54:11,unused,campaign
CR00000268,CP00030,U002062,2025-07-18 15:39:07,expired,campaign
CR00000269,CP00013,U000598,2026-08-19 05:14:45,used,member_center
CR00000270,CP00016,U002051,2026-01-02 03:58:35,expired,campaign
CR00000271,CP00076,U000719,2025-02-24 06:50:09,expired,new_user
CR00000272,CP00032,U001067,2026-01-21 20:07:49,expired,campaign
CR00000273,CP00091,U003997,2026-07-06 00:46:20,expired,member_center
CR00000274,CP00030,U004536,2025-07-11 05:12:49,expired,campaign
CR00000275,CP00046,U003099,2026-08-08 18:27:30,expired,push
CR00000276,CP00119,U001191,2026-05-25 23:40:01,used,member_center
CR00000277,CP00021,U001613,2026-01-22 09:20:49,used,member_center
CR00000278,CP00017,U004531,2025-07-21 05:03:53,used,member_center
CR00000279,CP00096,U002600,2025-09-18 10:40:09,expired,member_center
CR00000280,CP00111,U003701,2025-10-28 07:39:50,used,member_center
CR00000281,CP00176,U000667,2025-05-23 16:31:57,used,campaign
CR00000282,CP00078,U000470,2026-08-11 02:47:26,used,campaign
CR00000283,CP00117,U000989,2025-09-22 15:27:04,used,member_center
CR00000284,CP00032,U001163,2026-01-23 18:15:41,expired,push
CR00000285,CP00070,U002838,2025-06-30 16:45:01,expired,campaign
CR00000286,CP00065,U002658,2025-05-15 14:49:04,used,new_user
CR00000287,CP00085,U003626,2025-04-08 14:08:43,expired,new_user
CR00000288,CP00087,U004533,2025-08-24 18:12:53,used,campaign
CR00000289,CP00086,U004731,2025-02-27 14:37:20,used,member_center
CR00000290,CP00016,U001647,2026-01-02 14:08:22,unused,campaign
CR00000291,CP00104,U002254,2025-10-10 09:32:41,expired,push
CR00000292,CP00013,U003646,2026-08-15 02:31:58,used,campaign
CR00000293,CP00029,U001174,2025-10-15 02:56:53,used,member_center
CR00000294,CP00010,U000577,2025-11-21 22:00:27,expired,campaign
CR00000295,CP00104,U003357,2025-10-09 23:16:52,expired,campaign
CR00000296,CP00165,U002226,2026-05-31 14:49:31,expired,campaign
CR00000297,CP00061,U002953,2025-09-10 03:57:54,used,campaign
CR00000298,CP00024,U001208,2026-08-22 08:35:01,used,new_user
CR00000299,CP00076,U001221,2025-02-11 18:21:08,used,campaign
CR00000300,CP00166,U003775,2026-08-12 21:00:47,unused,new_user
CR00000301,CP00023,U002287,2025-02-08 09:33:54,used,campaign
CR00000302,CP00028,U001591,2025-11-07 08:11:31,used,campaign
CR00000303,CP00073,U005000,2026-05-21 01:19:39,used,campaign
CR00000304,CP00048,U002452,2026-08-09 04:26:59,expired,campaign
CR00000305,CP00159,U001062,2026-02-27 19:45:59,expired,campaign
CR00000306,CP00166,U000548,2026-08-07 08:39:05,used,new_user
CR00000307,CP00015,U004106,2026-04-11 12:20:13,used,new_user
CR00000308,CP00031,U003617,2026-05-12 21:31:48,expired,new_user
CR00000309,CP00177,U003015,2025-07-11 19:52:45,unused,new_user
CR00000310,CP00054,U004182,2025-06-20 17:20:51,unused,push
CR00000311,CP00064,U002316,2026-02-26 09:12:45,used,campaign
CR00000312,CP00131,U000865,2025-09-14 05:08:05,used,push
CR00000313,CP00028,U001946,2025-11-15 04:42:07,used,push
CR00000314,CP00179,U003901,2026-03-28 21:02:32,expired,member_center
CR00000315,CP00072,U001901,2025-05-06 20:49:33,expired,member_center
CR00000316,CP00104,U003175,2025-10-10 17:25:18,expired,campaign
CR00000317,CP00053,U002242,2025-05-13 13:05:16,expired,member_center
CR00000318,CP00105,U002054,2025-07-17 00:28:00,unused,member_center
CR00000319,CP00096,U001390,2025-09-28 14:52:53,used,member_center
CR00000320,CP00159,U003857,2026-03-08 00:32:40,used,campaign
CR00000321,CP00029,U001621,2025-09-26 06:38:18,used,member_center
CR00000322,CP00121,U004335,2026-04-13 19:30:57,used,member_center
CR00000323,CP00136,U004280,2026-01-27 01:33:35,unused,new_user
CR00000324,CP00040,U003989,2025-04-25 07:05:57,used,member_center
CR00000325,CP00019,U000932,2026-05-02 16:32:04,used,member_center
CR00000326,CP00135,U004053,2025-11-10 11:00:59,used,member_center
CR00000327,CP00136,U003908,2026-01-22 11:27:50,unused,campaign
CR00000328,CP00110,U004862,2025-10-03 11:46:58,used,new_user
CR00000329,CP00047,U003105,2026-07-30 22:49:47,unused,campaign
CR00000330,CP00073,U001197,2026-05-27 02:08:49,used,campaign
CR00000331,CP00144,U002046,2026-06-30 03:44:41,expired,member_center
CR00000332,CP00088,U000640,2026-07-09 17:13:52,used,push
CR00000333,CP00093,U001221,2026-07-17 07:22:46,used,campaign
CR00000334,CP00162,U004754,2025-01-21 19:45:16,expired,push
CR00000335,CP00016,U001900,2025-12-24 04:27:02,expired,member_center
CR00000336,CP00041,U001076,2025-01-31 16:04:52,unused,campaign
CR00000337,CP00109,U002789,2026-04-27 21:09:20,unused,new_user
CR00000338,CP00103,U002887,2025-09-21 15:53:35,unused,member_center
CR00000339,CP00008,U003940,2025-06-24 08:23:05,used,new_user
CR00000340,CP00080,U004715,2026-01-14 14:59:57,used,member_center
CR00000341,CP00108,U001102,2026-08-02 04:20:44,used,push
CR00000342,CP00149,U004646,2025-12-21 20:05:50,expired,push
CR00000343,CP00012,U003113,2025-07-20 16:39:01,unused,campaign
CR00000344,CP00060,U001275,2025-04-08 21:31:09,used,new_user
CR00000345,CP00130,U004636,2026-07-11 16:34:14,unused,push
CR00000346,CP00171,U002616,2025-10-30 13:36:20,used,campaign
CR00000347,CP00095,U004122,2025-02-04 21:14:20,expired,new_user
CR00000348,CP00019,U000250,2026-05-05 15:00:06,unused,member_center
CR00000349,CP00054,U003733,2025-06-21 07:37:07,expired,campaign
CR00000350,CP00006,U001961,2025-08-04 08:47:02,expired,push
CR00000351,CP00110,U000698,2025-09-17 08:23:29,expired,push
CR00000352,CP00052,U002861,2026-03-29 12:12:29,expired,new_user
CR00000353,CP00061,U001131,2025-09-15 07:11:32,used,new_user
CR00000354,CP00114,U003237,2025-09-20 03:30:59,expired,push
CR00000355,CP00134,U004891,2025-07-03 10:23:10,unused,member_center
CR00000356,CP00101,U001736,2025-05-25 17:58:41,used,new_user
CR00000357,CP00143,U002481,2025-02-28 23:24:10,expired,campaign
CR00000358,CP00060,U004717,2025-05-02 09:36:48,used,member_center
CR00000359,CP00116,U002372,2026-06-05 00:38:33,used,campaign
CR00000360,CP00138,U001136,2025-05-10 03:30:43,expired,new_user
CR00000361,CP00115,U001614,2025-07-19 23:38:48,used,new_user
CR00000362,CP00143,U001176,2025-03-11 11:43:34,expired,new_user
CR00000363,CP00113,U003434,2026-01-07 10:08:28,used,campaign
CR00000364,CP00138,U001955,2025-05-07 13:13:56,expired,push
CR00000365,CP00030,U000453,2025-07-22 16:28:01,expired,campaign
CR00000366,CP00065,U003060,2025-05-06 15:47:47,unused,push
CR00000367,CP00046,U000131,2026-08-16 16:53:45,unused,new_user
CR00000368,CP00078,U004277,2026-08-18 18:11:30,expired,campaign
CR00000369,CP00026,U004979,2025-03-15 10:48:57,expired,campaign
CR00000370,CP00052,U001106,2026-03-19 09:53:35,used,new_user
CR00000371,CP00158,U001015,2025-08-30 07:40:16,expired,member_center
CR00000372,CP00137,U002538,2026-07-11 02:00:36,used,new_user
CR00000373,CP00065,U000256,2025-04-24 05:18:40,used,new_user
CR00000374,CP00006,U004298,2025-07-16 14:29:39,used,member_center
CR00000375,CP00071,U000562,2025-02-07 00:17:06,used,campaign
CR00000376,CP00043,U004685,2025-03-20 07:10:53,used,member_center
CR00000377,CP00144,U001187,2026-07-04 04:52:08,used,campaign
CR00000378,CP00052,U001656,2026-03-21 16:40:21,expired,campaign
CR00000379,CP00169,U000124,2025-06-10 16:56:33,expired,campaign
CR00000380,CP00179,U000751,2026-04-02 09:14:06,unused,campaign
CR00000381,CP00038,U004953,2026-06-20 12:49:41,expired,push
CR00000382,CP00028,U003819,2025-11-05 17:36:45,expired,push
CR00000383,CP00038,U000626,2026-06-08 00:46:06,expired,member_center
CR00000384,CP00066,U000397,2026-04-11 06:16:55,expired,member_center
CR00000385,CP00075,U001153,2025-02-16 14:21:09,unused,campaign
CR00000386,CP00019,U003297,2026-05-06 12:25:26,unused,campaign
CR00000387,CP00089,U002163,2026-08-22 14:00:49,expired,new_user
CR00000388,CP00065,U003436,2025-05-05 22:34:44,used,member_center
CR00000389,CP00005,U004059,2025-11-07 16:17:45,used,campaign
CR00000390,CP00084,U003042,2025-10-06 10:33:45,expired,campaign
CR00000391,CP00137,U001677,2026-07-15 01:47:28,used,campaign
CR00000392,CP00153,U003675,2025-09-19 07:04:42,unused,campaign
CR00000393,CP00156,U000337,2025-04-04 15:02:16,expired,campaign
CR00000394,CP00059,U000407,2026-08-20 03:15:50,used,campaign
CR00000395,CP00089,U003509,2026-08-20 09:26:05,unused,campaign
CR00000396,CP00041,U003717,2025-02-08 12:19:37,used,push
CR00000397,CP00118,U004216,2025-11-29 15:22:12,used,campaign
CR00000398,CP00100,U003748,2026-08-20 02:09:33,expired,campaign
CR00000399,CP00139,U001254,2025-11-23 16:29:36,expired,push
CR00000400,CP00132,U001887,2026-06-10 03:52:13,unused,campaign
CR00000401,CP00167,U002648,2025-05-28 19:09:36,unused,new_user
CR00000402,CP00138,U000908,2025-05-07 17:51:09,used,push
CR00000403,CP00064,U002089,2026-02-22 22:01:48,expired,push
CR00000404,CP00133,U001648,2026-06-14 12:57:43,unused,new_user
CR00000405,CP00161,U001234,2026-04-05 14:17:32,used,push
CR00000406,CP00105,U001368,2025-06-10 09:16:08,expired,campaign
CR00000407,CP00174,U003308,2025-09-09 05:35:52,unused,campaign
