shipment_id,order_id,warehouse_id,carrier_name,tracking_no,shipped_at,delivered_at,shipment_status,package_count
SHP00000068,O00000079,W015,京东物流,MOCK000000000068,2026-02-23 06:58:18,2026-02-24 06:58:18,delivered,1
SHP00000069,O00000080,W006,京东物流,MOCK000000000069,2025-10-27 21:43:49,2025-10-29 21:43:49,delivered,1
SHP00000070,O00000081,W008,圆通速递,MOCK000000000070,2025-09-09 11:24:07,2025-09-15 11:24:07,delivered,4
SHP00000071,O00000082,W008,京东物流,MOCK000000000071,2025-01-13 04:53:48,2025-01-14 04:53:48,delivered,1
SHP00000072,O00000083,W014,韵达快递,MOCK000000000072,2025-08-19 02:16:32,2025-08-23 02:16:32,delivered,4
SHP00000073,O00000084,W013,京东物流,MOCK000000000073,2025-02-20 21:43:57,2025-02-24 21:43:57,delivered,1
SHP00000074,O00000086,W005,顺丰速运,MOCK000000000074,2026-05-09 18:19:13,2026-05-15 18:19:13,delivered,1
SHP00000075,O00000087,W003,顺丰速运,MOCK000000000075,2026-06-22 18:22:58,2026-06-27 18:22:58,delivered,4
SHP00000076,O00000088,W012,京东物流,MOCK000000000076,2025-10-01 23:40:02,2025-10-06 23:40:02,delivered,2
SHP00000077,O00000089,W013,京东物流,MOCK000000000077,2026-05-30 05:15:32,2026-06-04 05:15:32,delivered,4
SHP00000078,O00000090,W016,京东物流,MOCK000000000078,2025-06-20 23:33:48,2025-06-24 23:33:48,delivered,1
SHP00000079,O00000091,W006,韵达快递,MOCK000000000079,2025-06-16 16:45:01,2025-06-17 16:45:01,delivered,1
SHP00000080,O00000092,W006,中通快递,MOCK000000000080,2025-11-15 18:19:32,2025-11-21 18:19:32,delivered,2
SHP00000081,O00000093,W014,中通快递,MOCK000000000081,2025-09-20 16:04:54,2025-09-21 16:04:54,delivered,3
SHP00000082,O00000094,W009,顺丰速运,MOCK000000000082,2026-06-17 23:52:42,2026-06-18 23:52:42,delivered,3
SHP00000083,O00000095,W001,韵达快递,MOCK000000000083,2025-08-21 21:54:07,2025-08-27 21:54:07,delivered,4
SHP00000084,O00000096,W008,顺丰速运,MOCK000000000084,2025-09-30 06:50:38,2025-10-05 06:50:38,delivered,3
SHP00000085,O00000097,W009,顺丰速运,MOCK000000000085,2026-04-29 01:17:36,2026-05-03 01:17:36,delivered,1
SHP00000086,O00000098,W016,中通快递,MOCK000000000086,2025-11-01 13:37:09,2025-11-03 13:37:09,delivered,1
SHP00000087,O00000100,W010,顺丰速运,MOCK000000000087,2025-05-01 00:40:14,2025-05-05 00:40:14,delivered,2
SHP00000088,O00000102,W008,京东物流,MOCK000000000088,2025-11-03 08:00:15,2025-11-08 08:00:15,delivered,3
SHP00000089,O00000103,W016,中通快递,MOCK000000000089,2025-11-04 14:24:37,2025-11-09 14:24:37,delivered,1
SHP00000090,O00000104,W012,顺丰速运,MOCK000000000090,2025-05-28 17:32:21,2025-05-30 17:32:21,delivered,1
SHP00000091,O00000105,W004,圆通速递,MOCK000000000091,2025-07-22 15:38:32,,in_transit,4
SHP00000092,O00000106,W012,韵达快递,MOCK000000000092,2026-02-11 03:48:24,2026-02-15 03:48:24,delivered,1
SHP00000093,O00000107,W011,中通快递,MOCK000000000093,2026-07-04 14:25:48,2026-07-06 14:25:48,delivered,3
SHP00000094,O00000110,W014,韵达快递,MOCK000000000094,2025-07-06 18:22:17,2025-07-12 18:22:17,delivered,3
SHP00000095,O00000111,W003,京东物流,MOCK000000000095,2025-09-13 16:38:11,2025-09-17 16:38:11,delivered,3
SHP00000096,O00000112,W013,中通快递,MOCK000000000096,2025-11-17 00:53:28,2025-11-20 00:53:28,delivered,3
SHP00000097,O00000114,W003,顺丰速运,MOCK000000000097,2025-10-21 03:51:34,,in_transit,2
SHP00000098,O00000116,W002,圆通速递,MOCK000000000098,2025-01-29 14:03:43,2025-01-31 14:03:43,delivered,3
SHP00000099,O00000117,W014,圆通速递,MOCK000000000099,2025-08-09 11:51:59,2025-08-10 11:51:59,delivered,1
SHP00000100,O00000118,W013,顺丰速运,MOCK000000000100,2026-05-06 04:01:01,2026-05-10 04:01:01,delivered,2
SHP00000101,O00000119,W010,顺丰速运,MOCK000000000101,2025-06-18 03:34:09,2025-06-22 03:34:09,delivered,4
SHP00000102,O00000120,W011,韵达快递,MOCK000000000102,2026-03-30 05:16:07,2026-03-31 05:16:07,delivered,4
SHP00000103,O00000121,W006,韵达快递,MOCK000000000103,2025-05-22 18:01:40,2025-05-23 18:01:40,delivered,1
SHP00000104,O00000122,W006,顺丰速运,MOCK000000000104,2026-02-04 12:50:55,2026-02-05 12:50:55,delivered,1
SHP00000105,O00000123,W006,韵达快递,MOCK000000000105,2025-01-25 07:25:38,,in_transit,3
SHP00000106,O00000124,W009,圆通速递,MOCK000000000106,2026-06-25 10:34:37,,in_transit,3
SHP00000107,O00000125,W011,顺丰速运,MOCK000000000107,2025-07-20 21:51:07,,in_transit,3
SHP00000108,O00000126,W011,韵达快递,MOCK000000000108,2026-05-23 07:41:47,2026-05-24 07:41:47,delivered,3
SHP00000109,O00000127,W009,顺丰速运,MOCK000000000109,2025-04-25 03:41:55,,in_transit,1
SHP00000110,O00000128,W004,京东物流,MOCK000000000110,2025-05-01 11:59:46,2025-05-06 11:59:46,delivered,4
SHP00000111,O00000129,W008,韵达快递,MOCK000000000111,2025-03-30 06:20:22,2025-04-05 06:20:22,delivered,3
SHP00000112,O00000131,W004,顺丰速运,MOCK000000000112,2025-07-29 20:02:44,2025-08-03 20:02:44,delivered,2
SHP00000113,O00000132,W008,中通快递,MOCK000000000113,2026-01-12 08:25:18,2026-01-15 08:25:18,delivered,4
SHP00000114,O00000133,W014,中通快递,MOCK000000000114,2025-11-17 08:05:39,2025-11-21 08:05:39,delivered,3
SHP00000115,O00000134,W007,圆通速递,MOCK000000000115,2025-06-05 02:06:29,2025-06-07 02:06:29,delivered,2
SHP00000116,O00000135,W002,顺丰速运,MOCK000000000116,2025-02-03 04:33:52,,in_transit,2
SHP00000117,O00000136,W009,韵达快递,MOCK000000000117,2025-11-12 22:33:40,2025-11-15 22:33:40,delivered,2
SHP00000118,O00000137,W007,圆通速递,MOCK000000000118,2025-12-20 09:52:47,2025-12-23 09:52:47,delivered,1
SHP00000119,O00000139,W002,韵达快递,MOCK000000000119,2025-06-26 06:29:07,2025-06-27 06:29:07,delivered,3
SHP00000120,O00000140,W012,中通快递,MOCK000000000120,2025-06-20 15:41:25,2025-06-21 15:41:25,delivered,2
SHP00000121,O00000141,W014,圆通速递,MOCK000000000121,2025-05-14 03:46:01,2025-05-19 03:46:01,delivered,2
SHP00000122,O00000142,W009,顺丰速运,MOCK000000000122,2025-09-04 10:57:05,2025-09-10 10:57:05,delivered,3
SHP00000123,O00000143,W014,京东物流,MOCK000000000123,2025-04-02 10:56:43,2025-04-04 10:56:43,delivered,3
SHP00000124,O00000144,W004,中通快递,MOCK000000000124,2025-05-08 08:56:41,2025-05-13 08:56:41,delivered,1
SHP00000125,O00000145,W011,中通快递,MOCK000000000125,2025-08-27 20:36:22,2025-08-30 20:36:22,delivered,1
SHP00000126,O00000146,W002,圆通速递,MOCK000000000126,2025-11-01 16:52:46,2025-11-05 16:52:46,delivered,3
SHP00000127,O00000147,W008,中通快递,MOCK000000000127,2026-01-30 05:09:50,2026-02-02 05:09:50,delivered,1
SHP00000128,O00000148,W014,韵达快递,MOCK000000000128,2025-10-25 00:08:33,,in_transit,2
SHP00000129,O00000149,W003,韵达快递,MOCK000000000129,2025-06-21 23:33:25,2025-06-25 23:33:25,delivered,1
SHP00000130,O00000151,W009,中通快递,MOCK000000000130,2025-12-31 14:49:00,2026-01-03 14:49:00,delivered,1
SHP00000131,O00000152,W015,圆通速递,MOCK000000000131,2026-01-20 14:01:59,,in_transit,1
SHP00000132,O00000153,W007,圆通速递,MOCK000000000132,2026-05-12 21:17:45,,in_transit,1
SHP00000133,O00000154,W005,韵达快递,MOCK000000000133,2026-01-20 12:37:45,2026-01-26 12:37:45,delivered,2
SHP00000134,O00000155,W005,韵达快递,MOCK000000000134,2025-10-29 21:42:41,2025-11-04 21:42:41,delivered,3
SHP00000135,O00000156,W011,顺丰速运,MOCK000000000135,2025-10-15 19:21:01,2025-10-21 19:21:01,delivered,4
SHP00000136,O00000157,W002,中通快递,MOCK000000000136,2025-08-04 15:04:02,2025-08-08 15:04:02,delivered,3
SHP00000137,O00000158,W001,圆通速递,MOCK000000000137,2026-06-01 09:22:15,2026-06-06 09:22:15,delivered,3
SHP00000138,O00000159,W006,韵达快递,MOCK000000000138,2025-08-11 10:16:16,2025-08-15 10:16:16,delivered,2
SHP00000139,O00000160,W006,顺丰速运,MOCK000000000139,2025-06-21 03:37:01,2025-06-25 03:37:01,delivered,1
SHP00000140,O00000161,W003,京东物流,MOCK000000000140,2026-04-02 05:42:31,,in_transit,1
SHP00000141,O00000162,W002,京东物流,MOCK000000000141,2026-08-11 22:39:05,,in_transit,4
SHP00000142,O00000164,W010,韵达快递,MOCK000000000142,2025-04-09 16:28:59,2025-04-15 16:28:59,delivered,3
SHP00000143,O00000166,W010,京东物流,MOCK000000000143,2026-06-04 05:02:53,2026-06-05 05:02:53,delivered,1
SHP00000144,O00000167,W008,韵达快递,MOCK000000000144,2025-08-03 03:23:00,2025-08-04 03:23:00,delivered,2
SHP00000145,O00000168,W010,顺丰速运,MOCK000000000145,2025-08-24 13:40:14,2025-08-27 13:40:14,delivered,4
SHP00000146,O00000169,W008,韵达快递,MOCK000000000146,2025-04-12 15:26:58,2025-04-16 15:26:58,delivered,2
SHP00000147,O00000170,W001,韵达快递,MOCK000000000147,2025-04-03 19:24:18,2025-04-09 19:24:18,delivered,3
SHP00000148,O00000171,W006,韵达快递,MOCK000000000148,2025-01-10 06:45:05,2025-01-16 06:45:05,delivered,3
SHP00000149,O00000172,W009,韵达快递,MOCK000000000149,2025-11-18 03:13:21,2025-11-22 03:13:21,delivered,4
SHP00000150,O00000174,W015,圆通速递,MOCK000000000150,2025-08-23 05:45:46,2025-08-28 05:45:46,delivered,2
SHP00000151,O00000176,W003,顺丰速运,MOCK000000000151,2026-06-22 11:45:45,2026-06-25 11:45:45,delivered,4
SHP00000152,O00000177,W015,顺丰速运,MOCK000000000152,2025-06-12 04:18:42,,in_transit,2
SHP00000153,O00000178,W007,韵达快递,MOCK000000000153,2025-04-01 10:00:44,,in_transit,4
SHP00000154,O00000179,W013,京东物流,MOCK000000000154,2026-06-25 13:59:31,2026-06-28 13:59:31,delivered,3
SHP00000155,O00000180,W001,韵达快递,MOCK000000000155,2026-07-12 21:13:29,2026-07-17 21:13:29,delivered,1
SHP00000156,O00000182,W008,韵达快递,MOCK000000000156,2026-04-01 17:56:21,2026-04-04 17:56:21,delivered,2
SHP00000157,O00000183,W006,中通快递,MOCK000000000157,2025-08-14 05:50:41,2025-08-18 05:50:41,delivered,4
SHP00000158,O00000184,W006,京东物流,MOCK000000000158,2025-04-22 09:41:39,2025-04-25 09:41:39,delivered,2
SHP00000159,O00000185,W005,中通快递,MOCK000000000159,2026-01-21 12:58:05,2026-01-25 12:58:05,delivered,2
SHP00000160,O00000186,W013,圆通速递,MOCK000000000160,2025-09-02 02:15:12,2025-09-03 02:15:12,delivered,1
SHP00000161,O00000187,W013,中通快递,MOCK000000000161,2025-08-29 12:26:21,2025-08-30 12:26:21,delivered,3
SHP00000162,O00000188,W008,韵达快递,MOCK000000000162,2026-04-20 01:34:50,2026-04-23 01:34:50,delivered,1
SHP00000163,O00000189,W004,圆通速递,MOCK000000000163,2025-07-29 12:47:57,2025-08-04 12:47:57,delivered,2
SHP00000164,O00000190,W004,顺丰速运,MOCK000000000164,2026-07-15 17:37:08,,in_transit,1
SHP00000165,O00000191,W003,顺丰速运,MOCK000000000165,2026-08-22 05:19:30,2026-08-26 05:19:30,delivered,1
SHP00000166,O00000192,W011,中通快递,MOCK000000000166,2025-03-20 00:42:20,2025-03-25 00:42:20,delivered,3
SHP00000167,O00000193,W004,京东物流,MOCK000000000167,2025-08-19 20:51:58,2025-08-24 20:51:58,delivered,2
SHP00000168,O00000194,W010,韵达快递,MOCK000000000168,2026-08-20 03:49:35,2026-08-22 03:49:35,delivered,1
SHP00000169,O00000195,W013,京东物流,MOCK000000000169,2025-06-01 01:42:04,2025-06-03 01:42:04,delivered,1
SHP00000170,O00000196,W003,顺丰速运,MOCK000000000170,2025-09-10 10:19:05,2025-09-15 10:19:05,delivered,4
SHP00000171,O00000197,W016,韵达快递,MOCK000000000171,2026-03-31 13:10:06,2026-04-03 13:10:06,delivered,2
SHP00000172,O00000198,W010,顺丰速运,MOCK000000000172,2026-02-14 00:00:42,2026-02-20 00:00:42,delivered,3
SHP00000173,O00000199,W004,中通快递,MOCK000000000173,2025-04-06 04:37:26,2025-04-10 04:37:26,delivered,3
SHP00000174,O00000200,W010,圆通速递,MOCK000000000174,2025-12-06 14:23:32,2025-12-10 14:23:32,delivered,3
SHP00000175,O00000201,W013,圆通速递,MOCK000000000175,2025-09-07 15:25:51,2025-09-12 15:25:51,delivered,4
SHP00000176,O00000202,W008,中通快递,MOCK000000000176,2025-01-25 11:24:32,2025-01-28 11:24:32,delivered,4
SHP00000177,O00000203,W012,中通快递,MOCK000000000177,2025-12-25 21:16:12,,in_transit,1
SHP00000178,O00000204,W012,韵达快递,MOCK000000000178,2025-01-17 01:58:11,2025-01-20 01:58:11,delivered,3
SHP00000179,O00000205,W002,顺丰速运,MOCK000000000179,2026-04-20 10:44:16,,in_transit,2
SHP00000180,O00000206,W014,顺丰速运,MOCK000000000180,2025-02-09 09:03:10,2025-02-11 09:03:10,delivered,4
SHP00000181,O00000207,W008,韵达快递,MOCK000000000181,2025-09-20 01:30:03,2025-09-24 01:30:03,delivered,2
SHP00000182,O00000208,W001,中通快递,MOCK000000000182,2025-02-02 01:24:08,2025-02-07 01:24:08,delivered,1
SHP00000183,O00000209,W003,顺丰速运,MOCK000000000183,2025-11-01 15:47:45,2025-11-06 15:47:45,delivered,3
SHP00000184,O00000210,W003,中通快递,MOCK000000000184,2025-12-03 13:06:03,2025-12-08 13:06:03,delivered,3
SHP00000185,O00000211,W011,顺丰速运,MOCK000000000185,2026-06-09 12:27:57,2026-06-15 12:27:57,delivered,1
SHP00000186,O00000212,W003,中通快递,MOCK000000000186,2025-02-24 09:45:16,2025-02-27 09:45:16,delivered,4
SHP00000187,O00000214,W010,韵达快递,MOCK000000000187,2025-10-30 22:02:04,2025-10-31 22:02:04,delivered,4
SHP00000188,O00000215,W008,韵达快递,MOCK000000000188,2025-09-01 12:57:46,2025-09-06 12:57:46,delivered,3
SHP00000189,O00000216,W013,中通快递,MOCK000000000189,2026-08-01 16:27:36,2026-08-05 16:27:36,delivered,2
SHP00000190,O00000217,W008,中通快递,MOCK000000000190,2025-11-17 01:30:31,2025-11-21 01:30:31,delivered,2
SHP00000191,O00000218,W013,韵达快递,MOCK000000000191,2026-08-15 04:34:57,2026-08-20 04:34:57,delivered,1
SHP00000192,O00000219,W009,圆通速递,MOCK000000000192,2026-03-25 08:49:37,2026-03-30 08:49:37,delivered,1
SHP00000193,O00000220,W007,中通快递,MOCK000000000193,2026-01-27 08:50:15,2026-01-31 08:50:15,delivered,3
SHP00000194,O00000221,W002,京东物流,MOCK000000000194,2026-02-05 02:18:32,2026-02-06 02:18:32,delivered,3
SHP00000195,O00000226,W012,京东物流,MOCK000000000195,2025-11-27 11:22:34,2025-12-01 11:22:34,delivered,4
SHP00000196,O00000227,W012,圆通速递,MOCK000000000196,2025-11-21 18:20:39,2025-11-23 18:20:39,delivered,1
SHP00000197,O00000228,W001,韵达快递,MOCK000000000197,2025-12-21 02:53:38,2025-12-22 02:53:38,delivered,2
SHP00000198,O00000229,W010,圆通速递,MOCK000000000198,2025-03-14 02:46:19,2025-03-20 02:46:19,delivered,4
SHP00000199,O00000230,W010,顺丰速运,MOCK000000000199,2026-06-14 21:12:56,2026-06-18 21:12:56,delivered,4
SHP00000200,O00000231,W008,韵达快递,MOCK000000000200,2025-03-10 19:48:15,2025-03-16 19:48:15,delivered,2
SHP00000201,O00000232,W006,中通快递,MOCK000000000201,2026-03-01 10:50:32,2026-03-06 10:50:32,delivered,3
SHP00000202,O00000233,W011,中通快递,MOCK000000000202,2026-04-09 10:55:03,2026-04-11 10:55:03,delivered,2
SHP00000203,O00000234,W001,顺丰速运,MOCK000000000203,2025-11-16 04:23:18,2025-11-20 04:23:18,delivered,3
SHP00000204,O00000235,W013,顺丰速运,MOCK000000000204,2026-01-09 13:09:34,,in_transit,3
SHP00000205,O00000236,W010,圆通速递,MOCK000000000205,2026-08-08 22:36:11,2026-08-09 22:36:11,delivered,2
SHP00000206,O00000237,W003,京东物流,MOCK000000000206,2025-03-14 12:00:22,2025-03-18 12:00:22,delivered,4
SHP00000207,O00000238,W001,顺丰速运,MOCK000000000207,2026-01-21 16:31:38,2026-01-23 16:31:38,delivered,3
SHP00000208,O00000239,W004,圆通速递,MOCK000000000208,2026-01-29 05:26:17,2026-02-01 05:26:17,delivered,2
SHP00000209,O00000240,W005,顺丰速运,MOCK000000000209,2026-06-16 11:52:31,2026-06-18 11:52:31,delivered,4
SHP00000210,O00000241,W001,中通快递,MOCK000000000210,2026-02-21 07:56:53,,in_transit,4
SHP00000211,O00000242,W009,圆通速递,MOCK000000000211,2025-11-18 06:39:05,2025-11-23 06:39:05,delivered,3
SHP00000212,O00000244,W001,顺丰速运,MOCK000000000212,2026-07-27 08:17:29,2026-07-31 08:17:29,delivered,1
SHP00000213,O00000245,W002,京东物流,MOCK000000000213,2025-09-08 11:02:36,2025-09-14 11:02:36,delivered,4
SHP00000214,O00000246,W016,京东物流,MOCK000000000214,2026-04-18 20:13:52,2026-04-23 20:13:52,delivered,3
SHP00000215,O00000247,W014,韵达快递,MOCK000000000215,2025-11-07 03:30:21,2025-11-11 03:30:21,delivered,2
SHP00000216,O00000248,W011,韵达快递,MOCK000000000216,2026-08-14 02:09:47,,in_transit,4
SHP00000217,O00000249,W004,中通快递,MOCK000000000217,2025-12-03 03:57:36,2025-12-04 03:57:36,delivered,4
SHP00000218,O00000250,W015,韵达快递,MOCK000000000218,2025-01-21 23:28:34,2025-01-23 23:28:34,delivered,2
SHP00000219,O00000251,W015,顺丰速运,MOCK000000000219,2026-07-23 01:30:05,,in_transit,2
SHP00000220,O00000252,W010,京东物流,MOCK000000000220,2026-04-19 20:25:04,2026-04-20 20:25:04,delivered,2
SHP00000221,O00000253,W005,京东物流,MOCK000000000221,2025-03-26 23:56:45,2025-04-01 23:56:45,delivered,3
SHP00000222,O00000254,W002,顺丰速运,MOCK000000000222,2025-07-12 03:13:38,2025-07-14 03:13:38,delivered,1
SHP00000223,O00000255,W009,中通快递,MOCK000000000223,2025-07-15 09:37:03,2025-07-21 09:37:03,delivered,1
SHP00000224,O00000256,W016,顺丰速运,MOCK000000000224,2026-01-11 00:26:06,2026-01-16 00:26:06,delivered,2
SHP00000225,O00000257,W012,中通快递,MOCK000000000225,2025-10-26 12:38:55,2025-10-29 12:38:55,delivered,4
SHP00000226,O00000258,W003,韵达快递,MOCK000000000226,2026-01-04 02:13:40,2026-01-09 02:13:40,delivered,1
SHP00000227,O00000259,W010,圆通速递,MOCK000000000227,2025-10-19 00:46:27,2025-10-21 00:46:27,delivered,2
SHP00000228,O00000260,W016,京东物流,MOCK000000000228,2025-10-22 03:11:38,2025-10-27 03:11:38,delivered,1
SHP00000229,O00000261,W006,顺丰速运,MOCK000000000229,2025-08-23 18:29:42,2025-08-24 18:29:42,delivered,4
