cart_id,user_id,updated_at,cart_status,platform
CART0000058,U002082,2026-01-04 14:13:32,converted,app
CART0000059,U000495,2026-06-15 17:06:44,active,app
CART0000060,U001594,2026-02-11 06:49:33,active,mini_program
CART0000061,U000763,2025-04-25 20:49:53,converted,app
CART0000062,U003307,2025-02-25 14:47:42,converted,app
CART0000063,U001351,2026-05-10 03:43:48,converted,mini_program
CART0000064,U003014,2026-02-11 12:52:02,converted,app
CART0000065,U000588,2026-06-28 18:49:53,active,app
CART0000066,U000243,2026-07-10 13:54:08,active,app
CART0000067,U000865,2025-02-04 13:32:05,abandoned,web
CART0000068,U001244,2026-04-04 20:35:13,active,app
CART0000069,U000106,2025-04-29 10:49:11,abandoned,app
CART0000070,U002135,2026-02-14 17:56:43,converted,app
CART0000071,U004779,2025-12-03 02:07:22,abandoned,app
CART0000072,U003378,2025-05-21 23:33:47,active,app
CART0000073,U001818,2026-03-11 11:54:38,converted,app
CART0000074,U004503,2025-04-13 15:47:45,abandoned,app
CART0000075,U001736,2025-01-17 11:07:33,active,app
CART0000076,U004229,2025-05-05 22:40:06,converted,app
CART0000077,U003382,2025-08-05 00:09:54,converted,app
CART0000078,U002373,2025-07-09 07:37:07,abandoned,app
CART0000079,U002391,2026-05-03 09:25:58,active,app
CART0000080,U004174,2026-02-12 05:14:54,converted,mini_program
CART0000081,U000527,2025-05-03 08:55:31,converted,mini_program
CART0000082,U004999,2026-07-31 09:23:44,converted,app
CART0000083,U002843,2025-09-03 05:35:52,abandoned,web
CART0000084,U002572,2025-10-29 03:14:25,active,app
CART0000085,U000255,2026-02-02 02:07:48,converted,app
CART0000086,U001950,2025-06-30 22:48:42,active,app
CART0000087,U003361,2025-07-21 14:26:02,active,mini_program
CART0000088,U001392,2025-05-10 02:15:41,active,mini_program
CART0000089,U000238,2026-08-04 21:35:14,active,app
CART0000090,U004962,2026-07-06 14:19:39,active,app
CART0000091,U004213,2025-10-11 11:00:54,converted,app
CART0000092,U003495,2026-08-09 17:16:58,active,app
CART0000093,U002205,2026-03-17 20:42:12,active,mini_program
CART0000094,U001658,2026-01-19 18:49:09,converted,app
CART0000095,U000313,2025-11-22 15:53:41,abandoned,web
CART0000096,U001588,2026-04-24 08:30:00,converted,app
CART0000097,U000494,2025-07-14 23:40:57,abandoned,app
CART0000098,U003840,2025-02-13 12:49:20,abandoned,app
CART0000099,U002201,2026-07-01 14:51:28,active,app
CART0000100,U000136,2026-05-09 10:29:49,active,app
CART0000101,U000069,2026-05-18 12:20:54,abandoned,mini_program
CART0000102,U004315,2025-08-06 15:56:36,active,web
CART0000103,U002772,2025-10-03 16:37:42,active,app
CART0000104,U004858,2025-02-02 08:23:42,converted,web
CART0000105,U004814,2025-07-02 02:49:56,converted,app
CART0000106,U004110,2025-10-23 17:32:12,converted,app
CART0000107,U002216,2026-04-14 15:08:20,abandoned,app
CART0000108,U001618,2026-02-13 12:31:18,active,app
CART0000109,U001596,2025-01-23 04:50:22,converted,app
CART0000110,U000597,2025-12-28 19:37:01,abandoned,mini_program
CART0000111,U000321,2026-05-20 13:14:14,active,app
CART0000112,U001141,2025-05-05 22:43:28,active,app
CART0000113,U001132,2025-04-04 19:40:38,converted,app
CART0000114,U002776,2025-12-16 12:02:11,active,web
CART0000115,U000159,2025-08-25 01:30:31,converted,app
CART0000116,U002772,2025-03-26 20:25:20,converted,web
CART0000117,U003893,2025-08-22 14:46:55,converted,app
CART0000118,U000508,2025-06-29 16:43:00,converted,web
CART0000119,U002042,2025-12-16 06:25:25,active,app
CART0000120,U001080,2025-05-26 22:55:32,abandoned,app
CART0000121,U003549,2026-07-09 03:06:55,converted,mini_program
CART0000122,U004373,2025-07-02 03:59:31,converted,mini_program
CART0000123,U001736,2026-04-11 11:35:32,abandoned,app
CART0000124,U003388,2026-07-05 00:57:47,active,app
CART0000125,U000172,2026-07-16 05:24:52,converted,app
CART0000126,U004860,2025-09-03 14:39:07,converted,web
CART0000127,U000087,2025-12-11 17:41:59,abandoned,app
CART0000128,U004689,2025-12-31 18:12:30,active,mini_program
CART0000129,U002255,2026-02-13 14:15:25,converted,app
CART0000130,U003095,2025-08-14 16:35:02,active,app
CART0000131,U004534,2025-08-04 15:41:27,converted,mini_program
CART0000132,U001866,2025-07-18 14:50:15,active,app
CART0000133,U001171,2026-05-29 04:06:56,converted,app
CART0000134,U000189,2026-07-26 00:29:25,active,app
CART0000135,U004944,2025-01-09 11:16:47,converted,app
CART0000136,U000642,2025-06-10 21:39:41,abandoned,app
CART0000137,U001231,2026-01-21 21:28:00,active,app
CART0000138,U004035,2026-05-14 00:44:07,abandoned,app
CART0000139,U003025,2026-07-20 02:09:53,converted,app
CART0000140,U004721,2026-04-29 00:21:01,active,app
CART0000141,U003449,2025-06-17 07:43:04,active,web
CART0000142,U004481,2025-10-09 05:47:04,abandoned,app
CART0000143,U000954,2025-12-30 06:50:19,converted,web
CART0000144,U004412,2026-07-07 18:38:54,converted,mini_program
CART0000145,U002527,2026-06-15 18:22:32,active,app
CART0000146,U001986,2025-08-03 16:21:44,active,app
CART0000147,U000045,2026-05-10 13:47:16,abandoned,web
CART0000148,U002166,2025-07-16 20:31:02,abandoned,mini_program
CART0000149,U001671,2025-04-05 16:29:36,active,app
CART0000150,U004572,2026-04-01 13:49:24,active,app
CART0000151,U003999,2025-10-13 10:20:06,converted,app
CART0000152,U000570,2026-08-20 22:41:51,active,app
CART0000153,U000743,2025-06-25 21:48:20,converted,mini_program
CART0000154,U003267,2025-09-11 17:58:59,active,mini_program
CART0000155,U004411,2026-05-12 20:55:06,converted,app
CART0000156,U004327,2026-04-08 05:02:49,abandoned,app
CART0000157,U003865,2026-02-01 04:59:26,converted,web
CART0000158,U003629,2025-02-12 04:42:16,abandoned,app
CART0000159,U001155,2025-04-16 01:44:21,converted,mini_program
CART0000160,U002601,2025-05-07 13:43:16,converted,app
CART0000161,U001983,2025-03-11 07:43:02,converted,app
CART0000162,U001161,2026-04-27 21:14:07,active,web
CART0000163,U003227,2026-05-11 04:39:55,converted,app
CART0000164,U000093,2025-12-26 19:22:50,active,app
CART0000165,U001394,2026-05-20 05:27:37,abandoned,app
CART0000166,U000254,2025-09-15 22:38:02,converted,app
CART0000167,U001537,2025-06-15 01:16:28,active,mini_program
CART0000168,U003905,2025-02-11 23:48:50,active,app
CART0000169,U002308,2025-09-07 19:47:20,converted,app
CART0000170,U002640,2025-02-21 21:51:14,active,mini_program
CART0000171,U003704,2025-06-01 14:09:15,converted,web
CART0000172,U003076,2026-02-06 12:45:41,converted,app
CART0000173,U001826,2025-10-01 10:04:54,converted,app
CART0000174,U000006,2026-05-21 09:28:17,active,app
CART0000175,U001974,2026-03-29 03:05:02,active,web
CART0000176,U001289,2025-05-10 09:51:30,active,app
CART0000177,U003398,2025-07-02 18:06:55,active,app
CART0000178,U002909,2025-03-30 08:36:21,active,app
CART0000179,U004997,2026-05-07 10:17:34,active,web
CART0000180,U001511,2025-03-08 19:03:35,active,app
CART0000181,U000070,2025-05-17 16:46:12,active,app
CART0000182,U003343,2026-03-26 14:09:18,abandoned,mini_program
CART0000183,U002893,2025-03-03 01:34:49,active,app
CART0000184,U002850,2025-01-18 02:24:57,active,web
CART0000185,U003800,2025-05-17 07:21:38,active,app
CART0000186,U004745,2025-05-19 15:34:45,active,app
CART0000187,U004219,2026-07-19 23:09:57,active,app
CART0000188,U001193,2026-05-21 15:47:54,active,mini_program
CART0000189,U001962,2025-04-18 22:21:30,converted,mini_program
CART0000190,U001488,2025-01-13 09:59:24,abandoned,app
CART0000191,U003135,2025-01-12 12:30:54,active,app
CART0000192,U001284,2026-03-23 23:12:36,active,web
CART0000193,U000764,2025-09-18 09:05:50,abandoned,app
CART0000194,U000429,2026-01-04 14:41:35,active,app
CART0000195,U002217,2025-06-21 00:35:11,active,web
CART0000196,U002286,2025-12-08 22:59:48,active,app
CART0000197,U001577,2025-11-02 16:26:33,abandoned,web
CART0000198,U002360,2026-02-20 07:25:56,converted,app
CART0000199,U003394,2025-12-15 00:41:33,abandoned,app
CART0000200,U002218,2025-11-14 06:35:35,converted,app
CART0000201,U003271,2025-01-24 00:24:13,active,app
CART0000202,U003278,2026-06-15 04:03:22,converted,web
CART0000203,U002871,2025-03-24 23:01:39,abandoned,web
CART0000204,U004132,2026-01-18 23:04:53,active,app
CART0000205,U002354,2025-04-08 00:15:45,abandoned,app
CART0000206,U001686,2025-04-06 23:17:06,converted,mini_program
CART0000207,U001854,2026-07-22 19:26:02,active,app
CART0000208,U004956,2025-01-11 10:07:54,converted,app
CART0000209,U000672,2026-01-11 19:56:02,active,app
CART0000210,U001864,2025-06-26 06:39:56,active,app
CART0000211,U001122,2025-07-11 17:21:01,converted,app
CART0000212,U002501,2025-07-27 21:10:26,active,web
CART0000213,U004073,2025-07-18 13:22:57,converted,app
CART0000214,U004852,2025-12-16 19:49:30,abandoned,app
CART0000215,U004485,2025-09-11 06:27:50,abandoned,app
CART0000216,U001244,2026-01-08 14:43:32,converted,app
CART0000217,U001616,2026-02-20 20:58:45,abandoned,web
CART0000218,U004943,2026-01-26 15:48:46,active,mini_program
CART0000219,U002796,2025-02-13 15:06:26,abandoned,app
CART0000220,U004652,2026-06-07 21:14:04,abandoned,app
CART0000221,U004059,2026-05-15 12:28:39,converted,app
CART0000222,U003370,2026-03-19 01:26:09,active,mini_program
CART0000223,U000450,2026-03-28 18:41:23,converted,app
CART0000224,U001035,2025-11-29 19:07:53,converted,mini_program
CART0000225,U000177,2026-03-16 11:34:46,active,app
CART0000226,U002171,2026-08-18 08:31:32,converted,app
CART0000227,U002507,2025-07-02 16:47:31,active,app
CART0000228,U001839,2025-09-28 15:33:07,abandoned,mini_program
CART0000229,U001417,2026-08-22 20:46:22,abandoned,app
CART0000230,U002326,2026-04-12 02:11:10,active,app
CART0000231,U004638,2025-06-08 20:01:53,converted,web
CART0000232,U003158,2026-01-11 14:16:22,converted,app
CART0000233,U002034,2025-05-04 08:12:40,abandoned,app
CART0000234,U001806,2026-02-15 00:02:58,active,app
CART0000235,U002421,2025-07-24 05:31:26,converted,app
CART0000236,U002400,2026-03-09 19:56:04,converted,app
CART0000237,U001443,2025-06-27 06:37:22,abandoned,app
CART0000238,U000802,2025-05-20 21:41:06,abandoned,app
CART0000239,U003462,2026-01-27 09:46:55,active,app
CART0000240,U004477,2026-03-15 19:57:18,converted,app
CART0000241,U000291,2025-03-20 22:04:04,active,app
CART0000242,U002267,2026-07-09 19:38:42,active,app
CART0000243,U000449,2025-10-27 20:55:13,abandoned,web
CART0000244,U000384,2025-12-31 16:14:31,converted,app
CART0000245,U002880,2026-01-04 10:31:19,active,mini_program
CART0000246,U000866,2025-03-07 00:54:49,active,mini_program
CART0000247,U001566,2025-07-22 04:22:24,converted,web
CART0000248,U001923,2025-05-05 05:19:22,converted,app
CART0000249,U000059,2025-03-28 13:22:53,abandoned,app
CART0000250,U001343,2025-01-14 12:33:09,active,mini_program
CART0000251,U001983,2025-01-13 13:53:27,converted,app
CART0000252,U001290,2026-02-21 11:43:01,active,app
CART0000253,U001222,2025-10-21 07:47:10,converted,app
CART0000254,U000010,2026-07-30 01:31:01,converted,web
CART0000255,U001019,2025-02-11 21:19:38,converted,web
CART0000256,U002030,2026-08-03 22:59:29,active,mini_program
CART0000257,U002277,2026-07-06 17:10:01,converted,app
CART0000258,U002219,2026-08-18 02:15:33,converted,app
CART0000259,U001118,2025-06-01 22:13:04,converted,app
CART0000260,U003436,2025-09-23 09:24:25,abandoned,app
CART0000261,U002465,2026-08-17 22:44:59,converted,web
CART0000262,U004764,2025-02-05 18:07:57,converted,app
CART0000263,U000455,2026-07-03 20:09:36,active,app
CART0000264,U000245,2025-02-28 20:37:15,converted,app
CART0000265,U003467,2026-06-28 17:08:32,active,app
CART0000266,U002040,2026-03-06 13:23:36,abandoned,app
CART0000267,U001876,2026-02-18 18:18:46,active,web
CART0000268,U003308,2026-05-04 13:11:15,converted,app
CART0000269,U003750,2025-05-22 04:50:52,converted,web
CART0000270,U000150,2026-06-23 19:35:43,converted,app
CART0000271,U001928,2025-11-28 08:01:13,converted,app
CART0000272,U001667,2025-01-04 06:38:55,converted,mini_program
CART0000273,U001863,2025-07-08 22:10:25,converted,app
CART0000274,U000692,2025-04-14 20:21:17,converted,app
CART0000275,U000365,2026-01-29 15:06:46,converted,web
CART0000276,U003101,2025-09-05 01:39:04,active,web
CART0000277,U000484,2025-02-03 13:10:27,converted,app
CART0000278,U003211,2025-10-26 15:52:06,converted,app
CART0000279,U001345,2025-03-07 19:42:57,active,app
CART0000280,U004114,2025-12-12 13:59:08,converted,mini_program
CART0000281,U002517,2025-09-29 02:18:37,active,app
CART0000282,U000719,2026-03-07 01:55:08,converted,app
CART0000283,U003634,2026-08-09 13:53:14,active,app
CART0000284,U000560,2026-05-04 12:36:24,converted,app
CART0000285,U001887,2025-02-06 06:35:26,converted,app
CART0000286,U000892,2025-12-17 05:33:07,active,app
CART0000287,U004487,2025-05-11 09:40:56,converted,mini_program
CART0000288,U001571,2026-06-20 08:40:48,converted,mini_program
CART0000289,U001540,2026-04-17 05:39:33,active,mini_program
CART0000290,U000494,2025-09-10 05:52:33,converted,app
CART0000291,U004162,2025-12-22 18:07:44,converted,web
CART0000292,U001587,2026-07-11 01:49:00,abandoned,app
CART0000293,U000681,2025-07-04 15:50:16,active,app
CART0000294,U001257,2026-04-11 02:08:04,abandoned,app
CART0000295,U000148,2026-03-06 06:12:12,abandoned,app
CART0000296,U003275,2025-12-01 15:58:43,active,web
CART0000297,U001577,2025-08-24 10:44:39,active,mini_program
CART0000298,U001965,2025-09-16 11:58:22,converted,app
CART0000299,U004675,2025-05-12 00:10:14,abandoned,app
CART0000300,U001753,2026-01-13 13:49:09,abandoned,web
CART0000301,U003450,2026-02-14 07:47:47,active,app
CART0000302,U000377,2025-05-24 09:39:24,active,mini_program
CART0000303,U004175,2025-01-23 14:31:49,abandoned,web
CART0000304,U000643,2025-04-07 11:46:06,abandoned,app
CART0000305,U000935,2026-03-19 12:10:05,converted,app
CART0000306,U001444,2026-08-05 07:35:48,converted,mini_program
CART0000307,U001362,2025-12-05 19:48:37,abandoned,app
CART0000308,U004001,2025-11-20 05:22:35,abandoned,mini_program
CART0000309,U002595,2026-06-25 21:20:45,converted,app
CART0000310,U000672,2026-03-15 01:50:27,converted,app
CART0000311,U001264,2026-01-11 07:38:40,active,app
CART0000312,U003086,2026-08-09 09:47:15,abandoned,app
CART0000313,U001668,2025-07-28 12:43:19,abandoned,app
CART0000314,U002021,2026-06-22 00:33:11,converted,mini_program
CART0000315,U000220,2026-04-20 07:57:53,abandoned,app
CART0000316,U002926,2026-05-02 05:25:28,converted,mini_program
CART0000317,U001950,2025-11-08 00:36:19,converted,web
CART0000318,U001596,2026-04-24 22:29:26,active,web
CART0000319,U004902,2026-02-17 11:19:32,converted,web
CART0000320,U004805,2025-09-25 07:17:06,active,app
CART0000321,U000854,2025-12-07 11:16:09,converted,app
CART0000322,U001933,2025-04-04 18:50:59,active,web
CART0000323,U000682,2026-01-16 12:30:11,active,app
CART0000324,U000777,2026-01-05 19:42:46,converted,mini_program
CART0000325,U001100,2026-07-05 07:05:19,converted,app
CART0000326,U003523,2025-05-11 16:15:09,converted,mini_program
CART0000327,U004672,2026-07-17 16:06:13,abandoned,app
CART0000328,U004060,2025-01-21 00:52:23,converted,mini_program
CART0000329,U000638,2026-07-02 14:21:11,abandoned,app
CART0000330,U000533,2026-04-06 18:21:28,active,mini_program
CART0000331,U001940,2025-06-23 11:41:57,converted,app
CART0000332,U004289,2026-07-26 01:27:47,abandoned,app
CART0000333,U003128,2026-02-25 16:14:11,converted,app
CART0000334,U000827,2026-07-28 08:22:53,converted,app
CART0000335,U002591,2025-03-15 01:16:01,active,app
CART0000336,U000893,2026-01-02 03:03:30,converted,app
CART0000337,U002413,2026-07-11 23:55:23,converted,app
CART0000338,U003891,2025-11-29 07:32:48,converted,app
CART0000339,U002912,2026-06-16 00:39:13,abandoned,web
CART0000340,U003507,2025-03-26 12:33:04,converted,web
CART0000341,U003075,2025-02-19 19:00:02,converted,mini_program
CART0000342,U001826,2025-06-11 02:05:27,abandoned,app
CART0000343,U001153,2026-06-11 02:59:53,converted,app
CART0000344,U003392,2025-07-07 14:06:39,abandoned,app
CART0000345,U000920,2025-10-23 05:35:11,converted,mini_program
CART0000346,U003200,2025-09-23 14:08:55,active,mini_program
CART0000347,U003574,2025-12-09 22:36:12,abandoned,app
CART0000348,U004975,2025-03-30 04:06:50,abandoned,app
CART0000349,U000390,2025-10-14 06:53:25,abandoned,app
CART0000350,U001547,2025-07-09 04:15:25,converted,web
CART0000351,U002606,2025-10-11 22:13:13,converted,web
CART0000352,U000552,2025-02-14 02:39:08,active,app
CART0000353,U000981,2026-04-14 14:41:05,converted,mini_program
CART0000354,U003815,2025-06-30 09:51:28,converted,app
CART0000355,U002512,2026-02-04 22:59:44,converted,app
CART0000356,U004498,2026-04-29 19:10:46,converted,app
CART0000357,U003545,2026-05-09 01:02:28,abandoned,mini_program
CART0000358,U002918,2025-01-27 04:39:04,active,web
CART0000359,U002575,2025-05-28 04:17:54,converted,app
CART0000360,U001843,2025-07-21 01:06:08,converted,app
CART0000361,U003122,2025-12-29 19:58:22,active,mini_program
CART0000362,U001911,2025-07-08 23:01:04,active,mini_program
CART0000363,U000250,2025-07-10 14:06:11,converted,app
CART0000364,U001613,2025-02-08 06:24:01,converted,web
CART0000365,U001700,2026-03-02 02:08:13,active,app
CART0000366,U001090,2025-02-15 05:13:51,abandoned,web
CART0000367,U002583,2026-02-15 14:49:11,active,mini_program
CART0000368,U000370,2025-01-13 06:16:35,active,app
CART0000369,U003212,2026-08-05 23:00:43,abandoned,app
CART0000370,U001122,2026-05-22 12:27:00,active,app
CART0000371,U000875,2025-01-30 13:48:08,active,app
CART0000372,U000113,2025-07-17 07:31:45,converted,app
CART0000373,U002407,2025-11-04 11:42:26,abandoned,web
CART0000374,U003723,2025-09-20 05:50:31,converted,app
CART0000375,U004186,2025-11-18 05:58:49,converted,web
CART0000376,U000713,2026-03-04 11:07:30,converted,mini_program
CART0000377,U003825,2025-10-18 08:57:15,abandoned,app
CART0000378,U004525,2025-01-14 14:55:46,abandoned,app
CART0000379,U004689,2025-12-12 07:15:23,active,app
CART0000380,U004752,2025-08-06 15:29:06,converted,app
CART0000381,U003534,2026-07-22 02:57:56,converted,app
CART0000382,U003405,2025-05-17 18:50:50,abandoned,app
CART0000383,U000558,2025-07-25 11:57:10,abandoned,app
CART0000384,U004266,2025-07-28 06:18:25,active,app
CART0000385,U004037,2026-02-14 02:27:12,converted,mini_program
CART0000386,U001044,2026-03-12 08:57:24,active,app
CART0000387,U001285,2025-03-22 17:29:11,active,app
CART0000388,U000013,2025-07-25 04:55:30,active,app
CART0000389,U002889,2025-02-19 00:09:28,active,web
CART0000390,U003352,2025-08-10 22:09:02,active,app
CART0000391,U003891,2025-01-19 16:26:28,active,app
CART0000392,U003727,2026-02-08 15:27:32,active,app
CART0000393,U001395,2025-09-12 13:50:23,active,mini_program
CART0000394,U000619,2026-01-17 00:42:55,converted,mini_program
CART0000395,U002299,2025-12-31 21:27:28,abandoned,web
CART0000396,U003551,2025-03-27 05:22:27,converted,app
CART0000397,U001503,2025-01-17 05:17:13,active,app
CART0000398,U004462,2025-03-09 18:22:47,active,app
CART0000399,U002334,2025-08-01 04:55:48,abandoned,app
CART0000400,U002137,2025-12-04 14:08:31,converted,app
CART0000401,U000731,2025-09-08 07:28:26,active,app
CART0000402,U001026,2025-11-05 22:27:55,active,app
CART0000403,U001376,2026-04-05 11:42:37,active,app
CART0000404,U002054,2025-03-20 10:43:19,converted,mini_program
CART0000405,U003190,2025-05-23 13:54:30,converted,app
CART0000406,U003095,2025-10-15 16:45:21,converted,app
CART0000407,U002675,2026-05-28 14:20:10,active,mini_program
CART0000408,U000417,2025-09-10 06:55:13,active,mini_program
CART0000409,U003772,2025-08-19 07:33:18,converted,app
CART0000410,U002672,2026-01-14 08:30:15,converted,app
CART0000411,U001766,2026-08-01 21:47:25,active,app
CART0000412,U003542,2026-06-19 21:51:58,active,app
CART0000413,U001290,2026-03-12 02:08:02,active,web
CART0000414,U003256,2026-07-25 12:24:56,abandoned,web
CART0000415,U001604,2026-01-11 00:26:57,converted,app
CART0000416,U000325,2026-08-01 16:53:03,converted,app
CART0000417,U003288,2026-02-03 17:16:03,converted,app
CART0000418,U000422,2026-01-30 17:55:42,converted,mini_program
CART0000419,U001634,2025-05-18 11:23:50,active,app
CART0000420,U001020,2026-04-06 19:16:28,converted,app
CART0000421,U003580,2026-03-29 09:23:40,converted,app
CART0000422,U001874,2025-05-20 02:52:17,active,mini_program
CART0000423,U003518,2025-02-03 05:57:23,abandoned,app
CART0000424,U001474,2025-12-29 08:15:32,active,app
CART0000425,U001433,2026-04-11 12:28:25,active,app
CART0000426,U000964,2026-08-19 11:14:44,converted,web
CART0000427,U003148,2025-06-19 06:32:18,active,app
CART0000428,U002661,2025-09-08 06:11:34,converted,app
CART0000429,U003692,2025-04-10 13:57:09,active,app
CART0000430,U003693,2025-02-09 06:54:03,converted,app
CART0000431,U003225,2025-02-22 08:06:29,active,web
CART0000432,U000592,2025-03-30 13:54:43,converted,app
CART0000433,U003320,2025-05-07 18:57:17,abandoned,app
CART0000434,U003684,2026-06-28 10:11:21,active,app
CART0000435,U003249,2026-01-25 10:07:18,active,app
CART0000436,U002909,2025-07-29 02:28:12,converted,mini_program
CART0000437,U003323,2025-09-16 02:19:56,converted,app
CART0000438,U000787,2025-10-25 15:06:03,abandoned,app
CART0000439,U002112,2025-09-25 07:02:32,converted,mini_program
CART0000440,U004252,2025-07-22 05:27:21,converted,app
CART0000441,U003192,2025-07-25 09:54:54,abandoned,app
CART0000442,U003634,2026-06-22 21:04:42,active,app
CART0000443,U001213,2025-12-06 10:28:24,converted,app
CART0000444,U000622,2026-01-05 03:56:11,converted,app
CART0000445,U004658,2025-07-22 22:29:55,converted,web
CART0000446,U000508,2025-03-02 19:38:58,active,app
CART0000447,U002924,2026-05-07 23:54:10,active,mini_program
CART0000448,U000433,2025-05-18 23:35:04,active,mini_program
CART0000449,U002682,2025-05-07 07:19:12,converted,web
CART0000450,U003523,2026-06-27 12:34:25,active,app
CART0000451,U002251,2025-10-12 21:03:00,converted,app
CART0000452,U004181,2025-01-05 18:17:18,active,app
CART0000453,U002472,2026-06-14 22:43:33,abandoned,app
CART0000454,U000403,2025-10-23 13:10:55,active,mini_program
CART0000455,U000964,2025-02-06 19:47:12,converted,app
CART0000456,U002006,2026-08-12 15:58:03,abandoned,app
CART0000457,U002842,2025-10-06 20:52:05,converted,web
CART0000458,U001539,2025-10-02 10:11:31,abandoned,app
CART0000459,U000721,2025-11-26 16:32:33,active,mini_program
CART0000460,U003536,2025-03-10 13:58:13,abandoned,app
CART0000461,U003592,2026-02-05 00:42:30,abandoned,app
CART0000462,U004233,2026-03-26 10:47:41,converted,mini_program
CART0000463,U001977,2026-01-22 12:53:43,converted,app
CART0000464,U000126,2025-02-01 19:11:20,abandoned,app
CART0000465,U001905,2025-04-20 03:36:47,converted,web
CART0000466,U004691,2026-02-09 05:13:12,active,app
CART0000467,U000641,2026-04-24 02:48:52,active,web
CART0000468,U004128,2026-07-24 02:22:50,converted,app
CART0000469,U003871,2025-04-02 18:24:43,active,mini_program
CART0000470,U004481,2026-04-26 14:58:10,converted,mini_program
CART0000471,U000153,2025-02-25 00:58:14,active,app
CART0000472,U003904,2026-01-18 22:44:21,active,app
CART0000473,U003976,2025-02-18 04:48:41,abandoned,app
CART0000474,U000793,2025-06-11 19:08:52,abandoned,mini_program
CART0000475,U003019,2025-12-07 04:43:19,abandoned,app
CART0000476,U002464,2026-03-31 08:53:01,converted,mini_program
CART0000477,U001635,2026-07-16 01:30:08,active,web
CART0000478,U000056,2025-09-28 01:54:33,active,web
CART0000479,U002135,2025-07-29 12:29:07,abandoned,app
CART0000480,U002713,2025-11-07 17:19:14,converted,app
CART0000481,U000023,2026-01-21 04:37:46,converted,app
CART0000482,U002954,2025-12-26 22:13:10,converted,mini_program
CART0000483,U002637,2026-03-26 22:00:18,converted,app
CART0000484,U000086,2025-10-06 00:49:01,converted,web
CART0000485,U002832,2025-11-22 02:06:10,active,app
CART0000486,U000061,2026-02-23 03:25:12,converted,app
CART0000487,U001438,2025-03-27 07:32:41,converted,app
CART0000488,U002749,2025-06-13 23:08:25,converted,web
