ad_stat_id,ad_campaign_id,stat_date,impressions,clicks,conversions,ad_cost,attributed_revenue,roi
ADS00000057,AD00057,2025-01-16,114436,2317,166,2091.22,70017.5,33.4817
ADS00000058,AD00058,2025-07-11,16413,159,21,741.83,12839.2,17.3075
ADS00000059,AD00059,2026-05-06,12329,783,48,1989.06,12763.39,6.4168
ADS00000060,AD00060,2025-05-05,90302,2809,311,10422.08,143472.83,13.7662
ADS00000061,AD00061,2026-05-01,52464,1266,125,2446.83,20863.46,8.5267
ADS00000062,AD00062,2026-03-26,41399,3132,145,12847.86,44584.13,3.4702
ADS00000063,AD00063,2025-07-09,132849,7210,558,8473.04,202040.71,23.8451
ADS00000064,AD00064,2025-04-07,84875,2334,70,9420.03,43278.27,4.5943
ADS00000065,AD00065,2026-03-03,92732,6188,259,10566.72,173833.66,16.4511
ADS00000066,AD00066,2026-02-18,60360,3135,286,10946.92,132480.08,12.102
ADS00000067,AD00067,2025-09-04,152971,10685,292,14822.21,18933.98,1.2774
ADS00000068,AD00068,2026-07-20,40780,2464,69,2348.74,30874.55,13.1452
ADS00000069,AD00069,2025-08-14,142087,5513,823,14693.2,100671.96,6.8516
ADS00000070,AD00070,2026-07-06,66548,805,66,2491.25,20925.48,8.3996
ADS00000071,AD00071,2026-08-07,123714,5622,191,24613.02,104401.62,4.2417
ADS00000072,AD00072,2025-10-29,144637,10534,1148,16418.84,265442.29,16.1669
ADS00000073,AD00073,2025-05-09,161581,8369,755,38659.67,214038.62,5.5365
ADS00000074,AD00074,2025-06-29,134471,4699,327,21958.51,158705.49,7.2275
ADS00000075,AD00075,2026-04-15,16550,906,44,2456.94,23606.31,9.608
ADS00000076,AD00076,2025-03-03,71873,1156,33,1682.41,8205.7,4.8773
ADS00000077,AD00077,2025-08-07,113003,2219,85,9512.44,10808.26,1.1362
ADS00000078,AD00078,2025-01-16,53067,1886,73,6446.31,19411.65,3.0113
ADS00000079,AD00079,2026-02-17,100710,2255,35,10291.19,18511.35,1.7988
ADS00000080,AD00080,2025-08-14,121445,1026,84,2904.5,53625.56,18.4629
ADS00000081,AD00081,2025-05-11,53414,2272,229,2259.64,153712.52,68.0252
ADS00000082,AD00082,2026-07-29,70161,1383,57,687.59,8679.94,12.6237
ADS00000083,AD00083,2026-01-09,28622,1527,38,1633.65,3920.9,2.4001
ADS00000084,AD00084,2025-09-30,101593,7236,623,18820.35,48239.64,2.5632
ADS00000085,AD00085,2026-08-01,18988,733,74,1060.43,15453.15,14.5725
ADS00000086,AD00086,2025-10-31,12300,139,6,208.49,960.85,4.6086
ADS00000087,AD00087,2025-02-08,149572,8208,963,32093.61,425588.18,13.2608
ADS00000088,AD00088,2025-05-07,111551,3929,349,13061.83,22936.83,1.756
ADS00000089,AD00089,2025-03-08,19928,918,119,2755.44,68648.48,24.9138
ADS00000090,AD00090,2026-08-20,72423,1555,186,4989.19,40257.55,8.069
ADS00000091,AD00091,2025-05-25,83553,3572,416,4772.48,25452.94,5.3333
ADS00000092,AD00092,2025-02-11,144211,1788,118,5307.37,56453.67,10.6368
ADS00000093,AD00093,2026-08-19,144664,9679,616,11331.51,53516.59,4.7228
ADS00000094,AD00094,2025-09-11,16989,408,43,345.17,8792.0,25.4715
ADS00000095,AD00095,2025-03-05,70975,5226,271,15060.92,152243.82,10.1085
ADS00000096,AD00096,2026-07-31,131356,10464,668,18564.21,70199.19,3.7814
ADS00000097,AD00097,2025-05-28,130110,9908,609,38835.65,317695.01,8.1805
ADS00000098,AD00098,2025-05-10,126945,3312,107,14160.36,8121.9,0.5736
ADS00000099,AD00099,2026-03-19,144400,10091,370,19161.72,191854.19,10.0124
ADS00000100,AD00100,2025-08-20,87369,2454,347,3803.21,27934.99,7.3451
ADS00000101,AD00001,2025-07-01,177820,11523,603,30483.53,78956.29,2.5901
ADS00000102,AD00002,2025-06-20,139476,9465,685,32590.12,66444.25,2.0388
ADS00000103,AD00003,2025-09-23,92412,1806,213,3455.73,142876.85,41.3449
ADS00000104,AD00004,2026-06-24,114489,5005,163,9083.3,39597.48,4.3594
ADS00000105,AD00005,2025-12-17,157582,6207,900,6895.15,113950.32,16.5262
ADS00000106,AD00006,2025-03-31,46795,448,54,140.31,16884.45,120.3368
ADS00000107,AD00007,2026-07-25,168162,8034,423,14585.51,283975.4,19.4697
ADS00000108,AD00008,2026-08-21,76954,5273,562,3573.58,192349.01,53.8253
ADS00000109,AD00009,2026-06-18,49465,562,10,711.77,3056.88,4.2948
ADS00000110,AD00010,2026-07-30,173726,11249,557,53201.79,45687.7,0.8588
ADS00000111,AD00011,2025-06-17,124544,7114,172,12309.38,28582.44,2.322
ADS00000112,AD00012,2026-06-23,66873,4696,294,11988.61,29507.52,2.4613
ADS00000113,AD00013,2026-02-19,63232,2612,44,8788.96,19865.13,2.2602
ADS00000114,AD00014,2026-07-04,36648,1728,77,3317.03,19894.02,5.9975
ADS00000115,AD00015,2026-06-09,28832,635,90,680.06,37027.26,54.447
ADS00000116,AD00016,2025-03-04,36256,2767,169,1794.37,83792.44,46.6974
ADS00000117,AD00017,2025-04-10,32175,2427,96,5529.54,59214.81,10.7088
ADS00000118,AD00018,2026-05-09,179874,6607,921,12121.77,378596.14,31.2327
ADS00000119,AD00019,2025-08-08,138216,1554,121,5727.56,72315.8,12.6259
ADS00000120,AD00020,2026-03-23,143106,3999,69,13790.45,25060.06,1.8172
ADS00000121,AD00021,2025-09-27,105413,3748,295,12699.96,93156.34,7.3352
ADS00000122,AD00022,2026-04-24,165299,11089,1364,6864.54,835674.12,121.7378
ADS00000123,AD00023,2025-05-19,28738,1648,125,7810.09,8675.8,1.1108
ADS00000124,AD00024,2026-08-06,97705,5524,382,6741.43,119027.31,17.6561
ADS00000125,AD00025,2025-02-06,102916,4640,578,6434.24,278991.27,43.3604
ADS00000126,AD00026,2026-02-24,166602,8472,424,32249.52,209689.9,6.5021
ADS00000127,AD00027,2025-11-24,50682,925,87,4433.79,16207.89,3.6555
ADS00000128,AD00028,2025-05-15,101507,6276,688,13966.83,264991.89,18.9729
ADS00000129,AD00029,2025-12-08,90399,1914,136,4814.28,44161.74,9.1731
ADS00000130,AD00030,2025-03-04,161830,4748,602,22232.77,165918.94,7.4628
ADS00000131,AD00031,2025-05-26,91533,6637,597,22154.51,218815.24,9.8768
ADS00000132,AD00032,2026-08-22,178472,10434,159,46080.14,50883.33,1.1042
ADS00000133,AD00033,2026-02-11,65541,1567,50,3178.77,22031.83,6.9309
ADS00000134,AD00034,2025-05-05,150743,3022,415,4737.74,93983.55,19.8372
ADS00000135,AD00035,2026-02-10,33342,319,28,1403.88,13545.79,9.6488
ADS00000136,AD00036,2025-03-22,54795,2898,332,9594.56,80667.92,8.4077
ADS00000137,AD00037,2026-05-24,34086,380,52,1580.87,3177.62,2.01
ADS00000138,AD00038,2026-05-07,12769,596,21,2048.72,12547.9,6.1248
ADS00000139,AD00039,2026-06-06,136243,8593,754,11292.03,503576.48,44.5957
ADS00000140,AD00040,2025-09-23,38724,1728,52,971.15,13260.0,13.6539
ADS00000141,AD00041,2025-08-07,135533,7810,657,15952.91,347024.1,21.753
ADS00000142,AD00042,2026-04-08,14358,191,16,889.08,10026.15,11.277
ADS00000143,AD00043,2025-03-04,10242,637,82,2629.28,24054.45,9.1487
ADS00000144,AD00044,2026-02-19,156570,10843,245,12872.83,86376.61,6.71
ADS00000145,AD00045,2026-01-14,75862,2876,89,2693.56,10101.46,3.7502
ADS00000146,AD00046,2025-06-29,105001,8142,829,34868.82,350816.51,10.061
ADS00000147,AD00047,2025-03-01,167148,7689,354,25115.1,48516.88,1.9318
ADS00000148,AD00048,2025-09-03,78302,2516,302,4503.31,107318.53,23.831
ADS00000149,AD00049,2026-02-17,94842,7538,1044,23563.95,542602.31,23.0268
ADS00000150,AD00050,2025-04-30,26130,1678,222,7463.91,77583.5,10.3945
ADS00000151,AD00051,2025-03-29,40578,1341,136,918.25,56760.96,61.8143
ADS00000152,AD00052,2025-10-20,38498,879,95,2976.68,21446.27,7.2048
ADS00000153,AD00053,2026-01-26,90055,4745,294,5927.57,61137.67,10.3141
ADS00000154,AD00054,2025-08-09,20562,987,125,1976.87,63530.83,32.1371
ADS00000155,AD00055,2025-06-02,18118,469,61,334.44,6448.3,19.2809
ADS00000156,AD00056,2026-08-02,3155,190,12,862.35,3800.02,4.4066
ADS00000157,AD00057,2025-02-03,53600,1221,160,1542.13,56404.97,36.576
ADS00000158,AD00058,2025-06-29,177362,8420,908,31438.19,96352.63,3.0648
ADS00000159,AD00059,2026-06-07,103727,6854,806,13818.81,368889.8,26.6948
ADS00000160,AD00060,2025-05-05,48701,2054,258,8323.34,75366.82,9.0549
ADS00000161,AD00061,2026-06-16,135261,4795,111,11211.82,60941.38,5.4355
ADS00000162,AD00062,2026-04-01,67567,2431,158,5311.3,78598.32,14.7983
ADS00000163,AD00063,2025-06-26,105493,6159,708,19429.81,251706.42,12.9547
ADS00000164,AD00064,2025-04-14,164752,10889,1057,15356.56,387084.7,25.2065
ADS00000165,AD00065,2026-03-18,103876,2662,370,4819.8,106783.9,22.1553
ADS00000166,AD00066,2026-02-15,125180,7009,383,21575.11,201404.84,9.3351
ADS00000167,AD00067,2025-08-09,164029,10012,601,48046.73,205348.3,4.2739
ADS00000168,AD00068,2026-07-13,130928,2844,85,11108.51,51839.41,4.6666
ADS00000169,AD00069,2025-08-08,93269,7384,680,23532.96,451634.71,19.1916
ADS00000170,AD00070,2026-06-18,9648,114,16,522.65,2521.3,4.8241
ADS00000171,AD00071,2026-08-07,36048,2121,236,841.51,82900.76,98.5143
ADS00000172,AD00072,2025-10-17,136948,2124,172,9278.82,42149.7,4.5426
ADS00000173,AD00073,2025-05-25,57942,3661,268,14899.68,116491.47,7.8184
ADS00000174,AD00074,2025-06-28,90878,2548,338,11191.7,32235.8,2.8803
ADS00000175,AD00075,2026-04-13,150828,2543,62,4861.95,35144.88,7.2286
ADS00000176,AD00076,2025-03-14,157386,6318,316,21074.72,197690.9,9.3805
ADS00000177,AD00077,2025-08-30,17764,933,123,547.84,12312.96,22.4755
ADS00000178,AD00078,2025-01-29,131480,7089,452,25203.81,178222.81,7.0713
ADS00000179,AD00079,2026-02-17,29648,2324,302,10228.42,20981.6,2.0513
ADS00000180,AD00080,2025-08-31,23151,1306,55,6221.31,29315.06,4.712
ADS00000181,AD00081,2025-07-10,50577,514,50,1241.15,14938.33,12.0359
ADS00000182,AD00082,2026-08-11,66212,3011,253,11211.59,158402.91,14.1285
ADS00000183,AD00083,2026-01-09,83918,1750,247,1744.01,104564.14,59.9562
ADS00000184,AD00084,2025-09-09,4197,200,16,406.94,8937.93,21.9638
ADS00000185,AD00085,2026-08-16,107180,2140,298,5367.92,106934.04,19.9209
ADS00000186,AD00086,2025-11-18,3944,289,6,794.01,3711.42,4.6743
ADS00000187,AD00087,2025-02-03,77429,3384,253,3534.92,74468.6,21.0666
ADS00000188,AD00088,2025-04-26,173198,13276,623,58471.99,174666.83,2.9872
ADS00000189,AD00089,2025-03-04,65600,3890,473,6815.65,128676.9,18.8796
ADS00000190,AD00090,2026-08-13,171229,1829,213,4013.9,23581.22,5.8749
ADS00000191,AD00091,2025-05-31,86061,5416,348,4367.32,33652.38,7.7055
ADS00000192,AD00092,2025-03-02,160710,12011,817,16123.33,463067.75,28.7204
ADS00000193,AD00093,2026-08-20,30106,1070,157,4876.99,86634.14,17.7639
ADS00000194,AD00094,2025-10-14,14400,1034,149,4360.18,30313.51,6.9524
ADS00000195,AD00095,2025-03-01,75190,2040,65,2062.59,28314.62,13.7277
ADS00000196,AD00096,2026-07-28,7345,473,51,278.89,19445.57,69.7249
ADS00000197,AD00097,2025-05-17,95624,5983,369,23889.14,96378.61,4.0344
ADS00000198,AD00098,2025-06-05,79642,1286,20,1506.9,8158.8,5.4143
ADS00000199,AD00099,2026-02-28,153411,12195,1074,56635.16,118148.69,2.0861
ADS00000200,AD00100,2025-09-03,76807,616,12,1171.17,3945.99,3.3693
ADS00000201,AD00001,2025-07-02,28876,1437,107,1416.42,8937.46,6.3099
ADS00000202,AD00002,2025-06-28,176655,10686,552,29394.32,41617.7,1.4158
ADS00000203,AD00003,2025-09-23,148876,3311,226,7470.02,100088.92,13.3987
ADS00000204,AD00004,2026-06-03,148237,1972,100,1403.72,25868.63,18.4286
ADS00000205,AD00005,2026-02-15,146531,10131,981,46996.61,267116.79,5.6837
ADS00000206,AD00006,2025-03-27,152350,1751,183,1754.52,29269.31,16.6822
ADS00000207,AD00007,2026-08-18,173775,5179,479,12761.48,109637.97,8.5913
ADS00000208,AD00008,2026-08-22,70532,5030,520,5929.41,310652.16,52.3917
ADS00000209,AD00009,2026-06-17,85445,3139,379,14685.87,97230.91,6.6207
ADS00000210,AD00010,2026-08-13,114345,3162,315,14619.89,108088.01,7.3932
ADS00000211,AD00011,2025-06-12,14591,308,26,999.66,11782.52,11.7865
ADS00000212,AD00012,2026-06-21,15564,180,4,303.38,1688.22,5.5647
ADS00000213,AD00013,2026-03-22,165460,9000,1041,7062.69,456700.21,64.6638
ADS00000214,AD00014,2026-07-10,54230,1337,196,1920.63,47373.24,24.6655
ADS00000215,AD00015,2026-06-28,29759,1387,114,5655.23,38072.78,6.7323
ADS00000216,AD00016,2025-03-22,85525,2531,94,1008.64,50446.28,50.0142
ADS00000217,AD00017,2025-04-07,52337,2276,185,9589.2,101430.87,10.5776
ADS00000218,AD00018,2026-05-09,36391,345,27,1350.04,12444.26,9.2177
ADS00000219,AD00019,2025-08-06,165291,10195,278,29818.44,117523.16,3.9413
ADS00000220,AD00020,2026-04-04,87417,3241,241,3699.89,151739.3,41.0118
ADS00000221,AD00021,2025-10-02,25466,370,34,411.54,4474.3,10.8721
ADS00000222,AD00022,2026-06-12,138040,8998,148,35085.76,32335.59,0.9216
ADS00000223,AD00023,2025-05-08,43580,2322,234,1329.22,139433.73,104.8989
ADS00000224,AD00024,2026-08-03,165820,8915,205,21586.17,130597.85,6.0501
ADS00000225,AD00025,2025-01-28,140983,2639,312,8406.67,199344.01,23.7126
ADS00000226,AD00026,2026-02-05,175918,6155,800,20585.8,272337.24,13.2294
ADS00000227,AD00027,2025-11-17,107966,1321,24,2000.41,5517.96,2.7584
ADS00000228,AD00028,2025-06-11,105553,2966,261,4757.72,63018.16,13.2455
ADS00000229,AD00029,2025-12-12,45711,2828,166,13493.45,72529.03,5.3751
ADS00000230,AD00030,2025-03-03,84322,6465,275,11546.34,185758.26,16.0881
ADS00000231,AD00031,2025-04-17,171702,7777,988,29171.07,421891.95,14.4627
ADS00000232,AD00032,2026-08-15,15050,164,10,509.98,3201.94,6.2786
ADS00000233,AD00033,2026-02-20,73745,5430,688,5400.08,96081.93,17.7927
ADS00000234,AD00034,2025-05-28,10285,697,86,3154.29,6336.03,2.0087
ADS00000235,AD00035,2026-01-24,168363,13231,1050,12903.57,106970.58,8.29
ADS00000236,AD00036,2025-03-12,157922,12349,1203,6066.9,148417.63,24.4635
ADS00000237,AD00037,2026-06-24,103805,4389,461,4431.04,61053.89,13.7787
ADS00000238,AD00038,2026-04-17,135209,7569,425,28026.55,93818.6,3.3475
ADS00000239,AD00039,2026-06-11,139510,9971,704,15805.75,369764.37,23.3943
ADS00000240,AD00040,2025-10-23,26769,783,22,3480.59,4623.8,1.3285
ADS00000241,AD00041,2025-08-13,157648,8924,1327,22858.48,186350.24,8.1523
ADS00000242,AD00042,2026-03-18,83987,5835,655,18435.25,295539.01,16.0312
ADS00000243,AD00043,2025-04-01,41137,2140,76,692.33,18661.31,26.9544
ADS00000244,AD00044,2026-02-09,96296,1685,141,4623.12,19895.76,4.3035
ADS00000245,AD00045,2026-01-09,107516,1113,61,3126.83,15547.35,4.9722
ADS00000246,AD00046,2025-08-17,170757,9878,939,31133.11,542428.36,17.4229
ADS00000247,AD00047,2025-03-03,81721,2883,151,4227.5,97972.54,23.1751
ADS00000248,AD00048,2025-08-31,32051,1242,52,2783.78,14674.07,5.2713
ADS00000249,AD00049,2026-03-05,165883,5929,335,17317.93,37688.55,2.1763
ADS00000250,AD00050,2025-03-22,86754,4043,181,13987.53,105600.44,7.5496
ADS00000251,AD00051,2025-03-30,95483,4371,307,17386.76,192522.66,11.0729
ADS00000252,AD00052,2025-10-31,30202,844,76,300.49,14876.65,49.508
ADS00000253,AD00053,2026-01-23,151039,11019,390,38439.61,194210.5,5.0524
ADS00000254,AD00054,2025-08-03,158771,2637,51,9295.31,30951.19,3.3298
ADS00000255,AD00055,2025-05-23,138927,7741,431,18045.62,114053.03,6.3203
ADS00000256,AD00056,2026-07-30,44430,1266,72,1167.87,48436.58,41.4743
ADS00000257,AD00057,2025-01-13,142326,3035,163,4699.98,29896.89,6.3611
ADS00000258,AD00058,2025-07-04,43496,1619,135,1092.03,54958.86,50.3272
ADS00000259,AD00059,2026-04-29,20132,1595,126,4241.32,20591.59,4.855
ADS00000260,AD00060,2025-04-30,94597,7265,582,27515.78,285086.27,10.3608
ADS00000261,AD00061,2026-04-28,32753,1445,189,1915.58,117287.81,61.2284
ADS00000262,AD00062,2026-03-26,148830,3833,321,16886.41,47003.39,2.7835
ADS00000263,AD00063,2025-07-02,56962,3250,296,2555.35,59868.84,23.4288
ADS00000264,AD00064,2025-05-23,68907,4613,360,13281.16,60010.08,4.5184
ADS00000265,AD00065,2026-03-21,120558,7224,930,25220.25,329332.9,13.0583
ADS00000266,AD00066,2026-02-20,144320,4774,647,4871.43,65727.52,13.4924
ADS00000267,AD00067,2025-07-21,178593,5560,340,16945.27,215529.55,12.7192
ADS00000268,AD00068,2026-07-10,175895,13859,215,19255.73,60415.91,3.1376
ADS00000269,AD00069,2025-08-26,123809,8465,799,23840.8,452876.8,18.9959
ADS00000270,AD00070,2026-06-04,59579,529,21,2016.48,1442.41,0.7153
ADS00000271,AD00071,2026-07-09,75607,6025,435,10865.97,249686.14,22.9787
ADS00000272,AD00072,2025-10-19,111753,6291,674,2613.74,78769.3,30.1366
ADS00000273,AD00073,2025-04-27,1006,65,4,187.7,331.45,1.7658
ADS00000274,AD00074,2025-06-20,178650,5813,587,17193.22,86384.18,5.0243
ADS00000275,AD00075,2026-04-14,157435,5580,225,16188.65,86781.45,5.3606
ADS00000276,AD00076,2025-04-12,171635,8194,1133,15949.72,492954.6,30.9068
ADS00000277,AD00077,2025-08-27,149495,5037,712,16596.79,185682.45,11.1879
ADS00000278,AD00078,2025-02-17,179878,8539,703,39892.03,353675.05,8.8658
ADS00000279,AD00079,2026-01-08,122461,8075,151,8260.35,65270.38,7.9016
ADS00000280,AD00080,2025-08-23,97582,818,75,639.81,20840.53,32.573
ADS00000281,AD00081,2025-06-05,65151,2458,122,3992.59,11521.15,2.8856
ADS00000282,AD00082,2026-08-04,11268,558,70,1890.28,14796.55,7.8277
ADS00000283,AD00083,2025-12-26,76335,4190,543,1513.66,100312.6,66.2716
ADS00000284,AD00084,2025-09-27,101440,5689,277,7342.28,75452.35,10.2764
ADS00000285,AD00085,2026-08-18,147257,3023,437,4580.09,240896.24,52.5964
ADS00000286,AD00086,2025-10-21,173901,13708,1286,28863.19,820226.4,28.4177
ADS00000287,AD00087,2025-02-02,102949,2422,192,9293.14,63491.96,6.8321
ADS00000288,AD00088,2025-05-02,77174,5411,293,3341.14,86328.52,25.838
ADS00000289,AD00089,2025-02-11,88623,5483,90,25077.94,48359.61,1.9284
ADS00000290,AD00090,2026-08-15,71921,1807,143,5762.88,95777.88,16.6198
ADS00000291,AD00091,2025-05-05,164100,5678,586,22021.04,348146.18,15.8097
ADS00000292,AD00092,2025-03-19,77874,853,112,1859.55,50398.61,27.1026
ADS00000293,AD00093,2026-08-19,2247,161,15,747.45,7051.35,9.4339
ADS00000294,AD00094,2025-09-12,32931,1450,107,5411.76,19473.34,3.5983
ADS00000295,AD00095,2025-03-29,125200,2464,97,7993.4,17965.34,2.2475
ADS00000296,AD00096,2026-08-13,70649,2110,287,6727.36,45405.64,6.7494
ADS00000297,AD00097,2025-04-09,14109,972,16,2868.63,8486.37,2.9583
ADS00000298,AD00098,2025-05-28,157568,5605,388,18323.68,68388.58,3.7323
ADS00000299,AD00099,2026-04-09,106632,7814,840,33602.43,468102.85,13.9306
ADS00000300,AD00100,2025-08-21,33409,2295,340,3994.42,131133.6,32.8292
ADS00000301,AD00001,2025-07-20,75627,3733,356,6827.43,22086.93,3.235
ADS00000302,AD00002,2025-06-26,8123,497,71,435.42,8748.64,20.0924
ADS00000303,AD00003,2025-08-27,88577,3914,264,9529.43,95413.94,10.0126
ADS00000304,AD00004,2026-05-31,173069,4046,286,5968.48,42050.35,7.0454
ADS00000305,AD00005,2026-01-26,35955,1450,192,5213.59,82017.9,15.7316
ADS00000306,AD00006,2025-03-04,5693,144,19,291.85,2602.23,8.9163
ADS00000307,AD00007,2026-08-04,12968,415,33,1377.0,13999.07,10.1664
ADS00000308,AD00008,2026-08-22,86673,3494,187,14009.43,39421.73,2.8139
ADS00000309,AD00009,2026-07-23,58894,1715,30,826.42,4566.56,5.5257
ADS00000310,AD00010,2026-08-01,105038,6597,501,4565.1,186011.21,40.7464
ADS00000311,AD00011,2025-06-04,28086,1761,235,7781.58,69355.89,8.9128
ADS00000312,AD00012,2026-08-19,17111,790,38,3080.4,16299.09,5.2912
ADS00000313,AD00013,2026-04-10,32842,2406,293,7101.71,185749.7,26.1556
ADS00000314,AD00014,2026-07-06,150298,11744,1646,37944.31,193624.26,5.1029
ADS00000315,AD00015,2026-06-29,72055,3765,529,11105.15,251203.09,22.6204
ADS00000316,AD00016,2025-03-26,7664,526,40,2482.74,26508.0,10.6769
ADS00000317,AD00017,2025-04-24,115637,4637,576,19290.24,114669.15,5.9444
ADS00000318,AD00018,2026-05-13,57968,2200,318,8388.8,71999.67,8.5828
ADS00000319,AD00019,2025-08-20,105397,2038,64,4343.69,31892.61,7.3423
ADS00000320,AD00020,2026-05-16,104685,1636,45,2399.4,22047.4,9.1887
ADS00000321,AD00021,2025-09-25,36256,2287,246,7934.41,102217.4,12.8828
ADS00000322,AD00022,2026-04-26,119021,3212,391,3784.45,227660.56,60.1568
ADS00000323,AD00023,2025-06-10,108806,4498,596,7217.44,220292.82,30.5223
ADS00000324,AD00024,2026-06-24,22227,196,8,433.24,1824.49,4.2113
ADS00000325,AD00025,2025-02-07,72470,4842,245,6368.29,135528.57,21.2818
ADS00000326,AD00026,2026-03-27,101104,3887,205,10020.3,62836.51,6.2709
ADS00000327,AD00027,2025-11-24,19922,1143,80,4032.36,4923.65,1.221
ADS00000328,AD00028,2025-04-26,127760,7652,863,17391.97,239627.65,13.7781
ADS00000329,AD00029,2025-10-18,115778,6768,514,16204.57,67784.42,4.183
ADS00000330,AD00030,2025-03-31,130110,4227,161,17449.74,14816.68,0.8491
ADS00000331,AD00031,2025-05-20,87728,6580,295,13970.21,67871.31,4.8583
ADS00000332,AD00032,2026-08-21,101097,7492,892,19007.58,165866.02,8.7263
ADS00000333,AD00033,2026-02-11,95777,4948,411,12651.53,200779.11,15.8699
