movement_id,sku_id,warehouse_id,movement_type,quantity_delta,occurred_at,reference_no,source_system
IM00000079,SKU0001936,W006,purchase_in,13,2026-05-26 22:07:18,REF00010801,order
IM00000080,SKU0001832,W014,adjustment,62,2025-11-11 01:36:24,REF00000469,purchase
IM00000081,SKU0002332,W010,purchase_in,65,2025-07-13 13:50:18,REF00011592,order
IM00000082,SKU0001231,W016,sale_out,-36,2025-05-13 12:29:03,REF00014588,system
IM00000083,SKU0000358,W012,return_in,10,2025-08-02 19:10:58,REF00012091,warehouse
IM00000084,SKU0000806,W010,purchase_in,73,2026-07-18 08:00:13,REF00005612,purchase
IM00000085,SKU0002239,W010,return_in,62,2025-09-07 05:38:19,REF00002022,order
IM00000086,SKU0001443,W001,sale_out,-50,2025-08-26 09:02:58,REF00006286,order
IM00000087,SKU0002151,W015,sale_out,-35,2026-01-18 15:54:18,REF00005322,system
IM00000088,SKU0002776,W009,purchase_in,57,2025-02-18 07:20:38,REF00000444,order
IM00000089,SKU0001141,W007,return_in,10,2025-06-15 13:48:56,REF00004030,order
IM00000090,SKU0002328,W001,purchase_in,37,2025-11-09 21:33:29,REF00001882,purchase
IM00000091,SKU0001826,W004,sale_out,-21,2025-01-12 23:43:20,REF00012504,order
IM00000092,SKU0000456,W002,sale_out,-57,2025-10-29 13:18:18,REF00010613,system
IM00000093,SKU0001405,W001,sale_out,-37,2025-08-17 04:24:18,REF00011608,order
IM00000094,SKU0000018,W015,purchase_in,19,2025-04-21 07:20:58,REF00011694,order
IM00000095,SKU0002505,W001,sale_out,-49,2025-01-03 07:55:20,REF00002218,order
IM00000096,SKU0001884,W006,transfer_out,-7,2026-04-24 23:23:01,REF00002079,order
IM00000097,SKU0002414,W009,transfer_out,-66,2025-08-31 23:00:47,REF00005501,order
IM00000098,SKU0001573,W016,transfer_in,25,2025-04-30 08:56:11,REF00013135,system
IM00000099,SKU0000631,W016,sale_out,-79,2026-03-23 09:43:22,REF00008255,purchase
IM00000100,SKU0001334,W007,sale_out,-13,2025-02-01 20:46:59,REF00007506,system
IM00000101,SKU0001597,W016,sale_out,-15,2026-02-10 17:30:11,REF00006456,warehouse
IM00000102,SKU0002290,W005,sale_out,-11,2025-05-21 09:40:12,REF00000500,purchase
IM00000103,SKU0000369,W013,sale_out,-52,2025-07-09 11:25:28,REF00002440,warehouse
IM00000104,SKU0000177,W004,purchase_in,60,2025-05-26 02:37:48,REF00007859,purchase
IM00000105,SKU0001994,W014,purchase_in,78,2025-06-20 09:15:52,REF00006640,system
IM00000106,SKU0000135,W001,transfer_out,-60,2026-08-02 22:19:29,REF00001617,warehouse
IM00000107,SKU0000705,W014,return_in,8,2025-10-26 16:24:29,REF00012326,system
IM00000108,SKU0002654,W015,purchase_in,34,2026-08-17 02:32:54,REF00012187,warehouse
IM00000109,SKU0002291,W007,purchase_in,24,2025-03-24 10:58:47,REF00010657,warehouse
IM00000110,SKU0002403,W015,purchase_in,15,2025-03-19 11:10:53,REF00000788,order
IM00000111,SKU0002985,W003,transfer_out,-61,2025-04-22 12:58:32,REF00001299,order
IM00000112,SKU0001346,W012,transfer_in,22,2026-07-09 13:27:08,REF00011248,system
IM00000113,SKU0002650,W001,transfer_out,-66,2026-07-28 01:53:47,REF00010651,warehouse
IM00000114,SKU0001339,W015,return_in,80,2025-06-30 04:35:42,REF00005195,purchase
IM00000115,SKU0002965,W012,transfer_in,39,2026-07-03 10:00:47,REF00007179,order
IM00000116,SKU0000204,W003,sale_out,-57,2025-02-03 21:29:17,REF00013835,purchase
IM00000117,SKU0002182,W011,sale_out,-32,2025-07-16 13:40:36,REF00006017,order
IM00000118,SKU0001722,W012,adjustment,68,2026-04-25 23:33:34,REF00011319,purchase
IM00000119,SKU0000030,W008,sale_out,-26,2026-04-19 05:16:57,REF00008662,warehouse
IM00000120,SKU0001276,W011,adjustment,60,2026-02-23 19:53:07,REF00000929,order
IM00000121,SKU0000347,W005,sale_out,-63,2025-04-11 02:21:13,REF00011552,order
IM00000122,SKU0000155,W007,sale_out,-18,2025-10-12 23:34:13,REF00006080,system
IM00000123,SKU0000630,W001,return_in,42,2025-08-02 10:34:48,REF00000168,purchase
IM00000124,SKU0001917,W016,transfer_out,-6,2026-02-16 00:50:41,REF00002015,warehouse
IM00000125,SKU0000532,W011,sale_out,-36,2025-10-14 22:41:12,REF00009353,warehouse
IM00000126,SKU0001388,W011,purchase_in,69,2026-06-10 17:42:24,REF00006756,order
IM00000127,SKU0001256,W016,transfer_in,73,2026-01-15 19:52:26,REF00013493,order
IM00000128,SKU0002719,W008,purchase_in,68,2025-04-28 12:09:26,REF00009327,order
IM00000129,SKU0002555,W005,sale_out,-26,2025-11-03 14:44:28,REF00007880,order
IM00000130,SKU0000139,W012,sale_out,-50,2025-08-02 15:05:36,REF00013149,warehouse
IM00000131,SKU0000171,W006,return_in,38,2026-06-30 19:59:37,REF00007579,purchase
IM00000132,SKU0000834,W009,sale_out,-61,2026-07-26 03:20:34,REF00004397,order
IM00000133,SKU0001142,W015,return_in,59,2025-11-03 07:19:36,REF00009542,purchase
IM00000134,SKU0002704,W014,sale_out,-14,2025-12-25 23:13:04,REF00007765,system
IM00000135,SKU0000722,W013,transfer_in,66,2025-07-03 05:00:46,REF00014729,system
IM00000136,SKU0002394,W013,sale_out,-17,2025-08-06 08:53:46,REF00012803,order
IM00000137,SKU0000794,W007,sale_out,-75,2025-05-03 16:04:08,REF00003819,warehouse
IM00000138,SKU0001814,W009,purchase_in,29,2025-08-29 20:51:58,REF00008691,warehouse
IM00000139,SKU0001111,W001,sale_out,-20,2026-03-10 14:38:37,REF00008907,order
IM00000140,SKU0001407,W007,purchase_in,58,2026-03-24 18:19:51,REF00010326,purchase
IM00000141,SKU0000177,W004,purchase_in,66,2025-04-26 23:54:48,REF00002276,purchase
IM00000142,SKU0002190,W001,purchase_in,60,2025-11-25 18:18:46,REF00012327,purchase
IM00000143,SKU0002525,W009,sale_out,-43,2025-12-10 12:04:20,REF00003674,order
IM00000144,SKU0002483,W004,transfer_in,50,2026-02-28 06:55:08,REF00000703,order
IM00000145,SKU0002758,W014,sale_out,-8,2025-06-11 01:43:23,REF00013041,warehouse
IM00000146,SKU0001263,W003,purchase_in,58,2026-07-17 00:12:43,REF00006477,system
IM00000147,SKU0001763,W001,purchase_in,21,2025-01-02 06:50:37,REF00009225,order
IM00000148,SKU0002584,W008,transfer_in,62,2025-02-19 00:10:34,REF00000379,purchase
IM00000149,SKU0001297,W004,sale_out,-5,2025-06-03 16:49:01,REF00008885,purchase
IM00000150,SKU0002405,W015,purchase_in,75,2026-02-18 18:26:08,REF00008527,purchase
IM00000151,SKU0001471,W003,sale_out,-45,2025-03-20 15:34:28,REF00010613,warehouse
IM00000152,SKU0000340,W008,sale_out,-6,2025-02-05 05:12:19,REF00006734,order
IM00000153,SKU0000420,W010,sale_out,-77,2025-12-22 10:51:47,REF00014711,purchase
IM00000154,SKU0000209,W009,transfer_out,-62,2025-03-03 16:31:45,REF00010675,order
IM00000155,SKU0000701,W008,sale_out,-48,2026-08-08 23:39:17,REF00008173,order
IM00000156,SKU0000159,W006,sale_out,-58,2026-01-05 20:54:59,REF00005466,warehouse
IM00000157,SKU0002775,W009,return_in,39,2026-02-27 01:25:56,REF00012947,purchase
IM00000158,SKU0002238,W006,adjustment,22,2025-06-02 23:33:04,REF00002731,order
IM00000159,SKU0001074,W013,sale_out,-42,2025-01-23 01:36:51,REF00004712,purchase
IM00000160,SKU0001045,W004,sale_out,-2,2026-02-17 13:49:55,REF00010859,order
IM00000161,SKU0001277,W001,transfer_in,72,2025-06-23 01:47:57,REF00012704,order
IM00000162,SKU0000921,W016,transfer_out,-2,2025-11-13 16:31:15,REF00004615,purchase
IM00000163,SKU0000398,W008,transfer_in,7,2025-02-22 08:49:13,REF00001811,warehouse
IM00000164,SKU0000484,W013,sale_out,-19,2025-05-13 15:12:35,REF00008514,warehouse
IM00000165,SKU0002171,W003,purchase_in,66,2025-12-30 23:09:22,REF00013429,warehouse
IM00000166,SKU0001741,W009,sale_out,-74,2025-05-25 03:50:01,REF00008663,order
IM00000167,SKU0000612,W001,sale_out,-33,2026-08-16 19:02:04,REF00012075,order
IM00000168,SKU0001869,W012,transfer_out,-74,2025-08-23 09:25:51,REF00009884,system
IM00000169,SKU0002821,W007,sale_out,-63,2026-03-22 08:38:22,REF00004047,warehouse
IM00000170,SKU0001576,W013,sale_out,-11,2025-06-06 11:28:16,REF00007864,purchase
IM00000171,SKU0002449,W008,sale_out,-28,2026-04-06 01:16:03,REF00012764,warehouse
IM00000172,SKU0001309,W006,sale_out,-43,2026-05-21 15:12:42,REF00000928,order
IM00000173,SKU0002881,W013,transfer_out,-62,2026-01-25 06:11:00,REF00004028,order
IM00000174,SKU0000922,W010,sale_out,-2,2025-05-24 20:43:31,REF00007306,order
IM00000175,SKU0000024,W006,purchase_in,65,2026-01-29 13:09:47,REF00006659,order
IM00000176,SKU0000012,W014,purchase_in,60,2026-05-20 13:09:58,REF00014514,order
IM00000177,SKU0001589,W011,sale_out,-72,2025-06-16 20:02:04,REF00004650,order
IM00000178,SKU0001993,W015,sale_out,-24,2025-03-31 13:30:20,REF00001752,order
IM00000179,SKU0000900,W013,sale_out,-60,2026-06-27 20:55:05,REF00013041,system
IM00000180,SKU0001709,W015,sale_out,-80,2025-02-18 11:28:22,REF00014078,purchase
IM00000181,SKU0001658,W010,adjustment,19,2026-08-08 02:27:39,REF00002676,order
IM00000182,SKU0002464,W007,sale_out,-51,2026-02-14 18:45:49,REF00007443,system
IM00000183,SKU0001476,W004,purchase_in,67,2025-04-27 13:02:14,REF00001463,purchase
IM00000184,SKU0001230,W015,adjustment,5,2025-10-16 08:42:48,REF00009002,order
IM00000185,SKU0002915,W015,transfer_out,-80,2025-04-30 14:25:25,REF00004825,warehouse
IM00000186,SKU0002475,W013,sale_out,-23,2025-07-09 07:14:35,REF00013121,order
IM00000187,SKU0002686,W001,purchase_in,23,2026-08-18 18:14:47,REF00000113,order
IM00000188,SKU0000047,W007,purchase_in,64,2025-10-18 17:18:07,REF00002994,purchase
IM00000189,SKU0002688,W004,purchase_in,75,2026-04-28 19:19:16,REF00002188,order
IM00000190,SKU0000259,W015,purchase_in,73,2025-07-17 21:38:13,REF00007600,warehouse
IM00000191,SKU0001091,W001,sale_out,-24,2026-04-02 12:29:09,REF00006351,system
IM00000192,SKU0001030,W005,sale_out,-15,2025-04-15 15:54:04,REF00010354,order
IM00000193,SKU0001217,W008,sale_out,-2,2025-02-21 23:14:08,REF00012607,purchase
IM00000194,SKU0002060,W002,sale_out,-57,2026-03-11 00:47:20,REF00001096,purchase
IM00000195,SKU0001761,W001,sale_out,-16,2026-07-10 05:14:10,REF00000079,purchase
IM00000196,SKU0002434,W008,sale_out,-71,2026-02-05 16:25:50,REF00003299,system
IM00000197,SKU0000648,W005,sale_out,-7,2025-06-26 00:08:07,REF00006685,order
IM00000198,SKU0002167,W014,purchase_in,2,2026-05-20 00:17:29,REF00014084,order
IM00000199,SKU0002640,W006,sale_out,-41,2026-07-13 07:11:34,REF00006076,order
IM00000200,SKU0002154,W005,transfer_out,-9,2025-12-19 12:47:44,REF00009178,order
IM00000201,SKU0001177,W004,purchase_in,60,2025-07-27 21:51:01,REF00001827,purchase
IM00000202,SKU0002042,W005,adjustment,13,2025-09-28 00:26:26,REF00010979,system
IM00000203,SKU0002880,W006,adjustment,38,2025-07-30 04:50:29,REF00014525,order
IM00000204,SKU0002390,W008,purchase_in,72,2025-03-26 20:11:14,REF00006116,warehouse
IM00000205,SKU0002532,W009,sale_out,-61,2026-05-25 20:49:14,REF00006041,purchase
IM00000206,SKU0000935,W007,sale_out,-44,2026-01-24 12:38:15,REF00014245,order
IM00000207,SKU0002622,W003,adjustment,8,2025-07-06 03:42:59,REF00006765,warehouse
IM00000208,SKU0001652,W002,purchase_in,16,2025-06-03 02:29:26,REF00003836,purchase
IM00000209,SKU0000648,W005,adjustment,59,2026-07-05 05:42:23,REF00008360,order
IM00000210,SKU0000729,W002,sale_out,-35,2025-12-15 14:45:39,REF00006219,purchase
IM00000211,SKU0001500,W009,adjustment,36,2025-05-13 04:43:02,REF00011880,purchase
IM00000212,SKU0002826,W006,sale_out,-10,2026-05-03 01:22:00,REF00013754,purchase
IM00000213,SKU0000978,W007,purchase_in,67,2026-05-14 16:59:57,REF00002135,system
IM00000214,SKU0001088,W012,sale_out,-56,2026-02-02 16:32:26,REF00006601,order
IM00000215,SKU0000765,W011,purchase_in,63,2026-07-05 04:17:14,REF00009743,order
IM00000216,SKU0002317,W016,transfer_out,-2,2026-04-14 09:43:22,REF00010784,system
IM00000217,SKU0000442,W010,sale_out,-80,2026-04-26 13:49:38,REF00007005,purchase
IM00000218,SKU0000735,W005,sale_out,-26,2026-07-04 18:34:18,REF00012340,order
IM00000219,SKU0002530,W003,return_in,22,2025-03-23 14:16:39,REF00010734,order
IM00000220,SKU0001361,W010,sale_out,-23,2026-03-13 09:25:47,REF00009020,order
IM00000221,SKU0002751,W005,sale_out,-16,2026-03-15 18:31:11,REF00001123,purchase
IM00000222,SKU0001783,W010,return_in,74,2026-08-01 16:36:24,REF00012689,warehouse
IM00000223,SKU0000918,W001,transfer_in,65,2026-03-25 21:20:52,REF00001492,purchase
IM00000224,SKU0001936,W006,transfer_in,34,2025-10-02 06:26:40,REF00011748,warehouse
IM00000225,SKU0001615,W003,sale_out,-7,2026-04-11 20:03:15,REF00011587,order
IM00000226,SKU0000566,W006,sale_out,-49,2025-09-19 12:20:54,REF00011707,purchase
IM00000227,SKU0002280,W013,return_in,43,2025-04-20 02:09:50,REF00003060,system
IM00000228,SKU0001893,W002,sale_out,-17,2025-04-10 21:29:40,REF00011939,system
IM00000229,SKU0000418,W007,sale_out,-36,2025-05-07 07:39:35,REF00008170,order
IM00000230,SKU0002656,W015,return_in,13,2025-05-04 23:51:14,REF00001815,system
IM00000231,SKU0000936,W008,sale_out,-77,2025-11-29 18:04:00,REF00014533,purchase
IM00000232,SKU0000271,W016,sale_out,-41,2025-10-27 07:11:52,REF00010938,order
IM00000233,SKU0000835,W010,sale_out,-3,2026-06-07 08:05:12,REF00008117,order
IM00000234,SKU0002970,W004,sale_out,-43,2026-01-31 14:48:06,REF00014144,order
IM00000235,SKU0001636,W015,sale_out,-7,2025-03-27 02:57:58,REF00014438,warehouse
IM00000236,SKU0002462,W009,purchase_in,8,2026-05-08 12:05:30,REF00012817,warehouse
IM00000237,SKU0001112,W002,sale_out,-76,2026-07-02 21:28:18,REF00013129,order
IM00000238,SKU0001405,W001,sale_out,-45,2025-01-25 04:25:38,REF00011795,warehouse
IM00000239,SKU0002871,W016,purchase_in,31,2025-12-09 11:30:01,REF00007155,order
IM00000240,SKU0000193,W015,purchase_in,67,2026-04-04 22:15:26,REF00007212,order
IM00000241,SKU0002590,W015,purchase_in,49,2025-02-09 08:54:32,REF00004886,purchase
IM00000242,SKU0001631,W004,purchase_in,7,2025-08-25 12:25:52,REF00005794,warehouse
IM00000243,SKU0002735,W011,sale_out,-46,2025-10-06 02:03:49,REF00009109,order
IM00000244,SKU0002418,W005,sale_out,-7,2025-04-13 13:56:25,REF00004248,system
IM00000245,SKU0002011,W003,purchase_in,36,2025-07-26 21:22:24,REF00006747,order
IM00000246,SKU0001208,W009,sale_out,-42,2025-03-27 12:40:59,REF00007760,warehouse
IM00000247,SKU0001242,W003,sale_out,-45,2025-04-12 13:35:45,REF00009512,order
IM00000248,SKU0001318,W005,sale_out,-57,2025-01-24 04:41:17,REF00008978,purchase
IM00000249,SKU0001473,W008,transfer_in,17,2026-01-11 11:48:51,REF00013888,order
IM00000250,SKU0000601,W014,sale_out,-47,2025-05-28 18:26:42,REF00005980,warehouse
IM00000251,SKU0002614,W010,sale_out,-56,2026-04-11 09:07:10,REF00011044,order
IM00000252,SKU0002328,W001,sale_out,-38,2025-03-25 09:58:50,REF00011295,order
IM00000253,SKU0002400,W016,sale_out,-59,2025-04-10 17:29:22,REF00005481,purchase
IM00000254,SKU0001652,W002,purchase_in,5,2025-06-20 13:10:44,REF00005064,order
IM00000255,SKU0002660,W015,sale_out,-75,2025-05-13 18:14:28,REF00013180,order
IM00000256,SKU0002470,W004,sale_out,-20,2026-08-07 04:12:41,REF00014901,system
IM00000257,SKU0002923,W009,sale_out,-14,2026-07-07 10:44:29,REF00003242,order
IM00000258,SKU0000330,W014,purchase_in,71,2025-03-07 04:08:08,REF00005702,order
IM00000259,SKU0002996,W006,sale_out,-77,2025-11-05 17:57:09,REF00005435,order
IM00000260,SKU0000428,W003,sale_out,-45,2025-11-20 06:28:40,REF00007661,warehouse
IM00000261,SKU0000162,W012,sale_out,-4,2025-12-13 09:46:23,REF00003178,order
IM00000262,SKU0001457,W014,purchase_in,38,2025-08-10 15:15:23,REF00014794,warehouse
IM00000263,SKU0001173,W003,sale_out,-54,2025-07-25 01:32:31,REF00007108,order
IM00000264,SKU0001362,W014,adjustment,70,2026-03-08 04:20:44,REF00002199,warehouse
IM00000265,SKU0002200,W003,purchase_in,66,2025-02-01 15:02:58,REF00003341,warehouse
IM00000266,SKU0000945,W016,sale_out,-67,2026-06-10 08:24:23,REF00004993,order
IM00000267,SKU0001684,W008,transfer_out,-7,2025-04-16 18:18:22,REF00014185,system
IM00000268,SKU0000122,W009,return_in,40,2025-06-11 02:23:31,REF00009226,order
IM00000269,SKU0000769,W001,sale_out,-43,2025-05-05 03:52:15,REF00012901,purchase
IM00000270,SKU0002634,W008,sale_out,-37,2025-12-28 02:16:43,REF00008558,warehouse
IM00000271,SKU0002875,W014,sale_out,-54,2025-07-04 15:27:13,REF00005015,order
IM00000272,SKU0000683,W007,purchase_in,36,2025-01-17 17:50:10,REF00000139,order
IM00000273,SKU0002457,W012,return_in,29,2025-08-11 15:07:51,REF00007812,order
IM00000274,SKU0000252,W008,adjustment,54,2025-10-26 09:19:09,REF00000824,order
IM00000275,SKU0001026,W014,sale_out,-66,2025-03-07 02:51:19,REF00008401,order
IM00000276,SKU0000553,W016,return_in,77,2026-06-14 23:24:37,REF00013975,order
IM00000277,SKU0000436,W016,return_in,44,2025-07-04 22:49:43,REF00011668,order
IM00000278,SKU0000721,W002,adjustment,30,2026-08-07 01:49:00,REF00014043,order
IM00000279,SKU0000959,W014,transfer_out,-23,2025-01-31 20:35:29,REF00012523,system
IM00000280,SKU0001717,W004,purchase_in,1,2025-05-15 06:01:59,REF00005909,system
IM00000281,SKU0002472,W007,transfer_in,2,2025-08-24 09:54:04,REF00003207,order
IM00000282,SKU0000994,W001,sale_out,-43,2025-01-26 23:38:51,REF00003362,order
IM00000283,SKU0000597,W007,purchase_in,32,2026-06-03 14:23:00,REF00014317,order
IM00000284,SKU0001371,W013,sale_out,-77,2026-01-16 01:59:32,REF00011044,purchase
IM00000285,SKU0002182,W011,purchase_in,31,2026-07-16 15:55:01,REF00013776,purchase
IM00000286,SKU0002187,W013,purchase_in,79,2025-12-21 01:17:10,REF00000637,order
IM00000287,SKU0000920,W006,sale_out,-76,2026-05-11 07:54:12,REF00008039,system
IM00000288,SKU0000409,W001,sale_out,-34,2025-03-17 18:36:33,REF00010249,warehouse
IM00000289,SKU0002683,W003,sale_out,-66,2025-02-13 13:00:34,REF00005227,order
IM00000290,SKU0000946,W012,sale_out,-2,2026-02-16 01:09:14,REF00002647,purchase
IM00000291,SKU0002218,W012,purchase_in,69,2025-03-22 20:21:24,REF00014087,system
IM00000292,SKU0002337,W009,sale_out,-3,2025-11-26 06:15:19,REF00004733,order
IM00000293,SKU0000483,W011,sale_out,-21,2026-02-11 06:58:46,REF00009076,warehouse
IM00000294,SKU0001785,W016,sale_out,-36,2025-05-05 19:51:10,REF00012665,purchase
IM00000295,SKU0001308,W014,purchase_in,40,2026-06-20 16:09:25,REF00006511,order
IM00000296,SKU0001066,W004,sale_out,-3,2026-06-29 16:19:22,REF00010569,order
IM00000297,SKU0000108,W011,purchase_in,3,2026-05-24 19:08:49,REF00013441,system
IM00000298,SKU0002583,W009,purchase_in,70,2026-08-11 14:17:22,REF00002844,warehouse
IM00000299,SKU0002855,W001,transfer_in,58,2025-09-07 20:56:16,REF00014591,warehouse
IM00000300,SKU0001061,W011,purchase_in,16,2025-05-31 12:02:36,REF00004643,order
IM00000301,SKU0000066,W015,purchase_in,2,2025-12-01 17:27:12,REF00005556,order
IM00000302,SKU0001840,W002,sale_out,-47,2026-06-24 14:16:20,REF00008877,purchase
IM00000303,SKU0002203,W005,sale_out,-11,2026-05-30 16:44:42,REF00001068,purchase
