purchase_item_id,purchase_order_id,sku_id,ordered_qty,received_qty,unit_cost,line_amount
POI0000159,PO000159,SKU0001547,80,80,1464.72,117177.6
POI0000160,PO000160,SKU0002409,230,230,417.81,96096.3
POI0000161,PO000161,SKU0001358,442,442,1137.69,502858.98
POI0000162,PO000162,SKU0000959,297,0,2088.52,620290.44
POI0000163,PO000163,SKU0002245,439,439,1979.6,869044.4
POI0000164,PO000164,SKU0002395,63,63,1455.69,91708.47
POI0000165,PO000165,SKU0001611,228,228,1420.78,323937.84
POI0000166,PO000166,SKU0001304,491,491,323.02,158602.82
POI0000167,PO000167,SKU0001594,492,492,139.99,68875.08
POI0000168,PO000168,SKU0002330,372,372,868.89,323227.08
POI0000169,PO000169,SKU0000142,163,163,1723.02,280852.26
POI0000170,PO000170,SKU0001316,129,129,1444.22,186304.38
POI0000171,PO000171,SKU0001623,77,36,1212.77,93383.29
POI0000172,PO000172,SKU0002119,30,30,1294.18,38825.4
POI0000173,PO000173,SKU0001321,219,219,1498.03,328068.57
POI0000174,PO000174,SKU0002621,22,22,107.95,2374.9
POI0000175,PO000175,SKU0002315,223,44,1605.49,358024.27
POI0000176,PO000176,SKU0000924,478,211,299.99,143395.22
POI0000177,PO000177,SKU0002402,437,0,1452.18,634602.66
POI0000178,PO000178,SKU0001491,433,433,869.64,376554.12
POI0000179,PO000179,SKU0001291,64,64,120.66,7722.24
POI0000180,PO000180,SKU0002451,287,287,870.89,249945.43
POI0000181,PO000181,SKU0001699,144,0,707.51,101881.44
POI0000182,PO000182,SKU0002357,409,409,1122.14,458955.26
POI0000183,PO000183,SKU0002593,482,0,1633.43,787313.26
POI0000184,PO000184,SKU0001763,267,267,736.18,196560.06
POI0000185,PO000185,SKU0001749,132,132,317.41,41898.12
POI0000186,PO000186,SKU0001133,85,85,603.52,51299.2
POI0000187,PO000187,SKU0001585,408,0,1820.25,742662.0
POI0000188,PO000188,SKU0001909,361,361,502.19,181290.59
POI0000189,PO000189,SKU0001242,496,496,1164.15,577418.4
POI0000190,PO000190,SKU0002790,114,114,1635.18,186410.52
POI0000191,PO000191,SKU0001646,316,103,986.45,311718.2
POI0000192,PO000192,SKU0002367,436,436,1060.08,462194.88
POI0000193,PO000193,SKU0001584,192,192,112.78,21653.76
POI0000194,PO000194,SKU0001931,355,355,1736.05,616297.75
POI0000195,PO000195,SKU0001487,294,156,1018.39,299406.66
POI0000196,PO000196,SKU0000211,56,3,1706.99,95591.44
POI0000197,PO000197,SKU0000268,410,163,2081.27,853320.7
POI0000198,PO000198,SKU0002937,435,397,977.24,425099.4
POI0000199,PO000199,SKU0000916,20,0,778.34,15566.8
POI0000200,PO000200,SKU0000779,55,55,1635.53,89954.15
POI0000201,PO000201,SKU0002200,339,339,232.32,78756.48
POI0000202,PO000202,SKU0002110,377,377,1754.78,661552.06
POI0000203,PO000203,SKU0001663,109,10,1363.82,148656.38
POI0000204,PO000204,SKU0000540,459,459,609.89,279939.51
POI0000205,PO000205,SKU0001244,286,286,335.44,95935.84
POI0000206,PO000206,SKU0001822,85,85,70.48,5990.8
POI0000207,PO000207,SKU0000191,93,93,674.32,62711.76
POI0000208,PO000208,SKU0000275,364,0,1318.46,479919.44
POI0000209,PO000209,SKU0002812,492,492,366.83,180480.36
POI0000210,PO000210,SKU0002740,448,235,1163.45,521225.6
POI0000211,PO000211,SKU0000373,22,0,1442.36,31731.92
POI0000212,PO000212,SKU0000619,203,203,16.27,3302.81
POI0000213,PO000213,SKU0001955,229,229,802.96,183877.84
POI0000214,PO000214,SKU0001907,143,143,271.54,38830.22
POI0000215,PO000215,SKU0000886,423,423,11.01,4657.23
POI0000216,PO000216,SKU0002211,408,408,1451.46,592195.68
POI0000217,PO000217,SKU0000506,36,0,50.46,1816.56
POI0000218,PO000218,SKU0001939,25,25,1438.72,35968.0
POI0000219,PO000219,SKU0001620,134,134,1952.62,261651.08
POI0000220,PO000220,SKU0002051,331,331,1318.03,436267.93
POI0000221,PO000221,SKU0001022,469,469,194.05,91009.45
POI0000222,PO000222,SKU0001347,174,174,662.12,115208.88
POI0000223,PO000223,SKU0000621,189,189,2215.57,418742.73
POI0000224,PO000224,SKU0000675,93,93,966.47,89881.71
POI0000225,PO000225,SKU0001771,184,184,1932.66,355609.44
POI0000226,PO000226,SKU0000402,322,0,1613.1,519418.2
POI0000227,PO000227,SKU0000123,346,346,1534.0,530764.0
POI0000228,PO000228,SKU0000747,121,121,29.55,3575.55
POI0000229,PO000229,SKU0001500,98,98,1441.05,141222.9
POI0000230,PO000230,SKU0002189,133,133,509.19,67722.27
POI0000231,PO000231,SKU0002703,73,73,184.92,13499.16
POI0000232,PO000232,SKU0001115,133,133,190.09,25281.97
POI0000233,PO000233,SKU0000183,397,397,1695.64,673169.08
POI0000234,PO000234,SKU0000457,62,62,1141.6,70779.2
POI0000235,PO000235,SKU0000357,40,15,1470.34,58813.6
POI0000236,PO000236,SKU0001762,483,483,358.59,173198.97
POI0000237,PO000237,SKU0001362,138,138,932.83,128730.54
POI0000238,PO000238,SKU0000058,270,270,130.77,35307.9
POI0000239,PO000239,SKU0002428,294,294,1027.97,302223.18
POI0000240,PO000240,SKU0001952,323,323,1191.85,384967.55
POI0000241,PO000241,SKU0000121,382,382,1622.56,619817.92
POI0000242,PO000242,SKU0000404,264,264,1517.57,400638.48
POI0000243,PO000243,SKU0002659,188,188,890.79,167468.52
POI0000244,PO000244,SKU0001846,20,0,358.83,7176.6
POI0000245,PO000245,SKU0000260,41,0,858.87,35213.67
POI0000246,PO000246,SKU0000763,430,430,1416.76,609206.8
POI0000247,PO000247,SKU0000470,196,196,372.54,73017.84
POI0000248,PO000248,SKU0000236,422,422,1636.64,690662.08
POI0000249,PO000249,SKU0000073,153,153,36.33,5558.49
POI0000250,PO000250,SKU0001517,104,0,824.86,85785.44
POI0000251,PO000251,SKU0000436,185,185,1490.53,275748.05
POI0000252,PO000252,SKU0002942,215,215,803.73,172801.95
POI0000253,PO000253,SKU0001300,321,321,1026.3,329442.3
POI0000254,PO000254,SKU0002718,278,278,1212.0,336936.0
POI0000255,PO000255,SKU0001788,432,432,2187.85,945151.2
POI0000256,PO000256,SKU0000337,443,443,16.07,7119.01
POI0000257,PO000257,SKU0001415,192,192,1176.51,225889.92
POI0000258,PO000258,SKU0001090,170,170,1152.83,195981.1
POI0000259,PO000259,SKU0000467,495,495,1950.09,965294.55
POI0000260,PO000260,SKU0000327,341,341,1951.78,665556.98
POI0000261,PO000261,SKU0000668,141,0,295.59,41678.19
POI0000262,PO000262,SKU0001592,288,0,786.77,226589.76
POI0000263,PO000263,SKU0000526,155,0,535.42,82990.1
POI0000264,PO000264,SKU0001102,147,147,1189.65,174878.55
POI0000265,PO000265,SKU0002753,121,121,1354.23,163861.83
POI0000266,PO000266,SKU0002985,472,472,429.06,202516.32
POI0000267,PO000267,SKU0001698,367,367,302.25,110925.75
POI0000268,PO000268,SKU0001244,388,0,311.12,120714.56
POI0000269,PO000269,SKU0001523,476,476,847.54,403429.04
POI0000270,PO000270,SKU0002994,482,0,2211.92,1066145.44
POI0000271,PO000271,SKU0001416,102,102,969.63,98902.26
POI0000272,PO000272,SKU0001000,300,259,1016.83,305049.0
POI0000273,PO000273,SKU0002959,78,78,2426.69,189281.82
POI0000274,PO000274,SKU0002396,186,186,2069.0,384834.0
POI0000275,PO000275,SKU0001539,323,323,84.46,27280.58
POI0000276,PO000276,SKU0000852,500,0,279.5,139750.0
POI0000277,PO000277,SKU0001248,479,479,375.22,179730.38
POI0000278,PO000278,SKU0000105,376,376,1424.01,535427.76
POI0000279,PO000279,SKU0001696,68,68,2374.95,161496.6
POI0000280,PO000280,SKU0000951,225,225,1671.77,376148.25
POI0000281,PO000281,SKU0000788,79,55,594.84,46992.36
POI0000282,PO000282,SKU0002057,296,296,736.69,218060.24
POI0000283,PO000283,SKU0000947,271,271,969.98,262864.58
POI0000284,PO000284,SKU0001975,197,197,268.22,52839.34
POI0000285,PO000285,SKU0001067,168,168,69.95,11751.6
POI0000286,PO000286,SKU0000726,257,257,357.37,91844.09
POI0000287,PO000287,SKU0002546,490,0,1277.72,626082.8
POI0000288,PO000288,SKU0000070,341,341,1230.92,419743.72
POI0000289,PO000289,SKU0000959,403,403,2021.99,814861.97
POI0000290,PO000290,SKU0002325,428,428,1538.39,658430.92
POI0000291,PO000291,SKU0001128,411,0,1033.52,424776.72
POI0000292,PO000292,SKU0002526,115,115,1022.76,117617.4
POI0000293,PO000293,SKU0000674,109,8,1377.28,150123.52
POI0000294,PO000294,SKU0000148,353,353,104.6,36923.8
POI0000295,PO000295,SKU0002217,354,354,105.4,37311.6
POI0000296,PO000296,SKU0000382,483,483,91.24,44068.92
POI0000297,PO000297,SKU0001329,307,307,222.43,68286.01
POI0000298,PO000298,SKU0000492,36,36,854.74,30770.64
POI0000299,PO000299,SKU0000698,215,215,519.61,111716.15
POI0000300,PO000300,SKU0002187,174,174,1701.86,296123.64
POI0000301,PO000301,SKU0001706,303,303,1864.43,564922.29
POI0000302,PO000302,SKU0000597,317,0,989.26,313595.42
POI0000303,PO000303,SKU0002138,123,123,49.81,6126.63
POI0000304,PO000304,SKU0001640,380,380,1711.63,650419.4
POI0000305,PO000305,SKU0000391,127,127,610.44,77525.88
POI0000306,PO000306,SKU0002451,216,216,882.64,190650.24
POI0000307,PO000307,SKU0001415,188,188,1106.29,207982.52
POI0000308,PO000308,SKU0002719,305,305,1011.47,308498.35
POI0000309,PO000309,SKU0000920,333,333,277.21,92310.93
POI0000310,PO000310,SKU0001535,375,375,411.38,154267.5
POI0000311,PO000311,SKU0002591,455,455,996.26,453298.3
POI0000312,PO000312,SKU0000967,442,442,583.04,257703.68
POI0000313,PO000313,SKU0001091,304,304,1522.45,462824.8
POI0000314,PO000314,SKU0000583,30,30,1557.43,46722.9
POI0000315,PO000315,SKU0000394,336,336,1055.56,354668.16
POI0000316,PO000316,SKU0001702,200,37,914.17,182834.0
POI0000317,PO000317,SKU0000349,158,158,832.69,131565.02
POI0000318,PO000318,SKU0002955,104,104,311.78,32425.12
POI0000319,PO000319,SKU0002407,475,0,574.58,272925.5
POI0000320,PO000320,SKU0002873,64,2,324.21,20749.44
POI0000321,PO000321,SKU0002319,498,498,1704.11,848646.78
POI0000322,PO000322,SKU0000108,292,292,870.47,254177.24
POI0000323,PO000323,SKU0002730,293,293,1106.19,324113.67
POI0000324,PO000324,SKU0000750,213,213,1811.9,385934.7
POI0000325,PO000325,SKU0000280,290,290,1154.92,334926.8
POI0000326,PO000326,SKU0001640,20,20,1650.79,33015.8
POI0000327,PO000327,SKU0001443,415,415,756.65,314009.75
POI0000328,PO000328,SKU0001819,359,359,725.55,260472.45
POI0000329,PO000329,SKU0001495,467,467,1542.76,720468.92
POI0000330,PO000330,SKU0002886,414,414,1956.63,810044.82
POI0000331,PO000331,SKU0000130,478,0,1204.85,575918.3
POI0000332,PO000332,SKU0002176,186,186,1701.68,316512.48
POI0000333,PO000333,SKU0002578,120,82,1357.85,162942.0
POI0000334,PO000334,SKU0002136,155,0,1322.67,205013.85
POI0000335,PO000335,SKU0001563,214,0,1330.84,284799.76
POI0000336,PO000336,SKU0001345,379,379,1257.09,476437.11
POI0000337,PO000337,SKU0000244,364,364,1101.02,400771.28
POI0000338,PO000338,SKU0000573,116,0,1498.25,173797.0
POI0000339,PO000339,SKU0002390,412,0,771.12,317701.44
POI0000340,PO000340,SKU0002225,179,179,1102.07,197270.53
POI0000341,PO000341,SKU0000599,155,155,1442.03,223514.65
POI0000342,PO000342,SKU0002134,100,0,1751.56,175156.0
POI0000343,PO000343,SKU0002697,57,57,631.61,36001.77
POI0000344,PO000344,SKU0002301,417,0,1698.67,708345.39
POI0000345,PO000345,SKU0000196,476,427,432.47,205855.72
POI0000346,PO000346,SKU0001744,164,164,1561.24,256043.36
POI0000347,PO000347,SKU0002124,491,491,534.37,262375.67
POI0000348,PO000348,SKU0002983,187,143,170.93,31963.91
POI0000349,PO000349,SKU0002870,61,61,1385.92,84541.12
POI0000350,PO000350,SKU0000967,466,466,589.54,274725.64
POI0000351,PO000351,SKU0002364,322,247,1109.47,357249.34
POI0000352,PO000352,SKU0000355,402,402,1629.5,655059.0
POI0000353,PO000353,SKU0000287,103,0,1752.15,180471.45
POI0000354,PO000354,SKU0002140,417,417,1342.04,559630.68
POI0000355,PO000355,SKU0002733,228,228,1426.27,325189.56
POI0000356,PO000356,SKU0000017,325,0,1764.02,573306.5
POI0000357,PO000357,SKU0000743,318,318,985.91,313519.38
POI0000358,PO000358,SKU0002702,184,184,1465.13,269583.92
POI0000359,PO000359,SKU0000771,262,262,1894.37,496324.94
POI0000360,PO000360,SKU0001377,421,193,1995.39,840059.19
POI0000361,PO000361,SKU0000988,485,485,707.21,342996.85
POI0000362,PO000362,SKU0002178,32,32,553.63,17716.16
POI0000363,PO000363,SKU0001428,69,69,1037.31,71574.39
POI0000364,PO000364,SKU0000345,451,451,1673.89,754924.39
POI0000365,PO000365,SKU0001503,261,261,2246.86,586430.46
POI0000366,PO000366,SKU0001227,304,304,980.16,297968.64
POI0000367,PO000367,SKU0000002,224,224,599.5,134288.0
POI0000368,PO000368,SKU0000313,197,197,1399.09,275620.73
POI0000369,PO000369,SKU0001818,385,0,339.12,130561.2
POI0000370,PO000370,SKU0001646,85,85,994.21,84507.85
POI0000371,PO000371,SKU0002351,439,439,1128.82,495551.98
POI0000372,PO000372,SKU0002500,271,204,1523.69,412919.99
POI0000373,PO000373,SKU0001941,102,78,273.32,27878.64
POI0000374,PO000374,SKU0002701,256,256,1487.54,380810.24
POI0000375,PO000375,SKU0000399,320,320,824.58,263865.6
POI0000376,PO000376,SKU0000521,34,34,230.43,7834.62
POI0000377,PO000377,SKU0001286,434,434,2282.98,990813.32
POI0000378,PO000378,SKU0000628,169,0,882.17,149086.73
POI0000379,PO000379,SKU0000701,204,204,1567.73,319816.92
POI0000380,PO000380,SKU0001713,265,265,1665.39,441328.35
POI0000381,PO000381,SKU0001651,161,0,316.97,51032.17
POI0000382,PO000382,SKU0000365,353,353,1465.77,517416.81
POI0000383,PO000383,SKU0000106,50,0,1077.74,53887.0
POI0000384,PO000384,SKU0002573,451,451,100.3,45235.3
POI0000385,PO000385,SKU0002391,431,431,268.32,115645.92
POI0000386,PO000386,SKU0001044,123,123,949.21,116752.83
POI0000387,PO000387,SKU0002853,278,278,1900.0,528200.0
POI0000388,PO000388,SKU0001592,479,479,864.48,414085.92
POI0000389,PO000389,SKU0002597,130,130,2008.53,261108.9
POI0000390,PO000390,SKU0001834,430,345,214.33,92161.9
POI0000391,PO000391,SKU0000761,174,174,1388.97,241680.78
POI0000392,PO000392,SKU0001870,227,227,1105.79,251014.33
POI0000393,PO000393,SKU0002447,159,0,452.49,71945.91
POI0000394,PO000394,SKU0001399,212,212,1853.4,392920.8
POI0000395,PO000395,SKU0002299,483,483,179.81,86848.23
POI0000396,PO000396,SKU0002427,126,106,621.44,78301.44
POI0000397,PO000397,SKU0001328,233,233,311.93,72679.69
POI0000398,PO000398,SKU0001939,44,44,1321.9,58163.6
POI0000399,PO000399,SKU0002689,364,171,749.67,272879.88
POI0000400,PO000400,SKU0002875,277,277,719.35,199259.95
POI0000401,PO000401,SKU0001996,404,0,806.24,325720.96
POI0000402,PO000402,SKU0002181,50,50,1019.07,50953.5
POI0000403,PO000403,SKU0000798,285,285,536.82,152993.7
POI0000404,PO000404,SKU0001725,117,117,997.11,116661.87
POI0000405,PO000405,SKU0001310,317,317,1608.62,509932.54
POI0000406,PO000406,SKU0001744,167,167,1422.9,237624.3
POI0000407,PO000407,SKU0000619,153,134,16.22,2481.66
POI0000408,PO000408,SKU0001102,223,0,1147.69,255934.87
POI0000409,PO000409,SKU0000546,323,323,1938.67,626190.41
POI0000410,PO000410,SKU0000201,385,385,1629.02,627172.7
POI0000411,PO000411,SKU0002975,64,0,448.37,28695.68
POI0000412,PO000412,SKU0000104,249,249,1751.89,436220.61
POI0000413,PO000413,SKU0000364,421,421,427.15,179830.15
POI0000414,PO000414,SKU0000440,27,27,1530.84,41332.68
POI0000415,PO000415,SKU0000496,153,153,1773.44,271336.32
POI0000416,PO000416,SKU0000862,340,340,788.14,267967.6
POI0000417,PO000417,SKU0001772,40,40,1911.44,76457.6
POI0000418,PO000418,SKU0002224,426,0,756.12,322107.12
POI0000419,PO000419,SKU0002677,277,277,434.93,120475.61
POI0000420,PO000420,SKU0000335,258,258,388.67,100276.86
POI0000421,PO000421,SKU0002127,41,41,1512.06,61994.46
POI0000422,PO000422,SKU0001539,406,0,84.22,34193.32
POI0000423,PO000423,SKU0000281,423,423,282.57,119527.11
POI0000424,PO000424,SKU0000738,250,250,1053.03,263257.5
POI0000425,PO000425,SKU0000428,138,138,7.48,1032.24
POI0000426,PO000426,SKU0000892,480,480,184.26,88444.8
POI0000427,PO000427,SKU0000149,188,0,663.32,124704.16
POI0000428,PO000428,SKU0001561,398,398,83.62,33280.76
POI0000429,PO000429,SKU0002390,107,107,752.59,80527.13
POI0000430,PO000430,SKU0000056,158,14,1104.37,174490.46
POI0000431,PO000431,SKU0002549,456,47,1850.62,843882.72
POI0000432,PO000432,SKU0001760,341,341,2155.06,734875.46
POI0000433,PO000433,SKU0001412,250,250,126.4,31600.0
POI0000434,PO000434,SKU0002901,255,31,872.45,222474.75
POI0000435,PO000435,SKU0002237,318,318,559.36,177876.48
POI0000436,PO000436,SKU0001208,420,420,1037.6,435792.0
POI0000437,PO000437,SKU0000257,273,273,135.95,37114.35
POI0000438,PO000438,SKU0000866,295,295,54.72,16142.4
POI0000439,PO000439,SKU0000136,205,205,492.16,100892.8
POI0000440,PO000440,SKU0002521,410,410,1421.79,582933.9
POI0000441,PO000441,SKU0001899,114,114,871.05,99299.7
