order_id,user_id,store_id,channel_id,ordered_at,order_status,item_amount,discount_amount,shipping_fee,payable_amount,paid_amount,region,province,city
O00000024,U000020,S0065,CH06,2026-02-17 22:15:39,completed,4520.45,158.7,0,4361.75,4361.75,华南,广西,南宁
O00000025,U002961,S0023,CH04,2025-10-24 03:38:21,shipped,2243.4,247.07,0,1996.33,1996.33,华中,江西,南昌
O00000026,U002047,S0034,CH05,2026-03-31 01:36:24,completed,2001.56,177.41,0,1824.15,1824.15,华南,广东,深圳
O00000027,U003205,S0011,CH02,2025-06-10 15:24:12,cancelled,6339.54,951.39,0,5388.15,0,华南,广东,深圳
O00000028,U001035,S0003,CH01,2025-09-08 04:54:06,completed,5897.9,483.55,0,5414.35,5414.35,华南,广东,广州
O00000029,U002701,S0046,CH10,2025-04-21 09:48:25,completed,6112.54,551.12,0,5561.42,5561.42,西南,重庆,重庆
O00000030,U001217,S0025,CH03,2025-11-21 03:44:58,cancelled,5290.31,193.64,0,5096.67,0,华北,天津,天津
O00000031,U001848,S0076,CH04,2025-04-02 21:52:07,completed,3177.55,562.39,0,2615.16,2615.16,西南,四川,成都
O00000032,U001140,S0006,CH11,2026-01-09 18:11:30,completed,10325.76,355.25,0,9970.51,9970.51,华东,江苏,南京
O00000033,U002054,S0017,CH03,2025-04-15 01:19:24,completed,6382.38,1067.75,0,5314.63,5314.63,华南,福建,厦门
O00000034,U002171,S0033,CH08,2026-02-27 21:58:31,completed,863.7,10.15,0,853.55,853.55,华南,广东,深圳
O00000035,U004560,S0053,CH04,2026-08-02 17:21:59,completed,1630.92,86.32,0,1544.6,1544.6,华南,广东,深圳
O00000036,U000218,S0030,CH08,2025-11-27 11:49:13,completed,9431.45,648.77,0,8782.68,8782.68,华南,福建,厦门
O00000037,U002486,S0061,CH03,2026-05-02 23:49:58,completed,1959.66,149.1,0,1810.56,1810.56,华南,广西,南宁
O00000038,U001949,S0006,CH01,2026-03-11 10:12:21,completed,144.64,18.53,0,126.11,126.11,西南,云南,昆明
O00000039,U001030,S0060,CH12,2025-04-24 02:02:46,completed,8203.2,1195.33,0,7007.87,7007.87,西南,重庆,重庆
O00000040,U001372,S0016,CH07,2025-10-29 01:43:38,completed,2123.91,324.7,0,1799.21,1799.21,华南,广东,深圳
O00000041,U002415,S0017,CH08,2025-08-16 07:23:50,completed,7370.06,645.28,0,6724.78,6724.78,华中,湖南,长沙
O00000042,U002845,S0048,CH05,2026-04-02 07:42:08,completed,1687.9,96.17,0,1591.73,1591.73,华东,江苏,南京
O00000043,U002062,S0055,CH05,2026-01-17 06:20:17,completed,2138.3,240.83,0,1897.47,1897.47,华东,江苏,南京
O00000044,U003022,S0032,CH03,2025-01-26 00:51:27,paid,2713.7,70.43,0,2643.27,2643.27,华东,山东,青岛
O00000045,U000280,S0019,CH02,2025-08-12 04:07:00,completed,1845.76,109.88,0,1735.88,1735.88,华东,浙江,杭州
O00000046,U001115,S0013,CH04,2026-08-07 08:11:06,completed,92.2,14.55,8,85.65,85.65,华北,山西,太原
O00000047,U002496,S0033,CH08,2026-04-04 00:47:54,completed,1959.03,267.43,0,1691.6,1691.6,华东,江苏,南京
O00000048,U001135,S0061,CH02,2025-12-07 10:17:38,completed,1628.09,289.86,0,1338.23,1338.23,华东,江苏,南京
O00000049,U002114,S0016,CH02,2026-06-15 07:31:48,completed,6878.96,205.38,0,6673.58,6673.58,华中,河南,郑州
O00000050,U003053,S0065,CH08,2025-01-11 14:12:31,completed,3889.13,203.44,0,3685.69,3685.69,华东,上海,上海
O00000051,U001193,S0005,CH07,2025-07-28 20:47:40,completed,3737.34,254.06,0,3483.28,3483.28,华东,江苏,南京
O00000052,U001804,S0049,CH02,2026-01-19 06:29:55,completed,1483.59,13.93,0,1469.66,1469.66,西南,四川,成都
O00000053,U001936,S0066,CH07,2026-07-27 10:12:51,completed,238.02,30.05,0,207.97,207.97,华北,天津,天津
O00000054,U002653,S0024,CH01,2025-03-10 14:27:19,shipped,1200.41,187.51,0,1012.9,1012.9,华东,浙江,杭州
O00000055,U000411,S0030,CH08,2026-05-23 20:11:46,shipped,524.74,92.7,0,432.04,432.04,华南,福建,厦门
O00000056,U003369,S0056,CH02,2025-04-12 17:14:50,completed,1591.79,274.37,0,1317.42,1317.42,华东,浙江,杭州
O00000057,U001877,S0057,CH09,2025-07-01 04:00:35,cancelled,1759.56,302.08,0,1457.48,0,华南,广西,南宁
O00000058,U004904,S0029,CH09,2025-12-04 11:38:16,shipped,1881.1,224.71,0,1656.39,1656.39,华南,广东,广州
O00000059,U000364,S0021,CH03,2025-11-17 16:33:20,shipped,2681.48,135.71,0,2545.77,2545.77,华中,湖北,武汉
O00000060,U003565,S0025,CH04,2025-07-31 12:00:37,completed,15544.7,2019.76,0,13524.94,13524.94,华中,江西,南昌
O00000061,U001434,S0006,CH01,2026-02-08 06:09:57,completed,334.24,4.47,0,329.77,329.77,华东,浙江,杭州
O00000062,U001229,S0021,CH04,2026-05-31 06:46:44,shipped,2311.74,44.56,0,2267.18,2267.18,华中,湖南,长沙
O00000063,U002167,S0050,CH01,2026-02-05 09:32:54,completed,1902.44,58.64,0,1843.8,1843.8,华北,天津,天津
O00000064,U003352,S0026,CH01,2025-06-06 06:25:24,completed,306.53,10.93,0,295.6,295.6,华南,广东,广州
O00000065,U003059,S0053,CH08,2026-04-26 04:41:53,completed,7915.92,949.81,0,6966.11,6966.11,华北,天津,天津
O00000066,U004348,S0016,CH02,2025-01-08 00:40:52,cancelled,6914.08,1075.36,0,5838.72,0,华北,北京,北京
O00000067,U003257,S0021,CH06,2026-01-26 06:26:30,cancelled,6080.04,432.74,0,5647.3,0,华东,浙江,杭州
O00000068,U001545,S0008,CH08,2025-09-07 08:04:03,paid,4361.82,211.58,0,4150.24,4150.24,华南,广东,广州
O00000069,U004096,S0030,CH07,2025-08-03 06:21:54,completed,5355.62,794.13,0,4561.49,4561.49,华东,江苏,南京
O00000070,U002506,S0001,CH01,2026-02-28 00:02:19,completed,170.55,5.92,0,164.63,164.63,西南,重庆,重庆
O00000071,U004665,S0014,CH11,2026-02-12 13:13:12,completed,3155.16,294.05,0,2861.11,2861.11,华南,广东,深圳
O00000072,U004339,S0015,CH08,2025-08-09 00:18:57,completed,5977.63,479.17,0,5498.46,5498.46,华北,山西,太原
O00000073,U001105,S0010,CH11,2026-04-09 13:06:01,completed,3169.1,113.75,0,3055.35,3055.35,华中,湖南,长沙
O00000074,U004859,S0051,CH01,2026-02-07 17:24:39,cancelled,1767.03,165.2,0,1601.83,0,华北,北京,北京
O00000075,U003637,S0013,CH02,2025-10-12 23:14:49,completed,2649.99,122.88,0,2527.11,2527.11,华中,河南,郑州
O00000076,U004744,S0023,CH07,2025-04-13 16:31:09,refunded,88.84,1.08,8,95.76,95.76,华中,湖北,武汉
O00000077,U001357,S0035,CH10,2026-04-19 22:36:48,refunded,962.27,90.01,0,872.26,872.26,华南,广东,深圳
O00000078,U003309,S0018,CH04,2026-03-03 10:21:22,completed,3074.6,273.04,0,2801.56,2801.56,华东,江苏,南京
O00000079,U002603,S0067,CH09,2026-02-22 15:58:18,completed,1969.53,101.45,0,1868.08,1868.08,华东,江苏,南京
O00000080,U004130,S0006,CH02,2025-10-26 13:43:49,completed,6466.08,604.8,0,5861.28,5861.28,华南,广东,广州
O00000081,U004782,S0020,CH03,2025-09-08 21:24:07,completed,19366.48,2053.96,0,17312.52,17312.52,华北,山西,太原
O00000082,U003094,S0002,CH02,2025-01-11 21:53:48,completed,8137.59,80.61,0,8056.98,8056.98,华南,福建,厦门
O00000083,U000143,S0075,CH04,2025-08-17 01:16:32,completed,4603.62,433.9,0,4169.72,4169.72,华东,江苏,南京
O00000084,U003073,S0033,CH01,2025-02-18 21:43:57,completed,8064.37,1097.35,0,6967.02,6967.02,西南,重庆,重庆
O00000085,U002253,S0063,CH06,2025-02-10 05:05:22,paid,9304.56,868.5,0,8436.06,8436.06,华南,广东,广州
O00000086,U004249,S0071,CH09,2026-05-07 20:19:13,completed,10831.6,665.86,0,10165.74,10165.74,华南,福建,厦门
O00000087,U001128,S0018,CH01,2026-06-19 23:22:58,refunded,963.58,93.6,0,869.98,869.98,华南,广东,深圳
O00000088,U003461,S0051,CH03,2025-10-01 13:40:02,completed,13477.52,540.82,0,12936.7,12936.7,华南,广西,南宁
O00000089,U002391,S0057,CH01,2026-05-27 08:15:32,completed,3333.1,306.58,0,3026.52,3026.52,华中,江西,南昌
O00000090,U003860,S0023,CH04,2025-06-18 02:33:48,refunded,3220.47,228.93,0,2991.54,2991.54,华东,上海,上海
O00000091,U003755,S0063,CH06,2025-06-14 15:45:01,completed,8254.99,607.54,0,7647.45,7647.45,华南,广西,南宁
O00000092,U000289,S0003,CH01,2025-11-13 20:19:32,completed,2978.75,121.15,0,2857.6,2857.6,华南,广东,广州
O00000093,U003625,S0006,CH02,2025-09-20 03:04:54,completed,1949.47,219.28,0,1730.19,1730.19,华东,山东,青岛
O00000094,U003114,S0021,CH01,2026-06-17 15:52:42,completed,407.73,31.14,0,376.59,376.59,华南,福建,厦门
O00000095,U003998,S0059,CH06,2025-08-20 08:54:07,completed,1021.34,165.76,0,855.58,855.58,华北,河北,石家庄
O00000096,U004365,S0022,CH03,2025-09-28 11:50:38,completed,2348.2,313.36,0,2034.84,2034.84,华南,广东,广州
O00000097,U000840,S0037,CH01,2026-04-27 10:17:36,completed,808.48,125.2,0,683.28,683.28,华东,上海,上海
O00000098,U001549,S0004,CH03,2025-10-29 20:37:09,completed,10731.76,514.16,0,10217.6,10217.6,华东,山东,青岛
O00000099,U004560,S0028,CH03,2026-01-06 00:18:53,cancelled,3134.65,436.85,0,2697.8,0,华南,广东,深圳
O00000100,U004975,S0007,CH01,2025-04-28 20:40:14,completed,4980.8,641.9,0,4338.9,4338.9,华南,广东,深圳
O00000101,U000067,S0077,CH06,2026-06-12 06:59:12,pending_payment,7292.12,978.9,0,6313.22,0,华中,江西,南昌
O00000102,U000285,S0035,CH01,2025-10-31 14:00:15,refunded,8327.14,939.87,0,7387.27,7387.27,华北,河北,石家庄
O00000103,U003046,S0036,CH01,2025-11-03 05:24:37,completed,2159.87,60.76,0,2099.11,2099.11,华中,江西,南昌
O00000104,U002169,S0019,CH03,2025-05-27 00:32:21,completed,2531.34,282.18,0,2249.16,2249.16,华北,天津,天津
O00000105,U000070,S0048,CH02,2025-07-22 04:38:32,shipped,2929.8,148.62,0,2781.18,2781.18,华南,广东,深圳
O00000106,U002169,S0031,CH01,2026-02-10 04:48:24,completed,4360.96,490.43,0,3870.53,3870.53,华北,天津,天津
O00000107,U004004,S0023,CH06,2026-07-02 16:25:48,completed,7543.95,798.44,0,6745.51,6745.51,华南,广西,南宁
O00000108,U001326,S0059,CH04,2025-11-11 15:30:05,paid,1335.02,114.48,0,1220.54,1220.54,华南,广东,深圳
O00000109,U004650,S0017,CH01,2025-05-06 16:43:33,cancelled,5940.47,600.01,0,5340.46,0,华东,山东,青岛
O00000110,U000173,S0027,CH09,2025-07-05 22:22:17,completed,2770.34,352.35,0,2417.99,2417.99,华东,上海,上海
O00000111,U000884,S0036,CH03,2025-09-11 23:38:11,completed,1120.8,191.48,0,929.32,929.32,华东,浙江,杭州
O00000112,U000600,S0005,CH08,2025-11-14 19:53:28,completed,1788.61,176.64,0,1611.97,1611.97,西南,云南,昆明
O00000113,U001458,S0068,CH08,2026-07-26 12:44:59,paid,4675.16,467.77,0,4207.39,4207.39,华东,上海,上海
O00000114,U003643,S0053,CH02,2025-10-19 16:51:34,shipped,9034.23,1020.67,0,8013.56,8013.56,华中,湖北,武汉
O00000115,U004772,S0014,CH08,2025-10-15 22:51:28,cancelled,5720.99,398.67,0,5322.32,0,西南,贵州,贵阳
O00000116,U004270,S0068,CH03,2025-01-29 03:03:43,refunded,7036.82,660.06,0,6376.76,6376.76,华东,浙江,杭州
O00000117,U000332,S0051,CH02,2025-08-09 01:51:59,completed,5829.59,288.64,0,5540.95,5540.95,华南,广东,广州
O00000118,U004775,S0076,CH01,2026-05-04 06:01:01,completed,5721.22,761.08,0,4960.14,4960.14,华东,浙江,杭州
O00000119,U001651,S0058,CH01,2025-06-15 19:34:09,completed,935.67,11.7,0,923.97,923.97,华南,广西,南宁
O00000120,U004754,S0062,CH03,2026-03-28 18:16:07,completed,2188.94,304.47,0,1884.47,1884.47,华东,山东,青岛
O00000121,U003981,S0061,CH07,2025-05-21 22:01:40,completed,2902.41,340.65,0,2561.76,2561.76,华东,浙江,杭州
O00000122,U002776,S0037,CH04,2026-02-03 07:50:55,completed,3395.79,394.23,0,3001.56,3001.56,华东,山东,青岛
O00000123,U001841,S0075,CH07,2025-01-22 11:25:38,shipped,1867.96,203.15,0,1664.81,1664.81,华中,湖南,长沙
O00000124,U002782,S0068,CH09,2026-06-22 19:34:37,shipped,5169.77,488.55,0,4681.22,4681.22,华南,福建,厦门
O00000125,U002768,S0016,CH03,2025-07-18 18:51:07,shipped,656.71,30.3,0,626.41,626.41,华北,天津,天津
O00000126,U002361,S0078,CH01,2026-05-20 13:41:47,completed,1228.47,56.01,0,1172.46,1172.46,华中,湖南,长沙
O00000127,U004763,S0001,CH02,2025-04-23 07:41:55,shipped,4832.07,147.73,0,4684.34,4684.34,华中,江西,南昌
O00000128,U002686,S0019,CH07,2025-04-30 08:59:46,completed,1600.03,73.05,0,1526.98,1526.98,华北,山西,太原
O00000129,U002005,S0059,CH02,2025-03-28 04:20:22,completed,4685.3,312.5,0,4372.8,4372.8,华东,江苏,南京
O00000130,U001704,S0032,CH01,2025-08-17 14:55:05,pending_payment,3451.28,168.99,0,3282.29,0,华东,上海,上海
O00000131,U003837,S0004,CH06,2025-07-27 04:02:44,completed,9001.21,748.18,0,8253.03,8253.03,华东,江苏,南京
O00000132,U000194,S0064,CH11,2026-01-10 01:25:18,completed,2213.3,107.69,0,2105.61,2105.61,西南,四川,成都
O00000133,U002098,S0023,CH09,2025-11-16 23:05:39,completed,43.45,7.51,6,41.94,41.94,华南,广西,南宁
O00000134,U001991,S0079,CH06,2025-06-02 14:06:29,completed,6078.51,413.87,0,5664.64,5664.64,华北,河北,石家庄
O00000135,U003978,S0058,CH02,2025-02-02 09:33:52,shipped,1783.83,236.31,0,1547.52,1547.52,华东,江苏,南京
O00000136,U001396,S0010,CH01,2025-11-10 21:33:40,completed,4304.6,424.14,0,3880.46,3880.46,华北,河北,石家庄
O00000137,U000014,S0006,CH03,2025-12-18 06:52:47,completed,169.49,14.99,0,154.5,154.5,华南,广东,深圳
O00000138,U001691,S0009,CH02,2026-05-25 09:57:46,cancelled,8055.95,871.61,0,7184.34,0,华东,浙江,杭州
O00000139,U001576,S0047,CH03,2025-06-23 17:29:07,completed,6235.24,840.16,0,5395.08,5395.08,华东,上海,上海
O00000140,U003210,S0026,CH03,2025-06-19 17:41:25,completed,1940.47,168.17,0,1772.3,1772.3,华北,北京,北京
O00000141,U004220,S0051,CH10,2025-05-11 17:46:01,completed,1981.47,165.57,0,1815.9,1815.9,华中,湖北,武汉
O00000142,U001344,S0077,CH07,2025-09-03 09:57:05,completed,5731.92,62.0,0,5669.92,5669.92,华北,天津,天津
O00000143,U000203,S0061,CH01,2025-04-02 00:56:43,completed,3040.88,407.21,0,2633.67,2633.67,华东,浙江,杭州
O00000144,U002366,S0005,CH02,2025-05-07 07:56:41,completed,5637.93,398.26,0,5239.67,5239.67,华北,北京,北京
O00000145,U001960,S0065,CH06,2025-08-26 14:36:22,completed,1554.81,204.61,0,1350.2,1350.2,华北,河北,石家庄
O00000146,U003551,S0066,CH02,2025-11-01 00:52:46,completed,6351.41,338.87,0,6012.54,6012.54,华东,江苏,南京
O00000147,U000558,S0027,CH08,2026-01-27 12:09:50,completed,9437.14,410.89,0,9026.25,9026.25,华东,江苏,南京
O00000148,U002193,S0066,CH01,2025-10-22 15:08:33,shipped,5649.72,469.66,0,5180.06,5180.06,华东,浙江,杭州
O00000149,U004608,S0070,CH08,2025-06-21 06:33:25,completed,3169.17,405.65,0,2763.52,2763.52,华中,河南,郑州
O00000150,U001726,S0051,CH01,2025-12-08 01:18:59,cancelled,1161.46,166.22,0,995.24,0,华南,广东,广州
O00000151,U003485,S0041,CH01,2025-12-28 17:49:00,refunded,2762.62,266.9,0,2495.72,2495.72,华中,江西,南昌
O00000152,U003516,S0003,CH01,2026-01-19 20:01:59,shipped,4172.92,340.53,0,3832.39,3832.39,华东,浙江,杭州
O00000153,U003548,S0050,CH01,2026-05-10 23:17:45,shipped,787.63,104.98,0,682.65,682.65,华南,福建,厦门
O00000154,U003687,S0043,CH07,2026-01-20 03:37:45,completed,1074.72,48.1,0,1026.62,1026.62,华北,天津,天津
O00000155,U000035,S0036,CH03,2025-10-27 18:42:41,completed,2151.14,136.38,0,2014.76,2014.76,西南,贵州,贵阳
O00000156,U002995,S0032,CH03,2025-10-14 06:21:01,completed,1506.2,101.37,0,1404.83,1404.83,华中,湖北,武汉
O00000157,U000206,S0078,CH01,2025-08-02 20:04:02,completed,3417.99,502.34,0,2915.65,2915.65,华北,北京,北京
O00000158,U001287,S0023,CH04,2026-05-30 06:22:15,completed,2936.32,20.63,0,2915.69,2915.69,华东,江苏,南京
O00000159,U000693,S0054,CH01,2025-08-08 12:16:16,completed,6480.96,257.68,0,6223.28,6223.28,华中,湖南,长沙
O00000160,U003747,S0002,CH02,2025-06-20 05:37:01,completed,7990.58,739.96,0,7250.62,7250.62,华东,浙江,杭州
O00000161,U003226,S0028,CH11,2026-03-31 23:42:31,shipped,4416.06,517.79,0,3898.27,3898.27,华东,上海,上海
O00000162,U002726,S0006,CH01,2026-08-10 12:39:05,shipped,2397.71,364.45,0,2033.26,2033.26,华北,山西,太原
O00000163,U004379,S0034,CH04,2025-12-30 04:49:53,cancelled,1476.38,202.0,0,1274.38,0,华北,北京,北京
O00000164,U004949,S0053,CH05,2025-04-07 22:28:59,completed,7802.04,745.33,0,7056.71,7056.71,华中,湖南,长沙
O00000165,U002194,S0037,CH01,2025-05-30 21:16:19,paid,2207.69,189.5,0,2018.19,2018.19,华东,浙江,杭州
O00000166,U001569,S0018,CH01,2026-06-02 12:02:53,completed,1483.42,21.27,0,1462.15,1462.15,华北,河北,石家庄
O00000167,U001453,S0033,CH04,2025-08-01 22:23:00,completed,2900.28,57.43,0,2842.85,2842.85,华东,江苏,南京
O00000168,U000214,S0056,CH05,2025-08-22 02:40:14,completed,2951.8,62.22,0,2889.58,2889.58,华南,广东,广州
O00000169,U002901,S0055,CH01,2025-04-10 04:26:58,completed,1015.18,122.76,0,892.42,892.42,华东,浙江,杭州
O00000170,U003199,S0010,CH06,2025-04-02 16:24:18,completed,5234.86,773.9,0,4460.96,4460.96,华南,广东,深圳
O00000171,U003530,S0014,CH04,2025-01-07 11:45:05,completed,7161.61,540.14,0,6621.47,6621.47,华东,江苏,南京
O00000172,U001620,S0053,CH04,2025-11-17 13:13:21,completed,5604.78,609.72,0,4995.06,4995.06,华东,浙江,杭州
O00000173,U001450,S0045,CH11,2026-07-31 01:20:54,cancelled,1531.2,82.24,0,1448.96,0,华东,江苏,南京
O00000174,U000523,S0026,CH01,2025-08-21 07:45:46,completed,831.66,115.62,0,716.04,716.04,西南,四川,成都
O00000175,U000004,S0041,CH02,2025-03-09 05:21:18,paid,1574.12,175.81,0,1398.31,1398.31,华北,北京,北京
O00000176,U003668,S0053,CH10,2026-06-20 15:45:45,completed,10083.88,1293.15,0,8790.73,8790.73,华南,广东,深圳
O00000177,U003421,S0060,CH03,2025-06-11 02:18:42,shipped,2274.1,182.59,0,2091.51,2091.51,华东,江苏,南京
O00000178,U004393,S0075,CH09,2025-03-31 03:00:44,shipped,2504.32,51.15,0,2453.17,2453.17,华东,上海,上海
O00000179,U000737,S0050,CH10,2026-06-23 10:59:31,completed,5431.24,324.26,0,5106.98,5106.98,华北,北京,北京
O00000180,U004483,S0030,CH09,2026-07-10 23:13:29,completed,1888.16,273.26,0,1614.9,1614.9,华北,山西,太原
O00000181,U001211,S0039,CH04,2026-04-01 19:58:18,cancelled,1859.35,275.89,0,1583.46,0,西南,四川,成都
O00000182,U004802,S0061,CH02,2026-03-31 03:56:21,completed,2849.81,381.81,0,2468.0,2468.0,华中,湖北,武汉
O00000183,U003485,S0009,CH07,2025-08-13 06:50:41,completed,4460.67,725.02,0,3735.65,3735.65,华中,江西,南昌
O00000184,U002875,S0040,CH07,2025-04-20 05:41:39,completed,6441.48,679.61,0,5761.87,5761.87,华南,广东,广州
O00000185,U003396,S0040,CH03,2026-01-19 17:58:05,completed,5258.58,616.98,0,4641.6,4641.6,华中,江西,南昌
O00000186,U004552,S0014,CH02,2025-08-31 18:15:12,completed,1154.55,60.94,0,1093.61,1093.61,华中,湖南,长沙
O00000187,U002548,S0014,CH04,2025-08-26 23:26:21,completed,1114.7,160.09,0,954.61,954.61,华北,天津,天津
O00000188,U002479,S0017,CH10,2026-04-18 12:34:50,completed,8678.05,1220.55,0,7457.5,7457.5,华东,上海,上海
O00000189,U002452,S0027,CH04,2025-07-27 17:47:57,completed,536.02,72.51,0,463.51,463.51,华南,福建,厦门
O00000190,U004059,S0064,CH07,2026-07-13 09:37:08,shipped,921.85,121.78,0,800.07,800.07,华东,山东,青岛
O00000191,U001588,S0076,CH05,2026-08-19 10:19:30,completed,5192.32,337.33,0,4854.99,4854.99,华南,广西,南宁
O00000192,U003056,S0035,CH01,2025-03-18 04:42:20,completed,5014.86,196.73,0,4818.13,4818.13,华南,福建,厦门
O00000193,U004634,S0028,CH10,2025-08-17 13:51:58,completed,768.64,95.85,0,672.79,672.79,华东,山东,青岛
O00000194,U000376,S0017,CH01,2026-08-17 18:49:35,completed,3744.94,573.81,0,3171.13,3171.13,华中,江西,南昌
O00000195,U001141,S0037,CH04,2025-05-29 18:42:04,completed,1092.68,137.01,0,955.67,955.67,华北,山西,太原
O00000196,U002984,S0076,CH03,2025-09-09 09:19:05,completed,1039.88,50.36,0,989.52,989.52,华东,上海,上海
O00000197,U004830,S0027,CH04,2026-03-29 17:10:06,completed,1042.03,49.29,0,992.74,992.74,华北,山西,太原
O00000198,U002578,S0001,CH01,2026-02-13 15:00:42,completed,325.1,42.77,0,282.33,282.33,西南,重庆,重庆
O00000199,U001151,S0047,CH01,2025-04-03 13:37:26,completed,3552.7,538.29,0,3014.41,3014.41,华南,福建,厦门
O00000200,U000805,S0063,CH03,2025-12-06 00:23:32,completed,2013.38,146.23,0,1867.15,1867.15,华北,山西,太原
O00000201,U004156,S0042,CH02,2025-09-06 07:25:51,completed,154.03,3.3,0,150.73,150.73,华东,浙江,杭州
O00000202,U004278,S0054,CH09,2025-01-22 21:24:32,completed,1626.08,79.92,0,1546.16,1546.16,西南,云南,昆明
O00000203,U000767,S0039,CH03,2025-12-23 10:16:12,shipped,6199.01,851.97,0,5347.04,5347.04,华南,广东,广州
O00000204,U002210,S0076,CH01,2025-01-16 10:58:11,completed,1712.9,180.12,0,1532.78,1532.78,华东,山东,青岛
O00000205,U000532,S0056,CH03,2026-04-19 04:44:16,shipped,4165.61,240.42,0,3925.19,3925.19,华中,湖南,长沙
O00000206,U002378,S0044,CH02,2025-02-08 17:03:10,completed,2775.4,208.69,0,2566.71,2566.71,华北,河北,石家庄
O00000207,U002195,S0027,CH03,2025-09-18 21:30:03,completed,5683.98,668.95,0,5015.03,5015.03,华中,江西,南昌
O00000208,U003344,S0023,CH02,2025-01-31 14:24:08,completed,2894.6,144.73,0,2749.87,2749.87,华南,福建,厦门
O00000209,U002086,S0039,CH02,2025-10-29 23:47:45,completed,1869.48,19.47,0,1850.01,1850.01,华东,江苏,南京
O00000210,U002333,S0030,CH02,2025-12-01 17:06:03,completed,536.91,77.71,0,459.2,459.2,西南,贵州,贵阳
O00000211,U003934,S0026,CH01,2026-06-06 12:27:57,completed,4455.73,684.85,0,3770.88,3770.88,华东,浙江,杭州
O00000212,U000859,S0036,CH05,2025-02-22 19:45:16,completed,8667.55,423.74,0,8243.81,8243.81,西南,四川,成都
O00000213,U001312,S0013,CH02,2025-07-06 10:16:07,cancelled,765.06,118.65,0,646.41,0,西南,重庆,重庆
O00000214,U004865,S0020,CH01,2025-10-30 10:02:04,completed,2881.98,264.93,0,2617.05,2617.05,华南,广西,南宁
O00000215,U002668,S0068,CH10,2025-09-01 04:57:46,completed,375.78,21.65,0,354.13,354.13,西南,四川,成都
O00000216,U004663,S0054,CH07,2026-07-31 16:27:36,completed,1770.8,1.88,0,1768.92,1768.92,华东,江苏,南京
O00000217,U000625,S0047,CH01,2025-11-15 20:30:31,completed,2800.47,397.63,0,2402.84,2402.84,华中,湖南,长沙
O00000218,U000950,S0038,CH01,2026-08-12 23:34:57,completed,3643.13,271.5,0,3371.63,3371.63,华南,福建,厦门
