coupon_id,coupon_name,coupon_type,threshold_amount,discount_amount,valid_from,valid_to,issue_limit,scope_type,status
CP00033,无门槛券033,无门槛券,199,27.87,2025-03-22,2025-05-06,13721,category,finished
CP00034,满减券034,满减券,199,31.12,2026-05-12,2026-05-28,13979,all,finished
CP00035,运费券035,运费券,399,72.35,2026-01-22,2026-02-20,15926,all,finished
CP00036,满减券036,满减券,199,32.03,2026-08-02,2026-08-14,8842,all,finished
CP00037,满减券037,满减券,399,62.74,2026-04-23,2026-04-30,15175,category,finished
CP00038,无门槛券038,无门槛券,0,7.49,2026-05-16,2026-06-22,14266,all,finished
CP00039,满减券039,满减券,399,15.82,2026-01-08,2026-02-14,18402,all,finished
CP00040,满减券040,满减券,199,22.44,2025-03-14,2025-04-26,19063,all,finished
CP00041,满减券041,满减券,199,53.71,2025-01-17,2025-02-12,1790,all,finished
CP00042,满减券042,满减券,99,13.33,2026-01-01,2026-01-15,12649,all,finished
CP00043,无门槛券043,无门槛券,699,88.16,2025-03-14,2025-03-22,8913,all,finished
CP00044,满减券044,满减券,99,6.69,2025-08-05,2025-09-19,14407,store,finished
CP00045,折扣券045,折扣券,699,102.24,2026-07-17,2026-08-11,8167,store,finished
CP00046,折扣券046,折扣券,99,29.68,2026-08-08,2026-08-22,7846,all,active
CP00047,运费券047,运费券,399,66.82,2026-07-19,2026-08-18,4656,store,finished
CP00048,运费券048,运费券,99,11.56,2026-08-05,2026-08-22,1275,category,active
CP00049,满减券049,满减券,199,49.71,2025-04-01,2025-04-20,5464,all,finished
CP00050,满减券050,满减券,199,55.17,2025-08-19,2025-09-07,17707,category,finished
CP00051,折扣券051,折扣券,199,42.04,2025-11-26,2025-12-06,8163,all,finished
CP00052,折扣券052,折扣券,99,26.8,2026-03-15,2026-04-01,5132,all,finished
CP00053,满减券053,满减券,199,12.33,2025-04-06,2025-05-14,2056,all,finished
CP00054,满减券054,满减券,199,31.25,2025-06-12,2025-06-26,10176,store,finished
CP00055,满减券055,满减券,699,123.44,2026-01-27,2026-03-02,6453,all,finished
CP00056,满减券056,满减券,0,9.18,2026-05-29,2026-07-09,6330,store,finished
CP00057,无门槛券057,无门槛券,99,5.78,2025-05-26,2025-06-14,16384,store,finished
CP00058,折扣券058,折扣券,699,99.78,2026-07-11,2026-07-23,7848,category,finished
CP00059,运费券059,运费券,699,6.6,2026-08-18,2026-08-22,18288,store,active
CP00060,满减券060,满减券,399,11.31,2025-04-04,2025-05-04,8465,all,finished
CP00061,折扣券061,折扣券,199,41.51,2025-09-09,2025-10-01,14575,all,finished
CP00062,运费券062,运费券,0,6.55,2026-04-10,2026-04-17,2320,all,finished
CP00063,折扣券063,折扣券,99,15.7,2026-01-07,2026-01-22,14241,all,finished
CP00064,运费券064,运费券,199,55.92,2026-02-11,2026-03-06,14173,category,finished
CP00065,折扣券065,折扣券,399,47.93,2025-04-21,2025-05-23,9905,all,finished
CP00066,满减券066,满减券,699,117.08,2026-03-23,2026-04-17,17123,all,finished
CP00067,折扣券067,折扣券,699,34.21,2025-08-04,2025-08-12,6218,all,finished
CP00068,折扣券068,折扣券,699,137.03,2026-06-07,2026-06-16,16572,all,finished
CP00069,折扣券069,折扣券,199,22.95,2026-08-19,2026-08-22,3451,category,active
CP00070,满减券070,满减券,399,99.65,2025-06-16,2025-07-01,5678,category,finished
CP00071,运费券071,运费券,199,30.88,2025-02-01,2025-02-24,5911,category,finished
CP00072,满减券072,满减券,199,37.75,2025-04-18,2025-05-16,4405,all,finished
CP00073,无门槛券073,无门槛券,199,42.24,2026-05-15,2026-05-29,10794,all,finished
CP00074,满减券074,满减券,199,48.37,2025-11-23,2025-12-27,6525,all,finished
CP00075,折扣券075,折扣券,99,28.2,2025-02-05,2025-02-18,11746,all,finished
CP00076,折扣券076,折扣券,99,6.8,2025-02-08,2025-03-09,4562,all,finished
CP00077,满减券077,满减券,699,13.83,2025-01-24,2025-02-03,6650,category,finished
CP00078,无门槛券078,无门槛券,699,82.39,2026-08-03,2026-08-22,19487,store,active
CP00079,满减券079,满减券,99,6.82,2026-01-11,2026-02-05,18683,all,finished
CP00080,满减券080,满减券,399,23.17,2025-12-27,2026-01-15,5726,store,finished
CP00081,运费券081,运费券,199,38.35,2025-10-20,2025-10-29,1100,all,finished
CP00082,折扣券082,折扣券,0,9.28,2026-03-12,2026-04-14,10692,category,finished
CP00083,满减券083,满减券,199,32.24,2026-04-01,2026-04-20,16123,store,finished
CP00084,无门槛券084,无门槛券,0,5.39,2025-10-03,2025-10-15,3978,all,finished
CP00085,无门槛券085,无门槛券,699,72.39,2025-03-29,2025-04-08,17977,category,finished
CP00086,满减券086,满减券,99,27.94,2025-02-20,2025-03-29,12808,all,finished
CP00087,满减券087,满减券,199,52.22,2025-08-23,2025-09-04,9991,all,finished
CP00088,折扣券088,折扣券,399,18.99,2026-06-02,2026-07-10,13336,all,finished
CP00089,满减券089,满减券,0,8.02,2026-07-26,2026-08-22,17625,store,active
CP00090,满减券090,满减券,699,16.18,2025-03-20,2025-05-02,4995,all,finished
CP00091,满减券091,满减券,199,22.89,2026-06-16,2026-07-17,18545,category,finished
CP00092,满减券092,满减券,399,104.3,2025-03-21,2025-04-06,10526,all,finished
CP00093,满减券093,满减券,699,27.11,2026-06-15,2026-07-19,9721,all,finished
CP00094,折扣券094,折扣券,0,9.28,2025-03-26,2025-04-23,9548,category,finished
CP00095,折扣券095,折扣券,199,35.84,2025-01-20,2025-02-06,19908,category,finished
CP00096,满减券096,满减券,99,23.59,2025-09-18,2025-10-03,13141,category,finished
CP00097,满减券097,满减券,99,17.45,2025-03-28,2025-04-14,17261,all,finished
CP00098,满减券098,满减券,399,5.32,2025-07-01,2025-07-19,17503,all,finished
CP00099,满减券099,满减券,699,47.95,2025-04-10,2025-05-21,1179,all,finished
CP00100,满减券100,满减券,699,8.39,2026-08-11,2026-08-22,16757,all,active
CP00101,满减券101,满减券,199,57.5,2025-05-14,2025-06-05,730,all,finished
CP00102,折扣券102,折扣券,699,106.56,2025-02-16,2025-03-18,4380,all,finished
CP00103,折扣券103,折扣券,0,6.3,2025-09-04,2025-09-27,4226,all,finished
CP00104,折扣券104,折扣券,399,76.67,2025-10-09,2025-10-20,11869,category,finished
CP00105,无门槛券105,无门槛券,0,8.54,2025-06-08,2025-07-17,16856,all,finished
CP00106,折扣券106,折扣券,99,6.59,2025-01-17,2025-02-21,16002,all,finished
CP00107,折扣券107,折扣券,399,91.42,2026-06-26,2026-07-23,17638,category,finished
CP00108,满减券108,满减券,699,32.8,2026-07-24,2026-08-07,15471,all,finished
CP00109,折扣券109,折扣券,199,52.92,2026-04-08,2026-04-29,2811,all,finished
CP00110,满减券110,满减券,99,20.65,2025-09-16,2025-10-17,14245,category,finished
CP00111,运费券111,运费券,99,14.15,2025-09-30,2025-11-01,7321,category,finished
CP00112,折扣券112,折扣券,699,36.64,2025-12-02,2025-12-31,13894,all,finished
CP00113,折扣券113,折扣券,399,7.63,2025-12-08,2026-01-08,4970,category,finished
CP00114,满减券114,满减券,99,29.15,2025-09-15,2025-10-05,7424,all,finished
CP00115,折扣券115,折扣券,399,86.93,2025-07-12,2025-07-26,3232,all,finished
CP00116,折扣券116,折扣券,399,12.5,2026-06-03,2026-06-12,19021,store,finished
CP00117,折扣券117,折扣券,0,7.89,2025-09-09,2025-09-23,16869,all,finished
CP00118,折扣券118,折扣券,99,13.08,2025-11-26,2025-12-23,17350,all,finished
CP00119,运费券119,运费券,699,78.56,2026-04-29,2026-06-01,15716,all,finished
CP00120,无门槛券120,无门槛券,699,79.58,2026-05-06,2026-06-16,2934,category,finished
CP00121,满减券121,满减券,199,14.4,2026-03-13,2026-04-14,5047,all,finished
CP00122,满减券122,满减券,699,147.62,2025-01-20,2025-02-15,5167,all,finished
CP00123,折扣券123,折扣券,399,73.75,2025-07-11,2025-08-13,15857,all,finished
CP00124,满减券124,满减券,99,5.83,2026-05-26,2026-06-29,8291,all,finished
CP00125,满减券125,满减券,199,21.22,2025-12-07,2026-01-15,1278,all,finished
CP00126,运费券126,运费券,699,76.27,2026-08-06,2026-08-22,8374,store,active
CP00127,满减券127,满减券,0,8.98,2025-04-16,2025-04-26,17697,all,finished
CP00128,无门槛券128,无门槛券,399,59.78,2026-07-03,2026-08-15,9885,category,finished
CP00129,满减券129,满减券,399,78.9,2026-03-05,2026-03-25,2610,store,finished
CP00130,无门槛券130,无门槛券,199,15.68,2026-06-23,2026-07-14,16294,store,finished
CP00131,运费券131,运费券,0,9.19,2025-09-05,2025-09-21,18561,all,finished
CP00132,折扣券132,折扣券,199,57.92,2026-06-06,2026-06-14,6824,all,finished
CP00133,满减券133,满减券,399,25.98,2026-05-31,2026-06-18,16813,all,finished
CP00134,无门槛券134,无门槛券,99,28.03,2025-06-27,2025-07-26,13679,store,finished
CP00135,满减券135,满减券,699,83.42,2025-11-05,2025-11-25,17837,category,finished
CP00136,满减券136,满减券,699,54.37,2026-01-20,2026-01-31,7413,category,finished
CP00137,满减券137,满减券,399,60.5,2026-06-27,2026-08-07,6144,all,finished
CP00138,无门槛券138,无门槛券,99,29.0,2025-04-30,2025-05-14,19163,store,finished
CP00139,无门槛券139,无门槛券,399,60.24,2025-11-16,2025-11-28,1455,all,finished
CP00140,满减券140,满减券,99,21.17,2025-05-25,2025-06-25,4321,category,finished
CP00141,折扣券141,折扣券,699,109.53,2025-12-10,2026-01-19,5044,all,finished
CP00142,满减券142,满减券,399,14.56,2026-04-20,2026-04-29,18467,all,finished
CP00143,折扣券143,折扣券,699,147.54,2025-02-05,2025-03-11,11733,all,finished
CP00144,无门槛券144,无门槛券,399,25.86,2026-06-06,2026-07-07,5990,all,finished
CP00145,满减券145,满减券,199,10.69,2025-12-14,2025-12-28,19356,category,finished
CP00146,满减券146,满减券,399,104.66,2025-12-09,2025-12-21,10642,all,finished
CP00147,折扣券147,折扣券,699,64.83,2025-03-27,2025-04-27,15560,all,finished
CP00148,满减券148,满减券,199,17.13,2025-07-21,2025-07-28,2066,store,finished
CP00149,满减券149,满减券,0,8.69,2025-12-08,2026-01-06,5470,all,finished
CP00150,满减券150,满减券,199,9.81,2025-11-30,2025-12-19,15943,all,finished
CP00151,折扣券151,折扣券,399,48.68,2025-06-11,2025-06-30,13044,category,finished
CP00152,折扣券152,折扣券,399,39.08,2026-01-01,2026-02-15,7451,category,finished
CP00153,满减券153,满减券,699,113.23,2025-08-13,2025-09-19,16394,all,finished
CP00154,满减券154,满减券,699,69.09,2026-02-26,2026-04-12,11502,all,finished
CP00155,满减券155,满减券,699,76.61,2026-08-21,2026-08-22,13994,category,active
CP00156,满减券156,满减券,699,102.43,2025-03-23,2025-04-24,10362,all,finished
CP00157,满减券157,满减券,399,111.49,2025-03-31,2025-05-10,9427,all,finished
CP00158,满减券158,满减券,0,8.87,2025-08-18,2025-09-15,14912,all,finished
CP00159,无门槛券159,无门槛券,199,36.24,2026-02-18,2026-03-31,2250,all,finished
CP00160,满减券160,满减券,199,34.25,2026-06-01,2026-06-22,982,category,finished
CP00161,折扣券161,折扣券,399,54.46,2026-03-21,2026-04-23,17768,all,finished
CP00162,折扣券162,折扣券,199,18.65,2025-01-17,2025-01-24,17682,category,finished
CP00163,满减券163,满减券,99,12.05,2026-06-07,2026-06-17,16126,all,finished
CP00164,满减券164,满减券,0,6.36,2025-12-03,2025-12-31,16824,all,finished
CP00165,满减券165,满减券,0,5.64,2026-05-22,2026-06-05,14437,store,finished
CP00166,满减券166,满减券,399,95.09,2026-07-29,2026-08-22,4249,store,active
CP00167,运费券167,运费券,199,50.16,2025-05-25,2025-06-27,9928,store,finished
CP00168,无门槛券168,无门槛券,199,28.1,2026-01-29,2026-02-27,10454,all,finished
CP00169,满减券169,满减券,99,16.12,2025-05-30,2025-07-05,2086,category,finished
CP00170,无门槛券170,无门槛券,199,38.43,2025-06-03,2025-06-19,18060,all,finished
CP00171,满减券171,满减券,399,79.44,2025-10-29,2025-11-16,11278,all,finished
CP00172,满减券172,满减券,0,8.25,2026-01-27,2026-03-05,3314,category,finished
CP00173,满减券173,满减券,0,6.3,2025-06-25,2025-07-24,10989,all,finished
CP00174,满减券174,满减券,699,140.96,2025-09-03,2025-09-18,3071,category,finished
CP00175,满减券175,满减券,199,43.12,2026-08-06,2026-08-22,8543,store,active
CP00176,折扣券176,折扣券,0,7.02,2025-05-02,2025-05-29,8242,all,finished
CP00177,折扣券177,折扣券,199,55.22,2025-06-19,2025-07-18,8659,all,finished
CP00178,折扣券178,折扣券,699,41.84,2025-09-08,2025-10-10,19625,all,finished
CP00179,满减券179,满减券,199,32.09,2026-03-12,2026-04-09,11636,all,finished
CP00180,满减券180,满减券,399,70.25,2026-05-25,2026-07-09,11945,all,finished
