campaign_product_id,campaign_id,product_id,campaign_price,stock_limit,per_user_limit
MCP0000067,MC0057,P000938,750.87,853,3
MCP0000068,MC0068,P000849,295.67,471,3
MCP0000069,MC0020,P000784,1624.28,1122,1
MCP0000070,MC0051,P001484,2442.95,197,5
MCP0000071,MC0063,P000549,1715.83,741,4
MCP0000072,MC0050,P000577,1362.77,111,4
MCP0000073,MC0051,P001395,2904.58,884,1
MCP0000074,MC0023,P000565,413.39,879,4
MCP0000075,MC0098,P000588,51.63,425,5
MCP0000076,MC0040,P001071,1871.02,465,3
MCP0000077,MC0006,P001409,1311.91,344,4
MCP0000078,MC0023,P000386,3160.01,609,1
MCP0000079,MC0049,P000553,1916.95,805,3
MCP0000080,MC0076,P000299,1559.11,983,5
MCP0000081,MC0080,P000357,1787.48,878,4
MCP0000082,MC0055,P000417,2421.37,750,5
MCP0000083,MC0080,P001188,640.72,979,1
MCP0000084,MC0026,P001276,1139.38,171,2
MCP0000085,MC0030,P001260,2126.98,1183,4
MCP0000086,MC0080,P001386,2651.38,430,3
MCP0000087,MC0044,P001155,1419.37,743,2
MCP0000088,MC0061,P000118,1817.68,545,2
MCP0000089,MC0028,P001384,639.53,687,3
MCP0000090,MC0054,P000593,2146.37,126,5
MCP0000091,MC0080,P000305,2006.02,764,3
MCP0000092,MC0057,P001285,487.52,802,1
MCP0000093,MC0028,P000146,947.84,1185,5
MCP0000094,MC0033,P000963,2060.65,158,5
MCP0000095,MC0039,P000874,500.06,62,4
MCP0000096,MC0055,P001370,1543.9,950,3
MCP0000097,MC0019,P000704,1942.44,826,2
MCP0000098,MC0002,P001159,2368.11,106,5
MCP0000099,MC0073,P001251,212.43,1078,2
MCP0000100,MC0053,P000219,1977.87,682,2
MCP0000101,MC0096,P000158,1306.67,118,5
MCP0000102,MC0097,P000293,2259.24,644,4
MCP0000103,MC0056,P000578,1086.49,300,3
MCP0000104,MC0051,P000046,2015.38,524,5
MCP0000105,MC0072,P000413,176.05,473,4
MCP0000106,MC0029,P000550,917.28,88,2
MCP0000107,MC0097,P000616,675.07,576,2
MCP0000108,MC0060,P000713,703.34,710,5
MCP0000109,MC0077,P000087,2422.62,846,5
MCP0000110,MC0011,P000391,704.32,351,1
MCP0000111,MC0050,P000104,1832.28,51,1
MCP0000112,MC0095,P000991,2836.99,678,2
MCP0000113,MC0006,P001358,1780.56,682,2
MCP0000114,MC0052,P001397,427.67,52,4
MCP0000115,MC0048,P000203,1476.61,223,4
MCP0000116,MC0039,P000819,2624.78,982,4
MCP0000117,MC0007,P000001,1030.27,540,4
MCP0000118,MC0014,P000886,2523.98,1075,4
MCP0000119,MC0021,P000035,2225.99,33,1
MCP0000120,MC0007,P000378,431.76,1102,4
MCP0000121,MC0007,P000257,908.95,166,2
MCP0000122,MC0035,P000413,210.22,517,1
MCP0000123,MC0024,P000721,58.73,186,1
MCP0000124,MC0041,P001473,620.91,1145,4
MCP0000125,MC0019,P001472,127.18,755,5
MCP0000126,MC0030,P001040,1339.23,323,5
MCP0000127,MC0013,P000258,1450.61,904,3
MCP0000128,MC0099,P001138,179.04,35,2
MCP0000129,MC0097,P001096,2256.0,40,5
MCP0000130,MC0040,P000577,1683.24,966,3
MCP0000131,MC0014,P000284,1757.27,322,3
MCP0000132,MC0032,P000689,2441.76,778,2
MCP0000133,MC0030,P001380,2693.93,840,4
MCP0000134,MC0095,P000704,2002.6,42,4
MCP0000135,MC0054,P001080,1432.63,745,4
MCP0000136,MC0087,P000575,2004.88,283,4
MCP0000137,MC0077,P000459,1263.33,499,1
MCP0000138,MC0070,P001052,27.06,80,5
MCP0000139,MC0015,P000996,2491.57,1101,3
MCP0000140,MC0035,P000417,2598.9,998,2
MCP0000141,MC0099,P000962,971.96,162,5
MCP0000142,MC0073,P001095,705.38,470,5
MCP0000143,MC0066,P000350,1832.53,1080,4
MCP0000144,MC0015,P001043,2795.1,610,4
MCP0000145,MC0020,P001230,409.93,449,1
MCP0000146,MC0012,P001461,2808.78,1072,2
MCP0000147,MC0060,P000107,1142.46,314,5
MCP0000148,MC0068,P000128,750.65,929,2
MCP0000149,MC0051,P000770,93.19,141,2
MCP0000150,MC0001,P000132,623.03,870,4
MCP0000151,MC0048,P001098,2425.58,815,2
MCP0000152,MC0029,P000655,2287.43,903,3
MCP0000153,MC0004,P000106,2399.56,544,4
MCP0000154,MC0015,P001354,2317.04,768,1
MCP0000155,MC0023,P001339,516.87,158,4
MCP0000156,MC0022,P001353,1790.17,1078,2
MCP0000157,MC0082,P001036,777.27,690,4
MCP0000158,MC0014,P000642,2112.97,998,5
MCP0000159,MC0004,P001376,510.94,568,2
MCP0000160,MC0059,P000355,731.12,981,5
MCP0000161,MC0009,P000227,447.03,125,5
MCP0000162,MC0088,P000907,80.3,468,1
MCP0000163,MC0008,P001456,1575.95,1014,2
MCP0000164,MC0037,P001337,1198.92,625,3
MCP0000165,MC0057,P001237,1297.2,331,4
MCP0000166,MC0036,P001048,1263.9,791,5
MCP0000167,MC0038,P000764,1682.33,1116,4
MCP0000168,MC0081,P001350,2056.45,675,2
MCP0000169,MC0060,P000423,475.29,308,1
MCP0000170,MC0058,P001095,989.74,923,2
MCP0000171,MC0081,P000632,859.79,988,3
MCP0000172,MC0076,P001325,1869.82,305,3
MCP0000173,MC0058,P000363,528.02,859,1
MCP0000174,MC0086,P000345,2417.17,290,5
MCP0000175,MC0030,P000331,3044.26,988,2
MCP0000176,MC0015,P000905,1323.05,788,4
MCP0000177,MC0067,P000477,119.43,1033,5
MCP0000178,MC0047,P001031,1299.28,1175,1
MCP0000179,MC0077,P000281,1977.16,656,3
MCP0000180,MC0020,P001029,1163.35,953,3
MCP0000181,MC0058,P000599,1625.81,1166,4
MCP0000182,MC0025,P000398,955.59,1115,4
MCP0000183,MC0064,P000754,933.98,477,2
MCP0000184,MC0060,P000135,1391.23,724,2
MCP0000185,MC0011,P000666,625.01,422,5
MCP0000186,MC0087,P000968,1731.6,93,3
MCP0000187,MC0011,P000827,1649.88,1174,2
MCP0000188,MC0100,P000779,1834.84,308,5
MCP0000189,MC0066,P000763,2787.85,402,1
MCP0000190,MC0037,P000479,2753.01,635,1
MCP0000191,MC0089,P000433,83.97,1072,2
MCP0000192,MC0028,P000942,1849.65,193,4
MCP0000193,MC0074,P000075,687.34,481,1
MCP0000194,MC0086,P000715,1224.06,96,1
MCP0000195,MC0024,P001245,1302.85,1020,5
MCP0000196,MC0060,P001287,181.17,425,1
MCP0000197,MC0096,P000831,480.36,1059,4
MCP0000198,MC0069,P000788,1601.97,383,5
MCP0000199,MC0067,P001453,1490.96,512,4
MCP0000200,MC0093,P001074,539.45,418,4
MCP0000201,MC0041,P000968,1597.54,81,1
MCP0000202,MC0072,P000413,171.56,371,3
MCP0000203,MC0100,P001123,2193.9,327,5
MCP0000204,MC0074,P000124,680.47,1096,5
MCP0000205,MC0038,P000643,2317.21,339,5
MCP0000206,MC0026,P000198,873.53,1003,3
MCP0000207,MC0026,P000370,696.31,1105,4
MCP0000208,MC0049,P000662,1688.5,336,1
MCP0000209,MC0001,P000696,97.4,1000,1
MCP0000210,MC0085,P000581,141.08,195,3
MCP0000211,MC0068,P000479,2548.0,996,3
MCP0000212,MC0061,P000876,2341.81,839,1
MCP0000213,MC0070,P000746,1292.58,198,4
MCP0000214,MC0086,P000999,34.1,61,4
MCP0000215,MC0084,P000318,1127.57,464,2
MCP0000216,MC0022,P000005,1696.3,1091,4
MCP0000217,MC0028,P001291,675.04,967,5
MCP0000218,MC0062,P001454,977.3,305,2
MCP0000219,MC0053,P001210,1402.46,68,2
MCP0000220,MC0050,P000663,30.39,1127,5
MCP0000221,MC0009,P000434,322.54,599,3
MCP0000222,MC0022,P001016,1737.46,1156,4
MCP0000223,MC0056,P000805,1362.9,73,1
MCP0000224,MC0041,P001314,1222.29,972,1
MCP0000225,MC0077,P000886,3015.47,477,3
MCP0000226,MC0098,P000487,2111.44,306,5
MCP0000227,MC0070,P001477,1153.97,179,1
MCP0000228,MC0040,P000177,1789.66,931,5
MCP0000229,MC0066,P000676,435.45,120,4
MCP0000230,MC0044,P000226,2919.02,370,5
MCP0000231,MC0084,P000962,1057.64,460,5
MCP0000232,MC0073,P000983,2102.98,425,2
MCP0000233,MC0091,P000775,1882.38,161,4
MCP0000234,MC0061,P000314,1115.74,694,4
MCP0000235,MC0040,P000895,193.35,682,1
MCP0000236,MC0091,P000995,138.85,288,1
MCP0000237,MC0041,P000390,1993.9,960,1
MCP0000238,MC0086,P000454,1420.48,1116,5
MCP0000239,MC0010,P000451,3102.62,512,5
MCP0000240,MC0018,P000991,2878.07,749,2
MCP0000241,MC0035,P000091,2192.76,894,3
MCP0000242,MC0096,P000960,101.6,363,4
MCP0000243,MC0020,P001133,878.99,649,5
MCP0000244,MC0048,P000826,501.71,1038,1
MCP0000245,MC0012,P000030,739.26,1196,5
MCP0000246,MC0078,P000657,139.25,748,2
MCP0000247,MC0023,P001244,1090.76,325,3
MCP0000248,MC0067,P001164,927.97,679,5
MCP0000249,MC0092,P000430,1981.99,359,2
MCP0000250,MC0062,P001335,2576.64,874,5
MCP0000251,MC0036,P000723,1023.2,532,4
MCP0000252,MC0004,P000558,361.14,465,5
MCP0000253,MC0034,P001183,1709.33,1162,2
MCP0000254,MC0099,P001417,2578.88,629,4
MCP0000255,MC0071,P000249,1913.92,635,2
MCP0000256,MC0027,P001189,1011.74,890,3
MCP0000257,MC0008,P000063,814.96,952,3
MCP0000258,MC0005,P000728,2328.41,294,3
MCP0000259,MC0065,P001097,1713.23,701,2
MCP0000260,MC0063,P000654,2066.28,971,3
MCP0000261,MC0056,P000963,2053.92,691,3
MCP0000262,MC0067,P001401,2354.57,513,4
MCP0000263,MC0081,P000361,951.93,95,4
MCP0000264,MC0082,P000413,209.21,1178,2
MCP0000265,MC0004,P001428,889.65,745,2
MCP0000266,MC0089,P001493,645.42,397,4
MCP0000267,MC0088,P000806,1844.79,443,5
MCP0000268,MC0088,P001137,503.67,46,1
MCP0000269,MC0038,P000077,1884.25,614,1
MCP0000270,MC0003,P000806,2133.65,413,5
MCP0000271,MC0052,P001018,1544.95,567,3
MCP0000272,MC0061,P000279,985.66,264,5
MCP0000273,MC0064,P000290,1128.03,952,3
MCP0000274,MC0022,P001003,943.92,985,5
MCP0000275,MC0024,P001205,594.5,379,4
MCP0000276,MC0082,P000912,2848.56,807,1
MCP0000277,MC0054,P000134,2869.94,610,2
MCP0000278,MC0064,P001360,1335.47,1001,1
MCP0000279,MC0098,P000376,1667.76,1177,2
MCP0000280,MC0056,P001192,2259.73,451,1
MCP0000281,MC0071,P001006,1037.64,982,2
MCP0000282,MC0055,P000492,2205.09,155,5
MCP0000283,MC0043,P000990,408.05,1142,5
MCP0000284,MC0025,P000684,558.65,1078,5
MCP0000285,MC0043,P000902,2066.51,1082,1
MCP0000286,MC0035,P001247,1677.71,1102,4
MCP0000287,MC0059,P000516,695.49,994,5
MCP0000288,MC0013,P000193,1036.74,807,4
MCP0000289,MC0073,P001144,1906.93,378,1
MCP0000290,MC0068,P001344,1690.94,144,1
MCP0000291,MC0025,P001203,1546.37,485,1
MCP0000292,MC0065,P000303,554.95,1066,3
MCP0000293,MC0058,P000828,166.35,681,5
MCP0000294,MC0067,P001149,196.15,240,2
MCP0000295,MC0079,P000435,2401.09,864,4
MCP0000296,MC0098,P000208,779.18,406,1
MCP0000297,MC0064,P001065,806.12,588,1
MCP0000298,MC0037,P001480,2200.59,338,5
MCP0000299,MC0008,P000938,825.65,165,5
MCP0000300,MC0089,P000470,2676.31,1175,2
MCP0000301,MC0037,P000870,2328.87,531,1
MCP0000302,MC0020,P000267,2322.74,34,2
MCP0000303,MC0056,P000798,88.04,970,3
MCP0000304,MC0073,P000287,2123.32,431,2
MCP0000305,MC0054,P001056,610.04,796,2
MCP0000306,MC0042,P000485,735.12,195,5
MCP0000307,MC0041,P000113,1696.59,222,3
MCP0000308,MC0096,P001069,61.94,831,4
MCP0000309,MC0051,P001049,1146.94,676,5
MCP0000310,MC0026,P001120,1108.4,329,4
MCP0000311,MC0005,P000514,2716.63,333,5
MCP0000312,MC0008,P000307,2607.06,830,3
MCP0000313,MC0082,P001408,1607.46,1105,4
MCP0000314,MC0096,P000452,1143.14,702,5
MCP0000315,MC0029,P000550,859.16,721,4
MCP0000316,MC0076,P000539,2584.56,239,4
MCP0000317,MC0037,P001336,1961.61,810,4
MCP0000318,MC0025,P000822,1195.05,160,3
MCP0000319,MC0002,P000728,1971.42,1139,1
MCP0000320,MC0015,P001360,1326.71,580,4
MCP0000321,MC0023,P000093,179.18,445,5
MCP0000322,MC0100,P001041,459.84,317,2
MCP0000323,MC0091,P000125,2629.32,388,4
MCP0000324,MC0070,P001431,1842.24,702,4
MCP0000325,MC0058,P000046,2339.99,292,3
MCP0000326,MC0062,P000490,1742.14,687,4
MCP0000327,MC0040,P001406,528.32,391,5
MCP0000328,MC0035,P001142,3147.08,136,4
MCP0000329,MC0041,P000836,2107.12,369,3
MCP0000330,MC0026,P000161,1245.83,968,2
MCP0000331,MC0042,P001088,2712.34,120,4
MCP0000332,MC0088,P000219,2451.57,1038,5
MCP0000333,MC0090,P001206,756.67,605,2
MCP0000334,MC0067,P001334,654.19,696,1
MCP0000335,MC0055,P000867,784.01,806,4
MCP0000336,MC0093,P000754,807.95,1171,5
MCP0000337,MC0005,P001383,2509.62,890,4
MCP0000338,MC0033,P000929,2643.34,437,2
MCP0000339,MC0072,P000987,1941.66,1042,2
MCP0000340,MC0023,P000222,349.0,694,5
MCP0000341,MC0071,P000678,1012.68,935,1
MCP0000342,MC0093,P000842,2240.19,657,4
MCP0000343,MC0080,P001277,365.35,505,3
MCP0000344,MC0054,P001303,1970.8,307,4
MCP0000345,MC0031,P000920,719.24,631,4
MCP0000346,MC0029,P001299,2158.63,969,5
MCP0000347,MC0074,P000770,101.55,797,1
MCP0000348,MC0058,P001482,777.75,1043,1
MCP0000349,MC0063,P000379,1367.97,484,3
MCP0000350,MC0068,P000401,2195.81,585,3
MCP0000351,MC0028,P000997,1067.3,337,3
MCP0000352,MC0020,P000140,1645.26,175,4
MCP0000353,MC0077,P001004,2626.97,1124,1
MCP0000354,MC0053,P000899,942.9,535,3
MCP0000355,MC0019,P000822,1111.26,835,3
MCP0000356,MC0015,P001119,783.68,208,5
MCP0000357,MC0031,P000362,1642.81,1105,3
MCP0000358,MC0070,P000432,381.74,477,1
MCP0000359,MC0041,P000975,242.85,583,1
MCP0000360,MC0013,P001311,161.0,70,4
MCP0000361,MC0079,P000336,591.52,834,2
MCP0000362,MC0059,P000855,1554.49,511,5
MCP0000363,MC0090,P000362,1755.33,389,4
MCP0000364,MC0011,P000603,1543.52,662,2
MCP0000365,MC0056,P001407,559.11,334,4
MCP0000366,MC0078,P000136,1220.96,136,5
MCP0000367,MC0072,P000686,1487.39,1151,4
MCP0000368,MC0032,P000567,739.08,1138,4
MCP0000369,MC0039,P000447,1006.1,1048,4
MCP0000370,MC0029,P000875,448.11,1023,1
MCP0000371,MC0006,P000513,1874.04,83,4
MCP0000372,MC0015,P000809,719.25,1142,4
MCP0000373,MC0020,P000981,1502.75,1174,1
MCP0000374,MC0099,P000471,468.3,782,2
MCP0000375,MC0078,P000510,1955.31,119,2
MCP0000376,MC0038,P000310,22.97,1142,5
MCP0000377,MC0069,P000440,1437.4,1086,2
MCP0000378,MC0021,P001205,718.87,906,4
MCP0000379,MC0081,P001384,713.97,332,4
MCP0000380,MC0021,P000700,2803.05,932,2
MCP0000381,MC0047,P000912,2660.81,1133,5
MCP0000382,MC0009,P001055,2156.01,279,3
MCP0000383,MC0092,P000063,635.88,268,5
MCP0000384,MC0046,P000662,1890.17,97,5
MCP0000385,MC0034,P000752,2462.86,959,1
MCP0000386,MC0010,P000092,2451.68,73,2
MCP0000387,MC0098,P001339,469.14,54,5
MCP0000388,MC0076,P000242,683.71,1019,5
MCP0000389,MC0095,P000487,2019.31,704,1
MCP0000390,MC0025,P000061,2574.2,655,5
MCP0000391,MC0076,P001142,2604.99,194,2
MCP0000392,MC0009,P000361,706.65,594,4
MCP0000393,MC0076,P001411,654.4,1065,3
MCP0000394,MC0023,P001042,2153.31,291,4
MCP0000395,MC0053,P001390,2028.77,329,3
MCP0000396,MC0018,P001404,2331.22,965,5
MCP0000397,MC0050,P000917,341.87,947,4
MCP0000398,MC0034,P000188,1844.12,430,1
MCP0000399,MC0004,P001119,863.65,217,2
MCP0000400,MC0071,P000643,2888.52,534,2
MCP0000401,MC0014,P000746,1143.66,1070,1
MCP0000402,MC0010,P001484,2180.18,930,3
MCP0000403,MC0092,P000417,2080.72,272,1
MCP0000404,MC0084,P001405,727.6,913,4
MCP0000405,MC0026,P001095,838.44,733,4
MCP0000406,MC0065,P000708,1487.0,399,3
MCP0000407,MC0018,P000455,699.68,894,3
MCP0000408,MC0061,P001197,722.53,1158,4
MCP0000409,MC0005,P001428,983.63,429,1
MCP0000410,MC0033,P000004,656.15,182,1
MCP0000411,MC0003,P000193,1459.79,395,5
MCP0000412,MC0070,P000784,1514.97,84,2
MCP0000413,MC0046,P000453,411.25,661,5
MCP0000414,MC0098,P001460,1474.73,120,1
MCP0000415,MC0098,P000453,424.63,415,5
MCP0000416,MC0088,P000239,1641.1,561,5
MCP0000417,MC0024,P000860,947.21,162,2
MCP0000418,MC0041,P000724,434.43,655,1
MCP0000419,MC0091,P000117,1243.46,916,2
MCP0000420,MC0084,P000838,1044.17,944,4
MCP0000421,MC0016,P001026,2235.31,73,5
MCP0000422,MC0057,P001211,1337.1,913,1
MCP0000423,MC0091,P000648,1624.84,486,4
MCP0000424,MC0065,P001204,1007.82,338,1
MCP0000425,MC0069,P001227,94.96,178,2
MCP0000426,MC0052,P000971,417.51,494,1
MCP0000427,MC0009,P000639,2339.14,844,2
MCP0000428,MC0048,P000660,287.0,719,3
MCP0000429,MC0046,P001281,1858.08,416,5
MCP0000430,MC0094,P001290,1578.21,801,4
MCP0000431,MC0013,P001141,761.78,533,5
MCP0000432,MC0012,P000296,1916.98,946,1
MCP0000433,MC0082,P000202,1924.01,1037,5
MCP0000434,MC0024,P000346,2010.97,886,5
MCP0000435,MC0080,P001398,1173.67,554,4
MCP0000436,MC0064,P001060,1656.64,792,4
MCP0000437,MC0088,P000361,1030.61,918,1
MCP0000438,MC0078,P000392,1693.85,277,2
MCP0000439,MC0033,P001353,1662.13,230,3
MCP0000440,MC0091,P000219,2722.21,909,2
MCP0000441,MC0093,P001150,213.67,473,4
MCP0000442,MC0036,P000273,2490.53,335,5
MCP0000443,MC0027,P001326,1707.95,672,5
MCP0000444,MC0016,P001441,606.5,1013,5
MCP0000445,MC0099,P000406,303.07,821,5
MCP0000446,MC0043,P001457,744.29,581,1
MCP0000447,MC0099,P000048,142.01,101,5
MCP0000448,MC0055,P000646,116.05,959,3
MCP0000449,MC0047,P001307,867.0,845,1
MCP0000450,MC0070,P000876,2530.73,232,2
MCP0000451,MC0017,P000082,2497.79,841,2
MCP0000452,MC0047,P000653,2816.71,874,3
MCP0000453,MC0051,P000542,105.04,703,5
MCP0000454,MC0060,P000653,3047.91,558,4
MCP0000455,MC0041,P000250,447.12,694,5
MCP0000456,MC0016,P000504,282.39,311,4
MCP0000457,MC0039,P000279,1303.08,225,2
MCP0000458,MC0016,P001013,1925.86,677,4
MCP0000459,MC0094,P001006,1437.1,683,5
MCP0000460,MC0007,P000955,472.46,387,4
MCP0000461,MC0019,P001112,1124.34,747,4
MCP0000462,MC0069,P000262,468.56,1030,3
MCP0000463,MC0085,P000925,2360.98,1112,3
MCP0000464,MC0061,P001492,243.94,206,4
MCP0000465,MC0072,P000795,343.5,278,5
MCP0000466,MC0035,P000530,2271.25,1106,3
MCP0000467,MC0089,P001485,1861.01,58,2
MCP0000468,MC0014,P001258,1425.77,1126,1
MCP0000469,MC0003,P000126,836.47,791,3
MCP0000470,MC0093,P000150,1279.43,881,4
MCP0000471,MC0037,P000619,394.31,174,5
MCP0000472,MC0076,P000603,2045.94,532,1
MCP0000473,MC0084,P000888,1521.49,288,1
MCP0000474,MC0082,P000467,887.08,498,5
MCP0000475,MC0043,P001064,2745.2,191,5
MCP0000476,MC0081,P001470,1436.63,738,2
MCP0000477,MC0057,P000966,1812.88,707,1
MCP0000478,MC0040,P001386,2314.75,772,2
MCP0000479,MC0040,P000027,1029.64,554,2
MCP0000480,MC0071,P000221,233.12,1070,2
MCP0000481,MC0098,P000789,2471.47,714,4
MCP0000482,MC0074,P000004,626.01,446,2
MCP0000483,MC0090,P001427,2118.28,476,3
MCP0000484,MC0042,P000946,2831.35,1066,5
MCP0000485,MC0099,P001374,592.21,857,2
MCP0000486,MC0083,P001377,1836.36,1039,5
MCP0000487,MC0038,P001273,1956.25,739,2
MCP0000488,MC0090,P000533,1351.29,1170,2
MCP0000489,MC0015,P001494,1322.26,357,5
MCP0000490,MC0074,P001231,241.93,541,3
MCP0000491,MC0085,P000671,1842.09,531,5
MCP0000492,MC0020,P001037,168.83,1015,2
MCP0000493,MC0003,P000564,1187.37,1036,1
MCP0000494,MC0049,P000132,804.03,517,2
MCP0000495,MC0058,P000058,1072.66,534,4
MCP0000496,MC0069,P001450,916.2,317,4
MCP0000497,MC0053,P000179,2560.2,92,4
MCP0000498,MC0016,P001271,624.63,587,4
MCP0000499,MC0002,P000093,163.53,817,4
MCP0000500,MC0090,P000829,377.11,386,3
MCP0000501,MC0066,P000396,2596.65,718,4
MCP0000502,MC0069,P000045,671.76,450,4
MCP0000503,MC0064,P000071,1872.08,774,4
MCP0000504,MC0030,P000195,720.12,511,5
MCP0000505,MC0072,P001444,2361.6,582,3
MCP0000506,MC0027,P001075,1820.5,831,5
MCP0000507,MC0069,P000566,1745.68,842,1
MCP0000508,MC0028,P001191,867.83,146,2
MCP0000509,MC0066,P000726,1184.39,862,3
MCP0000510,MC0081,P000803,2450.85,669,5
MCP0000511,MC0063,P000722,1261.52,978,4
MCP0000512,MC0054,P001450,937.71,958,4
MCP0000513,MC0071,P001490,1859.27,219,5
MCP0000514,MC0020,P001256,1064.73,971,4
MCP0000515,MC0038,P001165,1141.2,423,4
MCP0000516,MC0075,P000013,1036.74,889,2
MCP0000517,MC0092,P000256,2236.51,759,2
MCP0000518,MC0066,P000053,2160.33,624,1
MCP0000519,MC0060,P000120,1348.63,696,1
MCP0000520,MC0054,P001489,567.22,282,2
MCP0000521,MC0099,P001087,621.67,1039,5
MCP0000522,MC0032,P001274,2015.44,126,1
MCP0000523,MC0007,P000771,163.14,1030,3
MCP0000524,MC0028,P001020,2760.22,457,1
MCP0000525,MC0079,P000075,724.84,807,1
MCP0000526,MC0002,P000543,1014.27,730,2
MCP0000527,MC0057,P000861,868.9,1043,5
MCP0000528,MC0099,P001291,665.1,1185,3
MCP0000529,MC0018,P000848,2296.67,903,4
MCP0000530,MC0025,P000829,384.96,699,1
MCP0000531,MC0083,P001075,2273.25,627,1
MCP0000532,MC0011,P000773,1516.69,870,2
MCP0000533,MC0005,P001097,1939.26,618,3
MCP0000534,MC0090,P001219,928.03,755,2
MCP0000535,MC0069,P000587,873.45,224,1
MCP0000536,MC0019,P000194,2094.88,218,2
MCP0000537,MC0100,P000151,3061.51,1023,2
MCP0000538,MC0002,P000487,1756.28,588,3
MCP0000539,MC0005,P001387,624.76,380,2
MCP0000540,MC0069,P000686,1318.23,110,5
MCP0000541,MC0051,P000356,860.3,777,4
MCP0000542,MC0052,P000216,2748.8,799,3
MCP0000543,MC0029,P001307,950.35,114,1
MCP0000544,MC0066,P001197,773.61,55,4
MCP0000545,MC0087,P001071,1660.19,165,5
MCP0000546,MC0042,P000790,964.19,1042,5
MCP0000547,MC0080,P001018,1428.86,758,2
MCP0000548,MC0083,P001126,478.2,929,1
MCP0000549,MC0017,P001457,576.59,95,4
MCP0000550,MC0009,P000667,2360.05,524,1
MCP0000551,MC0060,P000056,1039.48,831,1
MCP0000552,MC0056,P000156,980.64,727,1
MCP0000553,MC0012,P000815,2320.54,475,4
MCP0000554,MC0065,P001229,789.53,762,1
MCP0000555,MC0027,P001446,2397.23,712,5
MCP0000556,MC0008,P001341,2911.22,56,2
MCP0000557,MC0034,P000972,2461.62,588,3
MCP0000558,MC0065,P000824,702.85,357,3
MCP0000559,MC0092,P000288,1825.93,252,5
MCP0000560,MC0036,P000192,1069.09,968,3
MCP0000561,MC0018,P001258,1171.08,1191,2
