session_id,user_id,device_id,channel_id,started_at,ended_at,duration_seconds,landing_page,converted
SES00000082,,D0006283,CH01,2025-03-14 04:57:54,2025-03-14 04:58:37,43,home,1
SES00000083,U001491,D0002539,CH03,2025-07-01 03:55:30,2025-07-01 03:58:04,154,home,0
SES00000084,U000796,D0003173,CH03,2026-01-26 20:46:58,2026-01-26 20:52:26,328,home,0
SES00000085,U004326,D0003043,CH07,2025-09-10 01:01:02,2025-09-10 01:05:14,252,home,0
SES00000086,U000626,D0006536,CH07,2025-11-12 10:11:46,2025-11-12 10:12:17,31,search,0
SES00000087,U000086,D0001028,CH01,2025-03-02 19:59:33,2025-03-02 20:15:20,947,search,0
SES00000088,U002208,D0002073,CH01,2025-05-27 20:28:59,2025-05-27 20:31:17,138,search,0
SES00000089,U001512,D0005293,CH04,2026-05-02 11:43:35,2026-05-02 11:52:55,560,product,0
SES00000090,U002746,D0003589,CH09,2026-06-26 11:26:55,2026-06-26 11:27:35,40,home,1
SES00000091,U001747,D0003319,CH01,2025-11-16 20:54:20,2025-11-16 20:58:42,262,product,0
SES00000092,U003036,D0001303,CH06,2026-02-05 08:46:44,2026-02-05 08:50:56,252,product,1
SES00000093,U000637,D0003450,CH08,2025-12-10 22:40:49,2025-12-10 22:43:02,133,product,0
SES00000094,U000246,D0006748,CH09,2026-05-29 11:36:24,2026-05-29 11:40:40,256,home,1
SES00000095,U002316,D0003563,CH05,2025-02-15 11:58:32,2025-02-15 12:04:51,379,home,0
SES00000096,U002435,D0002379,CH07,2025-05-01 02:52:03,2025-05-01 02:54:14,131,product,0
SES00000097,U003643,D0005394,CH05,2025-02-28 07:14:37,2025-02-28 07:16:44,127,product,0
SES00000098,U001639,D0001720,CH05,2025-10-15 12:51:48,2025-10-15 12:55:33,225,product,1
SES00000099,,D0003708,CH07,2025-02-08 01:59:03,2025-02-08 02:00:03,60,product,0
SES00000100,U002409,D0000402,CH11,2025-02-14 23:38:59,2025-02-14 23:40:21,82,home,1
SES00000101,U000646,D0000451,CH01,2025-01-29 17:10:18,2025-01-29 17:11:58,100,home,0
SES00000102,U001092,D0000938,CH03,2026-07-14 15:56:00,2026-07-14 16:00:15,255,search,1
SES00000103,U002622,D0002684,CH01,2025-10-04 17:45:22,2025-10-04 17:46:16,54,product,0
SES00000104,U002018,D0002984,CH07,2025-02-14 06:02:00,2025-02-14 06:04:38,158,search,0
SES00000105,U002182,D0001633,CH02,2025-05-20 02:42:04,2025-05-20 02:44:06,122,search,0
SES00000106,U002163,D0000357,CH02,2025-08-08 10:24:55,2025-08-08 10:28:45,230,product,1
SES00000107,U001706,D0003913,CH07,2025-01-16 08:20:11,2025-01-16 08:23:02,171,home,0
SES00000108,U003566,D0002666,CH03,2025-11-20 16:36:24,2025-11-20 16:38:01,97,campaign,1
SES00000109,U001570,D0003879,CH03,2026-02-11 23:28:59,2026-02-11 23:30:48,109,search,0
SES00000110,U004389,D0003481,CH03,2026-01-03 14:39:51,2026-01-03 14:40:57,66,home,0
SES00000111,U004095,D0005131,CH04,2025-03-23 05:43:32,2025-03-23 05:47:24,232,home,0
SES00000112,U003462,D0005460,CH01,2025-06-10 21:55:33,2025-06-10 21:56:44,71,search,1
SES00000113,U000941,D0001746,CH01,2026-02-10 20:28:28,2026-02-10 20:32:11,223,search,0
SES00000114,U000224,D0004293,CH06,2026-04-05 21:47:35,2026-04-05 21:49:32,117,home,1
SES00000115,U001397,D0005941,CH10,2025-02-08 05:36:04,2025-02-08 05:37:38,94,campaign,0
SES00000116,U002388,D0001586,CH05,2026-03-09 23:21:46,2026-03-09 23:26:01,255,product,0
SES00000117,U001293,D0004102,CH08,2026-05-20 03:50:41,2026-05-20 03:51:28,47,search,0
SES00000118,U004289,D0000087,CH03,2026-01-01 20:37:03,2026-01-01 20:42:32,329,product,0
SES00000119,U002410,D0003821,CH10,2025-02-16 16:40:33,2025-02-16 16:42:58,145,home,0
SES00000120,U003702,D0006082,CH04,2026-05-25 12:31:15,2026-05-25 12:34:41,206,live,0
SES00000121,U002258,D0004427,CH02,2025-11-10 05:00:37,2025-11-10 05:09:14,517,product,0
SES00000122,U002547,D0005457,CH02,2025-05-26 15:38:57,2025-05-26 15:40:44,107,home,0
SES00000123,U002899,D0004684,CH02,2025-07-10 16:23:00,2025-07-10 16:24:23,83,home,0
SES00000124,U000744,D0006388,CH03,2026-05-15 18:17:47,2026-05-15 18:19:11,84,product,1
SES00000125,U003320,D0005763,CH03,2025-06-17 23:12:41,2025-06-17 23:16:40,239,product,0
SES00000126,U003982,D0003084,CH09,2026-01-27 19:29:49,2026-01-27 19:34:25,276,product,0
SES00000127,U004025,D0000267,CH01,2025-08-30 14:44:34,2025-08-30 14:47:09,155,product,0
SES00000128,U002813,D0002310,CH04,2025-07-11 00:55:18,2025-07-11 01:04:35,557,search,0
SES00000129,U001894,D0003580,CH03,2025-08-21 02:21:07,2025-08-21 02:24:49,222,home,0
SES00000130,U000395,D0004493,CH10,2026-04-03 07:13:38,2026-04-03 07:16:06,148,product,0
SES00000131,U002515,D0003304,CH02,2025-05-27 22:31:46,2025-05-27 22:33:27,101,product,0
SES00000132,U003950,D0006292,CH06,2026-06-26 14:43:56,2026-06-26 14:46:10,134,product,0
SES00000133,,D0005195,CH09,2025-08-07 06:36:07,2025-08-07 06:39:47,220,product,0
SES00000134,U002544,D0005712,CH01,2025-08-23 07:06:08,2025-08-23 07:16:58,650,product,0
SES00000135,U004361,D0004018,CH01,2025-08-30 04:18:06,2025-08-30 04:21:49,223,home,1
SES00000136,U003744,D0001714,CH11,2026-01-23 13:17:36,2026-01-23 13:18:13,37,home,0
SES00000137,U001869,D0001443,CH05,2026-03-14 18:40:28,2026-03-14 18:46:03,335,product,1
SES00000138,,D0001057,CH09,2026-06-09 15:58:47,2026-06-09 16:02:57,250,campaign,0
SES00000139,U004121,D0003578,CH05,2025-01-03 11:29:42,2025-01-03 11:34:37,295,home,1
SES00000140,U003767,D0005523,CH03,2025-03-23 09:36:34,2025-03-23 09:39:36,182,search,0
SES00000141,U000169,D0000011,CH01,2025-07-25 01:38:56,2025-07-25 01:41:06,130,product,0
SES00000142,U000136,D0006886,CH07,2026-04-07 00:53:59,2026-04-07 00:55:26,87,search,0
SES00000143,U003174,D0005976,CH03,2025-12-02 17:12:47,2025-12-02 17:17:20,273,home,0
SES00000144,U004257,D0004943,CH07,2025-04-08 08:05:25,2025-04-08 08:13:15,470,campaign,0
SES00000145,U002442,D0000217,CH02,2025-05-12 03:52:12,2025-05-12 03:53:28,76,home,1
SES00000146,U001300,D0004372,CH04,2025-01-20 00:10:52,2025-01-20 00:12:58,126,product,0
SES00000147,U000568,D0001323,CH10,2025-07-10 12:00:55,2025-07-10 12:09:14,499,search,0
SES00000148,U002301,D0006361,CH02,2025-09-21 10:39:36,2025-09-21 10:42:27,171,campaign,0
SES00000149,,D0001576,CH06,2026-06-28 06:11:48,2026-06-28 06:17:27,339,search,0
SES00000150,U004385,D0001034,CH08,2025-11-24 15:04:16,2025-11-24 15:05:14,58,home,0
SES00000151,U002057,D0005211,CH01,2025-11-02 11:27:29,2025-11-02 11:32:53,324,campaign,0
SES00000152,U002187,D0004663,CH10,2026-06-03 22:05:14,2026-06-03 22:05:48,34,live,0
SES00000153,U001147,D0001247,CH03,2025-07-30 05:03:45,2025-07-30 05:07:30,225,search,0
SES00000154,U002803,D0004086,CH03,2026-02-09 03:45:10,2026-02-09 03:48:22,192,product,0
SES00000155,U004577,D0004372,CH06,2026-02-17 07:36:07,2026-02-17 07:37:08,61,home,0
SES00000156,U004850,D0005251,CH08,2025-03-21 11:59:12,2025-03-21 12:04:33,321,product,0
SES00000157,U001444,D0001519,CH01,2025-06-17 22:07:54,2025-06-17 22:09:46,112,home,0
SES00000158,U004148,D0003376,CH03,2025-06-26 18:19:21,2025-06-26 18:23:46,265,search,0
SES00000159,U001026,D0001501,CH01,2026-08-11 03:48:03,2026-08-11 03:48:44,41,product,0
SES00000160,U001328,D0000762,CH04,2025-11-13 21:33:40,2025-11-13 21:36:27,167,campaign,0
SES00000161,U000388,D0002560,CH06,2025-12-02 00:53:53,2025-12-02 00:55:22,89,search,0
SES00000162,U000151,D0005414,CH07,2025-04-02 16:40:13,2025-04-02 16:43:11,178,home,0
SES00000163,U000530,D0003811,CH01,2026-02-24 20:10:04,2026-02-24 20:12:04,120,product,0
SES00000164,U000667,D0001609,CH02,2025-09-16 01:01:56,2025-09-16 01:03:32,96,product,0
SES00000165,U000897,D0001944,CH06,2026-01-28 02:44:17,2026-01-28 02:45:54,97,product,0
SES00000166,U003128,D0001596,CH03,2025-08-24 21:55:48,2025-08-24 21:57:06,78,product,0
SES00000167,U001228,D0000475,CH04,2026-06-05 04:01:18,2026-06-05 04:02:26,68,home,0
SES00000168,U001714,D0002825,CH09,2025-03-15 13:17:08,2025-03-15 13:21:41,273,campaign,0
SES00000169,U001170,D0000964,CH06,2025-02-25 19:15:15,2025-02-25 19:17:47,152,home,0
SES00000170,U000283,D0003042,CH09,2026-04-09 18:55:26,2026-04-09 18:58:35,189,home,0
SES00000171,U004388,D0000155,CH04,2025-01-17 15:10:29,2025-01-17 15:12:29,120,search,0
SES00000172,U003745,D0006487,CH11,2025-08-01 22:30:24,2025-08-01 22:31:51,87,campaign,0
SES00000173,U001505,D0000238,CH01,2025-11-09 07:33:22,2025-11-09 07:35:17,115,home,0
SES00000174,U003154,D0000973,CH09,2025-11-02 01:40:20,2025-11-02 01:41:07,47,home,0
SES00000175,,D0000132,CH02,2025-04-26 09:26:14,2025-04-26 09:33:46,452,home,0
SES00000176,,D0005913,CH03,2026-04-25 09:01:55,2026-04-25 09:03:36,101,product,0
SES00000177,U001892,D0002178,CH06,2026-04-30 12:55:32,2026-04-30 12:59:40,248,product,0
SES00000178,U002560,D0000702,CH05,2025-06-24 09:02:23,2025-06-24 09:10:21,478,home,0
SES00000179,U003433,D0005894,CH06,2026-02-08 11:38:54,2026-02-08 11:43:33,279,home,0
SES00000180,,D0004303,CH01,2025-02-12 17:14:22,2025-02-12 17:15:45,83,product,0
SES00000181,U002402,D0002169,CH07,2025-09-23 16:55:20,2025-09-23 16:58:52,212,search,0
SES00000182,U000806,D0005110,CH04,2025-05-11 04:02:34,2025-05-11 04:05:02,148,product,0
SES00000183,U004435,D0001483,CH01,2025-02-23 00:24:00,2025-02-23 00:27:13,193,home,0
SES00000184,U004884,D0006344,CH06,2025-08-23 07:20:56,2025-08-23 07:27:41,405,search,0
SES00000185,U002466,D0002829,CH09,2025-10-06 11:26:44,2025-10-06 11:29:50,186,campaign,0
SES00000186,U004731,D0004970,CH05,2026-05-10 11:46:13,2026-05-10 11:47:42,89,product,1
SES00000187,U000985,D0002170,CH03,2025-04-05 17:26:21,2025-04-05 17:29:12,171,campaign,1
SES00000188,,D0001372,CH09,2025-08-29 06:19:02,2025-08-29 06:19:15,13,home,0
SES00000189,U000616,D0001655,CH02,2026-05-08 00:37:24,2026-05-08 00:40:49,205,home,0
SES00000190,U002858,D0006117,CH08,2025-10-03 07:33:41,2025-10-03 07:36:54,193,product,0
SES00000191,U004181,D0006642,CH05,2026-03-09 13:28:36,2026-03-09 13:29:33,57,home,0
SES00000192,U003140,D0006963,CH05,2026-01-28 06:18:09,2026-01-28 06:20:06,117,home,0
SES00000193,U000420,D0001116,CH02,2025-03-28 01:40:00,2025-03-28 01:46:44,404,home,0
SES00000194,U002098,D0003464,CH08,2025-04-26 08:12:16,2025-04-26 08:14:25,129,product,0
SES00000195,U001790,D0005131,CH01,2025-09-29 18:39:33,2025-09-29 18:40:55,82,search,0
SES00000196,,D0002371,CH09,2025-11-16 07:20:22,2025-11-16 07:20:45,23,live,1
SES00000197,U004433,D0001448,CH04,2025-02-25 23:05:56,2025-02-25 23:09:40,224,search,1
SES00000198,,D0005286,CH04,2025-05-08 20:55:44,2025-05-08 21:02:47,423,product,0
SES00000199,U001398,D0005576,CH01,2026-08-01 12:27:08,2026-08-01 12:27:35,27,home,0
SES00000200,U000949,D0002626,CH05,2026-03-20 11:58:37,2026-03-20 12:03:13,276,search,0
SES00000201,U000097,D0000706,CH07,2025-04-30 23:33:59,2025-04-30 23:40:36,397,home,1
SES00000202,U001046,D0001571,CH06,2026-08-17 03:11:53,2026-08-17 03:14:03,130,home,0
SES00000203,U004051,D0002095,CH04,2026-05-20 06:02:16,2026-05-20 06:06:29,253,product,0
SES00000204,U000341,D0006846,CH05,2025-11-23 09:16:34,2025-11-23 09:17:16,42,home,0
SES00000205,U004540,D0004101,CH01,2025-08-08 06:39:06,2025-08-08 06:54:28,922,product,0
SES00000206,U001246,D0003486,CH08,2026-08-13 23:34:14,2026-08-13 23:35:33,79,campaign,0
SES00000207,U001433,D0003088,CH01,2025-04-10 04:13:41,2025-04-10 04:17:18,217,product,0
SES00000208,U004810,D0003190,CH03,2026-05-10 02:31:10,2026-05-10 02:32:46,96,campaign,0
SES00000209,U001081,D0002512,CH04,2025-06-27 09:43:55,2025-06-27 09:45:17,82,search,0
SES00000210,U001649,D0005123,CH03,2025-12-03 18:23:16,2025-12-03 18:29:17,361,search,0
SES00000211,U001662,D0004880,CH03,2025-03-10 16:08:32,2025-03-10 16:10:02,90,search,0
SES00000212,U002244,D0006312,CH01,2026-05-19 18:39:42,2026-05-19 18:42:24,162,campaign,0
SES00000213,U003050,D0000745,CH07,2026-03-10 16:54:07,2026-03-10 17:04:09,602,search,1
SES00000214,U002452,D0004140,CH03,2025-07-10 15:06:34,2025-07-10 15:10:25,231,product,0
SES00000215,,D0001755,CH02,2026-02-12 05:55:27,2026-02-12 05:59:51,264,product,0
SES00000216,U002229,D0002558,CH07,2025-08-08 17:11:09,2025-08-08 17:14:17,188,product,0
SES00000217,U002655,D0004763,CH11,2025-05-04 10:48:01,2025-05-04 10:54:57,416,search,0
SES00000218,U004389,D0006268,CH12,2026-03-07 07:42:00,2026-03-07 07:43:22,82,live,0
SES00000219,U004153,D0003476,CH01,2026-01-03 09:20:26,2026-01-03 09:29:11,525,home,0
SES00000220,U000081,D0000238,CH05,2026-02-23 09:14:20,2026-02-23 09:15:56,96,search,0
SES00000221,U004668,D0003228,CH09,2025-08-19 10:52:34,2025-08-19 10:53:52,78,product,0
SES00000222,U002948,D0006159,CH05,2026-08-21 04:22:04,2026-08-21 04:22:55,51,search,0
SES00000223,U004244,D0004084,CH06,2025-04-10 13:09:54,2025-04-10 13:11:49,115,home,0
SES00000224,U000022,D0002238,CH01,2025-04-06 05:47:25,2025-04-06 05:51:32,247,home,0
SES00000225,U004065,D0001170,CH08,2025-03-04 23:29:24,2025-03-04 23:35:03,339,product,0
SES00000226,U002641,D0004625,CH04,2025-06-02 01:03:09,2025-06-02 01:03:46,37,product,1
SES00000227,U004030,D0000771,CH05,2026-06-27 04:37:05,2026-06-27 04:41:55,290,campaign,0
SES00000228,U003354,D0000066,CH01,2025-10-16 18:33:39,2025-10-16 18:39:25,346,campaign,0
SES00000229,U004735,D0000022,CH09,2025-08-03 16:25:44,2025-08-03 16:27:03,79,campaign,0
SES00000230,U000373,D0002991,CH06,2026-04-18 16:17:00,2026-04-18 16:18:42,102,search,1
SES00000231,U004084,D0006103,CH05,2026-03-03 05:57:45,2026-03-03 06:04:46,421,product,0
SES00000232,U002063,D0001301,CH08,2025-03-26 04:44:01,2025-03-26 04:45:40,99,campaign,0
SES00000233,U003647,D0004468,CH07,2026-07-13 22:40:31,2026-07-13 22:42:42,131,home,0
SES00000234,U002347,D0006563,CH05,2025-01-17 08:02:08,2025-01-17 08:03:04,56,home,1
SES00000235,U003204,D0006490,CH02,2025-06-28 18:58:55,2025-06-28 19:00:52,117,search,0
SES00000236,U002978,D0001798,CH01,2026-03-01 01:10:51,2026-03-01 01:12:31,100,home,1
SES00000237,U002314,D0001247,CH07,2025-05-02 01:33:46,2025-05-02 01:36:27,161,home,0
SES00000238,U002653,D0000222,CH02,2025-03-27 06:55:35,2025-03-27 06:57:07,92,home,0
SES00000239,U004764,D0005149,CH08,2025-12-28 02:23:55,2025-12-28 02:24:32,37,campaign,0
SES00000240,U001249,D0003720,CH07,2025-07-16 00:20:12,2025-07-16 00:21:45,93,home,0
SES00000241,U003516,D0003799,CH02,2025-02-19 16:45:39,2025-02-19 16:47:52,133,home,0
SES00000242,U001183,D0005166,CH01,2026-01-24 23:31:04,2026-01-24 23:43:51,767,product,0
SES00000243,U004336,D0004060,CH07,2026-05-26 19:58:16,2026-05-26 19:59:39,83,home,0
SES00000244,U001016,D0005179,CH04,2025-04-23 23:47:04,2025-04-23 23:49:17,133,campaign,0
SES00000245,U003311,D0000191,CH03,2025-01-26 08:39:55,2025-01-26 08:44:50,295,product,0
SES00000246,,D0000724,CH10,2025-10-19 22:43:47,2025-10-19 22:45:41,114,product,1
SES00000247,U000036,D0000484,CH07,2025-12-26 19:32:34,2025-12-26 19:33:18,44,product,0
SES00000248,U003710,D0000375,CH01,2026-07-20 19:17:40,2026-07-20 19:19:41,121,home,0
SES00000249,U003890,D0002644,CH03,2025-01-03 13:37:12,2025-01-03 13:40:29,197,home,0
SES00000250,U003714,D0004618,CH01,2025-09-13 18:01:03,2025-09-13 18:03:23,140,product,0
SES00000251,U004205,D0002525,CH02,2025-07-14 12:23:09,2025-07-14 12:27:04,235,search,0
SES00000252,U001337,D0001356,CH01,2025-01-11 22:25:31,2025-01-11 22:26:35,64,home,0
SES00000253,U004188,D0006070,CH04,2026-08-10 06:54:17,2026-08-10 06:56:39,142,product,0
SES00000254,U004248,D0003709,CH07,2025-01-03 00:04:15,2025-01-03 00:08:30,255,home,0
SES00000255,U003339,D0004750,CH06,2026-05-15 06:43:29,2026-05-15 06:44:31,62,home,0
SES00000256,U004490,D0006720,CH01,2025-03-25 04:10:52,2025-03-25 04:11:14,22,home,0
SES00000257,U003162,D0005373,CH03,2025-10-26 16:56:05,2025-10-26 16:58:38,153,campaign,1
SES00000258,,D0006061,CH01,2025-07-30 13:32:38,2025-07-30 13:33:59,81,live,0
SES00000259,U000519,D0000891,CH03,2025-05-28 04:12:18,2025-05-28 04:14:15,117,search,1
SES00000260,U004127,D0000305,CH04,2026-05-24 00:41:40,2026-05-24 00:42:47,67,product,0
SES00000261,U002417,D0005326,CH01,2026-07-21 10:17:12,2026-07-21 10:19:37,145,search,0
SES00000262,U002299,D0005190,CH04,2025-09-22 02:19:08,2025-09-22 02:19:46,38,search,0
SES00000263,U000368,D0002692,CH06,2025-03-24 02:53:57,2025-03-24 02:54:47,50,home,0
SES00000264,U000698,D0001542,CH03,2025-05-08 15:22:44,2025-05-08 15:26:17,213,campaign,0
SES00000265,U004745,D0006543,CH01,2026-03-11 23:45:10,2026-03-11 23:48:18,188,home,0
SES00000266,U003981,D0003605,CH03,2025-03-15 02:29:52,2025-03-15 02:31:12,80,home,0
SES00000267,U002482,D0006880,CH11,2026-01-14 01:05:44,2026-01-14 01:09:13,209,home,0
SES00000268,U002266,D0000221,CH03,2025-05-31 23:46:37,2025-05-31 23:47:09,32,search,1
SES00000269,U000900,D0003763,CH09,2026-04-23 01:12:13,2026-04-23 01:16:43,270,product,1
SES00000270,U002748,D0005561,CH01,2025-01-13 21:02:44,2025-01-13 21:04:31,107,search,1
SES00000271,U001758,D0001852,CH07,2025-08-16 15:06:58,2025-08-16 15:16:48,590,campaign,0
SES00000272,U004864,D0005654,CH01,2026-02-13 07:21:53,2026-02-13 07:24:37,164,home,0
