campaign_id,campaign_name,campaign_type,starts_at,ends_at,budget,sponsor_type,status
MC0046,202505限时秒杀046,品类日,2025-05-10 02:40:13,2025-05-13 02:40:13,361999.03,store,finished
MC0047,202504平台满减047,平台满减,2025-04-11 21:58:39,2025-04-24 21:58:39,551829.62,joint,finished
MC0048,202511品类日048,品牌日,2025-11-03 18:20:34,2025-11-06 18:20:34,361875.57,platform,finished
MC0049,202604会员专享049,会员专享,2026-04-10 07:45:51,2026-04-13 07:45:51,176012.53,platform,finished
MC0050,202502平台满减050,品类日,2025-02-12 16:13:09,2025-02-14 16:13:09,392495.14,platform,finished
MC0051,202510平台满减051,限时秒杀,2025-10-20 18:26:41,2025-10-28 18:26:41,781569.64,platform,finished
MC0052,202508平台满减052,新品首发,2025-08-10 13:43:07,2025-08-25 13:43:07,241136.15,platform,finished
MC0053,202503品类日053,新品首发,2025-03-27 10:16:44,2025-04-07 10:16:44,448466.93,platform,finished
MC0054,202501新品首发054,会员专享,2025-01-05 21:34:04,2025-01-15 21:34:04,315094.91,platform,finished
MC0055,202505平台满减055,限时秒杀,2025-05-03 09:06:44,2025-05-05 09:06:44,395971.66,joint,finished
MC0056,202607品牌日056,新品首发,2026-07-06 05:09:37,2026-07-24 05:09:37,273654.24,platform,finished
MC0057,202606品牌日057,新品首发,2026-06-24 18:24:03,2026-07-04 18:24:03,266160.52,platform,finished
MC0058,202501会员专享058,会员专享,2025-01-22 14:30:54,2025-01-29 14:30:54,388412.79,platform,finished
MC0059,202511限时秒杀059,新品首发,2025-11-30 07:01:33,2025-12-17 07:01:33,796184.95,store,finished
MC0060,202509新品首发060,限时秒杀,2025-09-17 19:55:45,2025-09-20 19:55:45,169408.57,platform,finished
MC0061,202509平台满减061,平台满减,2025-09-15 05:01:56,2025-09-22 05:01:56,583875.72,joint,finished
MC0062,202503新品首发062,会员专享,2025-03-09 02:14:47,2025-03-14 02:14:47,241523.63,store,finished
MC0063,202510限时秒杀063,品牌日,2025-10-29 05:54:49,2025-11-09 05:54:49,17888.26,platform,finished
MC0064,202607平台满减064,会员专享,2026-07-23 08:57:30,2026-08-04 08:57:30,705659.45,store,finished
MC0065,202607品类日065,限时秒杀,2026-07-08 21:47:41,2026-07-18 21:47:41,212230.88,platform,finished
MC0066,202503会员专享066,限时秒杀,2025-03-29 21:40:43,2025-04-04 21:40:43,283435.11,platform,finished
MC0067,202511品类日067,限时秒杀,2025-11-20 09:46:50,2025-12-03 09:46:50,29714.85,joint,finished
MC0068,202606会员专享068,限时秒杀,2026-06-05 00:51:00,2026-06-23 00:51:00,471965.56,platform,finished
MC0069,202509品类日069,新品首发,2025-09-26 21:13:23,2025-10-10 21:13:23,95672.46,store,finished
MC0070,202512会员专享070,限时秒杀,2025-12-09 04:02:13,2025-12-15 04:02:13,298867.64,store,finished
MC0071,202504品牌日071,限时秒杀,2025-04-24 23:53:53,2025-04-28 23:53:53,663361.93,store,finished
MC0072,202602会员专享072,会员专享,2026-02-24 07:12:55,2026-03-13 07:12:55,761097.6,store,finished
MC0073,202503品类日073,限时秒杀,2025-03-02 15:01:30,2025-03-09 15:01:30,490268.75,store,finished
MC0074,202502平台满减074,品牌日,2025-02-06 03:17:32,2025-02-21 03:17:32,587653.6,joint,finished
MC0075,202503品类日075,平台满减,2025-03-28 22:13:04,2025-04-07 22:13:04,149344.72,platform,finished
MC0076,202603限时秒杀076,平台满减,2026-03-28 23:33:28,2026-04-14 23:33:28,330615.49,store,finished
MC0077,202505新品首发077,会员专享,2025-05-26 22:35:59,2025-05-28 22:35:59,375463.46,platform,finished
MC0078,202503平台满减078,新品首发,2025-03-06 19:02:35,2025-03-19 19:02:35,144161.2,platform,finished
MC0079,202603品牌日079,品类日,2026-03-04 14:52:17,2026-03-05 14:52:17,573204.67,platform,finished
MC0080,202510会员专享080,平台满减,2025-10-22 05:33:03,2025-11-07 05:33:03,735226.97,platform,finished
MC0081,202607会员专享081,会员专享,2026-07-28 13:46:03,2026-07-31 13:46:03,540938.49,store,finished
MC0082,202501平台满减082,新品首发,2025-01-12 22:09:27,2025-01-17 22:09:27,752660.12,platform,finished
MC0083,202602平台满减083,新品首发,2026-02-10 22:50:14,2026-02-20 22:50:14,622956.52,platform,finished
MC0084,202511新品首发084,平台满减,2025-11-11 01:20:19,2025-11-17 01:20:19,466905.19,platform,finished
MC0085,202511品牌日085,品牌日,2025-11-05 05:21:56,2025-11-06 05:21:56,466603.06,platform,finished
MC0086,202502品类日086,限时秒杀,2025-02-27 14:56:51,2025-03-05 14:56:51,107455.47,platform,finished
MC0087,202512会员专享087,限时秒杀,2025-12-13 19:37:06,2025-12-28 19:37:06,406450.48,store,finished
MC0088,202511限时秒杀088,新品首发,2025-11-04 02:29:55,2025-11-06 02:29:55,94978.46,platform,finished
MC0089,202512平台满减089,品牌日,2025-12-27 23:40:05,2026-01-03 23:40:05,603455.79,platform,finished
MC0090,202502品牌日090,新品首发,2025-02-05 22:37:48,2025-02-14 22:37:48,254033.41,platform,finished
MC0091,202608限时秒杀091,会员专享,2026-08-03 07:24:48,2026-08-13 07:24:48,509355.79,store,finished
MC0092,202602品类日092,新品首发,2026-02-01 21:56:44,2026-02-10 21:56:44,710015.8,platform,finished
MC0093,202603品类日093,限时秒杀,2026-03-19 09:41:18,2026-04-05 09:41:18,136940.02,store,finished
MC0094,202603品类日094,品牌日,2026-03-11 16:17:22,2026-03-20 16:17:22,627021.29,store,finished
MC0095,202501平台满减095,品类日,2025-01-08 04:56:07,2025-01-16 04:56:07,438403.63,joint,finished
MC0096,202604品类日096,品牌日,2026-04-28 11:21:40,2026-05-03 11:21:40,437555.91,store,finished
MC0097,202508平台满减097,限时秒杀,2025-08-29 22:51:20,2025-08-31 22:51:20,487769.42,joint,finished
MC0098,202604新品首发098,新品首发,2026-04-21 19:05:32,2026-04-30 19:05:32,403382.29,platform,finished
MC0099,202602品类日099,品牌日,2026-02-21 19:45:29,2026-03-09 19:45:29,52457.74,store,finished
MC0100,202503品类日100,品牌日,2025-03-27 11:36:23,2025-04-08 11:36:23,526114.63,store,finished
