metric_id,stat_date,product_id,store_id,impressions,page_views,unique_visitors,buyers,paid_orders,gmv,refund_orders,favorite_additions
DPM000000107,2026-03-02,P000390,S0070,21535,4115,3189,62,69,211142.99,8,258
DPM000000108,2026-05-01,P000931,S0051,11639,1391,817,6,6,19681.91,0,55
DPM000000109,2026-02-20,P001037,S0077,10270,3219,2721,52,44,11794.69,2,162
DPM000000110,2025-09-21,P000703,S0063,19145,2865,2147,163,191,800673.5,16,13
DPM000000111,2025-10-04,P001275,S0075,17805,864,761,6,4,14408.1,0,25
DPM000000112,2025-10-17,P000587,S0027,23396,3984,3461,221,257,344710.37,29,29
DPM000000113,2026-06-28,P001034,S0074,21566,2062,1313,12,13,18828.74,0,34
DPM000000114,2026-02-10,P000906,S0026,22743,1844,1556,113,104,475660.39,10,59
DPM000000115,2025-09-24,P000751,S0031,23201,4992,3656,293,300,1153991.55,35,125
DPM000000116,2025-12-15,P001339,S0059,14938,3569,2568,174,156,81312.75,16,15
DPM000000117,2026-03-05,P000625,S0065,348,41,33,3,2,1751.59,1,2
DPM000000118,2026-02-11,P000112,S0032,23078,7462,5588,122,142,484420.85,16,602
DPM000000119,2026-01-13,P000207,S0047,20836,1874,1092,81,83,212892.46,4,148
DPM000000120,2025-10-01,P000884,S0004,12414,1751,975,45,48,92306.2,3,36
DPM000000121,2026-03-13,P000856,S0056,19587,5859,3274,94,108,124105.25,11,287
DPM000000122,2026-03-31,P000193,S0033,9426,2590,2262,253,295,443247.68,33,14
DPM000000123,2026-02-26,P000517,S0037,2039,354,274,19,18,64848.21,0,4
DPM000000124,2026-06-18,P001125,S0005,12917,2843,1652,187,166,279236.99,5,6
DPM000000125,2026-01-15,P000617,S0057,18613,5743,4455,449,391,701120.24,10,279
DPM000000126,2026-04-27,P000313,S0073,13970,1699,1471,15,17,55337.53,2,112
DPM000000127,2025-11-08,P001135,S0015,22864,3116,2112,218,181,269224.14,2,177
DPM000000128,2026-03-21,P000977,S0017,4761,798,564,59,60,107125.34,3,0
DPM000000129,2025-09-06,P000620,S0060,15524,3506,2886,345,407,721807.75,49,61
DPM000000130,2025-12-28,P000703,S0063,3059,760,622,62,53,208258.25,0,43
DPM000000131,2026-04-26,P001398,S0038,2174,464,373,23,24,41283.53,1,20
DPM000000132,2026-03-09,P000558,S0078,3638,387,341,14,12,4817.53,1,19
DPM000000133,2026-08-06,P000705,S0065,23532,2704,2121,158,163,520989.76,11,137
DPM000000134,2026-08-17,P000466,S0066,1840,119,88,6,6,15702.87,1,6
DPM000000135,2026-05-20,P001153,S0033,22894,5456,3983,84,100,59154.42,11,368
DPM000000136,2025-09-18,P000950,S0070,18854,678,566,43,47,112731.61,0,17
DPM000000137,2026-07-13,P001221,S0021,10977,524,456,10,11,3963.07,0,14
DPM000000138,2025-08-26,P001295,S0015,3873,456,365,9,8,25690.12,1,11
DPM000000139,2025-09-01,P000473,S0073,21739,4154,3006,145,156,262677.7,7,177
DPM000000140,2026-03-12,P000642,S0002,24449,3806,2102,94,109,330263.49,10,10
DPM000000141,2026-05-02,P000960,S0080,8443,629,546,41,48,6814.77,0,46
DPM000000142,2025-11-24,P000397,S0077,22061,5160,3716,111,102,246829.28,11,399
DPM000000143,2026-07-20,P000568,S0008,18338,1669,1292,42,48,10273.07,0,114
DPM000000144,2026-03-24,P000470,S0070,20963,1057,644,7,6,24010.71,0,72
DPM000000145,2026-05-13,P001034,S0074,18691,1485,827,41,46,64819.08,4,38
DPM000000146,2026-08-14,P001500,S0060,24736,1771,1142,127,130,213349.9,3,49
DPM000000147,2026-01-01,P000109,S0029,4086,371,294,15,17,3744.23,1,11
DPM000000148,2026-04-29,P000540,S0060,921,245,142,16,17,13962.99,2,1
DPM000000149,2026-05-13,P000771,S0051,19666,2599,2076,237,207,37108.09,3,54
DPM000000150,2026-03-22,P000751,S0031,17873,1554,1054,93,93,222375.4,9,69
DPM000000151,2026-01-28,P000043,S0043,7759,1783,1041,86,95,158328.14,2,15
DPM000000152,2026-01-17,P000138,S0058,20441,3271,2901,24,19,41217.37,1,224
DPM000000153,2026-08-14,P001328,S0048,19290,4223,3537,386,323,791292.9,13,264
DPM000000154,2025-11-09,P000101,S0021,22949,918,756,50,42,127056.82,2,4
DPM000000155,2026-08-04,P000524,S0044,6447,1973,1754,105,125,294911.64,15,145
DPM000000156,2026-03-01,P000781,S0061,17405,4610,4144,150,159,25876.64,10,214
DPM000000157,2026-02-18,P000877,S0077,18745,5618,3663,289,284,937509.24,26,171
DPM000000158,2026-04-22,P001098,S0058,2437,621,558,3,2,6594.1,1,35
DPM000000159,2025-09-07,P000081,S0001,2530,698,399,10,8,1042.72,1,8
DPM000000160,2026-05-27,P000081,S0001,9234,2033,1480,125,113,12835.91,10,74
DPM000000161,2026-03-27,P001050,S0010,10746,3558,2387,159,155,246432.35,6,163
DPM000000162,2026-02-17,P001356,S0076,10844,1351,981,26,25,12734.3,3,49
DPM000000163,2026-08-09,P000294,S0054,16745,1175,923,99,114,185164.96,11,28
DPM000000164,2026-08-03,P000230,S0070,24677,4902,4310,499,576,1814616.13,33,137
DPM000000165,2026-05-17,P000760,S0040,23506,3569,2685,244,260,335940.15,26,225
DPM000000166,2026-08-04,P000329,S0009,2555,854,582,67,58,226262.92,6,6
DPM000000167,2026-05-31,P000414,S0014,13187,1144,854,79,69,124471.26,7,90
DPM000000168,2025-10-17,P001388,S0028,9497,522,354,42,39,112578.09,0,11
DPM000000169,2026-01-06,P001489,S0049,15309,1488,854,71,75,66195.26,5,68
DPM000000170,2025-08-23,P000442,S0042,24188,3741,2942,316,370,848615.88,0,50
DPM000000171,2026-02-14,P000865,S0065,2108,372,207,7,8,33370.59,1,10
DPM000000172,2026-04-27,P000064,S0064,9043,553,441,31,25,92352.4,1,11
DPM000000173,2025-11-14,P000384,S0064,10018,986,838,53,60,15386.25,5,29
DPM000000174,2026-01-28,P001130,S0010,13506,1101,682,41,38,7713.28,2,70
DPM000000175,2025-11-11,P000832,S0032,20053,2717,1731,66,71,288351.99,4,159
DPM000000176,2025-12-04,P000952,S0072,15146,3598,3142,45,38,58747.7,1,20
DPM000000177,2025-09-12,P001465,S0025,9129,2878,1727,103,100,185239.07,1,97
DPM000000178,2026-03-11,P001262,S0062,12268,862,593,12,10,19249.58,0,67
DPM000000179,2026-01-10,P001159,S0039,7684,1006,861,101,102,288557.61,0,47
DPM000000180,2026-05-31,P001182,S0062,11265,1327,1106,92,110,230975.18,13,41
DPM000000181,2026-04-27,P000982,S0022,16595,3967,3045,246,280,450472.15,21,20
DPM000000182,2026-03-16,P000774,S0054,21365,4433,3720,170,176,403603.1,0,195
DPM000000183,2025-08-26,P000183,S0023,23580,2882,1972,45,49,182710.61,6,6
DPM000000184,2026-01-08,P000457,S0057,7695,807,697,21,18,6375.24,0,20
DPM000000185,2025-09-08,P000634,S0074,16625,4882,4097,94,111,155917.64,4,268
DPM000000186,2025-09-08,P001396,S0036,9074,2726,2301,248,266,7817.17,29,205
DPM000000187,2025-12-15,P000869,S0069,14504,4840,2878,221,179,215029.71,6,243
DPM000000188,2026-04-24,P001399,S0039,5227,776,622,74,71,105417.79,4,39
DPM000000189,2025-10-30,P001315,S0035,3464,1060,620,21,24,12826.88,3,83
DPM000000190,2026-08-09,P000152,S0072,11636,1208,1050,81,70,71887.81,3,26
DPM000000191,2026-07-29,P000221,S0061,18614,3337,1876,168,152,63968.01,7,44
DPM000000192,2025-12-30,P000819,S0019,6078,772,638,54,52,164437.5,2,64
DPM000000193,2025-09-10,P000062,S0062,17944,2123,1628,20,16,38841.97,2,23
DPM000000194,2025-11-04,P000903,S0023,7676,1429,919,109,93,276511.85,4,49
DPM000000195,2026-05-18,P000810,S0010,24185,5890,4676,76,67,185962.88,5,78
DPM000000196,2026-08-04,P000316,S0076,4420,1304,1027,24,24,59791.44,2,24
DPM000000197,2026-01-09,P000786,S0066,15982,5273,3109,193,210,639892.53,1,254
DPM000000198,2026-05-12,P001466,S0026,7090,1159,1004,74,71,50002.39,8,91
DPM000000199,2025-10-16,P001054,S0014,14330,2291,1610,184,153,63252.3,9,72
DPM000000200,2026-04-23,P000532,S0052,20071,2833,2081,219,201,268192.63,4,231
DPM000000201,2025-11-27,P001156,S0036,325,58,39,2,1,2573.45,0,2
DPM000000202,2026-02-02,P000549,S0069,18654,1442,1243,141,154,262434.38,4,62
DPM000000203,2025-12-31,P000082,S0002,18891,3793,2777,83,88,379008.39,4,15
DPM000000204,2025-12-29,P001213,S0013,17554,3432,2725,182,182,307692.29,10,29
DPM000000205,2025-09-05,P001266,S0066,21724,5479,3388,359,307,589060.56,32,28
DPM000000206,2026-07-02,P001189,S0069,1016,222,164,6,5,9158.86,0,2
DPM000000207,2025-11-24,P000666,S0026,4354,1170,770,34,36,31112.16,4,56
DPM000000208,2026-01-31,P000768,S0048,3840,328,191,10,8,9191.92,1,5
DPM000000209,2025-09-09,P000824,S0024,17298,2446,1512,168,186,191183.63,22,97
DPM000000210,2026-03-17,P000308,S0068,4266,428,282,18,20,60942.54,0,25
DPM000000211,2026-03-19,P000729,S0009,11676,1228,964,112,106,281741.04,5,46
DPM000000212,2025-10-29,P000732,S0012,8704,663,559,52,61,213072.16,2,37
DPM000000213,2026-08-21,P001351,S0071,9257,2256,1489,121,124,405163.5,0,55
DPM000000214,2025-08-31,P001388,S0028,5340,1377,1191,72,74,120566.89,3,52
DPM000000215,2026-07-22,P001378,S0018,3910,206,168,1,1,847.05,0,8
DPM000000216,2025-09-10,P000640,S0080,2586,815,704,47,45,106568.72,4,23
DPM000000217,2026-03-09,P001113,S0073,14329,4375,3693,29,28,54731.0,1,150
DPM000000218,2025-09-30,P000667,S0027,24534,2176,1810,11,12,28875.56,0,160
DPM000000219,2026-08-13,P000043,S0043,6960,2120,1287,24,27,71250.15,1,100
DPM000000220,2026-05-02,P001166,S0046,18670,6435,4266,284,279,499594.01,20,97
DPM000000221,2026-05-02,P001353,S0073,21684,2684,2371,80,81,211970.69,3,99
DPM000000222,2025-12-06,P000488,S0008,7909,895,732,86,79,124520.98,9,62
DPM000000223,2025-11-19,P000531,S0051,21753,3751,2960,161,155,250770.2,11,257
DPM000000224,2026-01-30,P000647,S0007,10720,1792,1487,129,147,77224.72,0,148
DPM000000225,2026-02-08,P000023,S0023,137,12,9,0,0,0.0,0,1
DPM000000226,2026-07-12,P001415,S0055,18588,5663,4669,55,52,91929.51,1,61
DPM000000227,2026-05-25,P001191,S0071,5410,743,522,44,45,71105.21,3,57
DPM000000228,2026-01-29,P000459,S0059,17493,1201,985,18,14,20305.03,1,24
DPM000000229,2026-04-29,P000293,S0053,10688,1255,841,85,71,259623.62,7,60
DPM000000230,2026-02-17,P001428,S0068,4138,696,496,35,36,64423.13,3,26
DPM000000231,2026-01-07,P000283,S0043,6675,2030,1454,31,29,40200.56,0,144
DPM000000232,2025-11-01,P001184,S0064,19125,3438,2910,118,139,298480.0,10,51
DPM000000233,2026-02-22,P000674,S0034,1871,277,228,23,27,28895.15,3,14
DPM000000234,2026-01-04,P001228,S0028,11867,557,369,34,40,44321.51,0,6
DPM000000235,2025-09-13,P000506,S0026,5562,1390,1182,126,124,49069.6,5,13
DPM000000236,2026-04-29,P000887,S0007,19713,1124,799,80,86,237190.33,0,50
DPM000000237,2025-09-21,P000743,S0023,5067,1117,971,85,91,222925.94,0,20
DPM000000238,2025-12-16,P000597,S0037,9760,813,691,82,67,55391.68,3,2
DPM000000239,2026-07-28,P000247,S0007,7297,2368,1705,78,85,45846.53,7,9
DPM000000240,2025-12-23,P000478,S0078,9094,2940,2221,114,98,119472.52,6,223
DPM000000241,2026-03-09,P000878,S0078,16580,1061,818,24,27,54908.16,3,45
DPM000000242,2026-04-27,P000481,S0001,12525,3771,2127,83,73,12835.98,5,95
DPM000000243,2025-09-07,P000783,S0063,16241,1128,861,102,105,221418.13,5,35
DPM000000244,2026-04-23,P000497,S0017,5029,716,418,42,49,69243.38,0,27
DPM000000245,2025-10-04,P000457,S0057,6431,2032,1494,121,139,51715.34,10,102
DPM000000246,2025-10-05,P000096,S0016,16651,2569,1696,111,127,142509.2,9,20
DPM000000247,2025-10-12,P000981,S0021,149,6,3,0,0,0.0,1,1
DPM000000248,2025-11-07,P000783,S0063,19489,6103,4869,38,31,70865.86,0,330
DPM000000249,2026-08-12,P000045,S0045,5415,1397,1241,114,126,74148.2,2,66
DPM000000250,2026-06-04,P000953,S0073,11362,3929,3301,323,337,1530281.13,38,205
DPM000000251,2026-02-10,P000538,S0058,15870,1399,1195,129,131,169393.8,14,64
DPM000000252,2025-11-29,P000697,S0057,13591,3468,1933,115,102,285014.17,2,209
DPM000000253,2026-01-31,P001458,S0018,9529,776,670,77,88,48142.83,1,25
DPM000000254,2026-06-19,P000666,S0026,13391,3079,1724,129,144,165413.07,11,62
DPM000000255,2026-01-17,P000257,S0017,6111,686,447,24,26,43587.64,0,54
DPM000000256,2025-10-12,P001219,S0019,6223,1978,1417,11,12,12151.8,1,46
DPM000000257,2026-02-02,P000910,S0030,3991,916,768,12,10,11872.5,0,41
DPM000000258,2026-01-24,P000591,S0031,15054,3178,2289,15,16,40212.14,0,7
DPM000000259,2026-03-10,P001204,S0004,20515,1791,1450,65,58,55638.71,1,39
DPM000000260,2026-07-20,P000307,S0067,20223,6687,5403,335,289,803209.11,19,34
DPM000000261,2025-10-02,P000188,S0028,2655,194,161,19,20,45168.27,0,0
DPM000000262,2025-10-03,P001190,S0070,8482,985,650,70,65,129232.62,0,11
DPM000000263,2026-01-31,P000213,S0053,10925,1365,787,45,38,107156.0,2,22
DPM000000264,2026-06-29,P000938,S0058,16966,1752,991,98,100,142054.06,2,26
DPM000000265,2026-07-06,P000053,S0053,10638,3225,1997,65,59,202453.99,5,167
DPM000000266,2026-02-10,P000715,S0075,3001,284,169,8,8,15388.73,0,0
DPM000000267,2025-12-24,P000737,S0017,12360,1135,756,39,40,162913.36,5,73
DPM000000268,2026-04-30,P001145,S0025,16079,576,493,56,62,15656.28,5,48
DPM000000269,2026-04-04,P001329,S0049,16266,3710,3243,94,86,252881.81,7,200
DPM000000270,2026-04-11,P000319,S0079,12071,1881,1274,52,53,128038.73,1,60
DPM000000271,2025-10-29,P000145,S0065,9899,2363,1670,69,69,176958.43,8,167
DPM000000272,2025-10-29,P000947,S0067,5219,820,621,42,43,69727.01,2,60
DPM000000273,2026-07-04,P000833,S0033,8377,2622,1590,117,135,97482.76,7,169
DPM000000274,2025-08-28,P000227,S0067,3960,1260,737,47,53,29393.34,3,56
DPM000000275,2026-01-05,P000561,S0001,6803,1837,1236,58,63,215604.0,7,131
DPM000000276,2025-10-08,P001016,S0056,10284,2465,1766,64,59,114114.37,2,187
DPM000000277,2026-04-19,P001378,S0018,24174,4948,4032,21,24,14712.13,3,226
DPM000000278,2026-02-17,P000451,S0051,10107,354,244,13,12,35827.92,0,10
DPM000000279,2026-05-19,P000041,S0041,4675,854,591,3,3,11731.85,1,61
DPM000000280,2025-12-12,P000350,S0030,4936,938,823,66,69,150862.6,4,28
DPM000000281,2026-04-01,P000947,S0067,19541,3484,2848,225,192,532924.55,17,199
DPM000000282,2025-11-06,P001462,S0022,1535,362,303,19,19,36981.17,1,1
DPM000000283,2026-02-13,P000868,S0068,6301,1399,904,107,124,22562.07,11,112
DPM000000284,2025-12-27,P000291,S0051,22947,4432,3455,334,368,234394.68,46,223
DPM000000285,2026-06-14,P000496,S0016,14060,3850,2258,256,282,692271.65,23,38
DPM000000286,2026-01-18,P000374,S0054,14978,2715,2156,103,107,5366.22,13,174
DPM000000287,2026-03-15,P001257,S0057,17346,2194,1767,186,149,393392.19,10,160
DPM000000288,2026-05-18,P000621,S0061,16901,5474,3449,138,122,266676.76,6,114
DPM000000289,2026-02-09,P000455,S0055,15114,2119,1269,131,139,102854.48,12,88
DPM000000290,2026-03-07,P000331,S0011,13376,4362,3697,425,411,1401729.45,41,122
DPM000000291,2025-10-08,P000181,S0021,8703,1470,1004,70,64,58112.9,7,3
DPM000000292,2025-11-28,P001145,S0025,24866,8359,6101,289,333,43128.79,37,407
DPM000000293,2026-02-11,P000225,S0065,3582,216,131,2,2,1015.88,0,8
DPM000000294,2026-06-26,P001456,S0016,8670,686,380,7,7,19906.45,1,10
DPM000000295,2026-01-10,P001175,S0055,10453,684,447,43,37,104126.16,1,4
DPM000000296,2026-02-28,P000648,S0008,22746,5708,4406,36,39,68965.8,0,109
DPM000000297,2025-11-19,P000175,S0015,18596,2811,1947,54,59,60272.35,2,233
DPM000000298,2026-06-23,P001248,S0048,8319,1094,960,7,5,14758.62,1,55
DPM000000299,2025-12-01,P001236,S0036,15996,1395,1146,99,100,136224.34,1,92
DPM000000300,2025-12-17,P000723,S0003,12599,2769,1852,68,75,114793.83,0,128
DPM000000301,2026-02-08,P001007,S0047,1669,567,455,45,42,109604.6,5,7
DPM000000302,2026-01-27,P001367,S0007,16389,1261,702,52,56,139081.59,4,29
DPM000000303,2026-05-07,P001085,S0045,904,184,115,4,4,1496.78,0,10
DPM000000304,2026-05-29,P000742,S0022,21254,4804,2949,197,211,485901.05,14,26
DPM000000305,2026-05-07,P001384,S0024,2193,679,453,28,26,28611.4,0,17
DPM000000306,2025-11-24,P000807,S0007,8275,2816,2079,73,64,77217.44,8,69
DPM000000307,2025-12-12,P001087,S0047,3285,632,521,47,43,41798.12,4,45
DPM000000308,2026-01-18,P000852,S0052,10181,884,650,76,80,177232.26,6,66
DPM000000309,2026-03-27,P001150,S0030,19689,1526,1371,158,163,53242.29,4,66
DPM000000310,2026-06-19,P000133,S0053,19398,6207,4284,495,508,1371706.07,62,347
DPM000000311,2026-07-30,P000176,S0016,19219,6043,4108,129,154,121253.77,13,280
DPM000000312,2026-04-20,P000975,S0015,8116,2363,1449,136,151,58511.38,2,129
DPM000000313,2026-01-03,P000576,S0016,5448,913,700,17,16,12827.19,1,43
DPM000000314,2026-07-27,P001301,S0021,7536,456,378,44,45,44831.14,0,19
DPM000000315,2025-11-23,P000625,S0065,20453,4863,4055,444,408,413344.98,37,276
DPM000000316,2026-01-01,P000740,S0020,6464,708,447,4,4,99.35,1,10
DPM000000317,2026-04-17,P001005,S0045,6139,1216,938,19,21,70976.59,2,59
DPM000000318,2025-12-27,P000958,S0078,1645,204,179,19,16,32606.58,2,14
DPM000000319,2026-05-29,P000664,S0024,12783,4468,2986,91,106,57552.3,8,214
DPM000000320,2026-05-06,P000789,S0069,22784,3099,2660,87,86,379188.24,10,111
DPM000000321,2025-12-27,P000371,S0051,21338,6766,5545,260,214,278035.67,4,448
