ticket_id,user_id,order_id,issue_type,priority,ticket_status,created_at,resolved_at,source_channel
TK0000021,U003710,,活动优惠,low,closed,2025-09-10 01:09:38,2025-09-13 01:09:38,app
TK0000022,U001457,O00005739,活动优惠,normal,closed,2025-07-19 23:58:13,2025-07-22 08:58:13,web
TK0000023,U004924,O00010804,订单咨询,normal,closed,2025-12-07 11:46:46,2025-12-09 05:46:46,app
TK0000024,U000180,O00006021,物流问题,normal,closed,2026-04-13 20:42:05,2026-04-14 22:42:05,web
TK0000025,U000585,O00007308,物流问题,normal,resolved,2026-01-23 23:15:53,2026-01-26 13:15:53,phone
TK0000026,U001817,O00000922,物流问题,low,resolved,2026-04-03 19:05:15,2026-04-04 03:05:15,app
TK0000027,U004992,,活动优惠,normal,closed,2025-09-16 20:40:30,2025-09-19 19:40:30,app
TK0000028,U000363,O00001257,物流问题,high,resolved,2025-04-06 18:17:25,2025-04-07 03:17:25,social
TK0000029,U004720,,退款售后,normal,closed,2025-04-05 04:49:23,2025-04-05 22:49:23,social
TK0000030,U003841,O00000237,商品咨询,low,closed,2025-03-15 21:00:22,2025-03-16 03:00:22,social
TK0000031,U000004,O00000858,订单咨询,normal,closed,2025-07-15 04:37:54,2025-07-15 06:37:54,app
TK0000032,U000991,O00000529,物流问题,urgent,closed,2026-04-04 22:01:48,2026-04-07 13:01:48,app
TK0000033,U001760,O00005128,物流问题,normal,closed,2026-01-17 14:08:12,2026-01-20 10:08:12,social
TK0000034,U003046,O00006378,物流问题,urgent,resolved,2026-03-09 03:09:52,2026-03-10 19:09:52,social
TK0000035,U003348,O00002331,物流问题,normal,closed,2025-08-25 14:06:14,2025-08-26 09:06:14,web
TK0000036,U001375,O00004784,活动优惠,high,closed,2026-04-30 15:05:37,2026-05-01 19:05:37,web
TK0000037,U004013,O00008114,退款售后,normal,resolved,2025-01-23 20:40:58,2025-01-25 20:40:58,app
TK0000038,U000935,,退款售后,normal,resolved,2025-05-10 03:38:47,2025-05-12 18:38:47,social
TK0000039,U001873,O00001214,商品咨询,urgent,closed,2025-09-10 13:36:45,2025-09-12 04:36:45,phone
TK0000040,U004947,O00006860,商品咨询,normal,closed,2025-06-20 00:13:37,2025-06-20 21:13:37,social
TK0000041,U001706,O00010154,物流问题,normal,closed,2025-05-25 07:15:04,2025-05-25 17:15:04,social
TK0000042,U004173,O00004814,物流问题,low,resolved,2025-02-11 10:18:35,2025-02-11 12:18:35,phone
TK0000043,U004730,O00007403,账户问题,low,resolved,2026-01-17 17:24:54,2026-01-20 13:24:54,app
TK0000044,U000266,,商品咨询,normal,resolved,2026-08-15 00:33:12,2026-08-17 03:33:12,app
TK0000045,U003395,O00009709,账户问题,normal,closed,2025-02-01 15:34:24,2025-02-04 14:34:24,web
TK0000046,U001570,O00006283,物流问题,normal,closed,2026-02-01 22:31:55,2026-02-04 08:31:55,app
TK0000047,U003796,,账户问题,low,resolved,2026-03-10 23:18:29,2026-03-11 11:18:29,app
TK0000048,U004034,O00009746,活动优惠,low,closed,2025-11-04 16:07:10,2025-11-05 07:07:10,web
TK0000049,U002626,O00002075,账户问题,normal,resolved,2025-07-16 09:42:36,2025-07-18 07:42:36,phone
TK0000050,U002172,O00010694,活动优惠,normal,resolved,2025-10-18 00:08:47,2025-10-19 10:08:47,app
TK0000051,U001386,O00011135,订单咨询,normal,closed,2026-03-03 23:52:41,2026-03-06 21:52:41,app
TK0000052,U004629,O00005639,物流问题,low,resolved,2025-09-05 04:08:59,2025-09-07 10:08:59,web
TK0000053,U002341,O00008677,订单咨询,normal,closed,2025-10-12 07:32:16,2025-10-13 07:32:16,phone
TK0000054,U000827,O00002593,商品咨询,normal,resolved,2026-01-16 02:11:09,2026-01-18 23:11:09,web
TK0000055,U004398,O00010125,退款售后,low,resolved,2025-07-16 07:23:21,2025-07-18 17:23:21,web
TK0000056,U004157,O00005937,活动优惠,normal,resolved,2025-03-04 14:42:11,2025-03-06 06:42:11,app
TK0000057,U000815,O00005113,物流问题,normal,closed,2025-01-11 17:21:28,2025-01-13 13:21:28,app
TK0000058,U003624,O00006145,退款售后,low,resolved,2025-03-29 17:55:25,2025-03-29 22:55:25,social
TK0000059,U003043,O00004485,退款售后,urgent,resolved,2025-11-23 10:59:51,2025-11-24 05:59:51,app
TK0000060,U002242,O00011154,订单咨询,normal,resolved,2026-05-03 04:55:54,2026-05-05 11:55:54,app
TK0000061,U002124,O00003951,物流问题,normal,closed,2026-07-24 06:02:15,2026-07-25 03:02:15,web
TK0000062,U004269,O00005188,物流问题,normal,resolved,2026-03-04 16:20:22,2026-03-07 06:20:22,app
TK0000063,U000751,O00008722,活动优惠,normal,processing,2026-04-16 07:23:52,,web
TK0000064,U002532,O00003546,订单咨询,high,open,2025-02-01 21:53:49,,web
TK0000065,U002704,O00011702,退款售后,low,resolved,2025-01-14 03:35:44,2025-01-16 12:35:44,social
TK0000066,U000917,O00004513,退款售后,high,processing,2026-06-26 10:48:51,,app
TK0000067,U001969,O00000750,物流问题,normal,resolved,2026-06-06 20:15:23,2026-06-09 00:15:23,phone
TK0000068,U004470,O00010372,退款售后,normal,closed,2025-04-09 20:51:14,2025-04-12 12:51:14,app
TK0000069,U000752,O00002130,商品咨询,normal,processing,2026-05-07 17:34:57,,web
TK0000070,U001518,O00001166,商品咨询,normal,closed,2025-02-14 17:24:29,2025-02-17 02:24:29,app
TK0000071,U001453,O00000167,活动优惠,high,closed,2025-08-10 11:23:00,2025-08-11 18:23:00,phone
TK0000072,U003806,O00002856,活动优惠,high,closed,2025-06-08 04:40:10,2025-06-10 18:40:10,app
TK0000073,U002168,O00004462,账户问题,low,closed,2025-06-05 10:54:43,2025-06-08 04:54:43,app
TK0000074,U001426,O00010392,活动优惠,normal,closed,2025-04-09 15:07:25,2025-04-11 13:07:25,app
TK0000075,U004435,O00001557,商品咨询,normal,resolved,2025-01-25 02:46:06,2025-01-27 08:46:06,web
TK0000076,U002174,O00000545,活动优惠,urgent,closed,2025-04-06 15:06:42,2025-04-08 17:06:42,web
TK0000077,U003852,O00011110,商品咨询,high,resolved,2025-10-11 06:00:35,2025-10-11 09:00:35,social
TK0000078,U001292,O00008333,物流问题,normal,resolved,2025-09-25 03:51:36,2025-09-27 02:51:36,app
TK0000079,U002698,,账户问题,normal,closed,2025-08-23 08:48:10,2025-08-24 22:48:10,app
TK0000080,U004524,O00006421,退款售后,normal,closed,2026-04-15 15:40:19,2026-04-16 15:40:19,web
TK0000081,U004400,O00005231,订单咨询,normal,closed,2026-02-02 01:33:38,2026-02-02 10:33:38,app
TK0000082,U002961,O00011919,物流问题,high,processing,2025-01-12 03:07:15,,social
TK0000083,U003410,O00008570,活动优惠,urgent,closed,2025-09-20 11:54:08,2025-09-23 01:54:08,app
TK0000084,U004998,O00011279,商品咨询,normal,open,2026-07-02 17:24:05,,web
TK0000085,U003819,O00007186,退款售后,high,closed,2025-07-21 16:49:55,2025-07-23 18:49:55,app
TK0000086,U004222,O00006449,商品咨询,normal,resolved,2025-01-17 01:52:55,2025-01-19 07:52:55,app
TK0000087,U001402,O00004573,退款售后,normal,resolved,2025-11-08 08:07:28,2025-11-11 02:07:28,phone
TK0000088,U000762,O00004775,退款售后,normal,processing,2026-04-11 10:24:50,,web
TK0000089,U002544,O00004591,物流问题,low,closed,2026-06-29 16:06:36,2026-07-01 00:06:36,phone
TK0000090,U000890,O00001999,物流问题,normal,resolved,2025-10-03 21:35:58,2025-10-06 19:35:58,web
TK0000091,U004914,O00001013,订单咨询,high,open,2026-04-04 05:21:05,,web
TK0000092,U000146,O00000687,商品咨询,high,closed,2025-11-21 16:19:37,2025-11-22 17:19:37,app
TK0000093,U004152,,商品咨询,normal,resolved,2025-05-07 14:57:40,2025-05-09 16:57:40,web
TK0000094,U003759,O00009123,账户问题,normal,closed,2026-07-31 22:01:50,2026-08-01 08:01:50,social
TK0000095,U003087,O00000554,商品咨询,normal,closed,2026-03-30 17:45:39,2026-03-30 22:45:39,app
TK0000096,U004392,O00003526,账户问题,normal,closed,2025-06-19 03:43:52,2025-06-21 18:43:52,phone
TK0000097,U003731,O00007177,退款售后,high,closed,2026-02-16 20:50:35,2026-02-18 12:50:35,phone
TK0000098,U003825,O00006565,账户问题,high,resolved,2026-05-20 23:35:30,2026-05-22 13:35:30,web
TK0000099,U001646,O00008566,退款售后,urgent,closed,2026-07-13 03:36:44,2026-07-13 06:36:44,social
TK0000100,U001853,O00002063,订单咨询,normal,closed,2026-04-10 15:47:42,2026-04-11 11:47:42,app
TK0000101,U001668,O00008600,物流问题,low,closed,2025-05-02 02:31:57,2025-05-04 09:31:57,app
TK0000102,U000623,O00000425,物流问题,urgent,closed,2025-03-06 09:50:25,2025-03-07 21:50:25,web
TK0000103,U001985,O00006807,账户问题,high,open,2025-03-05 21:10:05,,social
TK0000104,U000309,O00004577,物流问题,normal,closed,2025-02-23 11:53:04,2025-02-24 22:53:04,phone
TK0000105,U004101,O00009617,物流问题,normal,open,2026-08-17 01:54:09,,web
TK0000106,U002296,,活动优惠,normal,resolved,2025-01-07 12:37:58,2025-01-08 01:37:58,app
TK0000107,U004663,O00011606,商品咨询,high,resolved,2025-12-29 01:17:57,2026-01-01 00:17:57,web
TK0000108,U001968,O00010601,订单咨询,normal,closed,2025-11-22 08:48:41,2025-11-22 16:48:41,app
TK0000109,U003837,O00001705,物流问题,normal,closed,2025-12-13 02:21:46,2025-12-14 22:21:46,app
TK0000110,U002033,O00011345,商品咨询,high,closed,2025-10-11 09:57:55,2025-10-11 11:57:55,app
TK0000111,U001506,,物流问题,normal,closed,2025-03-12 15:26:49,2025-03-13 03:26:49,app
TK0000112,U003785,,账户问题,normal,closed,2026-01-30 20:37:08,2026-02-01 15:37:08,app
TK0000113,U001104,O00004400,账户问题,normal,resolved,2025-09-25 04:15:19,2025-09-25 14:15:19,web
TK0000114,U002634,O00001581,商品咨询,low,closed,2025-08-13 06:10:09,2025-08-15 15:10:09,app
TK0000115,U004542,,退款售后,normal,resolved,2026-03-21 21:47:09,2026-03-23 12:47:09,phone
TK0000116,U004141,O00000284,活动优惠,normal,closed,2026-01-13 03:18:13,2026-01-13 22:18:13,web
TK0000117,U003357,O00001621,活动优惠,high,closed,2025-07-11 02:14:14,2025-07-11 13:14:14,web
TK0000118,U002418,,退款售后,normal,resolved,2026-01-02 08:52:18,2026-01-02 23:52:18,app
TK0000119,U002591,O00009910,退款售后,normal,closed,2025-08-17 03:28:07,2025-08-19 01:28:07,app
TK0000120,U002932,O00007657,账户问题,normal,open,2025-10-10 04:59:52,,social
TK0000121,U004112,O00004122,商品咨询,high,closed,2025-12-25 17:34:37,2025-12-26 18:34:37,app
TK0000122,U002894,O00004140,活动优惠,normal,closed,2026-07-24 05:20:33,2026-07-27 01:20:33,app
TK0000123,U003893,O00008982,物流问题,high,open,2025-02-12 16:50:23,,app
TK0000124,U001588,O00009798,退款售后,normal,closed,2025-02-24 09:18:19,2025-02-26 04:18:19,phone
TK0000125,U003099,O00003457,退款售后,normal,closed,2025-09-07 10:30:34,2025-09-08 20:30:34,web
TK0000126,U004129,O00011063,物流问题,high,closed,2025-01-14 19:09:34,2025-01-14 22:09:34,phone
TK0000127,U000058,,退款售后,normal,processing,2026-06-19 11:07:59,,social
TK0000128,U004626,O00000599,订单咨询,normal,closed,2026-08-01 16:36:32,2026-08-02 14:36:32,app
TK0000129,U004995,,退款售后,normal,closed,2025-04-01 01:45:31,2025-04-02 12:45:31,app
TK0000130,U001253,O00005040,活动优惠,normal,resolved,2025-08-21 10:47:28,2025-08-21 22:47:28,phone
TK0000131,U000990,O00009465,订单咨询,normal,resolved,2025-04-24 22:16:58,2025-04-26 00:16:58,app
TK0000132,U004833,O00003828,商品咨询,low,closed,2026-05-30 20:34:09,2026-06-02 10:34:09,phone
TK0000133,U004839,,商品咨询,normal,closed,2025-06-26 00:15:43,2025-06-28 06:15:43,app
TK0000134,U002839,,订单咨询,normal,resolved,2025-06-24 18:48:41,2025-06-26 03:48:41,app
TK0000135,U001107,O00005116,物流问题,normal,resolved,2025-06-04 13:45:07,2025-06-06 17:45:07,app
TK0000136,U000242,,物流问题,normal,closed,2025-08-18 16:56:57,2025-08-21 15:56:57,web
TK0000137,U003640,O00002860,账户问题,normal,closed,2026-03-13 07:02:11,2026-03-15 10:02:11,app
TK0000138,U000263,O00004796,物流问题,normal,closed,2025-06-15 17:09:11,2025-06-17 12:09:11,phone
TK0000139,U001666,O00006176,商品咨询,normal,processing,2026-05-11 21:24:51,,app
TK0000140,U003642,,退款售后,low,resolved,2026-02-06 05:13:20,2026-02-08 05:13:20,web
TK0000141,U000377,,退款售后,normal,closed,2025-07-07 01:29:25,2025-07-07 13:29:25,web
TK0000142,U004908,O00003397,活动优惠,normal,closed,2025-10-26 10:22:54,2025-10-28 04:22:54,social
TK0000143,U000753,O00008799,退款售后,normal,processing,2026-07-11 20:18:38,,phone
TK0000144,U004718,,退款售后,normal,processing,2025-01-20 09:43:19,,phone
TK0000145,U002333,O00001991,账户问题,urgent,resolved,2025-07-08 12:27:50,2025-07-10 22:27:50,app
TK0000146,U003038,O00011012,物流问题,urgent,closed,2025-07-09 08:40:18,2025-07-09 20:40:18,app
TK0000147,U000923,,退款售后,normal,resolved,2025-02-03 00:59:39,2025-02-04 10:59:39,phone
TK0000148,U003716,O00005419,订单咨询,normal,closed,2026-06-19 08:34:38,2026-06-20 06:34:38,phone
TK0000149,U002014,,订单咨询,normal,closed,2026-07-10 07:42:29,2026-07-11 19:42:29,web
TK0000150,U001170,O00009961,商品咨询,low,closed,2026-03-24 00:21:02,2026-03-26 03:21:02,web
TK0000151,U001703,O00011161,活动优惠,normal,closed,2025-09-23 23:23:17,2025-09-26 09:23:17,app
TK0000152,U000884,O00000816,退款售后,normal,resolved,2025-12-10 02:49:52,2025-12-11 15:49:52,social
TK0000153,U002625,O00000251,物流问题,normal,closed,2026-07-25 16:30:05,2026-07-28 04:30:05,web
TK0000154,U003678,O00004146,物流问题,normal,processing,2026-01-15 10:28:49,,app
TK0000155,U003890,O00002137,退款售后,normal,closed,2025-10-15 18:32:29,2025-10-17 02:32:29,phone
TK0000156,U000966,O00008215,账户问题,low,closed,2026-03-21 03:16:12,2026-03-23 15:16:12,app
TK0000157,U001159,O00009395,商品咨询,high,processing,2026-03-27 17:34:55,,web
TK0000158,U002312,O00004114,订单咨询,normal,closed,2026-08-26 16:31:30,2026-08-29 02:31:30,phone
TK0000159,U002864,O00008680,订单咨询,normal,resolved,2025-08-17 10:31:20,2025-08-18 00:31:20,phone
TK0000160,U002329,O00008574,活动优惠,normal,resolved,2025-02-24 19:59:22,2025-02-27 02:59:22,app
TK0000161,U003952,O00005273,商品咨询,normal,resolved,2026-03-01 17:30:30,2026-03-02 01:30:30,app
TK0000162,U001404,,订单咨询,urgent,resolved,2026-04-28 02:56:48,2026-04-29 09:56:48,app
TK0000163,U001455,,物流问题,normal,resolved,2026-07-30 02:10:02,2026-07-31 10:10:02,app
TK0000164,U000842,O00000303,商品咨询,high,closed,2025-03-17 23:51:51,2025-03-19 18:51:51,app
TK0000165,U000454,O00001477,订单咨询,normal,resolved,2026-06-09 15:37:19,2026-06-11 13:37:19,social
TK0000166,U004506,O00010984,退款售后,normal,open,2026-04-26 12:27:35,,phone
TK0000167,U004182,O00005296,订单咨询,urgent,closed,2026-08-06 13:08:49,2026-08-06 20:08:49,app
TK0000168,U002729,O00008066,订单咨询,urgent,resolved,2026-03-07 06:33:25,2026-03-07 23:33:25,social
TK0000169,U002860,O00008249,退款售后,normal,resolved,2025-04-09 14:42:52,2025-04-11 03:42:52,social
TK0000170,U001544,,商品咨询,urgent,resolved,2026-02-09 10:51:14,2026-02-12 10:51:14,phone
TK0000171,U002809,O00000606,退款售后,normal,closed,2025-09-20 04:50:14,2025-09-22 03:50:14,phone
TK0000172,U001974,,退款售后,normal,closed,2026-04-06 15:43:35,2026-04-09 03:43:35,app
TK0000173,U002325,,退款售后,high,resolved,2025-08-24 10:13:17,2025-08-26 01:13:17,app
TK0000174,U000628,O00009059,退款售后,normal,resolved,2025-06-17 05:09:56,2025-06-17 08:09:56,app
TK0000175,U004663,O00000216,物流问题,high,closed,2026-08-05 12:27:36,2026-08-07 05:27:36,app
TK0000176,U001299,O00006050,物流问题,normal,closed,2025-08-18 07:12:18,2025-08-21 00:12:18,app
TK0000177,U004368,,商品咨询,normal,resolved,2026-08-09 14:40:12,2026-08-10 05:40:12,phone
TK0000178,U002889,,订单咨询,normal,resolved,2025-10-23 06:15:34,2025-10-25 23:15:34,web
TK0000179,U004132,O00011408,物流问题,normal,closed,2026-01-25 05:02:07,2026-01-28 05:02:07,social
TK0000180,U004745,O00007808,物流问题,normal,closed,2025-05-25 15:18:42,2025-05-27 01:18:42,phone
TK0000181,U000150,O00005809,物流问题,high,resolved,2025-08-11 03:47:55,2025-08-13 11:47:55,app
TK0000182,U001741,O00009281,物流问题,low,closed,2025-09-15 12:12:42,2025-09-15 16:12:42,app
TK0000183,U004457,O00002629,账户问题,high,processing,2025-08-15 00:14:22,,app
TK0000184,U000629,,订单咨询,high,resolved,2025-06-17 14:22:51,2025-06-19 11:22:51,social
TK0000185,U001900,O00009554,账户问题,normal,closed,2026-08-18 10:39:08,2026-08-19 18:39:08,app
TK0000186,U004484,O00011774,商品咨询,low,resolved,2025-10-24 13:44:03,2025-10-26 04:44:03,web
TK0000187,U002034,O00001678,物流问题,normal,resolved,2025-09-23 18:25:18,2025-09-24 04:25:18,web
TK0000188,U001006,O00001680,订单咨询,normal,closed,2026-08-22 07:44:17,2026-08-22 15:44:17,web
TK0000189,U001752,O00005871,活动优惠,high,closed,2025-03-14 16:43:22,2025-03-16 13:43:22,app
TK0000190,U000143,O00000083,退款售后,normal,resolved,2025-08-18 03:16:32,2025-08-18 23:16:32,social
TK0000191,U002846,O00004501,退款售后,normal,processing,2025-06-08 22:30:39,,app
TK0000192,U002395,O00009891,物流问题,normal,resolved,2026-07-02 13:08:52,2026-07-03 20:08:52,social
TK0000193,U000670,O00011996,退款售后,high,closed,2025-04-11 09:47:29,2025-04-12 00:47:29,web
TK0000194,U001777,,订单咨询,normal,closed,2026-06-19 13:20:47,2026-06-21 19:20:47,app
TK0000195,U004029,O00000797,账户问题,high,closed,2025-02-25 04:10:46,2025-02-26 00:10:46,social
TK0000196,U000168,O00007552,账户问题,high,resolved,2026-06-03 09:24:55,2026-06-06 02:24:55,app
TK0000197,U002592,O00009443,退款售后,normal,closed,2026-08-27 06:34:13,2026-08-28 09:34:13,social
TK0000198,U002859,O00001163,商品咨询,normal,resolved,2025-07-10 16:23:55,2025-07-12 17:23:55,app
TK0000199,U004706,,商品咨询,normal,resolved,2026-05-19 07:17:25,2026-05-21 12:17:25,app
TK0000200,U000576,O00005827,退款售后,urgent,closed,2025-05-05 05:02:42,2025-05-06 08:02:42,app
TK0000201,U003298,O00001988,活动优惠,low,resolved,2025-01-14 03:45:29,2025-01-15 22:45:29,app
TK0000202,U001823,O00011995,物流问题,normal,resolved,2026-07-02 05:43:02,2026-07-02 18:43:02,phone
TK0000203,U004445,O00009171,账户问题,high,closed,2025-08-28 21:13:36,2025-08-29 20:13:36,app
TK0000204,U002159,O00006827,退款售后,normal,processing,2025-04-12 01:46:42,,app
TK0000205,U003767,O00001293,物流问题,normal,closed,2025-12-11 02:37:45,2025-12-11 09:37:45,web
TK0000206,U000305,,退款售后,high,resolved,2025-11-12 17:40:38,2025-11-14 09:40:38,web
TK0000207,U003467,,账户问题,normal,closed,2026-01-28 02:03:35,2026-01-29 13:03:35,phone
TK0000208,U001849,O00004566,商品咨询,normal,closed,2026-07-11 07:41:51,2026-07-12 16:41:51,phone
TK0000209,U003540,O00002080,物流问题,high,closed,2025-10-08 10:18:51,2025-10-11 04:18:51,web
TK0000210,U000173,O00004663,物流问题,normal,closed,2025-11-08 15:40:23,2025-11-09 08:40:23,social
TK0000211,U002092,,订单咨询,low,resolved,2025-05-11 15:43:41,2025-05-13 19:43:41,phone
TK0000212,U003559,O00009739,物流问题,normal,processing,2025-07-15 02:00:49,,app
TK0000213,U000795,O00008582,账户问题,normal,closed,2026-01-10 04:03:48,2026-01-12 21:03:48,social
TK0000214,U001123,,订单咨询,low,closed,2025-03-26 02:33:12,2025-03-26 17:33:12,phone
TK0000215,U003193,O00010737,账户问题,urgent,closed,2025-09-18 10:54:07,2025-09-19 17:54:07,app
TK0000216,U004188,O00009095,账户问题,normal,resolved,2025-04-02 15:35:18,2025-04-04 12:35:18,phone
TK0000217,U002355,,物流问题,low,closed,2025-03-05 01:10:00,2025-03-05 03:10:00,social
TK0000218,U000173,,活动优惠,normal,resolved,2026-02-23 00:46:15,2026-02-25 21:46:15,social
TK0000219,U001049,O00007417,活动优惠,normal,closed,2026-05-02 23:48:45,2026-05-04 07:48:45,social
TK0000220,U001434,,活动优惠,normal,resolved,2025-05-02 02:30:08,2025-05-03 09:30:08,app
TK0000221,U002067,,订单咨询,high,resolved,2026-08-01 02:24:11,2026-08-01 22:24:11,app
TK0000222,U004974,O00007974,订单咨询,high,closed,2025-06-01 10:06:51,2025-06-04 10:06:51,social
TK0000223,U002832,,活动优惠,normal,closed,2025-01-20 16:10:01,2025-01-21 20:10:01,social
TK0000224,U004573,O00004293,物流问题,high,resolved,2026-05-09 01:29:44,2026-05-09 10:29:44,app
TK0000225,U004593,O00010860,物流问题,normal,resolved,2026-04-22 13:49:09,2026-04-22 16:49:09,social
TK0000226,U001816,O00010173,商品咨询,urgent,closed,2025-02-06 00:33:27,2025-02-07 04:33:27,app
TK0000227,U001963,O00000762,退款售后,high,resolved,2026-08-14 15:12:12,2026-08-17 01:12:12,phone
TK0000228,U004696,,订单咨询,normal,processing,2025-01-28 04:20:36,,app
TK0000229,U003260,O00008292,商品咨询,high,closed,2026-06-23 05:05:12,2026-06-25 02:05:12,web
TK0000230,U000960,O00001160,退款售后,normal,closed,2025-01-25 10:28:47,2025-01-27 02:28:47,phone
TK0000231,U004659,O00003955,活动优惠,normal,processing,2026-06-27 16:06:56,,phone
TK0000232,U004663,O00001404,商品咨询,normal,open,2026-06-28 23:27:44,,app
TK0000233,U002787,O00000008,商品咨询,normal,open,2025-04-23 03:03:33,,web
TK0000234,U001611,,商品咨询,normal,resolved,2025-01-06 18:20:29,2025-01-08 20:20:29,app
TK0000235,U001310,,退款售后,high,closed,2025-08-21 04:55:27,2025-08-23 16:55:27,phone
TK0000236,U001675,O00000688,订单咨询,high,closed,2025-10-12 21:18:42,2025-10-14 01:18:42,app
TK0000237,U001289,,订单咨询,normal,closed,2025-09-18 03:29:31,2025-09-20 02:29:31,phone
TK0000238,U000498,,活动优惠,high,closed,2025-02-07 13:58:11,2025-02-08 15:58:11,app
TK0000239,U002002,,退款售后,normal,closed,2025-03-02 16:59:27,2025-03-05 03:59:27,phone
TK0000240,U000177,,活动优惠,normal,closed,2026-05-25 14:19:09,2026-05-25 20:19:09,app
TK0000241,U000325,O00004459,物流问题,high,resolved,2025-12-04 16:45:09,2025-12-04 20:45:09,phone
TK0000242,U004798,,物流问题,normal,resolved,2026-07-16 10:28:15,2026-07-17 18:28:15,app
TK0000243,U002580,,物流问题,low,resolved,2025-01-04 00:22:03,2025-01-04 14:22:03,app
TK0000244,U002581,O00010586,物流问题,normal,resolved,2025-10-17 16:17:35,2025-10-18 19:17:35,app
TK0000245,U001545,O00000068,退款售后,normal,closed,2025-09-13 10:04:03,2025-09-13 14:04:03,social
TK0000246,U004097,O00010025,订单咨询,high,closed,2026-01-28 07:59:13,2026-01-29 02:59:13,phone
TK0000247,U004127,O00009760,活动优惠,normal,closed,2025-09-14 21:23:48,2025-09-16 21:23:48,social
TK0000248,U004012,O00005235,物流问题,normal,closed,2026-05-18 04:22:48,2026-05-19 14:22:48,phone
TK0000249,U000761,O00004425,物流问题,normal,resolved,2025-02-27 03:10:41,2025-02-28 14:10:41,web
TK0000250,U004057,O00001509,物流问题,low,closed,2026-02-15 14:26:43,2026-02-15 23:26:43,app
TK0000251,U000823,O00005137,订单咨询,normal,resolved,2025-08-16 13:11:16,2025-08-17 10:11:16,social
TK0000252,U001735,,退款售后,normal,closed,2025-01-01 05:17:50,2025-01-02 21:17:50,app
TK0000253,U002148,O00004673,物流问题,normal,closed,2025-09-11 23:29:07,2025-09-12 14:29:07,app
TK0000254,U003344,O00005350,物流问题,low,closed,2025-08-31 01:45:57,2025-08-31 09:45:57,app
TK0000255,U001986,O00007404,订单咨询,urgent,closed,2026-05-27 22:53:53,2026-05-28 10:53:53,web
TK0000256,U003362,O00003548,物流问题,low,resolved,2026-04-20 15:55:01,2026-04-23 15:55:01,phone
TK0000257,U000353,O00003816,物流问题,high,closed,2026-05-07 09:38:18,2026-05-09 02:38:18,app
TK0000258,U001574,O00006500,账户问题,low,closed,2025-02-28 14:13:52,2025-03-02 00:13:52,app
TK0000259,U001718,O00006750,订单咨询,high,resolved,2025-08-22 18:14:49,2025-08-24 10:14:49,app
TK0000260,U004894,O00010834,活动优惠,normal,resolved,2026-07-23 09:41:03,2026-07-23 22:41:03,web
TK0000261,U000157,O00008705,账户问题,normal,resolved,2025-12-11 09:27:33,2025-12-12 23:27:33,web
TK0000262,U003782,,订单咨询,normal,closed,2025-09-19 08:17:39,2025-09-19 20:17:39,app
TK0000263,U001013,O00004270,订单咨询,high,closed,2026-04-04 04:34:01,2026-04-05 19:34:01,app
TK0000264,U001473,O00000844,商品咨询,normal,closed,2025-05-28 22:42:37,2025-05-29 22:42:37,phone
TK0000265,U004414,O00007203,订单咨询,low,resolved,2026-04-01 20:58:15,2026-04-03 03:58:15,app
