purchase_order_id,supplier_id,warehouse_id,created_at,expected_date,status,purchase_amount,currency
PO000031,SUP0010,W009,2025-08-31 00:43:18,2025-09-23,cancelled,1624444.91,CNY
PO000032,SUP0053,W002,2025-03-28 12:19:58,2025-04-04,shipped,809565.56,CNY
PO000033,SUP0133,W004,2025-07-23 17:32:44,2025-08-03,received,727046.24,CNY
PO000034,SUP0028,W012,2025-06-23 14:39:16,2025-07-07,approved,1655949.23,CNY
PO000035,SUP0045,W014,2025-05-08 05:07:01,2025-05-31,received,1108906.22,CNY
PO000036,SUP0004,W003,2025-11-21 16:52:32,2025-11-27,received,1224405.15,CNY
PO000037,SUP0042,W010,2026-07-14 08:11:53,2026-07-27,approved,495386.09,CNY
PO000038,SUP0056,W006,2025-01-19 12:38:36,2025-01-29,received,1167351.88,CNY
PO000039,SUP0025,W003,2026-04-27 10:52:52,2026-05-18,received,1241045.44,CNY
PO000040,SUP0143,W010,2026-04-23 09:54:10,2026-05-17,approved,1397389.15,CNY
PO000041,SUP0013,W002,2026-06-22 00:41:08,2026-07-01,created,1170914.23,CNY
PO000042,SUP0017,W009,2026-02-13 12:26:24,2026-02-21,approved,1117674.44,CNY
PO000043,SUP0053,W005,2026-03-26 10:30:02,2026-04-01,created,1760916.45,CNY
PO000044,SUP0077,W008,2025-11-28 22:13:14,2025-12-19,shipped,1085799.37,CNY
PO000045,SUP0046,W014,2026-07-12 23:45:33,2026-07-25,received,440636.1,CNY
PO000046,SUP0041,W004,2025-07-31 09:27:21,2025-08-21,received,801078.8,CNY
PO000047,SUP0037,W006,2025-06-09 04:51:48,2025-06-19,received,1823302.71,CNY
PO000048,SUP0008,W001,2025-08-28 01:09:56,2025-09-03,received,1390692.45,CNY
PO000049,SUP0078,W005,2026-01-03 02:57:08,2026-01-13,received,944821.02,CNY
PO000050,SUP0099,W015,2026-02-23 17:53:32,2026-03-18,received,1299976.81,CNY
PO000051,SUP0084,W010,2025-04-16 20:14:15,2025-05-03,received,983801.93,CNY
PO000052,SUP0036,W007,2025-01-22 04:49:40,2025-02-11,received,964814.19,CNY
PO000053,SUP0032,W005,2025-06-27 19:41:36,2025-07-17,received,1035348.27,CNY
PO000054,SUP0122,W013,2025-12-18 10:55:54,2026-01-09,received,466936.3,CNY
PO000055,SUP0045,W013,2026-06-07 23:39:32,2026-06-29,received,1199311.53,CNY
PO000056,SUP0050,W002,2025-10-15 00:29:08,2025-11-02,received,771192.12,CNY
PO000057,SUP0069,W003,2026-05-05 08:11:06,2026-05-14,received,399462.39,CNY
PO000058,SUP0132,W002,2026-07-10 20:11:54,2026-07-30,received,1429632.92,CNY
PO000059,SUP0002,W016,2025-02-11 00:47:32,2025-03-01,received,441340.12,CNY
PO000060,SUP0004,W011,2025-10-07 14:07:05,2025-10-23,received,1306952.14,CNY
PO000061,SUP0089,W002,2026-06-30 18:04:34,2026-07-17,received,712863.6,CNY
PO000062,SUP0064,W007,2025-05-04 02:10:56,2025-05-28,received,1020829.17,CNY
PO000063,SUP0056,W011,2026-03-20 18:25:57,2026-04-03,received,819277.38,CNY
PO000064,SUP0068,W008,2026-07-22 18:30:49,2026-07-30,received,453038.53,CNY
PO000065,SUP0002,W004,2026-06-21 12:10:18,2026-06-29,received,445513.42,CNY
PO000066,SUP0001,W002,2025-04-19 19:37:22,2025-05-11,received,277021.77,CNY
PO000067,SUP0094,W008,2025-07-31 16:11:52,2025-08-10,received,508919.17,CNY
PO000068,SUP0139,W006,2025-08-03 12:42:25,2025-08-12,received,534363.87,CNY
PO000069,SUP0148,W005,2026-08-05 02:00:09,2026-08-28,received,551385.27,CNY
PO000070,SUP0147,W001,2026-05-31 20:46:27,2026-06-19,received,924285.46,CNY
PO000071,SUP0103,W004,2025-11-12 05:29:51,2025-11-23,received,1072121.39,CNY
PO000072,SUP0146,W008,2026-02-27 14:52:41,2026-03-16,approved,818199.34,CNY
PO000073,SUP0122,W003,2025-12-27 12:25:05,2026-01-05,received,277017.61,CNY
PO000074,SUP0109,W009,2025-04-03 15:11:38,2025-04-14,received,677543.82,CNY
PO000075,SUP0057,W008,2025-12-05 00:26:43,2025-12-23,received,1018629.07,CNY
PO000076,SUP0093,W012,2026-02-24 23:51:55,2026-03-18,received,2136259.07,CNY
PO000077,SUP0009,W006,2026-06-14 12:19:57,2026-07-08,received,824160.0,CNY
PO000078,SUP0144,W007,2026-07-14 08:09:37,2026-07-19,received,958481.36,CNY
PO000079,SUP0014,W008,2025-12-17 01:53:32,2026-01-06,received,1118897.08,CNY
PO000080,SUP0137,W011,2026-01-19 14:40:28,2026-02-05,received,783232.0,CNY
PO000081,SUP0115,W013,2026-05-28 10:19:34,2026-06-17,received,690982.28,CNY
PO000082,SUP0014,W001,2025-05-19 16:19:34,2025-05-26,approved,1429410.44,CNY
PO000083,SUP0066,W005,2026-05-28 02:50:11,2026-06-10,received,546122.01,CNY
PO000084,SUP0018,W009,2026-03-17 02:36:48,2026-03-31,approved,1201538.51,CNY
PO000085,SUP0065,W012,2025-03-05 14:16:55,2025-03-29,received,739602.55,CNY
PO000086,SUP0113,W003,2025-03-20 00:56:05,2025-03-29,received,624216.51,CNY
PO000087,SUP0102,W012,2026-03-26 10:35:09,2026-04-05,received,1976806.98,CNY
PO000088,SUP0061,W005,2025-06-07 20:32:48,2025-06-27,received,397467.47,CNY
PO000089,SUP0111,W007,2025-11-04 00:19:17,2025-11-17,received,906443.59,CNY
PO000090,SUP0067,W001,2025-08-26 20:43:09,2025-09-16,received,850946.39,CNY
PO000091,SUP0046,W011,2026-08-11 21:04:57,2026-09-02,cancelled,537384.05,CNY
PO000092,SUP0144,W007,2026-04-25 19:05:43,2026-05-08,created,725648.79,CNY
PO000093,SUP0098,W016,2025-08-31 02:20:00,2025-09-19,received,1548279.04,CNY
PO000094,SUP0084,W003,2025-02-21 00:08:40,2025-02-27,received,750472.25,CNY
PO000095,SUP0116,W010,2025-07-21 12:39:45,2025-08-11,received,1854526.27,CNY
PO000096,SUP0064,W004,2025-05-22 16:25:34,2025-06-06,received,505122.85,CNY
PO000097,SUP0026,W003,2026-08-20 16:45:34,2026-09-12,shipped,894057.62,CNY
PO000098,SUP0077,W005,2025-01-02 02:23:09,2025-01-19,received,1086067.54,CNY
PO000099,SUP0007,W005,2025-11-27 11:38:39,2025-12-18,cancelled,797419.86,CNY
PO000100,SUP0003,W012,2025-08-29 15:06:29,2025-09-06,received,1318788.05,CNY
PO000101,SUP0107,W015,2025-12-26 17:48:47,2026-01-15,received,858919.24,CNY
PO000102,SUP0020,W009,2025-11-15 10:20:52,2025-11-29,received,1047830.56,CNY
PO000103,SUP0037,W001,2025-03-14 18:11:19,2025-04-05,received,1276515.77,CNY
PO000104,SUP0029,W011,2025-09-03 04:35:41,2025-09-17,approved,1489649.97,CNY
PO000105,SUP0142,W009,2025-11-20 08:43:39,2025-11-26,received,1619435.82,CNY
PO000106,SUP0062,W014,2025-11-08 19:09:38,2025-11-20,received,1813510.75,CNY
PO000107,SUP0020,W001,2026-06-16 10:39:27,2026-07-01,received,1378594.8,CNY
PO000108,SUP0023,W008,2026-04-03 06:30:13,2026-04-13,received,2064882.17,CNY
PO000109,SUP0142,W013,2025-06-30 12:40:18,2025-07-15,shipped,1426245.69,CNY
PO000110,SUP0036,W016,2026-01-22 04:36:07,2026-01-28,received,742660.33,CNY
PO000111,SUP0140,W008,2025-01-05 04:18:32,2025-01-10,received,277663.93,CNY
PO000112,SUP0147,W001,2026-06-25 03:21:42,2026-07-04,received,953672.62,CNY
PO000113,SUP0097,W005,2026-03-25 20:51:46,2026-04-06,received,1077273.2,CNY
PO000114,SUP0089,W006,2025-04-23 13:17:22,2025-05-12,cancelled,1432709.54,CNY
PO000115,SUP0078,W008,2026-06-20 11:50:16,2026-07-05,received,920141.39,CNY
PO000116,SUP0100,W003,2026-07-26 16:32:24,2026-08-10,received,1086137.83,CNY
PO000117,SUP0086,W009,2025-10-03 09:36:16,2025-10-24,received,650191.27,CNY
PO000118,SUP0101,W010,2026-06-03 02:18:59,2026-06-08,approved,276948.15,CNY
PO000119,SUP0070,W003,2025-11-19 22:27:28,2025-11-26,received,1550507.95,CNY
PO000120,SUP0053,W015,2025-09-23 09:44:22,2025-10-07,received,639756.08,CNY
PO000121,SUP0066,W015,2025-06-13 20:14:13,2025-06-24,created,1366779.93,CNY
PO000122,SUP0127,W002,2025-09-25 11:34:33,2025-10-13,received,900939.71,CNY
PO000123,SUP0149,W015,2026-08-12 04:21:52,2026-08-29,approved,1311918.55,CNY
PO000124,SUP0097,W005,2026-01-01 10:48:52,2026-01-24,shipped,1866595.07,CNY
PO000125,SUP0111,W015,2025-12-22 09:02:45,2025-12-31,received,275276.7,CNY
PO000126,SUP0148,W003,2025-09-29 05:28:40,2025-10-10,received,512273.58,CNY
PO000127,SUP0113,W012,2025-11-25 03:10:46,2025-12-11,shipped,465788.49,CNY
PO000128,SUP0110,W016,2025-01-15 03:38:05,2025-02-03,shipped,360701.44,CNY
PO000129,SUP0056,W013,2025-08-23 23:20:11,2025-09-10,approved,1286742.41,CNY
PO000130,SUP0099,W010,2025-09-28 22:35:21,2025-10-07,received,616444.68,CNY
PO000131,SUP0056,W005,2026-04-14 09:27:44,2026-04-25,received,1485943.4,CNY
PO000132,SUP0128,W009,2025-05-19 21:27:23,2025-05-30,received,1158046.22,CNY
PO000133,SUP0029,W001,2025-06-18 14:10:18,2025-06-27,received,276242.09,CNY
PO000134,SUP0127,W004,2025-11-29 09:37:02,2025-12-10,created,1212078.55,CNY
PO000135,SUP0091,W010,2026-07-08 08:45:33,2026-07-26,received,368475.72,CNY
PO000136,SUP0049,W004,2026-08-02 01:09:29,2026-08-22,received,737421.52,CNY
PO000137,SUP0057,W010,2026-03-28 00:53:47,2026-04-10,received,2067617.95,CNY
PO000138,SUP0141,W010,2025-04-16 22:42:34,2025-05-05,received,1765263.16,CNY
PO000139,SUP0105,W008,2025-01-16 10:49:22,2025-01-24,received,1303828.08,CNY
PO000140,SUP0059,W015,2025-03-06 08:10:29,2025-03-30,approved,778062.76,CNY
PO000141,SUP0127,W008,2025-05-16 22:09:09,2025-05-29,received,1564617.88,CNY
PO000142,SUP0081,W011,2025-03-17 16:25:14,2025-04-04,received,731276.75,CNY
PO000143,SUP0097,W005,2025-07-05 12:30:26,2025-07-13,received,546375.74,CNY
PO000144,SUP0088,W006,2026-04-03 16:17:09,2026-04-19,approved,1500972.38,CNY
PO000145,SUP0042,W008,2025-08-24 23:47:57,2025-09-01,cancelled,1629555.78,CNY
PO000146,SUP0061,W016,2026-06-18 18:52:56,2026-06-23,created,1084511.83,CNY
PO000147,SUP0068,W006,2025-03-03 21:30:27,2025-03-18,received,499302.77,CNY
PO000148,SUP0140,W005,2026-08-17 22:15:45,2026-09-09,received,1705305.65,CNY
PO000149,SUP0129,W002,2025-03-22 11:02:03,2025-04-02,received,1428015.52,CNY
PO000150,SUP0046,W010,2025-05-27 15:07:10,2025-06-18,received,1408494.58,CNY
PO000151,SUP0146,W001,2026-08-02 06:18:29,2026-08-10,approved,1767239.23,CNY
PO000152,SUP0038,W002,2025-02-03 18:14:08,2025-02-08,received,1511056.33,CNY
PO000153,SUP0065,W013,2025-08-22 00:38:35,2025-08-31,shipped,1436230.4,CNY
PO000154,SUP0027,W011,2025-09-25 18:31:22,2025-10-18,cancelled,478122.77,CNY
PO000155,SUP0008,W008,2025-08-24 22:12:43,2025-09-07,received,1259161.24,CNY
PO000156,SUP0136,W016,2025-10-31 07:16:12,2025-11-14,received,1843139.8,CNY
PO000157,SUP0087,W008,2025-05-23 18:28:25,2025-06-02,received,895841.68,CNY
PO000158,SUP0106,W010,2026-04-24 22:51:00,2026-05-06,created,740510.5,CNY
PO000159,SUP0064,W012,2025-06-21 00:32:36,2025-07-14,received,1532975.77,CNY
PO000160,SUP0138,W005,2026-08-09 10:22:35,2026-08-14,received,998251.97,CNY
PO000161,SUP0114,W006,2025-02-04 15:13:01,2025-02-11,received,1325441.94,CNY
PO000162,SUP0011,W004,2025-01-26 10:50:14,2025-02-10,created,1347332.57,CNY
PO000163,SUP0143,W002,2026-03-11 20:23:06,2026-03-23,received,2250643.93,CNY
PO000164,SUP0149,W007,2025-01-12 04:05:32,2025-02-05,received,1108007.4,CNY
PO000165,SUP0126,W001,2025-10-02 17:57:06,2025-10-13,received,1459720.4,CNY
PO000166,SUP0150,W005,2026-04-01 05:11:09,2026-04-12,received,898511.03,CNY
PO000167,SUP0021,W004,2025-01-10 06:12:18,2025-01-17,received,1064664.61,CNY
PO000168,SUP0034,W013,2025-10-10 11:44:55,2025-10-18,received,1731869.06,CNY
PO000169,SUP0012,W002,2026-03-17 16:51:54,2026-03-24,received,1538145.87,CNY
PO000170,SUP0101,W013,2025-12-14 14:31:08,2026-01-05,received,1891139.23,CNY
PO000171,SUP0067,W010,2025-09-22 00:28:37,2025-10-09,shipped,951616.03,CNY
PO000172,SUP0122,W016,2025-08-19 17:13:10,2025-09-11,received,784036.08,CNY
PO000173,SUP0150,W012,2025-05-10 09:36:31,2025-05-25,received,908564.36,CNY
PO000174,SUP0079,W015,2025-11-21 00:28:29,2025-12-04,received,199054.53,CNY
PO000175,SUP0065,W004,2026-01-09 11:11:54,2026-01-30,shipped,1544075.85,CNY
PO000176,SUP0029,W014,2026-03-25 10:03:16,2026-04-18,shipped,785956.86,CNY
PO000177,SUP0075,W013,2026-05-04 14:09:40,2026-05-26,approved,1376413.73,CNY
PO000178,SUP0041,W003,2025-04-30 08:42:07,2025-05-15,received,632557.52,CNY
PO000179,SUP0122,W001,2025-01-23 19:15:22,2025-01-29,received,771867.18,CNY
PO000180,SUP0118,W014,2025-06-07 16:54:57,2025-06-27,received,711124.57,CNY
PO000181,SUP0056,W003,2025-12-03 11:17:16,2025-12-16,approved,721695.6,CNY
PO000182,SUP0132,W001,2025-05-19 04:19:06,2025-05-27,received,1612129.8,CNY
PO000183,SUP0102,W005,2025-10-07 17:50:15,2025-10-30,approved,2255893.53,CNY
PO000184,SUP0061,W009,2025-04-22 08:52:59,2025-05-09,received,1173330.17,CNY
PO000185,SUP0111,W015,2025-09-04 19:55:57,2025-09-17,received,1323954.41,CNY
PO000186,SUP0075,W015,2026-02-12 12:03:25,2026-02-25,received,668915.4,CNY
PO000187,SUP0034,W006,2025-09-19 16:03:19,2025-10-06,created,977548.25,CNY
PO000188,SUP0110,W013,2025-09-03 12:04:12,2025-09-20,received,2412396.18,CNY
PO000189,SUP0064,W012,2025-10-21 12:40:26,2025-10-28,received,1483096.06,CNY
PO000190,SUP0089,W009,2026-01-28 17:36:20,2026-02-13,received,493083.74,CNY
PO000191,SUP0070,W006,2025-05-09 18:29:27,2025-05-21,shipped,1795430.71,CNY
PO000192,SUP0111,W013,2026-02-26 10:55:10,2026-03-20,received,2142860.42,CNY
PO000193,SUP0070,W006,2025-08-26 02:41:58,2025-08-31,received,1214344.67,CNY
PO000194,SUP0115,W008,2025-11-19 21:21:32,2025-11-25,received,1730004.83,CNY
PO000195,SUP0133,W006,2025-11-27 15:18:57,2025-12-19,shipped,1655336.94,CNY
PO000196,SUP0053,W016,2025-10-04 15:05:50,2025-10-28,shipped,536395.8,CNY
PO000197,SUP0101,W006,2026-06-14 22:11:44,2026-07-06,shipped,1572379.65,CNY
PO000198,SUP0149,W010,2025-06-21 22:31:27,2025-07-07,shipped,1682186.03,CNY
PO000199,SUP0099,W015,2026-06-07 15:19:59,2026-06-13,approved,1372950.24,CNY
PO000200,SUP0133,W015,2026-02-27 16:57:48,2026-03-22,received,1217403.03,CNY
PO000201,SUP0049,W009,2025-06-29 13:16:18,2025-07-06,received,681112.15,CNY
PO000202,SUP0052,W008,2025-08-30 22:28:53,2025-09-23,received,1009871.8,CNY
PO000203,SUP0026,W008,2025-11-27 21:52:37,2025-12-17,shipped,956359.38,CNY
PO000204,SUP0018,W008,2025-11-22 20:12:11,2025-11-29,received,1451020.92,CNY
PO000205,SUP0020,W009,2026-08-09 11:20:48,2026-08-19,received,872648.48,CNY
PO000206,SUP0073,W012,2025-03-16 21:02:24,2025-04-07,received,434212.85,CNY
PO000207,SUP0010,W005,2026-02-27 00:38:26,2026-03-18,received,2169277.78,CNY
PO000208,SUP0083,W007,2025-02-14 16:32:18,2025-02-20,cancelled,1466096.34,CNY
PO000209,SUP0136,W009,2026-05-11 16:31:25,2026-05-17,received,615007.86,CNY
PO000210,SUP0007,W010,2026-08-09 08:49:39,2026-08-14,shipped,1383479.19,CNY
PO000211,SUP0090,W010,2026-06-08 03:49:24,2026-06-13,approved,594885.06,CNY
PO000212,SUP0091,W011,2025-06-07 18:49:00,2025-07-01,received,545274.97,CNY
PO000213,SUP0110,W009,2025-12-21 18:38:05,2026-01-03,received,1887374.35,CNY
PO000214,SUP0063,W011,2025-06-04 18:52:46,2025-06-22,received,269382.36,CNY
PO000215,SUP0068,W004,2025-08-16 22:50:52,2025-09-01,received,1467562.54,CNY
PO000216,SUP0034,W016,2025-08-24 07:11:56,2025-09-02,received,1143294.42,CNY
PO000217,SUP0102,W013,2025-10-08 22:56:27,2025-10-17,approved,643996.07,CNY
PO000218,SUP0076,W011,2025-09-06 15:31:37,2025-09-22,received,739730.24,CNY
PO000219,SUP0081,W004,2025-06-10 00:32:11,2025-06-15,received,1019722.07,CNY
PO000220,SUP0020,W006,2026-05-19 02:17:33,2026-06-10,received,1682770.1,CNY
PO000221,SUP0110,W009,2025-11-12 22:08:31,2025-11-20,received,803572.84,CNY
PO000222,SUP0114,W014,2026-07-29 08:27:16,2026-08-06,received,520844.55,CNY
PO000223,SUP0088,W006,2025-09-19 00:37:56,2025-10-01,received,1810301.58,CNY
PO000224,SUP0010,W011,2026-05-20 23:35:01,2026-06-04,received,1147329.04,CNY
PO000225,SUP0134,W011,2026-05-15 16:02:42,2026-06-01,received,1840606.29,CNY
PO000226,SUP0055,W012,2025-02-04 21:27:29,2025-02-19,cancelled,1316689.4,CNY
PO000227,SUP0084,W006,2025-06-10 19:34:00,2025-06-30,received,1431861.46,CNY
PO000228,SUP0022,W007,2026-05-16 04:25:14,2026-05-28,received,839181.04,CNY
PO000229,SUP0099,W004,2026-04-21 23:05:01,2026-04-29,received,961955.82,CNY
PO000230,SUP0075,W012,2025-09-10 11:02:04,2025-10-02,received,610841.9,CNY
PO000231,SUP0045,W010,2025-06-09 21:19:49,2025-06-28,received,373902.42,CNY
PO000232,SUP0018,W008,2025-12-17 22:25:26,2026-01-08,received,741556.64,CNY
PO000233,SUP0039,W012,2025-01-30 17:18:05,2025-02-04,received,1280207.78,CNY
PO000234,SUP0078,W004,2025-07-19 10:04:09,2025-08-12,received,1338216.27,CNY
PO000235,SUP0025,W010,2025-10-15 15:09:26,2025-10-20,shipped,352699.68,CNY
PO000236,SUP0148,W004,2026-02-08 20:21:47,2026-02-20,received,770317.27,CNY
PO000237,SUP0077,W002,2025-03-31 22:54:52,2025-04-06,received,1119057.9,CNY
PO000238,SUP0048,W003,2025-09-17 01:34:02,2025-10-08,received,557186.12,CNY
PO000239,SUP0062,W012,2025-05-11 15:21:25,2025-05-22,received,1767555.18,CNY
PO000240,SUP0015,W007,2025-06-04 04:55:08,2025-06-12,received,1069490.15,CNY
PO000241,SUP0089,W013,2025-12-26 09:16:48,2026-01-05,received,1805357.77,CNY
PO000242,SUP0017,W006,2026-02-21 19:39:59,2026-03-11,received,709656.51,CNY
PO000243,SUP0117,W007,2026-01-27 17:50:51,2026-02-09,received,644168.03,CNY
PO000244,SUP0022,W013,2026-06-26 06:35:25,2026-07-11,approved,538347.2,CNY
PO000245,SUP0150,W011,2025-09-29 06:44:30,2025-10-04,created,443065.14,CNY
PO000246,SUP0039,W014,2026-01-28 16:47:59,2026-02-18,received,1398567.26,CNY
PO000247,SUP0133,W013,2026-05-21 17:20:46,2026-06-07,received,334094.79,CNY
PO000248,SUP0138,W010,2025-04-14 06:15:28,2025-04-21,received,1780581.4,CNY
PO000249,SUP0032,W015,2025-06-04 01:24:58,2025-06-26,received,1255097.9,CNY
PO000250,SUP0069,W007,2025-12-30 13:38:31,2026-01-16,approved,633162.57,CNY
PO000251,SUP0028,W011,2025-08-22 01:33:16,2025-09-15,received,817266.72,CNY
PO000252,SUP0063,W001,2025-05-21 19:13:12,2025-05-31,received,1218361.85,CNY
PO000253,SUP0070,W006,2026-03-06 06:32:21,2026-03-11,received,752948.76,CNY
PO000254,SUP0004,W001,2026-05-24 08:27:07,2026-06-14,received,878503.21,CNY
PO000255,SUP0146,W004,2025-05-09 10:01:25,2025-05-26,received,1681865.58,CNY
PO000256,SUP0086,W002,2025-09-02 01:07:54,2025-09-16,received,529397.05,CNY
PO000257,SUP0073,W008,2026-08-12 23:26:29,2026-09-02,received,1279212.19,CNY
PO000258,SUP0126,W010,2025-10-26 22:28:02,2025-10-31,received,548378.14,CNY
PO000259,SUP0076,W014,2025-01-29 13:19:29,2025-02-07,received,1534319.07,CNY
PO000260,SUP0064,W006,2025-02-05 13:33:24,2025-02-26,received,1247175.41,CNY
PO000261,SUP0075,W011,2025-08-13 07:45:10,2025-08-20,approved,699869.32,CNY
PO000262,SUP0116,W011,2026-03-20 15:42:27,2026-04-02,created,1310436.22,CNY
PO000263,SUP0107,W016,2025-11-06 22:17:22,2025-11-30,created,1306657.42,CNY
PO000264,SUP0125,W003,2026-06-04 10:15:39,2026-06-22,received,1115900.12,CNY
PO000265,SUP0142,W009,2025-07-09 01:39:43,2025-07-22,received,1422832.59,CNY
PO000266,SUP0101,W009,2025-01-25 04:40:59,2025-02-14,received,551410.9,CNY
PO000267,SUP0006,W011,2025-02-09 03:56:49,2025-03-03,received,306618.68,CNY
PO000268,SUP0135,W002,2026-03-14 07:40:55,2026-03-29,cancelled,414054.21,CNY
PO000269,SUP0080,W008,2025-05-02 00:59:04,2025-05-19,received,883575.85,CNY
PO000270,SUP0033,W004,2026-02-02 02:49:00,2026-02-21,created,1382577.36,CNY
PO000271,SUP0032,W016,2025-08-25 23:02:47,2025-09-03,received,393414.04,CNY
PO000272,SUP0003,W013,2025-08-25 18:56:23,2025-08-31,shipped,1094190.78,CNY
PO000273,SUP0036,W007,2026-06-18 12:48:46,2026-07-12,received,815054.5,CNY
PO000274,SUP0041,W014,2025-09-28 01:19:56,2025-10-03,received,718760.36,CNY
PO000275,SUP0124,W010,2025-01-16 12:05:49,2025-01-24,received,1097466.41,CNY
PO000276,SUP0016,W015,2026-07-09 18:14:37,2026-07-31,created,238329.73,CNY
PO000277,SUP0143,W004,2025-06-01 23:25:37,2025-06-06,received,1179781.42,CNY
PO000278,SUP0123,W004,2025-01-11 12:26:36,2025-01-19,received,1135230.0,CNY
PO000279,SUP0029,W011,2025-04-22 19:00:09,2025-04-30,received,464808.34,CNY
PO000280,SUP0033,W003,2025-01-09 03:51:59,2025-01-23,received,2231839.46,CNY
PO000281,SUP0032,W002,2026-08-01 14:44:59,2026-08-10,shipped,994386.07,CNY
PO000282,SUP0006,W008,2025-08-09 18:27:56,2025-08-24,received,1326498.06,CNY
PO000283,SUP0020,W002,2025-04-03 11:08:33,2025-04-14,received,554186.5,CNY
PO000284,SUP0091,W013,2025-12-21 13:25:51,2025-12-31,received,979821.03,CNY
PO000285,SUP0098,W013,2025-01-25 23:58:56,2025-02-01,received,866994.17,CNY
PO000286,SUP0111,W015,2025-05-31 22:52:15,2025-06-13,received,537485.19,CNY
PO000287,SUP0029,W004,2026-01-31 06:09:01,2026-02-05,approved,987794.8,CNY
PO000288,SUP0093,W015,2025-03-05 18:22:05,2025-03-23,received,1132491.47,CNY
PO000289,SUP0009,W012,2026-05-20 07:45:44,2026-05-27,received,1685106.23,CNY
PO000290,SUP0101,W013,2025-07-16 14:59:30,2025-07-25,received,2125673.07,CNY
PO000291,SUP0027,W001,2025-04-17 23:31:38,2025-04-22,created,1771001.47,CNY
PO000292,SUP0092,W005,2026-02-06 11:44:20,2026-02-19,received,273761.18,CNY
PO000293,SUP0060,W006,2026-06-20 15:09:52,2026-06-29,shipped,1639647.78,CNY
PO000294,SUP0030,W016,2025-02-09 13:37:39,2025-02-18,received,983541.18,CNY
PO000295,SUP0129,W003,2025-05-31 15:34:13,2025-06-06,received,1263792.87,CNY
PO000296,SUP0145,W008,2025-05-05 13:37:09,2025-05-20,received,1059693.84,CNY
PO000297,SUP0070,W004,2026-07-18 17:13:40,2026-07-31,received,348844.71,CNY
PO000298,SUP0048,W014,2026-03-22 02:23:59,2026-04-02,received,801648.15,CNY
PO000299,SUP0067,W009,2025-07-26 12:13:55,2025-08-03,received,655618.91,CNY
PO000300,SUP0020,W003,2025-06-23 23:36:20,2025-07-04,received,615586.29,CNY
PO000301,SUP0033,W006,2025-12-31 01:27:27,2026-01-19,received,1021845.93,CNY
PO000302,SUP0052,W013,2025-11-01 02:42:34,2025-11-24,shipped,1452032.17,CNY
PO000303,SUP0082,W008,2026-07-05 16:10:28,2026-07-24,received,912413.21,CNY
