usage_id,receipt_id,coupon_id,order_id,user_id,discount_amount,used_at
CU00000066,CR00000147,CP00010,O00006397,U003577,8.57,2026-07-10 16:14:11
CU00000067,CR00000149,CP00072,O00007496,U001619,37.75,2025-04-03 19:19:15
CU00000068,CR00000150,CP00176,O00006476,U001935,7.02,2025-01-28 19:17:42
CU00000069,CR00000152,CP00014,O00005316,U002362,56.4,2026-06-21 04:15:56
CU00000070,CR00000153,CP00026,O00005621,U000881,103.86,2025-11-16 23:45:41
CU00000071,CR00000154,CP00053,O00006620,U003724,12.33,2026-03-24 16:05:56
CU00000072,CR00000155,CP00013,O00010761,U002576,27.35,2025-11-13 17:01:07
CU00000073,CR00000157,CP00044,O00000476,U002887,6.69,2026-02-01 01:35:30
CU00000074,CR00000158,CP00143,O00003967,U002750,147.54,2026-02-19 15:53:02
CU00000075,CR00000160,CP00096,O00001435,U004820,23.59,2025-05-21 18:12:18
CU00000076,CR00000161,CP00133,O00006533,U000643,25.98,2025-05-31 20:42:11
CU00000077,CR00000164,CP00167,O00010810,U001153,50.16,2026-07-21 07:07:31
CU00000078,CR00000170,CP00106,O00004457,U002361,6.59,2025-12-20 10:21:16
CU00000079,CR00000171,CP00165,O00004143,U002248,5.64,2026-06-04 10:20:43
CU00000080,CR00000176,CP00173,O00007540,U001073,6.3,2026-07-14 02:08:22
CU00000081,CR00000183,CP00102,O00011650,U002047,106.56,2026-01-12 05:39:07
CU00000082,CR00000185,CP00147,O00006469,U000592,64.83,2025-06-11 18:08:51
CU00000083,CR00000188,CP00055,O00006687,U000086,123.44,2026-01-28 15:27:27
CU00000084,CR00000195,CP00002,O00003392,U004072,5.62,2026-05-09 15:43:32
CU00000085,CR00000196,CP00063,O00000873,U000555,15.7,2025-03-18 02:59:35
CU00000086,CR00000198,CP00098,O00009189,U002466,5.32,2025-01-14 01:56:32
CU00000087,CR00000200,CP00115,O00011476,U000192,86.93,2026-03-15 04:00:35
CU00000088,CR00000206,CP00084,O00010913,U000904,5.39,2026-06-13 13:04:00
CU00000089,CR00000210,CP00141,O00002905,U003227,109.53,2025-08-06 08:43:39
CU00000090,CR00000212,CP00045,O00009999,U003660,102.24,2026-07-15 22:50:51
CU00000091,CR00000214,CP00161,O00000684,U002161,54.46,2026-03-07 06:26:58
CU00000092,CR00000219,CP00149,O00010968,U004714,8.69,2025-07-19 23:24:36
CU00000093,CR00000224,CP00101,O00001780,U002497,57.5,2026-06-04 10:01:01
CU00000094,CR00000226,CP00080,O00006523,U001643,23.17,2026-05-15 20:22:44
CU00000095,CR00000227,CP00138,O00009160,U000732,29.0,2025-07-28 16:12:56
CU00000096,CR00000229,CP00044,O00007323,U001674,6.69,2025-05-05 10:31:43
CU00000097,CR00000230,CP00110,O00010337,U003223,20.65,2026-05-19 04:38:20
CU00000098,CR00000231,CP00125,O00009563,U004875,21.22,2026-02-09 10:36:51
CU00000099,CR00000232,CP00028,O00006724,U003310,57.77,2026-08-09 19:09:20
CU00000100,CR00000233,CP00134,O00002434,U003623,28.03,2026-03-08 11:25:10
CU00000101,CR00000235,CP00040,O00008278,U004256,22.44,2025-09-14 10:37:50
CU00000102,CR00000242,CP00111,O00000570,U003294,14.15,2026-01-24 15:04:35
CU00000103,CR00000245,CP00005,O00010272,U004556,20.33,2025-07-01 21:33:16
CU00000104,CR00000248,CP00053,O00008258,U002374,12.33,2026-03-18 17:27:53
CU00000105,CR00000249,CP00003,O00011478,U001698,14.49,2025-01-25 09:45:09
CU00000106,CR00000252,CP00104,O00000217,U001196,76.67,2025-11-15 20:31:31
CU00000107,CR00000255,CP00002,O00009107,U001683,5.62,2026-01-01 17:44:44
CU00000108,CR00000256,CP00007,O00006764,U002423,82.38,2026-06-17 06:12:43
CU00000109,CR00000259,CP00165,O00007024,U000107,5.64,2025-10-21 05:09:22
CU00000110,CR00000263,CP00072,O00008977,U004536,37.75,2025-05-10 00:57:53
CU00000111,CR00000266,CP00025,O00005882,U003544,26.85,2026-08-02 05:52:40
CU00000112,CR00000269,CP00013,O00007289,U000598,27.35,2025-09-25 18:18:52
CU00000113,CR00000276,CP00119,O00010924,U001191,78.56,2025-11-15 03:58:50
CU00000114,CR00000277,CP00021,O00006747,U001613,24.2,2026-05-13 02:07:38
CU00000115,CR00000278,CP00017,O00008054,U004531,12.1,2025-04-13 02:14:31
CU00000116,CR00000280,CP00111,O00005225,U003701,14.15,2025-12-28 10:05:50
CU00000117,CR00000281,CP00176,O00010657,U000667,7.02,2025-12-02 01:27:23
CU00000118,CR00000282,CP00078,O00010434,U000470,82.39,2026-02-10 21:55:25
CU00000119,CR00000283,CP00117,O00008303,U000989,7.89,2026-08-01 19:01:04
CU00000120,CR00000286,CP00065,O00009103,U002658,47.93,2026-08-10 07:50:50
CU00000121,CR00000288,CP00087,O00005008,U004533,52.22,2025-11-15 06:56:51
CU00000122,CR00000289,CP00086,O00002735,U004731,27.94,2025-07-02 08:08:27
CU00000123,CR00000292,CP00013,O00000671,U003646,27.35,2025-11-16 15:01:28
CU00000124,CR00000293,CP00029,O00009489,U001174,12.24,2025-05-28 01:04:48
CU00000125,CR00000297,CP00061,O00008265,U002953,41.51,2026-07-06 08:15:28
CU00000126,CR00000298,CP00024,O00007313,U001208,54.73,2025-10-28 06:18:00
CU00000127,CR00000299,CP00076,O00003742,U001221,6.8,2025-08-24 12:43:06
CU00000128,CR00000301,CP00023,O00001143,U002287,106.03,2025-08-07 03:30:18
CU00000129,CR00000302,CP00028,O00008246,U001591,57.77,2025-06-23 16:50:54
CU00000130,CR00000303,CP00073,O00008814,U005000,42.24,2026-05-03 18:36:52
CU00000131,CR00000306,CP00166,O00000481,U000548,95.09,2025-03-01 19:21:35
CU00000132,CR00000307,CP00015,O00008452,U004106,26.99,2025-09-17 07:46:28
CU00000133,CR00000311,CP00064,O00010376,U002316,55.92,2025-11-24 20:02:43
CU00000134,CR00000312,CP00131,O00009486,U000865,9.19,2026-02-19 15:37:30
CU00000135,CR00000313,CP00028,O00003705,U001946,57.77,2025-11-11 03:25:37
CU00000136,CR00000319,CP00096,O00010567,U001390,23.59,2025-08-06 23:21:34
CU00000137,CR00000320,CP00159,O00000779,U003857,36.24,2026-01-06 21:51:13
CU00000138,CR00000321,CP00029,O00008093,U001621,12.24,2025-11-30 09:29:56
CU00000139,CR00000322,CP00121,O00001733,U004335,14.4,2025-11-11 09:32:31
CU00000140,CR00000324,CP00040,O00001062,U003989,22.44,2025-11-12 13:54:29
CU00000141,CR00000325,CP00019,O00008584,U000932,82.27,2026-01-31 21:20:01
CU00000142,CR00000326,CP00135,O00000828,U004053,83.42,2025-04-19 15:53:39
CU00000143,CR00000328,CP00110,O00010722,U004862,20.65,2025-03-01 07:27:59
CU00000144,CR00000330,CP00073,O00007073,U001197,42.24,2025-11-04 19:25:25
CU00000145,CR00000332,CP00088,O00009024,U000640,18.99,2026-07-03 14:18:24
CU00000146,CR00000333,CP00093,O00003742,U001221,27.11,2025-08-24 12:43:06
CU00000147,CR00000339,CP00008,O00001011,U003940,101.76,2026-02-11 02:13:50
CU00000148,CR00000340,CP00080,O00004791,U004715,23.17,2026-05-03 02:44:39
CU00000149,CR00000341,CP00108,O00002158,U001102,32.8,2025-07-05 12:43:31
CU00000150,CR00000344,CP00060,O00001718,U001275,11.31,2025-07-31 18:40:18
CU00000151,CR00000346,CP00171,O00011152,U002616,79.44,2026-03-17 15:15:11
CU00000152,CR00000353,CP00061,O00009921,U001131,41.51,2026-03-19 11:47:28
CU00000153,CR00000356,CP00101,O00010110,U001736,57.5,2026-08-17 01:09:33
CU00000154,CR00000358,CP00060,O00003303,U004717,11.31,2026-05-10 00:17:50
CU00000155,CR00000359,CP00116,O00011514,U002372,12.5,2026-02-18 14:59:10
CU00000156,CR00000361,CP00115,O00010519,U001614,86.93,2026-02-10 16:38:34
CU00000157,CR00000363,CP00113,O00001952,U003434,7.63,2025-03-17 19:50:02
CU00000158,CR00000370,CP00052,O00000949,U001106,26.8,2025-02-01 22:53:50
CU00000159,CR00000372,CP00137,O00010383,U002538,60.5,2026-08-05 01:11:26
CU00000160,CR00000373,CP00065,O00001508,U000256,43.43,2025-05-26 17:49:40
CU00000161,CR00000374,CP00006,O00002656,U004298,107.26,2025-04-07 15:40:49
CU00000162,CR00000375,CP00071,O00000675,U000562,30.88,2025-03-30 18:23:21
CU00000163,CR00000376,CP00043,O00001283,U004685,88.16,2025-04-09 10:41:41
CU00000164,CR00000377,CP00144,O00004130,U001187,25.86,2026-06-25 14:47:00
CU00000165,CR00000388,CP00065,O00010173,U003436,47.93,2025-02-01 01:34:27
CU00000166,CR00000389,CP00005,O00005484,U004059,20.33,2025-11-24 05:38:16
CU00000167,CR00000391,CP00137,O00004718,U001677,60.5,2025-01-02 00:45:54
CU00000168,CR00000394,CP00059,O00006072,U000407,6.6,2025-05-10 04:10:24
CU00000169,CR00000396,CP00041,O00002126,U003717,53.71,2025-06-23 01:02:48
CU00000170,CR00000397,CP00118,O00000942,U004216,13.08,2025-04-20 16:11:34
CU00000171,CR00000402,CP00138,O00011302,U000908,29.0,2026-07-14 02:50:13
CU00000172,CR00000405,CP00161,O00010569,U001234,54.46,2026-04-01 02:27:52
CU00000173,CR00000408,CP00106,O00007655,U001017,6.59,2025-02-22 13:29:40
CU00000174,CR00000411,CP00025,O00008726,U000115,26.85,2026-01-07 22:27:01
CU00000175,CR00000413,CP00059,O00009725,U002536,6.6,2025-03-10 13:53:11
CU00000176,CR00000416,CP00126,O00008006,U003416,76.27,2025-06-05 22:53:39
CU00000177,CR00000419,CP00139,O00001463,U004407,60.24,2025-11-20 13:45:30
CU00000178,CR00000424,CP00003,O00001672,U000727,14.49,2025-12-02 23:19:11
CU00000179,CR00000425,CP00055,O00001621,U001150,123.44,2025-07-04 16:15:14
CU00000180,CR00000427,CP00062,O00011846,U001207,6.55,2025-08-11 03:22:04
CU00000181,CR00000428,CP00079,O00001639,U000910,6.82,2026-07-17 15:20:22
CU00000182,CR00000429,CP00105,O00006316,U002447,8.54,2026-03-30 01:30:13
CU00000183,CR00000434,CP00134,O00002489,U003655,28.03,2025-05-20 22:03:09
CU00000184,CR00000435,CP00158,O00000848,U001066,8.87,2026-05-12 02:26:10
CU00000185,CR00000436,CP00015,O00003211,U002026,26.99,2025-09-25 07:35:05
CU00000186,CR00000438,CP00069,O00008460,U003932,22.95,2025-08-11 04:28:25
CU00000187,CR00000439,CP00047,O00006140,U004755,66.82,2025-10-14 14:26:44
CU00000188,CR00000441,CP00076,O00004129,U001520,6.8,2025-02-16 16:52:23
CU00000189,CR00000442,CP00025,O00011808,U003811,26.85,2025-11-09 08:07:11
CU00000190,CR00000444,CP00107,O00000671,U003646,91.42,2025-11-16 15:01:28
CU00000191,CR00000449,CP00169,O00010209,U001416,16.12,2025-01-15 05:51:29
CU00000192,CR00000450,CP00176,O00008468,U000822,7.02,2025-09-26 11:55:39
CU00000193,CR00000453,CP00118,O00011393,U002112,13.08,2025-04-02 13:39:17
CU00000194,CR00000454,CP00114,O00002684,U004153,29.15,2025-06-16 15:25:24
CU00000195,CR00000456,CP00111,O00011282,U002299,14.15,2026-06-22 14:15:02
CU00000196,CR00000457,CP00139,O00011697,U004276,60.24,2025-04-28 09:53:27
CU00000197,CR00000458,CP00030,O00005566,U000723,102.7,2026-01-15 06:02:06
CU00000198,CR00000459,CP00010,O00011393,U002112,8.57,2025-04-02 13:39:17
CU00000199,CR00000460,CP00021,O00002642,U002909,24.2,2025-12-06 00:15:45
CU00000200,CR00000462,CP00016,O00007348,U001135,13.42,2025-03-20 09:41:26
CU00000201,CR00000463,CP00113,O00002140,U004823,7.63,2025-10-27 23:34:40
CU00000202,CR00000466,CP00014,O00011630,U004138,56.4,2025-07-07 17:11:32
CU00000203,CR00000471,CP00150,O00008920,U004563,9.81,2026-01-12 02:16:12
CU00000204,CR00000472,CP00165,O00011727,U002478,5.64,2025-02-22 05:21:40
CU00000205,CR00000473,CP00079,O00009924,U001999,6.82,2025-02-15 09:48:56
CU00000206,CR00000476,CP00052,O00007100,U002703,26.8,2026-05-07 17:00:48
CU00000207,CR00000477,CP00028,O00001458,U004230,57.77,2025-09-19 19:08:49
CU00000208,CR00000480,CP00110,O00007258,U000401,20.65,2025-08-04 15:55:18
CU00000209,CR00000481,CP00151,O00004665,U000275,48.68,2026-03-19 22:03:51
CU00000210,CR00000483,CP00098,O00001922,U000642,5.32,2025-03-05 01:35:26
CU00000211,CR00000484,CP00132,O00008410,U003619,57.92,2026-02-09 16:42:54
CU00000212,CR00000485,CP00168,O00003244,U001756,28.1,2025-09-08 01:50:23
CU00000213,CR00000490,CP00122,O00003805,U000172,147.62,2025-08-05 12:26:48
CU00000214,CR00000493,CP00167,O00000088,U003461,50.16,2025-10-01 13:41:02
CU00000215,CR00000495,CP00115,O00008693,U001355,86.93,2025-07-11 00:04:38
CU00000216,CR00000501,CP00111,O00005269,U003733,14.15,2025-10-24 04:39:51
CU00000217,CR00000504,CP00050,O00002666,U001697,55.17,2026-01-18 04:13:46
CU00000218,CR00000505,CP00018,O00006749,U002951,34.59,2025-02-21 21:43:32
CU00000219,CR00000510,CP00039,O00004065,U001871,15.82,2025-08-29 05:17:53
CU00000220,CR00000512,CP00161,O00002297,U002012,54.46,2026-04-20 02:17:06
CU00000221,CR00000514,CP00076,O00003752,U002763,6.8,2025-10-15 21:15:40
CU00000222,CR00000515,CP00172,O00004078,U003127,8.25,2025-08-23 02:24:22
CU00000223,CR00000517,CP00165,O00001507,U004546,5.64,2025-11-27 14:14:48
CU00000224,CR00000518,CP00163,O00001635,U002521,12.05,2025-10-04 11:42:42
CU00000225,CR00000521,CP00102,O00011408,U004132,106.56,2026-01-23 07:03:07
CU00000226,CR00000522,CP00172,O00008117,U000265,8.25,2025-10-18 01:34:55
CU00000227,CR00000523,CP00130,O00000174,U000523,15.68,2025-08-21 07:46:46
CU00000228,CR00000525,CP00150,O00009198,U001292,9.81,2026-02-10 00:14:44
CU00000229,CR00000526,CP00130,O00007497,U004564,15.68,2026-06-17 21:14:00
CU00000230,CR00000527,CP00110,O00008027,U000960,20.65,2025-06-02 00:35:44
CU00000231,CR00000528,CP00174,O00004377,U001942,140.96,2025-12-17 00:24:44
CU00000232,CR00000530,CP00129,O00008941,U003346,78.9,2025-10-10 20:53:03
CU00000233,CR00000531,CP00081,O00000368,U000544,38.35,2026-03-11 05:08:14
CU00000234,CR00000532,CP00165,O00002386,U003823,5.64,2025-07-22 08:49:42
CU00000235,CR00000533,CP00046,O00007349,U002003,29.68,2026-06-10 02:06:23
CU00000236,CR00000535,CP00056,O00001518,U000917,9.18,2025-04-17 10:01:00
CU00000237,CR00000538,CP00110,O00006287,U000646,20.65,2025-08-21 10:11:32
CU00000238,CR00000539,CP00048,O00004651,U000074,11.56,2026-01-25 01:09:33
CU00000239,CR00000542,CP00130,O00011005,U000409,15.68,2026-06-23 22:19:44
CU00000240,CR00000543,CP00093,O00008311,U000707,27.11,2025-01-28 17:16:11
CU00000241,CR00000544,CP00165,O00007376,U004415,5.64,2026-01-08 05:06:13
CU00000242,CR00000546,CP00069,O00002442,U000561,22.95,2026-02-15 12:01:15
CU00000243,CR00000547,CP00106,O00003296,U000303,6.59,2025-11-24 21:27:19
CU00000244,CR00000548,CP00005,O00001126,U003468,20.33,2025-05-22 12:39:47
CU00000245,CR00000549,CP00050,O00009271,U001351,55.17,2025-07-15 14:32:00
CU00000246,CR00000550,CP00063,O00000348,U002840,15.7,2025-12-19 06:41:04
CU00000247,CR00000554,CP00172,O00001559,U001635,8.25,2025-11-01 09:34:33
CU00000248,CR00000556,CP00093,O00003208,U004317,27.11,2025-02-09 12:54:48
CU00000249,CR00000557,CP00038,O00001907,U000940,7.49,2025-11-07 15:13:07
CU00000250,CR00000558,CP00119,O00010062,U003658,78.56,2026-03-31 05:41:08
CU00000251,CR00000566,CP00093,O00005712,U002888,27.11,2026-06-14 16:07:35
CU00000252,CR00000567,CP00156,O00006439,U004506,102.43,2025-08-20 16:49:32
CU00000253,CR00000568,CP00053,O00000022,U002657,12.33,2026-07-18 06:08:46
CU00000254,CR00000569,CP00156,O00000270,U000267,102.43,2025-06-27 23:58:10
CU00000255,CR00000572,CP00033,O00006397,U003577,27.87,2026-07-10 16:14:11
CU00000256,CR00000576,CP00022,O00006922,U001755,38.59,2025-02-13 17:30:10
CU00000257,CR00000577,CP00064,O00007410,U003391,55.92,2026-07-14 15:05:13
CU00000258,CR00000578,CP00024,O00007378,U003931,54.73,2025-01-01 02:30:03
CU00000259,CR00000579,CP00098,O00000254,U003170,5.32,2025-07-11 18:14:38
CU00000260,CR00000581,CP00110,O00004588,U001624,20.65,2026-08-13 05:37:35
CU00000261,CR00000582,CP00167,O00004446,U002136,50.16,2025-11-25 07:09:18
CU00000262,CR00000583,CP00111,O00009917,U002085,14.15,2025-05-31 05:22:50
CU00000263,CR00000585,CP00172,O00011593,U000127,8.25,2026-06-03 05:39:45
CU00000264,CR00000589,CP00090,O00002897,U000621,16.18,2026-01-20 03:50:36
CU00000265,CR00000590,CP00013,O00008425,U003695,27.35,2026-03-26 00:43:09
CU00000266,CR00000591,CP00070,O00010113,U001666,99.65,2026-01-23 07:06:29
CU00000267,CR00000597,CP00018,O00004799,U002504,34.59,2026-07-11 10:45:45
CU00000268,CR00000598,CP00122,O00005052,U000906,147.62,2025-08-03 22:20:49
CU00000269,CR00000599,CP00049,O00009703,U002813,49.71,2025-03-15 21:11:44
CU00000270,CR00000603,CP00014,O00002427,U002938,56.4,2026-06-16 21:28:10
CU00000271,CR00000604,CP00036,O00005155,U000054,32.03,2026-03-15 15:18:22
CU00000272,CR00000605,CP00021,O00007577,U001899,24.2,2025-06-20 11:56:58
CU00000273,CR00000607,CP00086,O00004924,U003648,27.94,2025-02-17 18:25:05
CU00000274,CR00000608,CP00003,O00003691,U003353,14.49,2025-12-25 21:13:42
CU00000275,CR00000609,CP00154,O00005624,U004342,69.09,2025-01-31 19:32:57
CU00000276,CR00000612,CP00170,O00006036,U002417,38.43,2026-06-18 01:45:18
CU00000277,CR00000613,CP00128,O00011472,U004353,59.78,2025-03-25 21:44:19
CU00000278,CR00000614,CP00161,O00005152,U001565,54.46,2025-12-01 13:07:58
CU00000279,CR00000617,CP00078,O00000795,U003605,82.39,2025-06-01 22:06:29
CU00000280,CR00000621,CP00168,O00007842,U004438,28.1,2025-12-28 12:26:30
CU00000281,CR00000624,CP00146,O00008763,U003617,104.66,2025-05-18 16:40:43
CU00000282,CR00000625,CP00115,O00002881,U002288,86.93,2025-11-14 07:25:24
CU00000283,CR00000627,CP00032,O00010704,U004738,12.36,2025-01-13 20:37:39
CU00000284,CR00000629,CP00178,O00010411,U000334,41.84,2026-04-20 18:13:27
CU00000285,CR00000634,CP00121,O00008309,U000774,14.4,2026-06-25 03:31:45
CU00000286,CR00000635,CP00128,O00001626,U002903,59.78,2026-06-08 07:56:20
CU00000287,CR00000636,CP00029,O00003608,U003295,12.24,2025-08-06 20:28:07
CU00000288,CR00000637,CP00037,O00010137,U002346,62.74,2026-08-02 07:25:52
CU00000289,CR00000638,CP00096,O00006785,U001486,23.59,2025-12-19 04:53:13
CU00000290,CR00000641,CP00019,O00004562,U004890,82.27,2025-11-07 06:08:33
CU00000291,CR00000645,CP00119,O00001723,U001286,78.56,2026-06-21 18:37:48
CU00000292,CR00000646,CP00154,O00008481,U001008,69.09,2026-01-28 21:56:43
CU00000293,CR00000647,CP00010,O00008861,U001872,8.57,2025-10-30 15:29:19
CU00000294,CR00000652,CP00140,O00001405,U000983,21.17,2025-12-12 17:09:44
CU00000295,CR00000653,CP00032,O00009523,U003936,12.36,2026-07-22 06:08:32
CU00000296,CR00000655,CP00170,O00004912,U000333,38.43,2026-02-20 17:26:25
CU00000297,CR00000656,CP00075,O00006814,U002096,28.2,2026-03-03 05:51:44
CU00000298,CR00000657,CP00083,O00001111,U004998,32.24,2025-11-11 07:27:50
CU00000299,CR00000658,CP00075,O00008714,U000311,28.2,2025-05-12 04:53:06
CU00000300,CR00000662,CP00082,O00005436,U004535,9.28,2025-08-17 15:12:36
CU00000301,CR00000663,CP00026,O00009693,U000229,103.86,2026-03-05 14:38:56
CU00000302,CR00000664,CP00112,O00000491,U004354,36.64,2025-08-11 04:07:38
CU00000303,CR00000666,CP00089,O00003451,U001821,8.02,2026-08-10 18:09:42
CU00000304,CR00000670,CP00011,O00007586,U004313,32.73,2026-02-05 07:45:54
CU00000305,CR00000673,CP00175,O00002881,U002288,43.12,2025-11-14 07:25:24
CU00000306,CR00000674,CP00080,O00000818,U003167,23.17,2026-05-12 22:36:34
CU00000307,CR00000677,CP00013,O00004312,U002702,27.35,2025-05-23 07:13:48
CU00000308,CR00000680,CP00115,O00001636,U002402,86.93,2026-03-06 17:47:52
CU00000309,CR00000684,CP00109,O00007456,U002676,52.92,2025-11-16 20:22:53
CU00000310,CR00000685,CP00160,O00006384,U002015,34.25,2025-02-13 22:16:36
CU00000311,CR00000688,CP00172,O00001698,U004910,8.25,2026-05-03 07:32:57
CU00000312,CR00000691,CP00161,O00005543,U003945,54.46,2025-05-29 00:24:54
CU00000313,CR00000692,CP00031,O00005630,U002668,18.52,2026-08-01 05:10:48
CU00000314,CR00000697,CP00121,O00009988,U002002,14.4,2026-06-21 00:27:42
CU00000315,CR00000698,CP00074,O00004159,U001931,48.37,2025-02-16 05:42:58
CU00000316,CR00000702,CP00076,O00006449,U004222,6.8,2025-01-15 00:53:55
CU00000317,CR00000705,CP00094,O00008290,U001183,9.28,2025-09-02 05:06:38
CU00000318,CR00000707,CP00085,O00003048,U001739,72.39,2025-05-05 20:15:18
CU00000319,CR00000709,CP00109,O00000754,U000554,52.92,2026-04-15 11:14:21
CU00000320,CR00000710,CP00068,O00003663,U004351,137.03,2025-09-10 08:24:32
CU00000321,CR00000714,CP00046,O00008569,U003379,29.68,2025-05-16 06:09:10
CU00000322,CR00000716,CP00078,O00003328,U002115,82.39,2025-03-19 23:35:21
CU00000323,CR00000718,CP00034,O00004002,U003477,31.12,2025-06-27 16:07:08
