exposure_id,user_id,product_id,position_name,strategy_name,exposed_at,clicked,converted
RE000000093,U003587,P001161,商品详情相似推荐,recommend_v3,2025-08-29 07:56:14,0,0
RE000000094,U002531,P001453,会员频道,recommend_v3,2025-02-17 17:54:23,0,0
RE000000095,U002583,P000677,搜索联想,recommend_v4,2025-03-01 14:00:51,0,0
RE000000096,U004387,P001469,搜索联想,recommend_v4,2025-12-06 07:48:21,0,0
RE000000097,U003108,P000218,搜索联想,recommend_v3,2025-03-22 03:50:19,0,0
RE000000098,U003935,P000398,购物车凑单,recommend_v3,2026-06-19 16:37:11,1,0
RE000000099,U002465,P000736,购物车凑单,recommend_v3,2025-02-01 11:17:31,1,0
RE000000100,U001974,P000725,购物车凑单,recommend_v3,2026-03-15 13:48:27,0,0
RE000000101,U000378,P001133,首页猜你喜欢,recommend_v3,2025-12-12 16:55:22,0,0
RE000000102,U003823,P001304,首页猜你喜欢,recommend_v4,2025-03-04 22:02:10,0,0
RE000000103,U001082,P000552,搜索联想,rule_based,2025-06-29 06:41:18,1,0
RE000000104,U004590,P000268,会员频道,recommend_v4,2026-03-10 15:03:46,0,0
RE000000105,U004496,P000661,首页猜你喜欢,popular,2025-12-22 00:59:45,1,0
RE000000106,U002455,P000185,首页猜你喜欢,rule_based,2025-10-13 05:51:11,1,0
RE000000107,U000644,P000993,商品详情相似推荐,rule_based,2026-03-29 22:17:10,0,0
RE000000108,U002428,P000024,商品详情相似推荐,recommend_v4,2026-03-28 12:13:24,0,0
RE000000109,U000268,P001080,购物车凑单,recommend_v4,2026-03-07 17:11:25,0,0
RE000000110,U000416,P001012,搜索联想,recommend_v4,2025-04-15 04:55:11,0,0
RE000000111,U004437,P000004,首页猜你喜欢,recommend_v3,2026-02-15 10:15:47,1,0
RE000000112,U000737,P000539,会员频道,recommend_v3,2026-05-11 06:18:34,0,0
RE000000113,U001777,P000013,搜索联想,recommend_v3,2025-03-27 00:24:10,0,0
RE000000114,U004149,P000991,商品详情相似推荐,popular,2025-01-02 03:48:46,0,0
RE000000115,U002761,P000787,会员频道,recommend_v4,2025-08-15 16:13:21,1,0
RE000000116,U004518,P001412,搜索联想,recommend_v3,2026-05-24 05:17:39,0,0
RE000000117,U000967,P001108,首页猜你喜欢,recommend_v3,2026-03-16 09:46:04,0,0
RE000000118,U004089,P001176,会员频道,rule_based,2025-06-16 23:59:09,0,0
RE000000119,U002441,P000218,搜索联想,recommend_v3,2026-06-07 10:06:27,0,0
RE000000120,U001154,P000274,商品详情相似推荐,recommend_v3,2025-08-02 10:00:48,0,0
RE000000121,U003144,P000537,首页猜你喜欢,recommend_v4,2026-06-11 05:29:36,0,0
RE000000122,U003785,P001125,会员频道,recommend_v4,2026-04-27 14:57:25,0,0
RE000000123,U004331,P001413,购物车凑单,recommend_v3,2025-05-13 05:00:17,0,0
RE000000124,U002110,P001082,搜索联想,popular,2026-08-13 16:38:24,0,0
RE000000125,U003389,P001110,商品详情相似推荐,recommend_v3,2025-10-23 01:06:48,0,0
RE000000126,U002056,P001486,会员频道,recommend_v3,2025-04-27 13:24:20,1,0
RE000000127,U004066,P001306,购物车凑单,recommend_v3,2025-03-01 11:03:06,0,0
RE000000128,U003758,P001176,首页猜你喜欢,recommend_v4,2025-10-15 12:16:27,0,0
RE000000129,U003661,P001379,购物车凑单,popular,2026-01-10 03:20:54,0,0
RE000000130,U001023,P000078,商品详情相似推荐,popular,2025-06-20 00:37:34,0,0
RE000000131,U004760,P000712,购物车凑单,recommend_v3,2025-01-25 00:18:29,0,0
RE000000132,U000427,P000648,会员频道,recommend_v3,2025-03-28 23:54:28,0,0
RE000000133,U004998,P000858,会员频道,popular,2025-04-20 12:10:51,0,0
RE000000134,U002488,P000648,商品详情相似推荐,recommend_v4,2025-06-10 10:00:14,0,0
RE000000135,U004724,P000477,会员频道,recommend_v3,2026-08-02 02:33:22,0,0
RE000000136,U003170,P001402,会员频道,popular,2025-08-03 04:24:07,0,0
RE000000137,U000437,P000039,购物车凑单,recommend_v4,2026-03-20 02:48:01,0,0
RE000000138,U004983,P000119,搜索联想,rule_based,2026-07-04 00:25:41,0,0
RE000000139,U003672,P000474,购物车凑单,recommend_v4,2025-04-25 03:51:32,0,0
RE000000140,U004858,P000067,购物车凑单,recommend_v4,2025-05-18 14:45:08,1,0
RE000000141,U001739,P000826,搜索联想,recommend_v4,2025-01-21 03:05:05,0,0
RE000000142,U000147,P000104,商品详情相似推荐,rule_based,2026-04-10 12:02:10,0,0
RE000000143,U002799,P001155,首页猜你喜欢,recommend_v3,2026-07-14 09:52:02,0,0
RE000000144,U001491,P001236,会员频道,recommend_v4,2025-03-05 15:16:52,0,0
RE000000145,U002902,P000589,搜索联想,recommend_v3,2026-01-05 10:31:14,0,0
RE000000146,U002471,P001327,搜索联想,rule_based,2026-08-18 04:28:45,0,0
RE000000147,U000945,P000131,购物车凑单,rule_based,2026-01-02 13:24:23,0,0
RE000000148,U001473,P000013,首页猜你喜欢,rule_based,2025-11-29 21:16:27,0,0
RE000000149,U004905,P001073,会员频道,recommend_v3,2025-10-23 15:59:28,0,0
RE000000150,U002221,P001469,会员频道,recommend_v4,2025-11-24 12:28:55,0,0
RE000000151,U000936,P000721,会员频道,recommend_v3,2025-08-23 17:29:29,0,0
RE000000152,U001257,P000962,搜索联想,popular,2025-06-29 18:45:42,0,0
RE000000153,U004150,P000202,商品详情相似推荐,recommend_v3,2026-06-03 03:37:12,0,0
RE000000154,U002474,P001429,购物车凑单,recommend_v4,2025-10-27 21:05:30,0,0
RE000000155,U004298,P001089,搜索联想,rule_based,2025-04-30 23:05:38,0,0
RE000000156,U002850,P000710,搜索联想,recommend_v4,2025-05-24 20:31:09,0,0
RE000000157,U004345,P000839,购物车凑单,rule_based,2026-03-26 14:20:28,0,0
RE000000158,U004501,P000618,会员频道,recommend_v3,2026-04-21 05:33:07,0,0
RE000000159,U001904,P000352,首页猜你喜欢,popular,2025-12-26 06:09:10,0,0
RE000000160,U004570,P000249,首页猜你喜欢,recommend_v4,2025-05-19 04:11:12,0,0
RE000000161,U003140,P000572,会员频道,recommend_v4,2025-05-07 17:32:27,0,0
RE000000162,U001014,P001127,购物车凑单,popular,2026-04-29 16:10:03,0,0
RE000000163,U000037,P001495,会员频道,recommend_v4,2025-09-16 21:20:13,0,0
RE000000164,U002173,P001064,搜索联想,recommend_v3,2026-01-04 23:07:32,0,0
RE000000165,U002128,P000359,搜索联想,recommend_v4,2025-09-13 03:31:10,0,0
RE000000166,U001728,P001146,首页猜你喜欢,recommend_v3,2025-01-31 22:08:46,0,0
RE000000167,U003635,P001329,购物车凑单,recommend_v4,2025-01-14 04:18:18,0,0
RE000000168,U004714,P000780,会员频道,recommend_v4,2025-07-18 13:15:08,0,0
RE000000169,U004907,P001217,首页猜你喜欢,recommend_v3,2026-03-13 11:04:07,0,0
RE000000170,U000108,P001297,会员频道,recommend_v3,2026-03-04 20:13:29,0,0
RE000000171,U001232,P000992,搜索联想,recommend_v3,2026-06-30 12:44:19,0,0
RE000000172,U000236,P000009,搜索联想,recommend_v3,2025-01-25 00:21:02,0,0
RE000000173,U002434,P000088,首页猜你喜欢,recommend_v4,2026-03-16 20:50:41,1,0
RE000000174,U000222,P000412,购物车凑单,recommend_v4,2026-07-17 21:30:32,0,0
RE000000175,U003441,P001433,购物车凑单,rule_based,2025-02-10 17:01:23,0,0
RE000000176,U004719,P000366,会员频道,recommend_v4,2025-08-09 06:16:41,1,0
RE000000177,U004476,P001259,购物车凑单,popular,2025-02-21 09:27:27,0,0
RE000000178,U002544,P001215,购物车凑单,recommend_v4,2025-12-15 21:18:50,0,0
RE000000179,U004239,P000367,商品详情相似推荐,recommend_v4,2026-01-13 16:53:47,1,0
RE000000180,U000858,P000007,购物车凑单,recommend_v4,2025-11-15 20:55:06,0,0
RE000000181,U003140,P000479,首页猜你喜欢,recommend_v4,2025-12-08 04:36:38,0,0
RE000000182,U004986,P000298,搜索联想,recommend_v4,2025-03-29 11:18:28,0,0
RE000000183,U004336,P001242,搜索联想,recommend_v3,2026-04-25 01:13:24,0,0
RE000000184,U001790,P001426,会员频道,recommend_v3,2026-06-22 15:34:31,1,0
RE000000185,U000149,P000207,商品详情相似推荐,recommend_v3,2025-01-26 06:26:38,0,0
RE000000186,U004138,P000781,商品详情相似推荐,recommend_v3,2026-04-15 08:26:44,0,0
RE000000187,U002778,P000887,会员频道,recommend_v3,2025-11-25 19:40:29,0,0
RE000000188,U002905,P000837,商品详情相似推荐,rule_based,2026-03-15 07:56:07,1,0
RE000000189,U003643,P001056,首页猜你喜欢,recommend_v4,2026-04-21 12:32:43,0,0
RE000000190,U004920,P000851,会员频道,recommend_v4,2026-06-16 23:37:20,0,0
RE000000191,U003283,P000287,会员频道,recommend_v4,2026-08-06 20:39:21,0,0
RE000000192,U000104,P000666,购物车凑单,recommend_v3,2025-05-02 06:23:08,0,0
RE000000193,U000941,P000081,搜索联想,recommend_v3,2025-06-08 19:29:00,0,0
RE000000194,U004199,P000061,搜索联想,rule_based,2025-11-02 09:43:39,0,0
RE000000195,U003674,P000225,商品详情相似推荐,recommend_v3,2026-07-05 09:27:29,1,0
RE000000196,U002345,P000718,会员频道,rule_based,2025-01-30 05:55:33,0,0
RE000000197,U004292,P000666,商品详情相似推荐,recommend_v4,2025-05-01 02:34:58,0,0
RE000000198,U000054,P000928,首页猜你喜欢,rule_based,2026-07-15 01:42:41,0,0
RE000000199,U002915,P000513,会员频道,recommend_v4,2025-12-17 18:29:33,0,0
RE000000200,U004466,P000349,会员频道,recommend_v3,2025-05-31 15:51:14,0,0
RE000000201,U000812,P000664,会员频道,recommend_v3,2025-12-02 15:11:02,0,0
RE000000202,U004548,P000924,购物车凑单,recommend_v3,2025-05-09 22:50:32,0,0
RE000000203,U001694,P000664,搜索联想,recommend_v3,2025-03-19 12:06:56,0,0
RE000000204,U000245,P000146,会员频道,popular,2026-06-29 05:18:16,0,0
RE000000205,U002243,P000409,首页猜你喜欢,recommend_v4,2026-01-06 12:14:24,0,0
RE000000206,U000809,P000204,搜索联想,recommend_v3,2025-01-25 11:55:32,0,0
RE000000207,U000995,P000592,搜索联想,recommend_v4,2025-06-18 16:03:26,0,0
RE000000208,U000909,P000065,会员频道,recommend_v4,2026-05-13 22:41:57,0,0
RE000000209,U000523,P000499,购物车凑单,recommend_v3,2025-09-14 22:28:48,0,0
RE000000210,U001411,P000165,搜索联想,recommend_v3,2026-06-08 06:08:45,0,0
RE000000211,U002094,P000214,商品详情相似推荐,rule_based,2025-08-06 01:23:14,0,0
RE000000212,U003895,P001182,商品详情相似推荐,recommend_v3,2026-05-15 08:23:59,0,0
RE000000213,U003354,P000951,搜索联想,popular,2026-04-03 18:04:50,0,0
RE000000214,U000126,P000554,商品详情相似推荐,recommend_v3,2025-03-06 08:51:38,0,0
RE000000215,U004226,P000222,购物车凑单,recommend_v4,2025-02-21 23:37:34,0,0
RE000000216,U000144,P000153,搜索联想,recommend_v3,2025-11-12 11:09:57,0,0
RE000000217,U004015,P000671,商品详情相似推荐,recommend_v4,2025-06-07 02:23:07,0,0
RE000000218,U001841,P000012,会员频道,recommend_v4,2026-01-07 00:33:06,0,0
RE000000219,U002255,P000167,商品详情相似推荐,rule_based,2026-03-27 05:59:37,0,0
RE000000220,U000786,P001113,搜索联想,recommend_v3,2025-06-18 04:39:37,1,0
RE000000221,U002744,P000108,首页猜你喜欢,rule_based,2025-01-20 01:54:26,0,0
RE000000222,U001613,P000356,购物车凑单,rule_based,2026-02-20 11:52:51,0,0
RE000000223,U002940,P001310,搜索联想,recommend_v3,2025-09-02 20:13:30,0,0
RE000000224,U001606,P001017,首页猜你喜欢,popular,2025-10-03 00:14:45,0,0
RE000000225,U004081,P000333,商品详情相似推荐,recommend_v3,2026-06-13 18:53:47,0,0
RE000000226,U004391,P001415,会员频道,recommend_v3,2025-07-12 12:59:37,0,0
RE000000227,U003423,P001086,购物车凑单,recommend_v3,2025-11-08 16:11:58,0,0
RE000000228,U003612,P000147,购物车凑单,popular,2025-06-18 15:38:18,0,0
RE000000229,U000734,P000885,购物车凑单,recommend_v3,2026-02-27 20:35:33,0,0
RE000000230,U002143,P000099,购物车凑单,recommend_v3,2025-07-22 14:12:10,0,0
RE000000231,U002839,P000833,首页猜你喜欢,recommend_v3,2026-02-27 10:20:46,0,0
RE000000232,U003208,P000715,会员频道,recommend_v4,2026-03-19 10:12:22,0,0
RE000000233,U002913,P000072,购物车凑单,recommend_v4,2025-08-18 03:15:27,0,0
RE000000234,U004036,P000348,首页猜你喜欢,popular,2025-06-13 19:30:43,0,0
RE000000235,U001012,P000932,搜索联想,recommend_v3,2026-03-01 23:36:11,1,0
RE000000236,U002512,P001158,商品详情相似推荐,rule_based,2025-02-20 12:54:20,0,0
RE000000237,U003011,P001295,会员频道,rule_based,2025-10-16 07:14:17,0,0
RE000000238,U001436,P000786,购物车凑单,popular,2025-01-25 05:44:32,1,1
RE000000239,U003379,P000034,购物车凑单,recommend_v4,2025-07-17 14:29:21,0,0
RE000000240,U000357,P000591,会员频道,recommend_v3,2026-05-08 21:39:11,0,0
RE000000241,U004452,P000834,搜索联想,recommend_v3,2025-10-11 11:54:21,0,0
RE000000242,U000258,P000410,会员频道,recommend_v3,2025-08-10 15:33:21,0,0
RE000000243,U002375,P000714,购物车凑单,recommend_v3,2025-09-02 18:07:53,0,0
RE000000244,U004237,P000911,商品详情相似推荐,popular,2025-09-11 10:35:44,0,0
RE000000245,U002182,P000887,购物车凑单,recommend_v4,2026-02-18 09:57:03,0,0
RE000000246,U000573,P001478,购物车凑单,recommend_v4,2025-02-11 15:54:17,0,0
RE000000247,U003349,P001035,首页猜你喜欢,recommend_v3,2025-08-09 09:14:02,1,0
RE000000248,U000967,P000614,搜索联想,recommend_v4,2025-04-11 02:36:53,0,0
RE000000249,U001868,P001031,首页猜你喜欢,recommend_v3,2025-11-05 20:18:32,1,0
RE000000250,U002283,P001153,会员频道,recommend_v4,2026-04-07 23:19:54,0,0
RE000000251,U003452,P001102,购物车凑单,recommend_v3,2026-03-11 04:17:45,0,0
RE000000252,U000184,P000613,首页猜你喜欢,popular,2025-05-02 08:36:44,1,0
RE000000253,U000723,P001336,会员频道,recommend_v4,2026-03-22 20:02:24,0,0
RE000000254,U002865,P001174,首页猜你喜欢,recommend_v3,2026-06-06 20:58:09,0,0
RE000000255,U004151,P000562,购物车凑单,recommend_v3,2025-09-15 17:55:29,0,0
RE000000256,U002971,P000653,搜索联想,recommend_v4,2025-04-29 19:37:05,0,0
RE000000257,U002575,P001184,会员频道,recommend_v4,2026-03-10 14:13:28,0,0
RE000000258,U001200,P001482,商品详情相似推荐,rule_based,2026-01-09 20:22:06,0,0
RE000000259,U002885,P000264,首页猜你喜欢,recommend_v3,2025-01-20 10:13:58,0,0
RE000000260,U004213,P001029,购物车凑单,recommend_v3,2026-01-17 18:08:03,0,0
RE000000261,U000437,P001335,首页猜你喜欢,rule_based,2026-05-05 13:44:07,0,0
RE000000262,U000115,P000355,购物车凑单,recommend_v3,2025-09-11 02:04:22,0,0
RE000000263,U002865,P000214,会员频道,rule_based,2026-04-03 20:07:59,1,0
RE000000264,U002751,P001089,商品详情相似推荐,recommend_v3,2025-03-28 04:16:46,0,0
RE000000265,U004219,P000456,搜索联想,recommend_v3,2026-01-19 22:25:19,0,0
RE000000266,U001876,P001014,商品详情相似推荐,recommend_v3,2026-01-27 11:17:00,0,0
RE000000267,U002745,P000451,首页猜你喜欢,recommend_v4,2026-04-11 12:21:40,0,0
RE000000268,U001387,P000626,商品详情相似推荐,recommend_v3,2026-03-09 05:11:19,1,0
RE000000269,U003851,P001330,商品详情相似推荐,rule_based,2025-03-22 11:18:20,0,0
RE000000270,U004030,P000006,商品详情相似推荐,recommend_v4,2026-01-06 22:33:34,1,0
RE000000271,U004154,P000474,首页猜你喜欢,recommend_v4,2025-07-30 17:26:26,0,0
RE000000272,U004687,P000970,会员频道,recommend_v4,2026-07-13 17:01:27,0,0
RE000000273,U002076,P000966,购物车凑单,recommend_v3,2025-10-14 22:17:14,0,0
RE000000274,U003994,P000523,购物车凑单,recommend_v4,2026-06-01 06:45:04,0,0
RE000000275,U002141,P000345,会员频道,recommend_v3,2025-04-25 12:46:33,0,0
RE000000276,U000083,P001222,首页猜你喜欢,rule_based,2025-07-15 05:23:43,0,0
RE000000277,U002755,P001027,搜索联想,recommend_v4,2025-07-23 01:15:05,0,0
RE000000278,U000878,P000866,购物车凑单,recommend_v4,2025-09-04 22:39:47,1,0
RE000000279,U000374,P000283,会员频道,popular,2025-07-24 01:00:04,0,0
RE000000280,U003668,P001411,购物车凑单,popular,2026-07-15 03:31:57,0,0
RE000000281,U003675,P000397,搜索联想,recommend_v3,2025-02-06 05:10:55,0,0
RE000000282,U000797,P001216,商品详情相似推荐,recommend_v3,2026-05-12 20:29:38,1,0
RE000000283,U002440,P000129,购物车凑单,rule_based,2025-11-30 02:52:06,0,0
RE000000284,U000072,P000830,首页猜你喜欢,recommend_v3,2025-08-24 16:38:14,0,0
RE000000285,U003271,P000600,首页猜你喜欢,recommend_v3,2025-04-13 13:22:03,0,0
RE000000286,U004095,P000914,商品详情相似推荐,recommend_v3,2026-02-26 16:59:48,0,0
RE000000287,U001495,P000070,商品详情相似推荐,popular,2026-05-10 10:35:38,0,0
RE000000288,U001712,P001231,首页猜你喜欢,recommend_v4,2025-01-17 15:30:49,0,0
RE000000289,U001794,P000506,商品详情相似推荐,recommend_v4,2026-03-13 18:50:57,0,0
RE000000290,U004398,P000367,首页猜你喜欢,rule_based,2026-02-03 13:34:04,0,0
RE000000291,U003169,P001049,搜索联想,recommend_v3,2026-05-31 12:36:19,0,0
RE000000292,U000743,P000751,搜索联想,recommend_v4,2025-05-14 03:30:59,0,0
RE000000293,U004604,P001125,搜索联想,recommend_v3,2025-09-09 15:46:25,0,0
RE000000294,U001824,P000080,购物车凑单,recommend_v4,2025-12-15 21:51:59,0,0
RE000000295,U004539,P000298,购物车凑单,popular,2025-01-25 20:02:40,0,0
RE000000296,U001749,P000893,购物车凑单,rule_based,2025-03-01 15:17:07,0,0
RE000000297,U001661,P000185,购物车凑单,recommend_v4,2025-11-11 02:25:40,0,0
RE000000298,U002242,P001366,首页猜你喜欢,recommend_v4,2026-02-28 12:24:42,0,0
RE000000299,U000679,P000616,首页猜你喜欢,recommend_v4,2025-12-22 21:38:24,0,0
RE000000300,U001356,P000922,购物车凑单,recommend_v3,2025-11-02 06:14:52,0,0
RE000000301,U004869,P001061,搜索联想,recommend_v3,2026-06-07 00:13:28,0,0
RE000000302,U002925,P000184,会员频道,recommend_v3,2026-08-19 15:14:36,0,0
RE000000303,U004969,P000961,会员频道,recommend_v3,2025-05-03 13:36:31,0,0
RE000000304,U004161,P001269,购物车凑单,recommend_v4,2026-07-20 06:02:55,0,0
RE000000305,U002500,P001000,搜索联想,recommend_v4,2025-08-12 13:47:24,0,0
RE000000306,U002462,P000211,首页猜你喜欢,recommend_v4,2025-08-29 04:50:00,0,0
RE000000307,U002101,P000757,购物车凑单,recommend_v4,2026-02-15 12:32:42,0,0
RE000000308,U003896,P001400,会员频道,recommend_v3,2025-03-10 12:53:22,0,0
RE000000309,U003897,P000585,商品详情相似推荐,recommend_v3,2026-01-18 08:00:22,0,0
RE000000310,U004271,P000363,首页猜你喜欢,rule_based,2026-03-08 11:27:24,0,0
RE000000311,U003540,P000736,购物车凑单,recommend_v4,2026-04-22 22:02:34,0,0
